ac_id_09,booth_id_14,booth_name_14,address_14,district_14,tehsil_14,thana_14,ward_14,town_14,parts_14,pincode_14,pc_id_09,pc_name_09,pc_reserved_09,ac_name_14,ac_reserved_14,booth_id_21
1,1,"M.C.PRIMARY CO-ED SCHOOL","VILLAGE LAMPUR",Delhi,NARELA,NARELA,2,"VILL LAMPUR","1 - CHAKKI WALI GALI, VILLAGE LAMPUR (1 to V67) 2 - KOTLA GALI , VILLAGE LAMPUR (2 to C-2/1081) 3 - RAMLILA GROUND, VILLAGE LAMPUR (2 to HN-106) 4 - SHIV MANDIR GALI, VILLAGE LAMPUR (8 to HNO101) 5 - SAINI CHAUPAL GALI, VILLAGE LAMPUR (4A to 602)",110040,5,"North West Delhi",SC,Nerela,"",1
1,2,"M.C.PRIMARY CO-ED SCHOOL","VILLAGE LAMPUR",Delhi,NARELA,NARELA,2,"VILL LAMPUR","1 - SAINI CHAUPAL GALI, VILLAGE LAMPUR (60 to 165) 2 - HARIJAN GALI 1, VILLAGE LAMPUR (8 to L6556) 3 - GADRIYA WALI GALI, VILLAGE LAMPUR (26 to A-125) 4 - SURAJ COLONY , VILLAGE LAMPUR (37 to A-2) 5 - HARIJAN GALI NO. 2, VILLAGE LAMPUR (124 to C-899)",110040,5,"North West Delhi",SC,Nerela,"",2
1,3,"M.C.PRIMARY (BOYS) SCHOOL","VILLAGE BANKNER",Delhi,NARELA,NARELA,2,"VILL BANKNER","1 - MOLA WALI GALI, VILLAGE BANKNER (1 to HNO-623) 2 - MAIN GALI WATER PUMP, VILLAGE BANKNER (1 to HN-19) 3 - MAIN GALI HARIJAN CHAUPAL KE PASS, VILLAGE BANKNER (7 to F-22)",110040,5,"North West Delhi",SC,Nerela,"",3
1,5,"M.C.PRIMARY (BOYS) SCHOOL","VILLAGE BANKNER",Delhi,NARELA,NARELA,2,"VILL BANKNER","1 - KHATIYON WALI CHAUPAL KE PASS, VILLAGE BANKNER (86 to G2) 2 - RAMBALA KUEN KE PASS, VILLAGE BANKNER (50/12 to G2) 3 - BARI CHAUPAL WALI MAIN GALI, VILLAGE BANKNER (4-B to HNO-202) 4 - BARI CHAUPAL KE PASS PANDITON WALI GALI, VILLAGE BANKNER (54A to HN-261)",110040,5,"North West Delhi",SC,Nerela,"",5
1,9,"GOVT. (GIRLS) SR. SEC. SCHOOL","VILLAGE BANKNER",Delhi,NARELA,NARELA,2,"VILL BANKNER","1 - MAIN ROAD LAMPUR, PUNJABI GALI, VILLAGE BANKNER (22 to HNO-494) 2 - BRAHIYAN GALI, VILLAGE BANKNER (38 to H-NO-576) 3 - BANIYA CHOWK GALI, VILLAGE BANKNER (566 to 655) 4 - SUNARO WALI GALI, VILLAGE BANKNER (38/1 to A-133)",110040,5,"North West Delhi",SC,Nerela,"",9
1,12,"GOVT. (GIRLS) SR. SEC. SCHOOL","VILLAGE BANKNER",Delhi,NARELA,NARELA,2,"VILL BANKNER","1 - BALMIKI MOHALLA MAIN PULIYA WALI GALI , VILLAGE BANKNER (8 to HNO-238) 2 - NAI BASTI, MAIN GALI, VILLAGE BANKNER (1 to NA) 3 - BASTI BAKNER, GALI NO. 1, VILLAGE BANKNER (5 to HNO-110) 4 - BASTI BAKNER, GALI NO. 2, VILLAGE BANKNER (1 GN to L-397) 5 - BASTI BAKNER, MANDIR WALI GALI, VILLAGE BANKNER (46 to POLTNO) 6 - BASTI BANKER, GALI NO. 3, VILLAGE BANKNER (0 to 866)",110040,5,"North West Delhi",SC,Nerela,"",13
1,13,"GOVT. (GIRLS) SR. SEC. SCHOOL","VILLAGE BANKNER",Delhi,NARELA,NARELA,2,"VILL BANKNER","1 - MAIN GALI, NAI BASTI, VILLAGE BANKNER (0 to R-43) 2 - GALI NO. 1, BAKNER EXTEN., VILLAGE BANKNER (1G to G-1) 3 - GALI NO. 2, BAKNER EXTEN., VILLAGE BANKNER (10 to 887)",110040,5,"North West Delhi",SC,Nerela,"",14
1,14,"GOVT. (GIRLS) SR. SEC. SCHOOL","VILLAGE BANKNER",Delhi,NARELA,NARELA,2,"VILL BANKNER","1 - GALI NO. 3, BAKNER EXTEN., VILLAGE BANKNER (10 to U-70) 2 - MAIN STAND PARK KE PASS, VILLAGE BANKNER (20/44 to 869) 3 - LAMPUR ROAD BALMIKI PULIYA KE PASS, VILLAGE BANKNER (20/44 to A-4) 4 - DADA MAAI WALA COLONY, VILLAGE BANKNER (18B to PLOT-263) 5 - HARIJAN BASTI, VILLAGE BANKNER (1 to KH NO-25)",110040,5,"North West Delhi",SC,Nerela,"",15
1,17,"M.C.PRIMARY SCHOOL","PANA, MAMURPUR,NARELA",Delhi,NARELA,NARELA,1,"SANJAY COLONY NARELA","1 - GALI NO. 1 SANJAY COLONY NEAR SABOLI ROAD, NARELA (1 to S-142) 2 - ARYA SAMAJ ROAD SANJAY COLONY, NARELA (0 to T-47A) 3 - GALI NO. 1 NEAR SAFIYABAD ROAD, SANJAY COLONY NARELA (1 to U 1 A)",110040,5,"North West Delhi",SC,Nerela,"",20
1,18,"M.C.PRIMARY SCHOOL","PANA, MAMURPUR,NARELA",Delhi,NARELA,NARELA,1,"SANJAY COLONY NARELA","1 - GALI NO. 2 SANJAY COLONY, NARELA (1B to V-1832) 2 - GALI NO. 3 SANJAY COLONY, NARELA (3 to HOUSE NO S/201) 3 - GALI NO. 4 SANJAY COLONY , NARELA (1 to U-26) 4 - GALI NO. 5 SANJAY COLONY , NARELA (0 to KHNO-34/9)",110040,5,"North West Delhi",SC,Nerela,"",21
