id,ac_id_09,booth_id_21,electors_21,missing_percent_21,age_avg_21,age_stddev_21,age_muslim_avg_21,age_muslim_stddev_21,women_percent_21,women_muslim_percent_21,muslim_percent_21,buddhist_percent_21,age_buddhist_avg_21,age_buddhist_stddev_21,women_buddhist_percent_21,hindu_percent_21,age_hindu_avg_21,age_hindu_stddev_21,women_hindu_percent_21,jain_percent_21,age_jain_avg_21,age_jain_stddev_21,women_jain_percent_21,parsi_percent_21,age_parsi_avg_21,age_parsi_stddev_21,women_parsi_percent_21,sikh_percent_21,age_sikh_avg_21,age_sikh_stddev_21,women_sikh_percent_21,christian_percent_21,age_christian_avg_21,age_christian_stddev_21,women_christian_percent_21,revision_percent_new_21,revision_percent_deleted_21,revision_percent_modified_21
1,1,1,808,1.36,40.85,15.19,34.44,7.89,45.22,33.33,2.25,0.62,40.2,9.25,20.0,83.68,41.05,15.18,47.44,2.25,36.44,16.2,72.22,1.25,45.9,16.92,10.0,5.14,39.65,15.36,46.34,0.62,38.4,15.7,60.0,0.0,65.74,303.0
2,1,2,951,0.63,41.84,15.62,39.2,15.29,45.84,44.0,5.29,0.63,43.5,23.41,50.0,82.53,41.71,15.5,47.94,1.16,45.45,17.23,72.72,1.05,50.0,16.78,20.0,5.29,41.1,12.7,44.0,0.42,51.0,18.22,50.0,0.0,60.79,430.0
3,1,3,718,0.27,41.95,16.64,34.2,25.84,47.21,0.0,0.69,0.41,59.0,21.63,33.33,89.38,41.6,16.41,47.96,2.09,43.2,14.77,86.66,2.51,50.77,20.38,27.77,2.79,44.0,17.85,40.0,0.69,45.6,17.85,80.0,0.0,61.7,341.0
4,1,5,915,0.54,43.89,18.69,37.86,20.75,46.6,40.0,1.64,0.54,53.2,28.04,40.0,84.5,43.91,18.22,48.17,1.2,42.54,22.43,100.0,1.97,60.72,23.28,27.77,6.15,40.8,19.02,50.0,0.65,45.33,7.78,33.33,0.0,46.89,439.0
5,1,9,561,0.89,42.31,17.71,45.75,25.43,47.77,50.0,0.71,0.89,56.0,25.08,40.0,85.79,42.0,17.86,49.68,1.97,43.18,10.57,72.72,1.25,50.14,14.88,28.57,6.29,42.74,12.4,40.0,0.35,25.5,0.7,50.0,0.0,69.57,265.0
6,1,13,555,1.08,42.37,16.11,40.17,16.87,42.16,42.55,8.56,0.72,45.0,6.87,75.0,82.14,42.41,16.25,42.79,1.27,34.42,5.06,100.0,1.27,53.0,9.89,42.85,3.46,39.94,14.86,36.84,0.36,45.5,17.67,0.0,0.0,80.32,224.0
7,1,14,409,0.0,45.63,15.92,38.66,13.51,47.3,41.66,2.93,0.48,47.5,31.81,50.0,84.84,45.3,15.89,47.39,1.71,53.85,14.19,85.71,1.46,52.0,14.68,0.0,6.11,46.88,16.13,68.0,0.24,80.0,0.0,0.0,0.0,71.96,191.0
8,1,15,743,0.53,39.67,0.0,42.21,18.55,47.03,42.1,2.57,0.67,53.2,27.79,20.0,87.41,39.42,0.0,49.61,0.81,38.0,7.84,100.0,0.81,50.0,18.83,33.33,2.7,39.65,12.77,40.0,1.35,36.9,15.02,40.0,0.0,67.18,295.0
9,1,unclear,1432,0.0,37.89,13.48,35.55,10.1,0.0,0.0,2.02,0.0,0.0,0.0,0.0,47.55,36.33,13.51,0.0,0.13,29.0,1.41,0.0,0.13,26.0,4.24,0.0,1.04,32.33,11.96,0.0,0.06,84.0,0.0,0.0,,,
10,1,20,667,0.29,41.18,17.24,39.08,12.9,45.34,16.66,1.8,0.75,49.2,10.7,40.0,88.12,41.4,17.38,48.03,0.9,40.0,12.34,66.66,1.95,42.15,21.31,30.76,3.3,37.5,17.54,36.36,0.6,45.0,20.83,25.0,0.0,64.76,214.0
11,1,21,1154,0.77,41.51,15.44,35.11,13.15,46.65,40.74,2.35,0.52,40.16,11.49,83.33,88.29,41.53,15.38,48.01,1.48,40.35,15.02,70.58,1.39,44.37,14.01,25.0,2.79,41.06,14.85,35.48,0.78,45.55,14.24,33.33,0.0,60.28,401.0
12,1,22,541,0.55,41.29,17.21,34.0,5.65,45.72,50.0,0.37,0.18,58.0,0.0,0.0,90.89,41.34,17.17,47.11,1.11,30.66,18.9,83.33,2.04,48.54,21.6,9.09,2.23,39.41,11.39,25.0,1.3,36.85,10.46,71.42,0.0,60.96,230.0
13,1,unclear,1263,0.0,37.91,13.55,40.23,14.52,0.0,0.0,1.34,0.07,21.0,0.0,0.0,45.44,36.25,13.72,0.0,0.0,0.0,0.0,0.0,0.07,53.0,0.0,0.0,1.18,34.26,8.51,0.0,0.23,23.33,4.93,0.0,,,
