ac_id_09,booth_id_14,booth_name_14,district_name_14,latitude,longitude,modis,modis_rank
4,16,"Govt Govt Primary School, Madant, Nadora (west Wing)","North Goa",15.674031,73.869483,,
4,17,"Shree Shantadurga High School, Talapwada, Pirna (north Wing)","North Goa",15.673784,73.884846,,
4,18,"Shree Shantadurga High School, Talapwada, Pirna (south Wing)","North Goa",15.673784,73.884846,,
4,19,"Govt Govt Primary School, Tanodiwada, Pirna","North Goa",15.662792,73.88562,,
4,20,"Govt Govt Primary School, Kelwado, Pirna","North Goa",15.660003,73.880457,,
4,21,"Govt Govt Primary School, Madel, Tivim (east Wing)","North Goa",15.619157,73.838032,,
4,22,"Govt Govt Primary School, Auchitwado, Tivim (west Wing 2)","North Goa",15.62252,73.854576,,
4,23,"Govt Govt Primary School, Madel, Tivim (west Wing)","North Goa",15.619157,73.838032,,
4,24,"Govt Primary School, Auchitvado, Tivim (west Wing 1)","North Goa",15.62252,73.854576,,
4,25,"Office of Jr Jr Engineer, Electricity Dept , Tivim","North Goa",15.63165673,73.85689951,,
4,26,"Office of Asst Asst Engineer Sd Ii,wd Viii,goa Tilari Irrigation Development Corporation (gtidc),tivim","North Goa",15.63165673,73.85689951,,
5,14,"Gundu Sitaram Amonkar Vidhyamandir, Feira Alto Mapusa (auditorium Room)","North Goa",15.593908,73.812663,,
5,15,"Gundu Sitaram Amonkar Vidhyamandir, Feira Alto, Mapusa (laboratory Room)","North Goa",15.593908,73.812663,,
5,16,"St St Mary's Primary School Ground floor, Feira Alto, Mapusa Goa ( North Wing)","North Goa",15.591923,73.81647,,
5,17,"St St Mary's Primary School Ground Floor, Feira Alto Mapusa Goa (south Wing)","North Goa",15.591923,73.81647,,
5,18,"Janata High School , Gaunsawado, Mapusa (west Wing I)","North Goa",15.591174,73.815304,,
5,19,"Janata High School, Gaunsawado, Mapusa (west Wing Ii)","North Goa",15.591174,73.815304,,
5,20,"Janata High School ,gaunsawado Mapusa (east Wing)","North Goa",15.591174,73.815304,,
5,21,"Govt Govt Primary School Ansabhat Mapusa (north Wing)","North Goa",15.591159,73.80953,,
5,22,"Adei North Zone Ansabhat ,mapusa (conference Room)","North Goa",15.591159,73.80953,,
5,23,"Duty Officer's Room, O/o Fire Services, Ansabhat, Mapusa","North Goa",15.590722,73.80896,,
5,24,"Electricity Dept Dept Building,ansabhat, Mapusa (north Wing)","North Goa",15.59336,73.809472,,
5,25,"Electricity Dept Dept Building,ansabhat, Mapusa (south Wing)","North Goa",15.59336,73.809472,,
6,21,"Govt Govt Primary School Huddo Chapora (east Wing)","North Goa",15.602983,73.74389,,
6,22,"Govt Govt Primary School Chapora (west Wing)","North Goa",15.603812,73.737294,,
6,23,"Govt Govt Primary School Chapora (east Wing)","North Goa",15.603812,73.737294,,
6,24,"Sacred Heart High School Anjuna ( North Wing)","North Goa",15.581641,73.748463,,
6,25,"Sacred Heart High School Anjuna (south Wing)","North Goa",15.581641,73.748463,,
6,26,"Govt Govt Priamary School Bandirwado Anjuna","North Goa",15.604179,73.7521,,
6,27,"Village Panchayat Office Gavadi Anjuna","North Goa",15.597752,73.748645,,
6,28,"Govt Govt Primary School Mazalwado Anjuna (west Wing)","North Goa",15.620681,73.783255,,
6,29,"Govt Govt Priamary School Mazalwado Anjuna (east Wing)","North Goa",15.620681,73.783255,,
6,30,"Govt Govt Priamary School Anjuna Chiwar","North Goa",15.615597,73.785225,,
6,31,"Govt Govt Primary School Munong Assagao(north Wing)","North Goa",15.600377,73.767464,,
6,32,"Govt Govt Primary School Munong Assagao(south Wing)","North Goa",15.600377,73.767464,,
14,33,"Govt Govt Primary School (s W ),tito, Mandur","North Goa",15.451868,73.922573,,
14,34,"Govt Govt Primary School (n W ), Tito, Mandur","North Goa",15.451868,73.922573,,
14,35,"Govt Govt Village Library (n W ),dongrim Thorlebhat","North Goa",15.448817,73.926588,,
14,36,"Govt Govt Village Library (s W ),dongrim Thorlebhat","North Goa",15.448817,73.926588,,
14,37,"V P P Office Azossim Mandur","North Goa",15.450707,73.925494,,
15,35,"Govt Govt Primary School , Carambolim(east Wing)","North Goa",15.483987,73.932656,,
15,36,"Govt Govt Primary School , Carambolim(west Wing)","North Goa",15.483987,73.932656,,
15,37,"Village Panchayat Office, Carambolim (old Bldg)","North Goa",15.485929,73.933273,,
15,38,"Village Panchayat Office, Dona Maria, Carambolim(new Building)","North Goa",15.485717,73.932463,,
15,39,"Communidade Bldg, Carambolim","North Goa",15.479792,73.923727,,
16,35,"Govt Primary School Vithalapur (east Wing) Karapur","North Goa",15.567286,74.003283,,
16,36,"Office of the Executive Engineer, Wd V,wrd (adm Section) Karapur Tisk","North Goa",15.570828,74.000006,,
6,33,"Govt Govt Primary School Badem Assagao(north Wing)","North Goa",15.607163,73.750325,,
6,34,"Govt Govt Primary School Badem Assagao (south Wing)","North Goa",15.607163,73.750325,,
6,35,"Dr Dr August Souza High School Assagao (north Wing)","North Goa",15.605171,73.754154,,
6,36,"Dr Dr August Souza High School Assagao (south Wing)","North Goa",15.605171,73.754154,,
6,37,"Don Bosco Youth Welfare Center Verla","North Goa",15.576019,73.794715,,
7,1,"Government Primary School, Namaoshi Guirim (north Wing)","North Goa",15.573332,73.804719,,
7,2,"Govt Primary School, Namoshi Gurim (south Wing)","North Goa",15.573332,73.804719,,
7,3,"Govt Primary School, Namoshi Guirim (east Wing)","North Goa",15.573332,73.804719,,
7,26,"Dayanand Bandodkar High School,reis Magos (east Wing)","North Goa",15.507015,73.810299,,
7,27,"Dayanand Bandodkar High School,reis Magos (west Wing)","North Goa",15.507015,73.810299,,
7,28,"Govt Primary School, Sonarbhat Reis Magos (east Wing)","North Goa",15.507115,73.809435,,
7,29,"Govt Primary School, Sonarbhat Reis Magos (west Wing)","North Goa",15.507115,73.809435,,
7,30,"Old Police Bldg Bldg Betim Police Out Post, Reis Magos","North Goa",15.516874,73.823133,"Urban area",9
7,31,"River Navigation Office, Penha De France (north Wing)","North Goa",15.506454,73.808291,,
7,32,"River Navigation Office, Penha De France (south Wing)","North Goa",15.511788,73.82108,,
7,33,"River Navigation Office, Penha De France (west Wing)","North Goa",15.514435,73.82387,,
7,34,"Village Panchayat Office, Nerul","North Goa",15.510227,73.782964,,
8,1,"Village Panchayat (ground Floor) parra","North Goa",15.574923,73.789833,,
8,3,"Govt Govt Primary School, Parra (south Wing) Wing) Lobo Vaddo, Parra","North Goa",15.574923,73.789833,,
8,4,"Health Center, Parra, B Arradi","North Goa",15.582628,73.77709,,
8,5,"Communadidade Bldg, Parra, Arradi","North Goa",15.579832,73.778772,,
8,6,"Govt Govt Primary School Arpora, (east Wing) Viegas Vaddo, Arpora","North Goa",15.561666,73.768472,,
8,7,"Govt Govt Primary School Arpora, (west Wing) Viegas Vaddo, Arpora","North Goa",15.561666,73.768472,,
8,8,"St St Joseph High school, Viegas Vaddo, Arpora","North Goa",15.537766,73.76306,,
16,37,"Govt Govt Primary School Vithalapur (west Wing) Karapur","North Goa",15.563741,74.000255,,
16,38,"Govt Govt Primary School Deulwada (north Wing)","North Goa",15.607057,74.006454,,
12,12,"Peace Heaven Home & School for the Mentally Challenged Children,caranzalem Goa","North Goa",15.468534,73.807611,,
12,13,"Clube Sao Miguel De Taleigao","North Goa",15.46762177,73.8192933,,
12,14,"Office of the Communidade De Taleigao,tiswadi Goa","North Goa",15.46771956,73.81928537,,
12,15,"Our Lady Of Rosary High School, (std 1v A Class Room ), Dona Paula Goa","North Goa",15.461244,73.807428,,
12,16,"Govt Govt Primary & High School,(konkani Class) ,dona Paula Goa","North Goa",15.45533,73.802965,,
12,17,"Govt Govt Primary & High School, ( Std I Class),dona Paula Goa","North Goa",15.45533,73.802965,,
12,18,"Our Lady Of Rosary High School, ( Std Iii A Class Room ),dona Paula Goa","North Goa",15.461244,73.807428,,
12,19,"Our Lady Of Rosary High School, (staff Room),dona Paula Goa","North Goa",15.461244,73.807428,,
12,20,"Govt Govt Primary School,odxel,tiswadi Goa","North Goa",15.454381,73.829683,,
4,27,"Govt Primary School, Auchitwado, Tivim (east Wing )","North Goa",15.61661,73.852345,,
4,28,"Govt Govt Primary School, Cansa, Tivim (north Wing)","North Goa",15.63373818,73.86643787,,
4,29,"Govt Primary School, Cansa, Tivim, (south Wing)","North Goa",15.63373818,73.86643787,,
4,30,"Govt Govt Primary School, Sirsaim, (west Wing), Sirsaim","North Goa",15.62555282,73.87427307,,
4,31,"Govt Govt Primary School, Sirsaim (east Wing 2)","North Goa",15.62552454,73.87421912,,
4,32,"Govt Govt Primary School, Sirsaim (east Wing 1)","North Goa",15.62552454,73.87421912,,
4,33,"St St Clara High School, Assonora (east Wing)","North Goa",15.6198239,73.8901729,,
