,Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,Total of valid votes,No.of rejected votes,NOTA,Total,No of tendered votes,
,,Kamalbhai Matang,Chavda Vinod Lakhamashi,Dr. Dinesh Parmar,Danicha Govindbhai Punamchand,Hirji Punjabhai Siju,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,
,1,26,521,321,12,2,882,0,9,891,0,
,2,37,263,391,35,13,739,0,34,773,0,
,3,4,194,127,2,0,327,0,1,328,0,
,4,8,84,220,10,2,324,0,7,331,0,
,5,2,25,194,5,0,226,0,2,228,0,
,6,4,74,148,5,51,282,0,7,289,0,
,7,12,113,215,9,1,350,0,8,358,0,
,Total,93,1274,1616,78,69,3130,0,68,3198,0,
,8,28,179,344,4,76,631,0,3,634,0,
,9,3,144,59,6,1,213,0,5,218,0,
,10,8,150,27,0,35,220,0,5,225,0,
,11,6,164,88,4,9,271,0,2,273,0,
,12,20,272,309,11,14,626,0,11,637,0,
,13,18,318,125,4,12,477,0,12,489,0,
,14,3,24,46,1,1,75,0,0,75,0,
,Total,86,1251,998,30,148,2513,0,38,2551,0,
,15,2,92,77,7,54,232,0,7,239,0,
,16,22,285,396,16,87,806,0,7,813,0,
,17,12,304,262,7,31,616,0,7,623,0,
,18,21,210,170,5,3,409,0,5,414,0,
,19,12,174,55,4,4,249,0,5,254,0,
,20,2,4,93,1,0,100,0,1,101,0,
,21,11,169,375,22,5,582,0,10,592,0,
,Total,82,1238,1428,62,184,2994,0,42,3036,0,
,1 01-ABADASA,,,,,,,,,,,
,22,18,228,229,8,27,510,0,4,514,0,
,23,9,396,36,1,2,444,0,5,449,0,
,24,32,41,229,21,8,331,0,11,342,0,
,25,8,512,110,7,9,646,0,12,658,0,
,26,21,333,298,5,9,666,0,10,676,0,
,27,11,294,228,5,21,559,0,14,573,0,
,28,24,389,318,13,8,752,0,9,761,0,
,Total,123,2193,1448,60,84,3908,0,65,3973,0,
,29,21,153,214,9,3,400,0,11,411,0,
,30,4,124,223,10,1,362,0,0,362,0,
,31,15,114,263,5,37,434,0,2,436,0,
,32,51,149,234,10,10,454,0,8,462,0,
,33,16,384,394,10,7,811,0,11,822,0,
,34,16,255,412,19,9,711,0,11,722,0,
,35,4,228,157,1,7,397,0,4,401,0,
,Total,127,1407,1897,64,74,3569,0,47,3616,0,
,36,2,200,60,3,2,267,0,5,272,0,
,37,1,104,69,1,0,175,0,1,176,0,
,38,2,133,71,3,1,210,0,2,212,0,
,39,23,277,218,8,6,532,0,13,545,0,
,40,22,420,87,0,5,534,0,4,538,0,
,41,3,218,101,4,2,328,0,4,332,0,
,42,6,93,84,2,2,187,0,1,188,0,
,Total,59,1445,690,21,18,2233,0,30,2263,0,
,43,23,295,295,9,6,628,0,18,646,0,
,44,11,67,115,2,1,196,0,4,200,0,
,45,10,79,160,10,4,263,0,11,274,0,
,46,26,204,421,24,12,687,0,13,700,0,
,47,14,8,144,3,0,169,0,1,170,0,
,48,13,174,146,2,9,344,0,8,352,0,
,49,22,218,303,9,46,598,0,16,614,0,
,Total,119,1045,1584,59,78,2885,0,71,2956,0,
,2 01-ABADASA,,,,,,,,,,,
,50,24,303,270,9,11,617,0,8,625,0,
,51,11,107,49,6,1,174,0,8,182,0,
,52,12,125,114,1,31,283,0,8,291,0,
,53,2,11,225,5,1,244,0,2,246,0,
,54,5,58,177,6,2,248,0,2,250,0,
,55,14,12,379,1,2,408,0,3,411,0,
,56,7,324,187,5,44,567,0,8,575,0,
,Total,75,940,1401,33,92,2541,0,39,2580,0,
,57,37,358,426,8,150,979,0,8,987,0,
,58,42,205,448,24,75,794,0,34,828,0,
,59,10,194,67,5,81,357,0,9,366,0,
,60,8,202,96,6,0,312,0,2,314,0,
,61,24,272,191,10,32,529,0,12,541,0,
