Serial No. of Polling Station 1,No. of Valid votes cast in favour of,,,,,Total of valid votes,No.of rejected votes,NOTA,Total,No of tendered votes
,Kamalbhai Matang,Chavda Vinod Lakhamashi,Dr. Dinesh Parmar,Danicha Govindbhai Punamchand,Hirji Punjabhai Siju,,,,,
1,11,240,95,8,45,399,0,1,400,0
2,7,275,78,2,74,436,0,13,449,0
3,15,181,69,11,187,463,0,13,476,0
4,4,424,27,0,2,457,0,5,462,0
5,9,316,127,6,222,680,0,8,688,0
6,7,184,54,3,50,298,0,3,301,0
7,3,305,42,3,24,377,0,0,377,0
8,19,226,428,8,10,691,0,7,698,0
9,6,212,53,1,3,275,0,4,279,0
10,2,596,107,7,33,745,0,4,749,0
11,10,757,34,5,6,812,0,7,819,0
12,3,573,42,1,4,623,0,5,628,0
13,11,238,188,3,38,478,0,19,497,0
14,10,533,129,1,28,701,0,4,705,0
15,117,5060,1473,59,726,7435,0,93,7528,0
16,5,120,74,5,35,239,0,2,241,0
17,7,401,60,1,2,471,0,1,472,0
18,7,451,131,5,86,680,0,6,686,0
19,8,260,92,3,50,413,0,2,415,0
20,13,431,34,0,4,482,0,2,484,0
21,16,329,108,4,9,466,0,15,481,0
22,9,462,54,2,0,527,0,7,534,0
23,6,600,75,4,2,687,0,6,693,0
24,12,397,158,6,8,581,0,8,589,0
25,7,603,46,6,42,704,0,7,711,0
26,7,114,98,6,22,247,0,6,253,0
27,14,187,144,13,30,388,0,12,400,0
28,4,135,107,5,6,257,0,7,264,0
29,1,270,6,0,0,277,0,0,277,0
30,116,4760,1187,60,296,6419,0,81,6500,0
31,23,161,205,12,10,411,0,14,425,0
32,4,310,128,10,80,532,0,8,540,0
33,12,320,141,10,4,487,0,12,499,0
34,5,509,74,1,6,595,0,5,600,0
35,12,230,152,6,201,601,0,15,616,0
36,2,389,43,3,6,443,0,1,444,0
37,4,354,92,3,2,455,0,2,457,0
38,6,183,76,5,4,274,0,4,278,0
39,10,384,92,1,3,490,0,3,493,0
40,5,605,99,5,14,728,0,3,731,0
41,14,204,200,8,7,433,0,13,446,0
42,10,137,72,4,9,232,0,14,246,0
43,2,199,3,0,0,204,0,0,204,0
44,19,79,222,3,19,342,0,6,348,0
45,128,4064,1599,71,365,6227,0,100,6327,0
46,5,204,42,1,38,290,0,3,293,0
47,9,212,24,2,20,267,0,1,268,0
48,4,167,151,4,9,335,0,2,337,0
49,1,246,17,0,1,265,0,2,267,0
50,4,64,131,7,9,215,0,5,220,0
51,3,304,47,2,0,356,0,6,362,0
52,2,148,56,3,4,213,0,3,216,0
53,4,204,39,1,0,248,0,6,254,0
54,2,308,71,3,28,412,0,5,417,0
