Serial No. of Polling Station,,,,,,valid,No.of rejected votes,NOTA,Total,No of tendered votes,03-BHUJ
,Kamalbhai Matang,Chavda Vinod Lakhamashi,Dr. Dinesh Parmar,Danicha Govindbhai Punamchand,Hirji Punjabhai Siju,,,,,,
1,8,244,113,10,9,384,0,8,392,0,
2,23,157,221,15,5,421,0,11,432,0,
3,23,134,248,20,7,432,0,15,447,0,
4,65,323,143,21,10,562,0,24,586,0,
5,19,346,70,3,2,440,0,11,451,0,
6,10,193,184,10,3,400,0,8,408,0,
7,0,138,68,1,1,208,0,0,208,0,
8,35,222,152,10,6,425,0,15,440,0,
9,15,277,214,18,42,566,0,23,589,0,
10,22,157,225,18,32,454,0,12,466,0,
11,11,101,181,10,5,308,0,1,309,0,
12,9,107,249,30,2,397,0,10,407,0,
13,13,63,226,4,3,309,0,4,313,0,
14,17,135,220,16,6,394,0,4,398,0,
15,42,218,449,35,7,751,0,38,789,0,
16,11,111,168,17,5,312,0,14,326,0,
17,10,425,308,18,6,767,0,3,770,0,
18,5,28,196,1,0,230,0,1,231,0,
19,10,62,184,11,13,280,0,11,291,0,
20,23,407,304,19,28,781,0,20,801,0,
21,45,380,324,26,17,792,0,51,843,0,
22,2,3,44,3,1,53,0,1,54,0,
23,0,304,8,0,0,312,0,0,312,0,
24,3,42,297,4,2,348,0,5,353,0,
25,3,37,142,5,1,188,0,4,192,0,
26,10,95,77,3,2,187,0,3,190,0,
27,21,178,222,76,11,508,0,21,529,0,
28,3,82,14,2,2,103,0,0,103,0,
29,9,41,143,8,6,207,0,6,213,0,
30,40,401,361,25,11,838,0,20,858,0,
31,12,124,116,12,14,278,0,15,293,0,
32,34,203,420,33,16,706,0,17,723,0,
33,28,245,230,19,11,533,0,15,548,0,
34,8,78,108,7,17,218,0,7,225,0,
35,26,257,109,11,22,425,0,9,434,0,
36,23,324,131,7,5,490,0,18,508,0,
37,30,151,108,13,5,307,0,11,318,0,
38,26,100,93,9,11,239,0,18,257,0,
39,31,113,135,17,6,302,0,4,306,0,
40,19,285,179,9,6,498,0,15,513,0,
41,11,34,152,11,8,216,0,10,226,0,
42,15,38,167,8,5,233,0,6,239,0,
43,24,86,232,18,6,366,0,14,380,0,
44,31,102,223,19,9,384,0,20,404,0,
45,7,41,138,6,1,193,0,1,194,0,
46,6,21,254,7,0,288,0,2,290,0,
47,3,83,65,4,8,163,0,1,164,0,
48,8,63,163,14,7,255,0,1,256,0,
49,15,107,142,7,10,281,0,8,289,0,
50,15,84,76,10,5,190,0,12,202,0,
51,13,75,167,19,10,284,0,17,301,0,
52,13,435,170,7,98,723,0,14,737,0,
53,27,273,326,16,67,709,0,26,735,0,
54,5,428,30,3,1,467,0,3,470,0,
55,16,221,104,8,47,396,0,10,406,0,
56,6,296,102,5,17,426,0,6,432,0,
57,19,495,263,5,8,790,0,4,794,0,
58,3,549,181,5,9,747,0,1,748,0,
59,30,192,526,14,18,780,0,20,800,0,
60,24,164,284,15,13,500,0,9,509,0,
61,11,79,105,2,0,197,0,4,201,0,
62,17,379,70,4,5,475,0,6,481,0,
63,5,216,74,0,5,300,0,2,302,0,
64,10,199,186,9,2,406,0,5,411,0,
65,10,85,326,13,6,440,0,8,448,0,
66,33,82,176,19,20,330,0,20,350,0,
67,8,134,51,4,1,198,0,6,204,0,
68,13,271,416,16,6,722,0,13,735,0,
69,6,231,70,5,3,315,0,5,320,0,
70,10,168,193,7,11,389,0,7,396,0,
