Serial No. of Polling Station,No. of Valid votes cast in favour of,,,,,Total of valid votes,No.of rejected votes,NOTA,Total,No of tendered votes
,Kamalbhai Matang,Chavda Vinod Lakhamashi,Dr. Dinesh Parmar,Danicha Govindbhai Punamchand,Hirji Punjabhai Siju,,,,,
1,2,3,4,5,6,7,8,9,10,11
1,33,425,335,11,6,810,0,13,823,0
2,27,372,234,40,14,687,0,43,730,0
3,24,192,277,17,6,516,0,5,521,0
4,11,139,122,9,2,283,0,9,292,0
5,7,303,174,12,14,510,0,10,520,0
6,8,221,57,9,5,300,0,9,309,0
7,1,126,156,7,5,295,0,2,297,0
8,18,240,134,20,18,430,0,36,466,0
9,3,101,105,4,5,218,0,5,223,0
10,21,251,156,10,6,444,0,11,455,0
11,6,364,88,4,1,463,0,14,477,0
12,0,45,4,0,0,49,0,0,49,0
13,11,198,144,11,3,367,0,7,374,0
14,1,218,88,3,4,314,0,0,314,0
Total,171,3195,2074,157,89,5686,0,164,5850,0
15,29,240,46,1,5,321,0,3,324,0
16,15,476,101,9,7,608,0,13,621,0
17,8,198,78,6,6,296,0,14,310,0
18,5,215,256,8,2,486,0,6,492,0
19,9,286,148,3,7,453,0,9,462,0
20,2,448,4,2,0,456,0,0,456,0
21,15,304,172,15,3,509,0,14,523,0
22,20,226,233,13,6,498,0,20,518,0
23,16,386,171,3,9,585,0,15,600,0
24,12,230,50,5,5,302,0,8,310,0
25,19,257,56,11,22,365,0,19,384,0
26,7,354,40,4,4,409,0,12,421,0
27,8,251,153,2,4,418,0,13,431,0
28,7,472,91,4,7,581,0,8,589,0
Total,172,4343,1599,86,87,6287,0,154,6441,0
29,19,502,117,6,6,650,0,12,662,0
30,10,277,163,8,2,460,0,5,465,0
31,2,287,112,1,8,410,0,8,418,0
32,9,230,341,10,15,605,0,7,612,0
33,1,37,56,3,1,98,0,3,101,0
34,7,231,69,4,2,313,0,6,319,0
35,22,155,73,11,11,272,0,19,291,0
36,7,105,18,6,9,145,0,12,157,0
37,7,317,100,8,5,437,0,15,452,0
38,9,380,68,7,5,469,0,18,487,0
39,16,368,80,5,9,478,0,14,492,0
40,17,327,169,9,12,534,0,27,561,0
41,12,145,104,3,6,270,0,14,284,0
42,22,331,105,4,1,463,0,14,477,0
Total,160,3692,1575,85,92,5604,0,174,5778,0
43,0,62,8,0,1,71,0,3,74,0
44,7,257,75,3,3,345,0,1,346,0
45,7,265,234,13,3,522,0,8,530,0
46,28,235,422,17,5,707,0,13,720,0
47,26,419,265,8,16,734,0,18,752,0
48,21,671,156,9,1,858,0,11,869,0
49,11,413,173,4,0,601,0,0,601,0
50,39,357,185,6,15,602,0,40,642,0
51,6,470,98,11,2,587,0,11,598,0
52,14,492,159,3,2,670,0,12,682,0
53,12,250,124,11,1,398,0,4,402,0
54,13,395,162,10,3,583,0,18,601,0
55,22,291,474,10,7,804,0,16,820,0
56,18,616,97,7,8,746,0,9,755,0
Total,224,5193,2632,112,67,8228,0,164,8392,0
57,20,622,166,10,3,821,0,8,829,0
58,9,201,96,4,3,313,0,2,315,0
59,7,442,66,9,3,527,0,20,547,0
60,11,421,50,6,3,491,0,5,496,0
61,21,249,109,13,16,408,0,15,423,0
62,16,525,108,7,1,657,0,14,671,0
63,10,357,86,3,4,460,0,9,469,0
64,6,173,41,4,0,224,0,6,230,0
65,7,262,78,2,1,350,0,6,356,0
66,20,129,149,4,7,309,0,14,323,0
67,26,191,270,17,15,519,0,19,538,0
68,19,433,101,2,7,562,0,8,570,0
69,21,474,18,7,5,525,0,7,532,0
70,24,590,74,7,10,705,0,9,714,0
Total,217,5069,1412,95,78,6871,0,142,7013,0
71,6,142,253,10,1,412,0,7,419,0
72,10,372,57,2,19,460,0,6,466,0
73,8,153,151,12,8,332,0,5,337,0
