Serial No. of Polling Station,,,,,,valid,No.of rejected votes,NOTA,Total,No of tendered votes
,Kamalbhai Matang,Chavda Vinod Lakhamashi,Dr. Dinesh Parmar,Danicha Govindbhai Punamchand,Hirji Punjabhai Siju,,,,,
1,2,3,4,5,6,7,8,9,10,11
1,11,220,253,6,7,497,0,19,516,0
2,6,110,133,7,0,256,0,1,257,0
3,4,98,49,4,1,156,0,5,161,0
4,12,295,269,9,4,589,0,6,595,0
5,13,354,60,12,7,446,0,10,456,0
6,9,165,116,6,3,299,0,7,306,0
7,14,255,155,7,8,439,0,15,454,0
Total,69,1497,1035,51,30,2682,0,63,2745,0
8,7,356,147,7,6,523,0,0,523,0
9,10,72,78,7,4,171,0,6,177,0
10,12,595,164,7,7,785,0,4,789,0
11,4,127,52,4,0,187,0,6,193,0
12,40,385,258,16,13,712,0,30,742,0
13,6,71,8,0,1,86,0,4,90,0
14,11,257,256,8,5,537,0,9,546,0
Total,90,1863,963,49,36,3001,0,59,3060,0
15,12,160,164,4,2,342,0,12,354,0
16,10,281,134,13,11,449,0,15,464,0
17,13,317,241,18,2,591,0,16,607,0
18,18,443,215,16,4,696,0,15,711,0
19,6,225,149,4,4,388,0,9,397,0
20,19,216,269,9,9,522,0,16,538,0
21,20,236,251,14,5,526,0,18,544,0
Total,98,1878,1423,78,37,3514,0,101,3615,0
22,6,80,117,2,1,206,0,8,214,0
23,18,286,159,16,8,487,0,24,511,0
24,32,353,182,14,18,599,0,19,618,0
25,16,121,286,10,8,441,0,3,444,0
26,23,183,220,13,5,444,0,14,458,0
27,6,109,114,3,2,234,0,5,239,0
28,7,164,62,4,8,245,0,8,253,0
Total,108,1296,1140,62,50,2656,0,81,2737,0
29,1,50,93,0,0,144,0,0,144,0
30,1,48,29,0,2,80,0,0,80,0
31,5,125,193,6,12,341,0,7,348,0
32,12,321,175,1,4,513,0,10,523,0
33,14,57,61,4,9,145,0,4,149,0
34,18,388,60,10,7,483,0,20,503,0
35,7,295,95,4,5,406,0,12,418,0
Total,58,1284,706,25,39,2112,0,53,2165,0
36,33,267,274,14,40,628,0,20,648,0
37,18,260,173,11,20,482,0,30,512,0
38,8,148,79,8,3,246,0,2,248,0
39,21,179,206,10,6,422,0,16,438,0
40,13,149,180,6,1,349,0,5,354,0
41,16,203,98,1,3,321,0,6,327,0
42,29,243,493,13,6,784,0,12,796,0
Total,138,1449,1503,63,79,3232,0,91,3323,0
43,36,163,344,14,3,560,0,16,576,0
44,5,39,95,2,1,142,0,2,144,0
45,53,168,438,24,6,689,0,19,708,0
46,20,390,344,11,8,773,0,16,789,0
47,9,472,178,7,9,675,0,2,677,0
48,17,350,274,10,12,663,0,28,691,0
49,8,85,147,5,5,250,0,5,255,0
Total,148,1667,1820,73,44,3752,0,88,3840,0
50,21,259,242,13,6,541,0,15,556,0
51,15,305,130,6,6,462,0,11,473,0
52,3,198,24,1,3,229,0,1,230,0
53,14,157,42,3,4,220,0,5,225,0
54,2,47,45,4,3,101,0,2,103,0
55,1,132,34,1,1,169,0,4,173,0
56,30,322,283,7,11,653,0,16,669,0
Total,86,1420,800,35,34,2375,0,54,2429,0
57,0,0,0,0,0,0,0,0,0,0
58,4,199,69,6,3,281,0,4,285,0
59,6,98,18,2,0,124,0,1,125,0
60,19,273,297,14,10,613,0,13,626,0
61,22,218,201,7,16,464,0,35,499,0
62,15,22,252,16,4,309,0,14,323,0
63,6,90,151,4,5,256,0,8,264,0
Total,72,900,988,49,38,2047,0,75,2122,0
64,28,496,114,2,12,652,0,14,666,0
65,33,344,166,7,36,586,0,12,598,0
66,29,295,70,6,10,410,0,37,447,0
67,27,150,175,6,4,362,0,9,371,0
68,32,423,221,4,14,694,0,13,707,0
69,28,313,264,12,7,624,0,18,642,0
70,23,63,175,7,8,276,0,16,292,0
