polling station,,,,,,,,,,,,,,,valid,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
,Chaudhary Haribhai Parthibhai,Patel Joitabhai Kasnabhai,Mahant Parsotamgiri Turantgiri,Choudhary Adambhai Nasirbhai,Sanjaykumar Somnathbhai Raval,Gamar Vadhabhai Radhabhai,Thakor Bhupataji Ravaji,Dabhi Navajibhai Madhabhai,Babaji Thakor,Mahendrabhai Kesarabhai Bumbadia,Madhu Nirupaben Natvarlal,Shrimali Ashokbhai Balchndbhai,Solanki Dineshkumar Aljibhai,Solanki Saybabhai Nanabhai,,,,,
1,521,28,1,0,0,0,0,0,0,0,1,3,2,3,559,0,11,570,0
2,318,219,6,3,1,0,2,0,1,4,3,6,5,10,578,0,28,606,0
3,129,439,15,0,2,0,0,1,0,4,4,2,5,9,610,0,15,625,0
4,172,137,8,1,0,0,0,2,6,0,2,2,4,4,338,0,14,352,0
5,278,191,10,1,1,1,0,2,1,6,0,2,3,8,504,0,15,519,0
6,205,239,4,0,1,0,1,2,3,1,3,2,6,8,475,0,10,485,0
7,100,318,14,6,0,0,1,1,4,4,0,4,7,3,462,0,5,467,0
8,480,115,7,2,1,0,0,2,1,6,2,0,4,0,620,0,18,638,0
9,156,136,6,3,2,1,1,4,1,2,3,3,1,11,330,0,8,338,0
10,542,270,8,3,3,0,1,1,0,1,1,1,4,6,841,0,16,857,0
11,191,114,7,0,2,0,0,2,1,7,2,2,5,8,341,0,6,347,0
12,439,94,3,1,0,1,0,3,0,9,3,3,8,8,572,0,12,584,0
13,161,193,7,2,1,1,0,3,1,3,2,10,7,7,398,0,11,409,0
14,246,211,3,0,1,0,0,0,0,2,0,3,2,2,470,0,13,483,0
15,130,176,3,0,0,0,0,1,1,1,0,1,1,5,319,0,3,322,0
16,315,298,7,2,0,0,0,1,0,2,2,0,6,3,636,0,6,642,0
17,280,65,1,0,3,0,0,0,1,2,0,1,0,0,353,0,4,357,0
18,252,54,0,0,0,0,0,0,0,1,0,0,0,0,307,0,1,308,0
19,502,92,3,2,0,0,1,0,2,3,2,5,3,8,623,0,26,649,0
20,264,345,9,1,8,2,1,2,0,5,0,0,13,10,660,0,18,678,0
21,119,71,1,1,0,0,0,0,2,0,1,0,1,1,197,0,3,200,0
22,322,178,12,2,2,0,2,3,0,8,6,6,12,9,562,0,27,589,0
23,177,128,4,0,0,0,0,1,1,0,1,2,1,6,321,0,11,332,0
24,539,89,2,0,0,0,5,4,5,1,0,1,2,1,649,0,11,660,0
25,307,200,8,1,2,0,0,1,0,0,3,3,4,9,538,0,11,549,0
26,149,101,5,0,1,0,0,1,0,0,1,1,5,3,267,0,10,277,0
27,341,469,11,2,5,0,1,0,3,2,1,3,9,7,854,0,20,874,0
28,312,111,5,1,2,0,0,2,0,1,0,0,3,5,442,0,7,449,0
29,421,171,8,1,0,1,0,0,0,2,1,0,1,3,609,0,13,622,0
30,401,112,2,2,0,0,0,3,1,0,3,1,3,5,533,0,4,537,0
31,338,239,6,2,4,0,1,1,1,4,3,2,6,9,616,0,12,628,0
32,218,414,7,1,0,3,0,2,1,0,1,3,8,9,667,0,15,682,0
33,362,68,4,2,0,1,2,2,1,1,0,1,1,7,452,0,4,456,0
34,294,166,3,1,4,0,0,1,1,1,0,0,6,6,483,0,10,493,0
35,362,58,4,0,0,0,1,0,1,1,0,1,0,1,429,0,9,438,0
36,304,120,5,0,0,0,0,1,0,1,1,0,1,2,435,0,5,440,0
37,307,98,2,2,2,0,0,2,1,2,1,0,1,4,422,0,11,433,0
38,218,96,4,2,0,0,0,0,1,1,0,1,2,5,330,0,5,335,0
39,336,68,2,1,4,1,0,0,0,4,1,2,3,2,424,0,4,428,0
40,106,195,5,2,1,1,0,0,0,4,0,0,2,0,316,0,6,322,0
41,292,181,2,2,0,1,0,0,0,2,2,1,3,6,492,0,14,506,0
42,312,175,7,2,3,0,0,1,0,2,1,2,2,4,511,0,7,518,0
43,189,365,9,0,7,3,1,0,0,3,0,2,2,8,589,0,5,594,0
44,495,44,1,0,1,0,0,0,2,1,1,0,2,3,550,0,3,553,0
45,343,109,6,1,3,1,1,1,1,2,0,0,2,6,476,0,15,491,0
46,206,61,1,0,0,0,0,0,1,1,1,3,2,1,277,0,3,280,0
47,189,264,6,2,24,0,1,2,0,0,1,1,6,5,501,0,5,506,0
48,477,42,2,4,4,0,1,0,1,1,1,0,2,1,536,0,13,549,0
49,206,116,1,2,9,1,1,1,0,0,0,0,1,4,342,0,8,350,0
50,105,237,9,1,1,0,1,0,24,4,1,0,5,4,392,0,10,402,0
51,359,236,4,1,16,2,1,2,0,1,1,0,1,7,631,0,21,652,0
52,336,78,4,1,13,2,0,0,0,1,0,0,1,5,441,0,9,450,0
53,273,103,3,0,1,0,1,1,1,1,1,0,2,2,389,0,8,397,0
