polling station,Number of Valid Votes Cast in Favour of,,,,,,,,,,,,,,Total of valid votes,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
,Chaudhary Haribhai Parthibhai,Patel Joitabhai Kasnabhai,Mahant Parsotamgiri Turantgiri,Choudhary Adambhai Nasirbhai,Sanjaykumar Somnathbhai Raval,Gamar Vadhabhai Radhabhai,Thakor Bhupataji Ravaji,Dabhi Navajibhai Madhabhai,Babaji Thakor,Mahendrabhai Kesarabhai Bumbadia,Madhu Nirupaben Natvarlal,Shrimali Ashokbhai Balchndbhai,Solanki Dineshkumar Aljibhai,Solanki Saybabhai Nanabhai,,,,,
1,264,109,17,3,6,1,2,2,2,2,1,1,7,9,426,0,12,438,0
2,273,158,8,2,1,0,0,2,3,4,3,2,7,8,471,0,13,484,0
3,137,311,16,4,3,2,1,1,3,3,1,2,5,8,497,0,14,511,0
4,272,200,5,1,0,0,0,1,2,1,0,2,9,1,494,0,4,498,0
5,215,168,92,4,19,0,0,0,0,1,1,4,0,2,506,0,11,517,0
6,284,138,52,1,12,1,1,2,2,2,1,0,4,3,503,0,6,509,0
7,137,142,32,1,5,0,0,3,2,4,3,2,2,5,338,0,7,345,0
8,197,79,2,1,1,0,0,0,0,1,0,3,2,1,287,0,4,291,0
9,166,114,6,2,2,0,0,2,2,3,2,0,2,4,305,0,14,319,0
10,314,68,46,2,2,1,2,5,0,3,4,1,4,10,462,0,21,483,0
11,215,76,37,1,1,0,0,1,1,2,0,6,1,5,346,0,10,356,0
12,140,203,6,0,1,0,0,2,2,3,2,3,9,12,383,0,9,392,0
13,97,426,68,3,3,1,0,1,1,2,3,6,6,10,627,0,21,648,0
14,344,102,8,2,0,0,1,1,0,4,1,2,9,6,480,0,21,501,0
15,192,177,10,4,3,0,1,1,0,5,2,2,5,13,415,0,24,439,0
16,351,210,9,1,3,0,1,1,11,3,3,2,1,3,599,0,2,601,0
17,325,157,6,0,1,0,0,1,0,4,0,0,1,2,497,0,9,506,0
18,244,97,56,1,2,0,2,2,2,3,3,2,3,4,421,0,12,433,0
19,143,424,3,2,1,1,1,2,2,5,2,1,7,8,602,0,5,607,0
20,192,274,23,3,8,0,0,2,0,4,0,1,7,8,522,0,10,532,0
21,240,219,7,3,0,0,0,0,1,2,3,2,1,2,480,0,7,487,0
22,139,219,111,1,6,2,2,1,0,2,1,3,9,6,502,0,7,509,0
23,132,142,7,0,1,1,0,0,0,0,0,1,1,3,288,0,4,292,0
24,154,402,25,5,0,3,1,2,0,3,5,4,7,9,620,0,12,632,0
25,216,196,8,4,2,0,0,5,2,1,2,5,6,2,449,0,6,455,0
26,258,378,45,1,4,0,2,2,2,1,0,0,1,6,700,0,10,710,0
27,109,95,5,1,8,2,0,1,1,2,2,5,6,2,239,0,2,241,0
28,158,319,17,2,3,2,1,0,2,4,1,0,2,2,513,0,4,517,0
29,196,160,8,4,34,0,4,3,2,2,1,2,3,9,428,0,8,436,0
30,135,465,2,3,1,0,1,1,1,3,2,0,4,0,618,0,8,626,0
31,125,354,45,1,1,0,1,4,2,1,1,1,3,6,545,0,8,553,0
32,225,342,67,4,1,2,1,2,1,6,4,2,6,2,665,0,10,675,0
33,207,535,28,1,6,0,0,2,0,0,1,4,4,5,793,0,10,803,0
34,204,244,95,4,1,2,0,3,0,4,3,1,3,0,564,0,15,579,0
35,292,536,21,2,1,1,1,1,2,1,2,2,1,3,866,0,6,872,0
36,182,112,8,1,2,0,1,2,2,5,2,3,2,8,330,0,13,343,0
37,372,192,5,4,4,1,1,0,3,2,1,4,9,9,607,0,7,614,0
38,161,163,50,3,2,0,0,0,0,0,0,0,1,0,380,0,1,381,0
39,201,305,37,4,3,1,0,4,23,2,0,3,3,5,591,0,6,597,0
40,278,240,13,2,1,0,1,0,0,2,2,1,3,3,546,0,7,553,0
41,273,113,21,1,2,0,2,1,0,4,1,2,4,4,428,0,16,444,0
42,355,140,31,1,0,2,1,0,0,1,1,1,1,2,536,0,17,553,0
43,95,63,4,0,2,0,0,0,0,0,3,1,4,3,175,0,8,183,0
44,405,191,16,1,1,1,0,1,19,1,0,6,1,4,647,0,10,657,0
45,285,87,4,2,26,0,0,2,0,0,2,0,3,4,415,0,7,422,0
46,456,263,10,1,38,0,0,2,1,5,3,2,6,7,794,0,18,812,0
47,184,506,10,3,11,2,2,2,1,0,2,0,3,5,731,0,26,757,0
48,326,220,5,1,1,1,1,4,1,9,3,2,7,9,590,0,17,607,0
49,335,305,10,1,2,1,1,5,2,0,0,2,5,14,683,0,17,700,0
50,298,24,6,0,2,1,0,0,1,1,0,0,1,2,336,0,4,340,0
51,347,186,12,0,6,1,0,2,6,0,1,0,3,8,572,0,8,580,0
52,296,203,87,3,16,1,1,1,0,5,2,2,1,6,624,0,9,633,0
53,261,116,5,0,23,0,0,0,1,2,3,1,3,4,419,0,9,428,0
54,231,105,25,2,8,1,1,2,0,2,2,1,1,5,386,0,9,395,0
55,360,159,40,3,8,1,0,7,1,4,0,2,8,2,595,0,6,601,0
56,306,105,6,0,18,0,0,1,1,4,0,3,4,3,451,0,5,456,0
57,287,189,40,1,16,0,0,1,2,5,1,0,4,4,550,0,5,555,0
58,342,151,44,0,3,0,2,2,0,5,1,2,1,9,562,0,16,578,0
59,263,224,3,1,2,0,0,0,1,2,2,1,1,1,501,0,5,506,0
60,321,437,13,1,2,0,2,1,1,1,0,0,2,3,784,0,6,790,0
61,376,351,6,3,1,1,0,1,1,1,0,0,2,2,745,0,6,751,0
62,276,249,9,1,0,1,0,2,0,1,3,0,4,6,552,0,11,563,0
63,127,145,9,2,2,0,0,2,0,1,0,0,1,3,292,0,4,296,0
64,249,351,12,0,4,0,0,1,2,3,5,1,8,5,641,0,10,651,0
65,299,220,12,1,1,1,1,0,2,2,0,3,6,5,553,0,13,566,0
66,127,380,14,1,2,0,0,0,0,0,0,0,2,5,531,0,9,540,0
67,222,221,6,1,1,0,1,4,0,0,1,1,2,1,461,0,12,473,0
68,290,143,11,0,0,0,0,1,0,1,1,3,1,4,455,0,12,467,0
69,118,365,44,1,1,2,0,2,4,1,3,1,5,6,553,0,11,564,0
70,518,198,6,0,3,0,1,1,2,2,0,1,2,2,736,0,15,751,0
71,464,78,0,0,1,0,4,2,12,6,0,0,3,3,573,0,4,577,0
72,341,245,8,4,6,1,0,5,1,2,3,2,5,5,628,0,12,640,0
73,633,243,18,1,4,0,1,3,0,1,0,0,6,1,911,0,6,917,0
74,371,206,7,0,1,1,1,1,0,0,1,1,0,3,593,0,1,594,0
75,406,44,0,2,0,0,0,0,0,0,0,1,0,0,453,0,3,456,0
76,269,196,5,3,3,0,1,1,1,1,0,1,6,5,492,0,12,504,0
77,75,227,155,2,14,0,1,0,0,0,2,1,3,3,483,0,2,485,0
78,302,74,2,0,3,0,1,0,0,2,0,1,1,4,390,0,11,401,0
79,211,80,11,0,2,0,0,1,1,4,0,1,1,2,314,0,3,317,0
80,198,152,40,1,0,0,0,0,2,0,1,3,2,6,405,0,7,412,0
81,331,77,2,0,4,0,1,1,1,1,3,1,1,0,423,0,9,432,0
82,139,148,14,1,7,0,1,1,1,2,0,1,2,1,318,0,3,321,0
83,298,242,37,2,1,0,2,0,0,0,1,2,5,0,590,0,9,599,0
84,569,246,5,1,1,0,0,2,2,4,0,2,2,6,840,0,8,848,0
85,192,124,22,1,1,0,0,3,1,8,0,0,4,8,364,0,16,380,0
86,361,158,7,0,5,0,1,2,11,1,1,1,1,5,554,0,8,562,0
87,302,119,10,0,4,0,0,1,0,1,0,1,3,2,443,0,3,446,0
88,346,124,24,2,22,0,1,2,1,6,4,2,3,2,539,0,12,551,0
89,375,37,3,0,18,0,0,0,0,0,1,0,0,0,434,0,5,439,0
90,437,107,11,0,5,0,0,2,0,1,2,0,0,5,570,0,12,582,0
91,306,195,35,1,3,2,0,0,3,1,1,1,0,2,550,0,6,556,0
92,321,86,6,2,6,0,0,0,4,2,2,2,3,3,437,0,7,444,0
93,384,221,5,1,6,0,0,1,2,4,2,0,1,1,628,0,13,641,0
94,406,96,7,1,5,0,1,1,1,2,1,1,4,1,527,0,10,537,0
95,152,210,53,4,4,1,0,1,0,5,1,1,8,6,446,0,9,455,0
96,181,89,3,1,0,0,0,0,0,0,0,4,5,4,287,0,6,293,0
97,204,106,27,2,2,1,0,1,0,0,0,0,0,1,344,0,6,350,0
98,303,25,5,0,2,0,0,0,0,1,2,0,0,1,339,0,14,353,0
99,414,260,23,0,0,0,2,0,5,6,0,1,3,7,721,0,7,728,0
100,460,72,6,0,0,1,0,0,1,1,1,0,1,6,549,0,5,554,0
101,236,232,9,0,2,0,1,2,1,0,1,1,1,4,490,0,0,490,0
102,240,66,5,1,5,1,2,0,0,2,1,1,1,0,325,0,7,332,0
103,175,358,6,2,2,0,1,1,0,0,0,1,3,1,550,0,3,553,0
104,354,423,5,2,2,0,1,1,1,1,1,1,4,2,798,0,8,806,0
105,113,316,13,2,0,0,2,2,1,5,2,1,3,8,468,0,8,476,0
106,367,104,3,4,1,1,2,3,4,7,4,3,6,2,511,0,15,526,0
107,506,192,21,1,16,0,0,2,1,8,2,4,4,10,767,0,27,794,0
108,216,352,6,2,2,3,1,2,1,4,0,3,6,4,602,0,17,619,0
109,442,214,5,0,2,0,1,4,0,0,5,1,2,2,678,0,17,695,0
110,247,293,67,2,0,0,1,0,0,0,1,1,8,7,627,0,16,643,0
111,227,82,5,1,7,0,0,0,4,1,0,2,1,1,331,0,6,337,0
112,184,116,8,0,3,1,0,1,1,2,0,0,1,1,318,0,5,323,0
113,275,364,11,0,2,1,0,1,4,8,2,0,3,2,673,0,6,679,0
114,248,490,19,3,3,0,0,0,2,1,4,0,2,5,777,0,7,784,0
115,369,93,7,0,1,1,1,0,1,6,2,1,3,4,489,0,0,489,0
