Number of Valid Votes Cast in Favour of,,,,,,,,,,,,,,,,,,,
Serial No. of Polling Station,Chaudhary Haribhai Parthibhai Patel Joitabhai Kasnabhai Mahant Parsotamgiri Turantgiri Choudhary Adambhai Nasirbhai Sanjaykumar Somnathbhai Raval Gamar Vadhabhai Radhabhai Thakor Bhupataji Ravaji Dabhi Navajibhai Madhabhai Babaji Thakor Mahendrabhai Kesarabhai Bumbadia Madhu Nirupaben Natvarlal Shrimali Ashokbhai Balchndbhai Solanki Dineshkumar Aljibhai Solanki Saybabhai Nanabhai,,,,,,,,,,,,,,Total of valid votes,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,265,74,4,0,0,0,0,0,0,2,1,2,2,2,352,0,6,358,0
2,90,135,4,0,0,0,0,2,0,1,1,2,1,4,240,0,17,257,0
3,55,419,11,3,2,0,0,1,0,2,1,3,3,8,508,0,13,521,0
4,221,47,3,0,0,1,0,1,0,4,3,1,1,2,284,0,9,293,0
5,291,377,11,0,1,0,0,2,0,4,3,4,5,5,703,0,11,714,0
6,39,66,4,1,0,0,0,0,0,2,2,1,0,0,115,0,6,121,0
7,322,310,15,3,3,2,3,1,1,11,2,5,6,9,693,0,19,712,0
8,201,168,2,0,0,0,1,2,1,0,1,2,0,2,380,0,15,395,0
9,344,156,5,1,4,0,0,0,0,0,0,1,0,1,512,0,10,522,0
10,311,132,5,1,0,0,0,0,0,0,2,0,4,9,464,0,25,489,0
11,39,22,0,1,0,0,0,0,0,0,0,0,2,0,64,0,3,67,0
12,62,11,0,0,0,0,0,0,0,1,0,1,1,0,76,0,1,77,0
13,93,72,6,1,0,0,0,2,0,1,3,1,1,4,184,0,12,196,0
14,101,367,11,1,1,0,0,3,0,1,2,1,7,7,502,0,17,519,0
15,199,99,3,1,0,0,3,0,1,6,1,5,4,6,328,0,20,348,0
16,77,91,5,0,0,1,2,3,0,3,0,1,0,2,185,0,6,191,0
17,300,90,5,2,1,0,1,4,1,3,1,4,5,6,423,0,20,443,0
18,105,176,6,1,0,0,1,0,0,0,0,0,0,2,291,0,4,295,0
19,285,30,1,0,0,0,1,2,0,3,1,0,2,4,329,0,5,334,0
20,272,113,9,0,1,0,1,1,3,2,3,5,6,5,421,0,28,449,0
21,326,207,5,2,1,2,1,3,1,3,1,3,5,3,563,0,9,572,0
22,154,111,6,0,5,0,0,0,0,1,0,1,0,1,279,0,5,284,0
23,164,42,4,0,4,1,0,0,0,2,0,0,1,5,223,0,11,234,0
24,230,86,2,2,3,0,0,1,0,0,0,0,2,0,326,0,4,330,0
25,148,53,0,0,1,0,0,0,0,2,0,0,1,1,206,0,7,213,0
26,257,251,10,1,4,0,1,0,1,0,2,0,0,7,534,0,7,541,0
27,118,44,4,2,1,0,1,0,0,0,1,0,2,2,175,0,2,177,0
28,144,190,5,1,5,0,0,1,0,2,2,3,5,3,361,0,6,367,0
29,126,291,2,2,4,1,0,0,0,0,0,0,5,5,436,0,5,441,0
30,183,150,6,0,3,0,0,0,0,1,0,0,1,4,348,0,3,351,0
31,212,93,5,1,1,0,0,0,6,0,1,0,0,2,321,0,0,321,0
32,234,377,6,2,4,0,1,1,2,5,3,5,5,7,652,0,20,672,0
33,174,188,8,1,0,0,1,2,1,2,3,4,4,9,397,0,15,412,0
34,407,369,10,3,1,1,0,5,4,5,3,4,14,4,830,0,27,857,0
35,311,235,4,2,0,1,1,0,0,4,2,3,2,8,573,0,24,597,0
