No. & Polling Station,,,,,,,,,,,,,,,,total,No. of Rejected Votes,Total,Number of tendered votes
,Parmar Maganbhai Amarabhai,Rathod Bhavsinhbhai Dahyabhai,Liladharbhai Khodaji Vaghela,Govindji Okhaji Thakor,Jakasiji Jogaji Thakor,Parmar Bhaichandbhai Somabhai,Babubhai Karshanbhai Rabari,Imrankhan Mahmadkhan Nagori,Chhaganbhai Naranbhai Prajapati,Jagrala Imran Mahemud,Desai Ishwarbhai Mahadevbhai,Bhoraniya Soyabbhai Hasambhai,Molapiya Abdulkudus Abdulmajid,Vaghda Jivabhai Devabhai,None Of The Above,,,,
1,7,204,211,1,0,0,1,1,0,0,0,0,3,7,4,439,0,439,0
2,16,312,57,6,1,0,0,0,1,2,0,4,3,4,11,417,0,417,0
3,30,522,153,6,2,0,3,6,1,6,5,6,10,11,61,822,0,822,0
4,4,111,180,3,0,3,0,1,1,1,1,1,3,0,5,314,0,314,0
5,1,48,122,3,0,1,1,0,0,0,1,1,1,3,3,185,0,185,0
6,4,236,312,0,0,0,0,1,1,2,2,1,1,1,7,568,0,568,0
7,15,314,174,1,1,1,1,2,1,2,1,1,1,5,9,529,0,529,0
8,5,159,298,6,1,0,1,2,1,2,2,0,1,2,2,482,0,482,0
9,5,218,328,2,0,0,0,0,3,1,0,1,3,6,16,583,0,583,0
10,5,180,203,1,0,3,0,0,0,1,0,0,1,3,2,399,0,399,0
11,4,185,116,3,2,2,0,0,0,1,0,0,3,7,8,331,0,331,0
12,4,117,82,0,0,0,1,0,0,0,0,0,0,5,2,211,0,211,0
13,4,234,364,1,0,0,2,0,0,0,0,1,1,4,6,617,0,617,0
14,4,235,481,6,0,2,0,0,2,0,1,0,1,3,6,741,0,741,0
,108,3075,3081,39,7,12,10,13,11,18,13,16,32,61,142,6638,0,6638,0
15,4,373,17,0,0,0,0,2,1,2,1,1,0,5,1,407,0,407,0
16,5,177,495,1,1,1,0,1,1,1,0,1,5,8,2,699,0,699,0
17,4,390,235,1,4,0,1,1,0,1,0,3,0,3,3,646,0,646,0
18,4,184,493,6,2,0,0,2,1,1,0,0,3,1,3,700,0,700,0
19,2,383,327,1,2,0,0,1,1,2,0,0,4,1,6,730,0,730,0
20,3,80,505,0,0,0,0,1,7,0,0,0,1,2,2,601,0,601,0
21,1,99,219,2,1,0,0,0,1,0,0,2,3,1,9,338,0,338,0
22,4,335,236,4,0,1,0,2,0,4,2,1,1,5,5,600,0,600,0
23,3,64,436,4,3,0,0,1,4,2,1,4,5,4,4,535,0,535,0
24,2,172,310,1,1,0,1,1,3,2,1,1,3,3,2,503,0,503,0
25,3,83,423,2,0,1,0,1,0,0,0,0,1,1,6,521,0,521,0
26,4,227,285,4,1,0,0,0,1,0,1,1,1,4,6,535,0,535,0
27,0,104,473,2,0,1,0,0,0,1,1,0,1,1,3,587,0,587,0
28,3,56,717,3,0,0,1,0,1,1,0,0,2,3,3,790,0,790,0
,42,2727,5171,31,15,4,3,13,21,17,7,14,30,42,55,8192,0,8192,0
29,3,135,436,3,0,0,1,1,1,1,0,2,1,2,3,589,0,589,0
30,6,185,532,1,1,1,0,1,0,2,0,1,3,4,8,745,0,745,0
31,4,120,479,4,1,0,1,0,2,1,1,0,5,2,7,627,0,627,0
32,2,167,473,3,1,0,0,0,0,1,1,0,2,8,8,666,0,666,0
33,5,112,584,2,0,0,1,0,3,0,2,2,2,0,7,720,0,720,0
34,5,680,32,1,1,0,1,0,0,0,0,1,0,3,4,728,0,728,0
35,1,782,22,0,0,0,0,0,0,0,0,0,0,1,2,808,0,808,0
36,5,722,58,2,0,0,0,0,2,0,0,1,0,6,12,808,0,808,0
37,4,577,151,2,0,0,2,1,1,0,1,0,3,4,10,756,0,756,0
38,11,251,205,3,0,0,0,0,1,2,1,1,4,16,13,508,0,508,0
39,4,357,74,1,2,1,0,0,1,2,0,0,1,4,4,451,0,451,0
40,5,67,345,0,0,0,0,0,1,0,2,1,3,4,6,434,0,434,0
41,6,79,350,2,0,1,1,0,0,0,1,0,0,1,0,441,0,441,0
42,3,475,54,1,0,0,0,1,0,0,0,1,1,0,5,541,0,541,0
,64,4709,3795,25,6,3,7,4,12,9,9,10,25,55,89,8822,0,8822,0
43,3,494,32,1,2,0,1,0,0,0,1,1,0,0,3,538,0,538,0
44,5,215,167,1,1,1,0,0,2,0,1,0,0,3,4,400,0,400,0
45,11,97,532,2,0,0,0,1,2,0,0,1,2,5,11,664,0,664,0
46,5,101,435,4,1,0,0,0,1,1,1,0,0,4,4,557,0,557,0
47,3,170,433,2,0,0,1,2,2,2,1,1,0,4,4,625,0,625,0
48,1,60,555,2,0,0,0,2,0,1,0,1,1,0,3,626,0,626,0
49,2,91,486,2,2,0,0,3,0,0,0,0,0,2,4,592,0,592,0
50,3,409,282,4,0,0,1,0,1,0,0,0,2,2,1,705,0,705,0
51,5,389,140,0,0,0,2,0,1,2,1,0,1,1,4,546,0,546,0
52,2,158,405,2,1,0,0,1,4,2,1,1,3,1,2,583,0,583,0
53,3,99,263,2,2,0,1,1,0,1,0,1,1,0,5,379,0,379,0
54,7,186,503,3,0,0,0,1,1,0,0,0,8,4,10,723,0,723,0
55,4,408,41,0,0,0,1,1,0,0,0,0,0,0,6,461,0,461,0
56,3,377,122,8,0,0,0,1,2,0,1,0,4,6,6,530,0,530,0
,57,3254,4396,33,9,1,7,13,16,9,7,6,22,32,67,7929,0,7929,0
57,5,302,141,6,1,0,0,0,1,1,0,1,1,3,10,472,0,472,0
58,4,467,50,0,1,0,0,1,0,0,0,1,2,2,7,535,0,535,0
59,3,135,544,4,1,1,0,2,1,1,0,1,3,4,8,708,0,708,0
60,2,407,49,0,0,0,1,0,2,0,0,2,4,3,7,477,0,477,0
61,3,508,95,1,0,0,0,1,1,0,1,0,1,0,3,614,0,614,0
62,0,594,65,0,0,1,0,2,0,0,0,0,1,0,6,669,0,669,0
63,1,515,24,0,0,0,0,1,0,0,0,0,1,1,4,547,0,547,0
64,1,416,43,0,0,0,1,1,0,2,0,0,1,1,4,470,0,470,0
65,1,303,217,0,0,1,0,2,3,1,1,1,2,2,5,539,0,539,0
66,3,542,86,1,0,2,0,1,2,0,1,1,0,1,3,643,0,643,0
67,4,463,110,2,3,0,0,3,2,2,0,1,0,1,6,597,0,597,0
68,4,220,454,8,3,1,1,0,2,0,2,3,4,3,6,711,0,711,0
69,3,452,144,1,0,0,0,0,1,0,0,2,1,2,4,610,0,610,0
70,5,264,220,4,1,1,0,0,1,3,0,1,2,3,4,509,0,509,0
,39,5588,2242,27,10,7,3,14,16,10,5,14,23,26,77,8101,0,8101,0
71,2,476,129,2,1,0,0,2,0,0,0,0,3,3,7,625,0,625,0
72,1,103,386,5,1,2,1,0,2,2,0,2,4,6,12,527,0,527,0
73,13,188,232,3,1,0,1,0,1,3,0,0,3,3,1,449,0,449,0
74,5,36,432,4,0,0,0,0,2,1,0,2,2,4,0,488,0,488,0
75,4,63,456,4,2,1,0,1,2,1,0,4,6,4,9,557,0,557,0
76,7,134,447,3,0,1,0,1,6,3,1,1,2,1,2,609,0,609,0
77,3,180,443,8,3,1,1,2,2,1,4,2,7,4,4,665,0,665,0
78,7,213,291,3,0,1,0,0,2,0,1,1,4,8,9,540,0,540,0
79,1,56,198,3,1,0,0,0,0,0,0,0,4,2,1,266,0,266,0
80,4,129,517,4,0,1,0,1,3,6,4,2,4,5,8,688,0,688,0
81,11,332,395,0,1,0,1,1,2,0,1,5,1,8,8,766,0,766,0
82,2,186,532,7,1,1,2,2,6,1,10,3,8,12,27,800,0,800,0
83,4,226,310,4,0,1,0,0,1,0,1,3,2,9,11,572,0,572,0
84,4,81,155,2,0,0,0,1,0,1,1,0,1,6,4,256,0,256,0
,68,2403,4923,52,11,9,6,11,29,19,23,25,51,75,103,7808,0,7808,0
85,6,237,78,4,0,0,1,3,1,0,3,1,6,2,9,351,0,351,0
86,10,48,211,5,2,1,1,1,2,2,3,1,5,4,1,297,0,297,0
87,6,115,364,4,1,0,0,0,2,2,1,2,12,4,6,519,0,519,0
88,4,262,61,0,0,0,0,0,1,0,0,0,2,3,6,339,0,339,0
89,8,331,151,4,1,1,1,1,0,1,0,1,3,3,3,509,0,509,0
90,3,363,150,1,0,0,0,3,0,0,0,0,2,3,3,528,0,528,0
91,4,349,153,2,1,1,1,2,1,2,1,0,1,2,3,523,0,523,0
92,0,417,45,0,0,0,0,0,0,2,0,1,1,3,2,471,0,471,0
93,9,360,369,11,5,3,2,0,2,3,0,4,5,5,9,787,0,787,0
94,4,73,167,3,0,0,0,0,1,1,1,0,1,3,1,255,0,255,0
95,0,114,221,4,0,0,0,1,0,0,1,0,2,6,6,355,0,355,0
96,2,139,254,6,0,0,0,1,0,1,1,2,0,2,7,415,0,415,0
97,0,152,198,1,0,0,0,0,0,0,0,0,2,1,0,354,0,354,0
98,4,160,301,7,0,1,0,0,0,1,1,1,1,1,3,481,0,481,0
,60,3120,2723,52,10,7,6,12,10,15,12,13,43,42,59,6184,0,6184,0
99,0,293,43,1,0,0,0,0,0,0,0,0,0,0,0,337,0,337,0
100,14,328,252,5,0,0,0,3,5,4,0,2,4,7,3,627,0,627,0
101,2,193,297,4,10,0,0,0,0,1,0,1,1,2,4,515,0,515,0
102,7,168,333,4,8,0,0,0,5,1,0,0,8,8,3,545,0,545,0
103,2,595,53,1,0,1,0,1,0,1,2,0,1,3,7,667,0,667,0
104,5,221,282,5,1,2,0,0,0,1,0,3,3,4,1,528,0,528,0
105,5,182,253,2,0,1,0,0,1,1,1,1,5,5,9,466,0,466,0
106,1,23,107,1,0,0,0,0,0,0,0,4,2,0,1,139,0,139,0
107,4,157,442,5,0,0,0,4,1,0,2,1,6,5,7,634,0,634,0
108,3,233,63,1,1,0,3,0,0,0,0,1,0,2,2,309,0,309,0
109,6,463,54,1,0,0,0,1,0,1,1,0,1,1,3,532,0,532,0
110,2,67,216,1,0,0,0,0,3,0,3,0,5,4,5,306,0,306,0
111,4,123,283,6,1,0,0,0,1,0,2,3,3,3,7,436,0,436,0
112,3,185,336,4,1,0,0,1,2,0,2,2,3,9,18,566,0,566,0
,58,3231,3014,41,22,4,3,10,18,10,13,18,42,53,70,6607,0,6607,0
113,2,22,50,1,0,0,0,0,0,0,1,0,1,1,0,78,0,78,0
114,7,119,480,3,2,0,0,3,4,0,2,1,1,3,7,632,0,632,0
115,3,316,158,4,1,1,0,1,0,3,0,1,0,4,9,501,0,501,0
116,5,269,284,4,2,1,0,1,4,4,1,2,4,5,2,588,0,588,0
117,1,110,371,1,0,0,0,1,1,2,0,3,1,6,2,499,0,499,0
118,5,272,294,4,0,0,0,1,3,3,2,2,3,2,4,595,0,595,0
119,7,237,330,1,1,0,0,1,2,1,2,1,4,9,15,611,0,611,0
120,3,108,496,1,0,0,0,1,2,0,0,1,3,0,7,622,0,622,0
121,8,300,149,3,0,0,0,1,1,1,0,2,4,3,4,476,0,476,0
122,1,125,442,2,0,0,0,0,5,1,1,0,1,2,5,585,0,585,0
123,1,155,478,2,0,1,1,1,3,1,1,2,11,7,11,675,0,675,0
124,1,102,371,2,0,0,0,1,0,1,0,1,0,1,2,482,0,482,0
125,12,210,393,2,1,1,2,1,0,0,0,0,1,0,3,626,0,626,0
126,6,302,238,3,1,0,0,1,1,1,1,1,2,7,6,570,0,570,0
,62,2647,4534,33,8,4,3,14,26,18,11,17,36,50,77,7540,0,7540,0
127,4,82,585,4,0,1,0,0,2,3,0,0,6,3,3,693,0,693,0
128,2,289,67,0,0,0,0,1,0,0,0,0,3,2,1,365,0,365,0
129,3,359,125,0,1,0,0,2,2,0,0,0,1,0,0,493,0,493,0
130,5,360,311,0,0,0,0,2,0,0,2,0,0,2,5,687,0,687,0
131,1,296,200,4,2,0,0,0,0,1,0,2,2,2,4,514,0,514,0
132,5,317,87,1,0,0,0,0,0,0,0,0,1,2,1,414,0,414,0
133,1,493,16,0,0,0,0,0,0,0,0,0,0,0,2,512,0,512,0
134,5,425,173,0,0,0,3,0,0,1,1,1,0,4,4,617,0,617,0
135,5,268,130,2,0,0,0,0,0,0,1,1,1,4,3,415,0,415,0
136,11,272,190,2,3,0,1,1,0,0,0,1,2,5,5,493,0,493,0
137,3,277,164,3,0,0,0,3,0,0,1,0,0,2,1,454,0,454,0
138,2,59,671,3,0,1,0,1,2,0,0,1,8,5,7,760,0,760,0
139,4,184,474,5,0,0,0,0,3,2,0,4,3,5,4,688,0,688,0
140,4,481,262,1,0,0,0,1,1,1,0,2,6,6,8,773,0,773,0
,55,4162,3455,25,6,2,4,11,10,8,5,12,33,42,48,7878,0,7878,0
