Serial No. of Polling Station,Number of Valid Votes Cast in Favour of,,,,,,,,,,,,,,Total of valid votes,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
,Chaudhary Haribhai Parthibhai,Patel Joitabhai Kasnabhai,Mahant Parsotamgiri Turantgiri,Choudhary Adambhai Nasirbhai,Sanjaykumar Somnathbhai Raval,Gamar Vadhabhai Radhabhai,Thakor Bhupataji Ravaji,Dabhi Navajibhai Madhabhai,Babaji Thakor,Mahendrabhai Kesarabhai Bumbadia,Madhu Nirupaben Natvarlal,Shrimali Ashokbhai Balchndbhai,Solanki Dineshkumar Aljibhai,Solanki Saybabhai Nanabhai,,,,,
1,236,183,6,2,2,1,4,3,13,3,3,4,7,3,470,0,11,481,0
2,519,62,5,1,1,0,10,1,7,7,3,7,2,2,627,0,4,631,0
3,232,138,5,0,5,0,2,2,27,3,1,4,2,2,423,0,10,433,0
4,296,64,3,1,3,0,0,0,2,1,1,3,5,3,382,0,14,396,0
5,226,79,5,0,1,0,4,0,82,1,1,1,0,6,406,0,3,409,0
6,258,50,2,4,0,0,8,0,45,2,2,2,4,2,379,0,10,389,0
7,93,96,6,0,6,2,0,0,1,2,2,3,4,2,217,0,5,222,0
8,328,42,1,2,3,0,2,0,7,8,4,2,3,4,406,0,10,416,0
9,323,202,11,1,2,0,1,3,1,3,3,0,3,3,556,0,14,570,0
10,283,44,2,0,1,0,0,3,12,0,0,0,1,1,347,0,1,348,0
11,90,191,5,1,2,0,1,0,1,0,0,2,0,0,293,0,5,298,0
12,544,133,4,0,0,0,0,3,1,5,0,0,1,6,697,0,10,707,0
13,122,76,0,1,1,0,0,2,1,1,0,0,1,1,206,0,2,208,0
14,158,26,3,0,3,0,5,0,0,2,1,0,2,9,209,0,3,212,0
15,127,65,4,0,1,0,0,1,0,0,0,0,0,2,200,0,5,205,0
16,159,147,5,0,13,0,0,1,4,3,1,2,6,6,347,0,12,359,0
17,100,128,43,0,1,0,1,0,12,3,1,3,2,4,298,0,14,312,0
18,325,84,2,0,0,0,0,2,3,2,0,2,3,5,428,0,16,444,0
19,137,230,28,3,16,1,3,1,9,1,1,3,6,2,441,0,8,449,0
20,162,34,2,0,3,1,1,1,113,4,2,1,1,5,330,0,4,334,0
21,249,63,2,1,1,0,0,0,39,2,1,1,0,4,363,0,11,374,0
22,471,148,3,3,6,1,0,1,4,1,0,0,7,1,646,0,7,653,0
23,407,73,7,1,5,1,3,3,3,4,0,2,1,2,512,0,7,519,0
24,333,210,20,2,4,0,3,3,11,3,2,2,7,6,606,0,13,619,0
25,350,66,4,0,0,0,1,0,1,1,0,1,0,2,426,0,5,431,0
26,207,217,14,2,4,0,0,2,1,6,2,1,6,4,466,0,11,477,0
27,644,62,2,0,1,0,0,0,3,2,0,0,2,2,718,0,7,725,0
28,427,320,7,1,1,1,1,5,0,3,0,2,4,6,778,0,14,792,0
29,260,219,8,1,1,1,0,2,0,2,0,2,2,6,504,0,2,506,0
30,65,254,16,0,5,0,0,3,0,2,1,1,1,4,352,0,3,355,0
31,202,157,5,0,21,2,0,2,0,2,0,1,1,2,395,0,3,398,0
32,221,155,48,3,11,0,0,5,0,1,0,2,6,4,456,0,10,466,0
33,347,148,1,1,1,0,0,0,2,0,0,1,5,3,509,0,2,511,0
34,342,105,6,0,0,0,1,1,0,1,1,0,5,4,466,0,6,472,0
35,176,125,2,0,0,0,1,0,0,2,0,1,3,5,315,0,16,331,0
36,302,44,5,0,0,1,0,4,0,0,0,1,2,4,363,0,7,370,0
37,403,161,8,0,5,0,1,2,10,6,0,3,2,6,607,0,23,630,0
38,181,89,2,0,6,0,0,0,0,2,1,2,2,2,287,0,0,287,0
39,214,11,3,0,1,1,0,0,0,0,1,1,0,1,233,0,4,237,0
40,120,44,1,0,0,0,0,0,3,1,0,0,2,4,175,0,3,178,0
41,78,47,1,1,1,0,0,1,0,1,0,2,0,0,132,0,2,134,0
