Serial No. of Polling Station,,,,,,,,,,,,,,,valid,No. of Rejected Votes,NOTA,Total,Total No. of tendered votes
,Chaudhary Haribhai Parthibhai,Patel Joitabhai Kasnabhai,Mahant Parsotamgiri Turantgiri,Choudhary Adambhai Nasirbhai,Sanjaykumar Somnathbhai Raval,Gamar Vadhabhai Radhabhai,Thakor Bhupataji Ravaji,Dabhi Navajibhai Madhabhai,Babaji Thakor,Mahendrabhai Kesarabhai Bumbadia,Madhu Nirupaben Natvarlal,Shrimali Ashokbhai Balchndbhai,Solanki Dineshkumar Aljibhai,Solanki Saybabhai Nanabhai,,,,,
1,429,130,2,2,1,1,3,1,3,3,3,0,5,4,587,0,11,598,0
2,534,54,2,0,4,0,1,3,16,1,1,1,0,4,621,0,6,627,0
3,382,92,8,0,0,0,4,3,85,1,3,2,5,5,590,0,14,604,0
4,298,135,3,1,2,0,0,1,84,0,0,3,1,6,534,0,8,542,0
5,272,97,2,1,0,1,0,2,7,3,1,0,0,1,387,0,3,390,0
6,192,191,14,2,8,2,1,1,9,2,2,0,1,2,427,0,8,435,0
7,273,104,4,11,8,0,3,3,154,3,2,2,4,8,579,0,10,589,0
8,206,43,2,0,0,0,2,0,51,1,1,0,1,2,309,0,6,315,0
9,126,42,0,4,0,0,2,2,32,1,1,0,4,5,219,0,5,224,0
10,304,128,4,2,1,2,4,1,24,2,1,1,1,6,481,0,14,495,0
11,153,147,3,0,5,0,1,0,0,0,0,1,1,2,313,0,2,315,0
12,260,159,7,1,3,0,1,0,3,1,2,0,1,2,440,0,5,445,0
13,505,232,5,0,1,1,0,0,1,1,1,2,3,5,757,0,4,761,0
14,313,66,1,1,0,1,1,1,0,0,0,1,2,0,387,0,4,391,0
15,195,139,1,0,0,0,0,2,2,0,0,0,4,4,347,0,5,352,0
16,416,208,7,2,12,0,1,5,68,2,0,2,2,7,732,0,6,738,0
17,361,223,4,0,8,1,2,3,29,3,0,2,3,6,645,0,9,654,0
18,421,77,2,1,1,3,1,2,4,1,2,4,5,2,526,0,4,530,0
19,432,113,5,2,2,0,0,1,1,5,3,2,6,3,575,0,8,583,0
20,239,35,1,1,0,0,1,1,33,2,1,1,1,2,318,0,8,326,0
21,183,144,4,3,9,0,0,1,0,0,0,0,0,0,344,0,1,345,0
22,173,99,5,5,2,1,1,0,2,1,0,1,0,1,291,0,6,297,0
23,460,103,9,4,5,1,0,1,2,0,1,0,1,1,588,0,2,590,0
24,128,117,2,1,1,0,0,1,1,1,2,2,2,1,259,0,2,261,
25,206,162,1,0,0,0,0,1,2,1,0,0,1,1,375,0,2,377,0
26,119,147,5,3,1,1,0,0,0,20,1,1,1,3,302,0,5,307,0
27,83,136,1,0,1,1,0,1,3,1,0,0,0,1,228,0,3,231,0
28,141,99,2,1,0,0,0,2,9,2,0,0,0,5,261,0,5,266,0
29,387,149,6,0,0,0,3,3,20,2,2,0,2,2,576,0,6,582,0
30,316,82,6,2,5,0,3,1,23,0,1,0,1,4,444,0,9,453,0
31,329,104,1,0,1,0,0,1,4,3,1,2,1,1,448,0,6,454,0
32,305,60,5,1,0,0,1,0,0,2,0,3,3,1,381,0,8,389,0
33,241,99,6,1,2,0,2,1,41,2,3,3,4,4,409,0,7,416,0
34,240,27,1,0,1,0,0,1,0,1,1,0,1,0,273,0,0,273,0
35,365,104,2,3,6,1,0,6,1,0,0,2,3,0,493,0,12,505,0
36,105,241,6,0,6,0,0,2,1,1,3,3,5,5,378,0,2,380,0
37,341,41,1,0,3,0,3,0,1,1,1,1,0,2,395,0,5,400,0
38,365,65,2,2,1,0,0,2,1,1,1,1,4,5,450,0,6,456,0
39,320,271,10,1,1,0,1,0,2,1,11,2,4,4,628,0,10,638,0
40,145,142,10,0,1,1,0,1,3,2,1,2,0,3,311,0,7,318,0
41,546,123,6,1,0,0,2,2,1,0,0,3,1,2,687,0,5,692,0
42,135,283,7,0,1,0,0,1,0,1,0,0,1,1,430,0,1,431,0
43,305,15,0,0,0,0,1,0,0,0,0,0,0,0,321,0,1,322,0
44,566,66,0,0,1,0,0,1,1,2,0,0,3,3,643,0,2,645,0
45,144,236,8,2,1,0,1,0,54,2,0,1,4,5,458,0,10,468,0
46,200,42,6,2,3,0,2,3,102,1,2,2,2,3,370,0,5,375,0
47,436,85,3,0,0,0,6,1,0,2,1,3,4,3,544,0,5,549,
48,129,162,1,0,20,0,0,0,7,0,2,2,2,1,326,0,4,330,0
49,422,61,5,0,0,1,1,0,6,1,2,0,4,4,507,0,3,510,0
50,342,40,3,0,1,0,1,2,8,0,1,1,1,3,403,0,17,420,0
51,112,149,2,1,0,0,0,2,0,0,0,1,1,1,269,0,3,272,0
52,156,176,4,1,4,0,0,2,0,3,0,0,1,1,348,0,1,349,0
53,469,64,3,1,0,0,1,0,0,4,1,0,0,7,550,0,17,567,0
54,139,69,0,0,0,0,2,2,3,0,1,0,0,0,216,0,3,219,0
55,278,115,2,1,1,0,2,0,1,0,0,1,3,2,406,0,1,407,0
56,184,126,5,1,1,1,1,1,1,0,0,1,5,3,330,0,5,335,0
57,171,199,4,1,0,1,0,1,0,4,0,0,3,4,388,0,4,392,0
58,51,148,2,0,1,0,1,0,1,0,0,0,3,2,209,0,0,209,0
59,303,82,9,1,4,0,0,0,20,0,0,3,0,6,428,0,3,431,0
60,249,204,3,1,1,2,0,1,4,1,2,3,1,4,476,0,10,486,0
61,291,69,1,0,0,0,0,2,2,2,0,0,5,1,373,0,4,377,0
62,461,17,1,0,2,0,1,3,99,5,0,2,0,8,599,0,7,606,0
63,408,13,3,1,1,0,0,2,8,3,1,1,1,2,444,0,9,453,0
64,257,61,3,1,3,0,0,0,1,1,1,1,2,2,333,0,6,339,0
65,404,194,7,1,1,0,0,1,4,1,0,0,0,1,614,0,3,617,0
66,131,179,8,1,0,0,0,3,1,1,2,2,1,0,329,0,5,334,0
67,545,34,2,3,0,0,7,0,10,4,3,1,1,3,613,0,3,616,0
68,198,137,1,1,0,0,0,0,0,1,1,1,0,0,340,0,0,340,0
69,175,146,7,1,0,0,1,0,0,1,0,2,0,0,333,0,0,333,0
70,429,28,1,0,2,0,0,0,5,0,0,0,1,1,467,0,2,469,
71,162,232,2,2,4,0,4,2,4,5,5,3,3,4,432,0,7,439,0
72,118,175,5,0,3,0,0,1,0,0,0,0,3,1,306,0,5,311,0
73,85,73,3,0,0,0,0,0,0,0,0,0,0,1,162,0,2,164,0
74,162,36,2,1,0,0,1,0,4,1,3,0,1,1,212,0,6,218,0
75,117,153,7,0,1,0,2,2,2,1,0,2,2,3,292,0,5,297,0
76,366,20,2,0,0,0,3,1,6,2,0,3,0,1,404,0,8,412,0
77,207,195,2,2,0,0,1,2,0,0,0,2,1,3,415,0,1,416,0
78,71,175,5,0,0,0,0,0,0,0,1,2,4,2,260,0,1,261,0
79,464,67,1,0,1,0,0,0,11,2,1,0,0,4,551,0,1,552,0
80,170,126,3,1,0,0,2,3,0,0,0,2,2,3,312,0,2,314,0
81,281,108,0,0,6,0,0,0,2,0,4,0,2,2,405,0,8,413,0
82,215,145,5,1,5,0,2,1,3,0,0,1,5,4,387,0,7,394,0
83,375,68,2,1,1,0,2,0,0,4,1,0,1,0,455,0,10,465,0
84,131,113,1,0,1,0,0,0,0,0,0,0,0,1,247,0,3,250,0
85,171,197,4,0,0,1,1,1,0,3,0,4,2,1,385,0,4,389,0
86,139,247,3,1,0,1,2,1,3,3,0,0,3,2,405,0,2,407,0
87,210,158,2,0,0,0,4,4,3,2,4,4,1,5,397,0,6,403,0
88,159,162,3,1,0,1,0,1,1,0,1,1,2,2,334,0,6,340,0
89,263,200,5,2,2,0,5,3,2,2,0,0,5,0,489,0,8,497,0
90,484,144,0,1,0,0,1,0,0,2,4,0,5,8,649,0,12,661,0
91,376,84,1,0,0,0,0,0,11,0,0,1,0,1,474,0,2,476,0
92,211,235,4,1,3,0,0,0,8,4,1,1,2,2,472,0,6,478,0
93,539,16,2,0,0,0,0,1,3,2,1,0,0,1,565,0,8,573,
94,386,26,1,0,1,0,0,0,1,0,0,0,1,1,417,0,4,421,0
95,331,114,2,1,9,1,0,0,0,0,0,0,2,5,465,0,5,470,0
96,544,67,4,1,0,0,0,0,0,0,0,0,0,2,618,0,6,624,0
97,522,78,2,0,7,0,1,0,2,1,0,0,0,1,614,0,4,618,0
98,280,139,4,0,3,0,0,0,0,0,0,1,2,1,430,0,4,434,0
99,368,188,1,0,1,1,0,0,14,4,1,3,4,4,589,0,13,602,0
100,149,386,1,0,2,1,0,2,0,1,0,1,0,7,550,0,7,557,0
101,369,31,2,0,2,1,1,0,0,0,0,0,1,1,408,0,3,411,0
102,287,96,0,0,1,0,1,1,4,3,1,0,1,0,395,0,2,397,0
103,500,233,7,2,3,0,3,0,6,1,1,2,2,7,767,0,13,780,0
104,243,242,7,1,3,1,1,2,2,2,1,0,5,5,515,0,8,523,0
