polling station,,,,,,,,,,,,,,,,valid,No. of Rejected Votes,Total,Number of tendered votes
,Parmar Maganbhai Amarabhai,Rathod Bhavsinhbhai Dahyabhai,Liladharbhai Khodaji Vaghela,Govindji Okhaji Thakor,Jakasiji Jogaji Thakor,Parmar Bhaichandbhai Somabhai,Babubhai Karshanbhai Rabari,Imrankhan Mahmadkhan Nagori,Chhaganbhai Naranbhai Prajapati,Jagrala Imran Mahemud,Desai Ishwarbhai Mahadevbhai,Bhoraniya Soyabbhai Hasambhai,Molapiya Abdulkudus Abdulmajid,Vaghda Jivabhai Devabhai,None Of The Above,,,,
1,6,124,622,6,1,0,2,2,0,3,0,2,3,6,9,777,0,786,0
2,7,110,414,8,1,0,2,0,3,2,1,1,3,4,8,556,0,564,0
3,1,141,451,1,0,0,0,0,1,0,0,0,7,5,2,607,0,609,0
4,2,262,405,7,0,1,0,5,3,2,2,3,10,6,12,708,0,720,0
5,6,88,65,1,0,0,0,0,1,1,0,0,1,1,1,164,0,165,0
6,2,46,480,9,0,0,0,0,3,1,0,3,2,4,12,550,0,562,0
7,2,71,230,4,0,0,0,0,3,1,2,0,0,2,3,315,0,318,0
8,2,207,178,2,0,0,7,3,2,2,0,1,3,1,5,408,0,413,0
9,7,226,118,3,1,0,1,1,0,1,0,0,0,5,9,363,0,372,0
10,7,147,341,1,0,2,0,3,3,1,0,0,3,4,4,512,0,516,0
11,3,114,287,2,1,0,0,1,0,0,2,0,2,10,2,422,0,424,0
12,4,98,136,1,2,1,2,0,1,2,1,1,1,4,3,254,0,257,0
13,3,212,115,1,0,1,3,0,0,0,0,0,1,4,1,340,0,341,0
14,7,92,259,3,1,2,0,4,6,5,3,3,5,6,11,396,0,407,0
15,4,64,317,6,1,0,0,1,3,2,1,1,4,3,11,407,0,418,0
16,3,183,353,2,1,0,3,2,3,1,0,4,3,5,7,563,0,570,0
17,8,187,103,4,0,1,6,1,3,2,3,0,0,0,1,318,0,319,0
18,3,73,72,3,0,1,0,1,2,0,0,0,3,5,3,163,0,166,0
19,3,199,253,8,0,0,0,0,2,0,0,2,0,1,4,468,0,472,0
20,3,231,167,6,0,0,1,2,2,2,0,0,3,3,5,420,0,425,0
21,1,33,446,0,0,0,0,1,2,0,2,0,1,15,1,501,0,502,0
22,4,197,140,4,0,0,0,1,1,2,1,1,2,2,0,355,0,355,0
23,8,227,438,2,1,1,4,0,3,3,1,2,4,10,12,704,0,716,0
24,7,222,395,4,0,1,1,0,2,1,3,0,6,5,7,647,0,654,0
25,2,278,280,6,0,0,0,2,1,1,1,0,0,9,4,580,0,584,0
26,7,274,481,4,0,2,0,1,0,0,0,1,3,15,3,788,0,791,0
27,2,254,428,2,0,0,1,2,2,1,0,1,1,2,7,696,0,703,0
28,13,307,268,5,8,2,1,3,4,0,1,0,2,4,5,618,0,623,0
29,11,487,171,7,0,0,0,1,2,1,1,0,0,2,8,683,0,691,0
30,4,139,86,0,0,0,0,0,0,1,0,0,1,0,1,231,0,232,0
31,9,371,273,0,1,0,2,1,0,0,1,1,0,0,5,659,0,664,0
32,9,136,189,2,0,0,82,3,1,3,1,1,1,4,2,432,0,434,0
33,19,363,61,1,0,0,0,1,2,0,0,2,0,7,15,456,0,471,0
34,5,263,36,0,1,0,1,0,1,1,2,0,0,1,3,311,0,314,0
35,5,21,476,0,0,0,1,1,3,0,0,0,1,2,5,510,0,515,0
36,3,13,187,2,1,0,2,1,1,0,0,1,0,1,3,212,0,215,0
37,7,51,235,0,0,0,1,1,4,4,2,0,1,5,8,311,0,319,0
38,3,64,280,0,0,0,3,3,1,0,1,1,2,2,10,360,0,370,0
39,2,154,150,1,1,0,1,0,1,2,0,0,0,2,2,314,0,316,0
40,4,85,212,4,0,0,2,1,3,3,1,0,0,2,5,317,0,322,0
41,7,89,534,6,5,1,0,4,3,1,2,4,6,5,11,667,0,678,0
42,5,127,323,3,1,0,0,1,5,0,1,3,4,5,6,478,0,484,0
43,4,106,314,1,0,1,0,0,2,3,1,0,1,5,2,438,0,440,0
44,2,86,227,3,0,0,0,0,1,0,0,2,2,6,10,329,0,339,0
45,4,128,298,4,4,0,2,1,2,2,2,3,2,5,13,457,0,470,0
46,2,62,152,1,0,0,0,1,0,1,0,0,1,2,6,222,0,228,0
47,4,282,15,0,0,0,0,0,0,1,0,0,1,0,3,303,0,306,0
48,9,528,25,1,0,0,0,0,0,0,1,0,2,1,5,567,0,572,0
49,7,597,53,4,0,0,0,0,1,0,0,0,3,1,1,666,0,667,0
