polling station,,,,,,,,,,,,,,,,valid,No. of Rejected Votes,Total,Numbe r of tendere d votes
,Parmar Maganbhai Amarabhai,Rathod Bhavsinhbhai Dahyabhai,Liladharbhai Khodaji Vaghela,Govindji Okhaji Thakor,Jakasiji Jogaji Thakor,Parmar Bhaichandbhai Somabhai,Babubhai Karshanbhai Rabari,Imrankhan Mahmadkhan Nagori,Chhaganbhai Naranbhai Prajapati,Jagrala Imran Mahemud,Desai Ishwarbhai Mahadevbhai,Bhoraniya Soyabbhai Hasambhai,Molapiya Abdulkudus Abdulmajid,Vaghda Jivabhai Devabhai,None Of The Above,,,,
1,14,97,46,0,1,3,1,1,1,2,2,0,2,8,8,178,0,186,0
2,15,136,329,1,3,2,5,3,9,4,4,6,11,16,21,544,0,565,0
3,9,235,141,2,2,0,1,3,0,2,1,1,4,6,2,407,0,409,0
4,2,48,75,2,0,0,0,0,1,0,0,0,1,3,6,132,0,138,0
5,6,38,192,4,1,0,0,0,1,0,2,1,1,0,2,246,0,248,0
6,7,167,247,3,2,0,3,2,3,4,1,4,4,8,4,455,0,459,0
7,12,318,96,2,1,0,2,6,3,3,6,2,10,12,6,473,0,479,0
8,7,358,91,1,2,0,1,2,2,2,3,1,7,13,15,490,0,505,0
9,0,66,112,1,0,0,0,0,0,0,1,2,2,5,1,189,0,190,0
10,1,220,338,4,0,4,0,2,1,5,1,1,6,8,0,591,0,591,0
11,11,302,132,1,1,3,2,2,1,2,4,4,6,8,2,479,0,481,0
12,15,275,308,5,2,1,2,2,1,1,2,6,10,14,12,644,0,656,0
13,4,159,197,0,0,0,4,0,2,1,2,1,2,4,3,376,0,379,0
14,10,185,63,2,0,0,0,1,1,1,3,2,2,5,9,275,0,284,0
15,3,143,139,1,0,0,1,1,0,0,1,0,1,0,4,290,0,294,0
16,8,267,98,1,2,1,0,0,1,0,3,0,0,4,2,385,0,387,0
17,12,296,263,7,3,1,1,1,4,4,1,6,8,14,15,621,0,636,0
18,6,249,266,4,1,1,1,0,2,2,1,5,3,12,11,553,0,564,0
19,13,333,167,5,0,1,6,1,3,1,0,4,3,12,16,549,0,565,0
20,8,522,145,7,1,1,1,6,2,1,4,5,4,10,21,717,0,738,0
21,8,338,126,1,0,2,1,3,1,3,2,1,8,4,7,498,0,505,0
22,0,124,80,1,0,0,1,0,0,0,0,0,2,4,0,212,0,212,0
23,13,452,156,7,3,1,0,3,0,1,2,1,3,14,5,656,0,661,0
24,2,155,112,0,1,0,0,2,3,1,1,2,3,3,5,285,0,290,0
25,5,274,251,3,0,1,2,1,0,1,2,9,3,2,2,554,0,556,0
26,4,190,131,4,0,0,1,3,1,4,1,1,3,1,8,344,0,352,0
27,13,88,262,4,2,0,2,3,2,1,0,0,1,4,5,382,0,387,0
28,5,153,185,4,1,0,1,4,6,3,3,0,2,4,6,371,0,377,0
29,14,213,372,9,2,1,0,1,2,2,1,1,8,6,6,632,0,638,0
30,6,94,271,7,2,0,1,3,1,5,2,4,8,9,13,413,0,426,0
31,3,151,176,5,3,3,1,0,3,1,2,3,7,8,5,366,0,371,0
32,7,77,115,0,0,0,1,0,0,0,0,2,0,2,1,204,0,205,0
33,2,111,124,2,0,0,1,0,0,0,0,1,2,0,3,243,0,246,0
34,4,130,173,4,1,0,0,1,0,0,0,0,2,0,3,315,0,318,0
35,6,117,196,2,2,1,1,0,4,0,0,3,5,5,11,342,0,353,0
36,3,495,138,0,0,0,1,1,1,1,0,0,3,11,12,654,0,666,0
37,6,202,138,8,0,0,0,2,0,1,1,3,4,5,6,370,0,376,0
38,20,112,307,6,1,2,0,1,1,0,0,1,7,8,17,466,0,483,0
39,15,296,143,2,3,0,0,3,0,2,1,0,0,2,3,467,0,470,0
40,1,86,197,5,0,0,0,0,1,1,4,0,1,2,5,298,0,303,0
41,14,279,464,11,0,2,1,1,5,0,1,2,7,5,16,792,0,808,0
42,5,185,153,0,1,0,0,1,2,0,0,0,4,1,1,352,0,353,0
43,7,169,327,3,0,0,0,2,0,1,1,0,2,0,2,512,0,514,0
44,7,510,41,0,0,0,0,0,0,0,0,0,2,4,4,564,0,568,0
45,12,197,343,4,2,0,0,0,3,1,0,0,2,2,0,566,0,566,0
46,9,221,356,4,2,0,1,2,1,0,0,3,5,10,4,614,0,618,0
47,7,168,167,2,0,1,0,1,0,0,0,0,1,1,6,348,0,354,0
48,4,149,165,0,1,1,0,0,0,0,0,0,4,5,7,329,0,336,0
49,2,78,272,2,0,1,0,2,0,1,0,0,6,5,2,369,0,371,0
50,3,152,315,1,0,2,0,0,0,0,2,1,4,2,5,482,0,487,0
51,10,333,144,4,3,1,3,5,5,3,5,3,7,18,11,544,0,555,0
52,10,270,212,5,0,0,0,1,1,1,0,0,2,9,10,511,0,521,0
53,12,167,798,8,0,1,0,1,1,3,2,1,2,1,5,997,0,1002,0
54,1,147,288,6,2,1,1,0,1,2,0,0,2,3,7,454,0,461,0
55,7,91,194,2,0,1,0,1,3,1,0,1,4,6,5,311,0,316,0
56,7,243,185,4,0,0,1,0,1,1,2,1,1,7,5,453,0,458,0
57,4,131,221,4,1,1,0,2,2,0,2,2,12,9,5,391,0,396,0
58,14,272,363,7,0,3,1,4,3,3,3,1,9,5,8,688,0,696,0
59,13,166,77,4,1,1,0,0,0,0,1,3,4,3,5,273,0,278,0
60,7,220,246,6,2,2,0,0,5,1,2,5,2,5,13,503,0,516,0
61,6,120,228,3,0,0,0,1,0,1,0,0,1,1,25,361,0,386,0
62,2,97,94,4,0,0,2,1,0,0,0,3,0,1,22,204,0,226,0
63,6,111,256,7,1,0,1,2,3,0,5,5,11,3,4,411,0,415,0
64,5,97,224,6,1,2,2,3,2,4,3,2,9,3,11,363,0,374,0
65,5,187,56,1,0,0,0,1,0,1,0,1,3,1,9,256,0,265,0
66,8,158,163,2,2,0,1,1,1,3,6,1,9,9,15,364,0,379,0
67,4,237,28,0,0,0,0,2,1,1,0,0,1,2,4,276,0,280,0
68,19,211,371,3,1,0,0,3,0,1,1,1,2,4,0,617,0,617,0
69,12,245,197,5,0,0,0,3,8,2,2,0,6,11,6,491,0,497,0
70,4,321,139,5,0,0,0,0,0,2,0,0,0,2,2,473,0,475,0
71,1,19,169,0,0,0,0,0,0,0,1,0,1,0,0,191,0,191,0
72,8,363,84,2,0,0,0,0,0,0,1,1,1,6,5,466,0,471,0
73,6,307,258,3,1,2,1,0,3,3,5,2,0,9,14,600,0,614,0
74,4,315,266,0,1,1,0,0,1,1,0,2,3,2,4,596,0,600,0
75,14,422,135,6,0,0,2,6,1,0,2,1,5,6,4,600,0,604,0
76,11,278,245,4,0,0,2,2,1,2,0,2,7,3,7,557,0,564,0
77,14,258,337,4,4,0,1,4,7,7,8,0,8,20,27,672,0,699,0
78,9,325,209,1,2,0,1,6,3,1,0,1,5,10,14,573,0,587,0
79,10,346,441,6,1,1,1,1,1,3,1,2,7,10,14,831,0,845,0
80,24,437,112,4,1,1,1,0,0,1,0,1,1,11,3,594,0,597,0
81,5,93,14,0,0,0,0,0,0,0,0,0,0,1,0,113,0,113,0
82,0,220,88,1,1,0,3,1,0,0,0,0,4,3,6,321,0,327,0
83,22,121,449,4,0,1,0,0,6,0,0,1,4,11,7,619,0,626,0
84,7,303,345,9,1,1,2,4,1,2,3,2,4,7,5,691,0,696,0
85,9,205,158,2,2,0,1,3,2,5,3,3,6,15,11,414,0,425,0
86,8,233,118,4,1,0,0,0,5,3,5,3,1,9,8,390,0,398,0
87,3,196,118,4,1,1,0,0,1,0,2,3,2,2,2,333,0,335,0
88,4,354,41,1,1,0,0,1,0,0,0,0,1,2,0,405,0,405,0
89,7,329,248,7,3,1,3,5,5,4,4,4,9,29,19,658,0,677,0
90,29,302,387,4,3,0,3,0,8,4,5,5,13,23,19,786,0,805,0
91,9,287,241,2,1,0,0,1,2,0,0,1,4,4,5,552,0,557,0
92,13,228,228,2,0,1,2,1,1,2,0,2,5,6,6,491,0,497,0
93,9,337,40,4,2,0,0,0,0,0,2,0,1,2,2,397,0,399,0
94,7,348,109,6,0,0,0,0,0,0,2,3,2,14,17,491,0,508,0
95,8,337,138,8,1,1,0,1,0,1,1,2,0,3,5,501,0,506,0
96,9,234,197,3,1,0,0,0,0,0,1,2,3,8,12,458,0,470,0
97,10,92,234,11,0,2,1,0,2,2,1,3,4,11,16,373,0,389,0
98,11,262,245,11,4,1,2,3,1,0,1,2,1,14,17,558,0,575,0
99,6,225,70,2,0,0,0,0,1,0,0,0,3,2,1,309,0,310,0
100,11,84,275,6,1,3,2,2,8,0,2,5,7,7,23,413,0,436,0
101,6,273,164,3,0,0,1,2,0,0,0,2,2,10,3,463,0,466,0
102,5,469,46,1,0,0,1,1,0,0,0,0,0,0,1,523,0,524,0
103,6,212,259,8,1,0,1,1,2,0,1,0,6,8,8,505,0,513,0
104,15,220,247,8,3,1,2,1,4,1,0,2,2,6,8,512,0,520,0
105,7,354,204,1,0,0,0,0,1,0,0,1,0,2,1,570,0,571,0
106,1,120,271,2,1,0,3,0,0,1,2,0,3,3,8,407,0,415,0
107,7,227,543,4,2,2,0,1,0,3,0,1,3,6,11,799,0,810,0
108,5,251,227,6,1,1,0,2,1,0,0,5,3,6,4,508,0,512,0
109,8,367,289,1,0,0,3,0,3,2,0,0,5,3,9,681,0,690,0
110,7,71,495,1,0,1,1,0,1,1,1,1,4,3,6,587,0,593,0
111,8,110,153,3,0,1,34,0,0,1,3,1,1,5,2,320,0,322,0
112,3,78,143,4,0,0,0,0,0,1,0,0,0,3,6,232,0,238,0
113,10,445,303,12,0,0,1,5,2,2,2,8,7,23,23,820,0,843,0
114,5,312,31,1,0,0,0,0,0,0,0,0,0,0,1,349,0,350,0
115,2,64,117,1,0,1,1,0,0,3,5,1,1,4,10,200,0,210,0
116,12,424,255,5,0,0,0,3,0,2,0,0,5,13,9,719,0,728,0
117,20,262,244,4,1,0,0,0,2,2,0,3,5,6,9,549,0,558,0
118,10,245,130,2,0,0,1,2,1,1,0,0,4,3,5,399,0,404,0
119,8,321,276,4,1,0,3,2,0,0,1,2,8,8,10,634,0,644,0
120,6,428,217,3,0,3,1,2,3,1,1,0,0,3,9,668,0,677,0
121,16,449,243,7,4,1,0,3,0,2,3,1,2,5,2,736,0,738,0
122,2,290,493,6,0,0,0,2,2,1,1,3,3,12,2,815,0,817,0
123,4,156,445,5,0,0,0,2,1,1,0,1,2,2,11,619,0,630,0
124,4,457,303,4,0,3,2,5,4,2,0,0,12,11,4,807,0,811,0
125,10,331,323,3,0,0,0,2,1,3,0,1,2,9,7,685,0,692,0
126,12,367,275,8,3,4,4,1,2,1,1,3,1,5,15,687,0,702,0
127,12,72,655,7,0,0,1,0,4,5,1,0,5,0,6,762,0,768,0
128,15,409,328,2,0,1,0,0,0,2,2,4,7,8,12,778,0,790,0
129,1,83,135,1,0,1,0,3,1,0,0,1,0,1,3,227,0,230,0
130,12,233,416,11,0,1,0,2,0,0,0,0,2,2,10,679,0,689,0
131,7,396,279,4,0,1,0,3,2,1,2,1,8,8,18,712,0,730,0
132,6,407,155,6,1,2,0,1,4,1,1,2,2,10,9,598,0,607,0
133,1,530,130,0,0,0,0,0,0,0,0,0,3,2,8,666,0,674,0
134,5,162,435,2,0,0,0,0,0,0,0,1,2,0,5,607,0,612,0
135,5,713,199,2,0,0,2,1,0,0,0,1,1,3,9,927,0,936,0
136,6,561,57,4,0,0,2,2,0,0,0,0,1,3,10,636,0,646,0
137,5,362,178,3,1,0,0,0,0,0,0,3,3,2,6,557,0,563,0
138,8,506,167,2,0,0,1,2,1,0,0,4,2,7,7,700,0,707,0
