polling station,,,,,,,,,,,,,,,,total,No. of Rejected Votes,Total,Number of tendered votes
,Parmar Maganbhai Amarabhai,Rathod Bhavsinhbhai Dahyabha,Liladharbhai Khodaji Vaghela,Govindji Okhaji Thakor,Jakasiji Jogaji Thakor,Parmar Bhaichandbhai Somabhai,Babubhai Karshanbhai Rabari,Imrankhan Mahmadkhan Nagori,Chhaganbhai Naranbhai Prajapati,Jagrala Imran Mahemud,Desai Ishwarbhai Mahadevbhai,Bhoraniya Soyabbhai Hasambhai,Molapiya Abdulkudus Abdulmajid,Vaghda Jivabhai Devabhai,None Of The Above,,,,
1,4,129,329,6,3,0,1,2,3,4,2,4,4,4,4,499,0,499,0
2,6,13,203,1,14,1,0,1,0,1,1,2,2,4,3,252,0,252,0
3,7,13,568,11,5,0,0,3,0,0,1,0,4,4,8,624,0,624,0
4,1,129,230,5,3,0,1,1,2,2,1,1,4,4,7,391,0,391,0
5,6,133,300,3,3,0,0,2,1,2,0,4,6,2,10,472,0,472,0
6,12,337,535,7,1,2,4,4,2,1,1,0,1,8,6,921,0,921,0
7,3,171,396,1,1,1,1,1,4,4,0,0,2,6,2,593,0,593,0
8,1,125,335,3,1,2,0,2,1,1,1,1,5,2,4,484,0,484,0
9,7,168,352,5,4,0,1,3,2,0,4,1,5,6,5,563,0,563,0
10,13,90,351,7,1,2,3,1,0,2,0,3,4,6,14,497,0,497,0
11,12,332,258,6,4,0,2,2,3,0,1,1,3,16,7,647,0,647,0
12,4,239,196,0,3,2,0,4,4,1,2,3,6,4,9,477,0,477,0
13,6,134,288,0,1,0,1,3,2,1,0,2,1,4,4,447,0,447,0
14,14,129,392,3,0,2,1,1,4,3,1,2,3,6,10,571,0,571,0
15,12,203,619,13,3,0,0,1,5,3,5,5,8,5,6,888,0,888,0
16,3,253,501,3,1,1,0,1,2,2,2,2,4,7,4,786,0,786,0
17,16,157,382,2,2,0,2,2,0,1,0,2,4,8,15,593,0,593,0
18,10,136,349,3,3,1,0,1,2,1,1,2,2,2,4,517,0,517,0
19,8,293,294,2,1,0,1,5,1,1,2,1,5,8,4,626,0,626,0
20,6,239,275,3,2,0,0,0,1,1,0,1,2,3,3,536,0,536,0
21,2,87,309,1,0,0,0,1,0,1,1,1,2,2,6,413,0,413,0
22,6,183,198,4,1,0,1,0,2,2,0,1,2,1,4,405,0,405,0
23,17,126,370,9,1,0,3,3,5,2,0,3,1,1,23,564,0,564,0
24,0,75,177,4,0,0,0,0,2,2,2,3,1,3,4,273,0,273,0
25,3,132,324,4,1,2,0,2,4,3,2,1,2,8,2,490,0,490,0
26,7,179,327,6,0,1,0,1,1,0,1,4,2,2,1,532,0,532,0
27,1,89,431,3,3,0,0,2,0,0,1,1,5,4,1,541,0,541,0
28,14,216,389,5,1,0,2,0,10,0,1,1,1,3,4,647,0,647,0
29,8,125,420,8,3,2,0,0,1,2,0,3,6,1,6,585,0,585,0
30,3,100,670,4,1,0,0,1,0,0,0,3,2,0,1,785,0,785,0
31,8,225,283,3,0,0,1,1,0,0,2,0,0,3,3,529,0,529,0
32,4,224,260,5,0,1,5,2,1,1,3,2,2,5,2,517,0,517,0
33,2,154,398,4,0,0,0,0,0,0,0,0,2,1,4,565,0,565,0
34,2,55,359,2,0,1,1,1,1,1,1,0,1,5,4,434,0,434,0
35,2,156,180,5,0,0,1,2,1,1,0,0,2,1,4,355,0,355,0
36,5,211,155,4,1,0,0,0,0,1,1,0,2,9,4,393,0,393,0
37,6,112,341,6,0,0,0,1,3,2,3,3,0,4,7,488,0,488,0
38,0,205,57,2,3,0,1,0,0,1,4,1,2,3,6,285,0,285,0
39,2,403,251,5,0,0,0,1,0,0,2,1,8,3,8,684,0,684,0
40,1,238,240,3,0,0,0,0,1,0,0,0,1,2,9,495,0,495,0
41,4,259,359,8,0,0,0,1,0,1,1,0,0,5,5,643,0,643,0
42,7,162,376,4,0,0,1,2,1,4,3,3,5,3,6,577,0,577,0
43,11,83,203,5,2,0,1,2,0,0,0,0,1,3,2,313,0,313,0
44,4,286,430,6,2,1,2,0,1,1,0,0,3,2,5,743,0,743,0
45,2,16,273,2,0,1,0,0,1,1,0,0,0,2,1,299,0,299,0
46,4,98,476,2,1,0,1,0,1,0,1,1,4,5,5,599,0,599,0
47,4,149,375,3,1,0,0,0,3,0,0,0,0,3,5,543,0,543,0
48,3,209,324,7,1,0,2,5,1,1,3,4,0,4,7,571,0,571,0
49,2,194,132,1,0,0,0,1,1,0,0,0,1,4,2,338,0,338,0
50,4,147,213,2,1,0,9,1,0,0,3,0,3,0,4,387,0,387,0
51,2,111,433,0,0,0,0,0,1,0,0,0,4,4,2,557,0,557,0
52,2,132,183,2,0,0,0,0,0,0,0,0,2,2,4,327,0,327,0
53,3,49,170,1,1,0,0,1,1,0,0,0,2,1,1,230,0,230,0
54,2,133,651,1,0,0,0,1,2,2,0,0,3,1,4,800,0,800,0
55,7,255,229,9,1,0,0,0,0,1,3,1,0,2,2,510,0,510,0
56,9,281,302,6,17,0,1,1,2,5,8,2,7,7,12,660,0,660,0
57,38,262,231,13,4,2,3,1,1,2,2,22,25,13,15,634,0,634,0
58,4,311,554,3,2,0,1,1,0,4,0,4,4,10,15,913,0,913,0
59,9,216,495,6,0,1,0,2,6,0,1,4,2,11,10,763,0,763,0
60,8,204,504,6,2,0,1,0,0,3,1,4,5,5,25,768,0,768,0
61,6,356,312,3,0,1,0,2,0,2,2,2,8,11,13,718,0,718,0
62,2,108,496,1,0,1,0,0,0,0,0,0,0,2,2,612,0,612,0
63,10,315,380,12,0,0,1,2,1,0,2,1,3,7,13,747,0,747,0
64,1,110,399,3,0,0,0,1,3,0,0,1,0,1,7,526,0,526,0
65,1,226,442,2,1,0,1,0,0,0,1,2,1,1,6,684,0,684,0
66,3,176,397,0,18,1,1,2,1,0,0,0,9,3,9,620,0,620,0
67,4,162,343,4,0,2,0,1,2,0,0,0,6,2,5,531,0,531,0
68,4,53,261,1,0,0,0,0,2,0,0,0,2,0,0,323,0,323,0
69,19,164,276,2,2,3,0,0,0,1,0,4,11,7,11,500,0,500,0
70,5,156,567,2,3,0,1,2,3,1,0,1,5,2,2,750,0,750,0
71,3,65,193,2,1,0,4,0,0,2,0,2,4,2,1,279,0,279,0
72,4,235,92,1,0,1,1,0,0,1,1,2,3,8,7,356,0,356,0
73,4,190,264,3,0,2,3,1,2,2,0,2,2,7,3,485,0,485,0
74,2,122,210,2,2,0,1,1,0,1,0,0,2,2,3,348,0,348,0
75,1,69,235,3,2,0,4,1,1,0,3,0,0,4,2,325,0,325,0
76,0,93,135,2,2,0,0,0,1,0,2,0,0,3,4,242,0,242,0
77,5,163,365,2,1,2,1,0,1,2,0,1,1,2,8,554,0,554,0
78,2,251,84,1,0,0,2,0,0,0,1,0,2,2,3,348,0,348,0
79,2,92,182,2,1,0,1,0,2,0,0,0,0,1,0,283,0,283,0
80,1,125,222,1,0,1,1,2,1,2,3,1,1,5,9,375,0,375,0
81,1,164,302,0,0,1,1,1,1,1,2,1,1,8,4,488,0,488,0
82,4,330,325,1,0,1,0,4,0,2,1,3,2,4,5,682,0,682,0
83,6,112,474,1,3,0,0,1,0,0,0,1,2,0,5,605,0,605,0
84,5,265,448,4,0,1,1,0,3,0,1,1,1,2,4,736,0,736,0
85,5,218,409,7,4,1,1,2,2,0,0,1,6,4,5,665,0,665,0
86,0,48,309,0,0,0,2,0,0,0,1,0,2,2,0,364,0,364,0
87,6,371,268,3,1,2,0,2,1,3,6,5,2,6,6,682,0,682,0
88,6,100,193,3,2,0,1,0,2,0,0,0,0,1,7,315,0,315,0
89,9,277,244,1,0,0,0,0,0,0,1,0,0,3,5,540,0,540,0
90,9,196,147,2,0,0,0,0,2,0,0,0,0,3,9,368,0,368,0
91,5,168,249,1,1,0,2,0,0,1,1,1,4,5,2,440,0,440,0
92,6,207,385,3,1,1,0,0,0,0,0,1,2,3,9,618,0,618,0
93,0,52,260,0,0,0,1,0,1,1,0,1,1,2,0,319,0,319,0
94,0,10,480,1,0,0,0,0,1,0,0,0,0,2,2,496,0,496,0
95,13,157,424,7,2,2,0,1,0,0,3,2,2,5,6,624,0,624,0
96,3,193,268,5,2,0,1,1,1,0,0,0,2,1,4,481,0,481,0
97,2,131,566,2,10,0,1,0,2,1,2,0,1,1,16,735,0,735,0
98,2,132,275,3,3,0,2,2,4,0,0,1,0,4,6,434,0,434,0
99,5,124,411,2,0,3,4,2,3,2,0,1,3,3,9,572,0,572,0
100,11,411,205,1,1,1,1,1,3,3,2,2,3,10,16,671,0,671,0
101,3,152,372,1,2,0,0,0,0,0,0,2,1,3,10,546,0,546,0
102,0,56,381,0,0,0,0,0,2,0,0,0,0,0,5,444,0,444,0
103,2,157,320,3,0,1,1,2,1,0,1,1,3,1,5,498,0,498,0
104,1,51,443,1,0,0,0,1,0,0,0,0,0,0,1,498,0,498,0
105,0,20,388,0,0,0,0,0,0,0,0,0,0,0,5,413,0,413,0
106,4,187,300,4,4,0,0,1,2,0,3,0,7,1,9,522,0,522,0
107,5,177,264,2,21,1,0,1,2,0,0,7,1,4,6,491,0,491,0
108,1,34,552,1,1,1,0,0,0,0,0,0,3,0,3,596,0,596,0
109,4,66,466,5,1,0,0,1,0,1,0,0,1,2,3,550,0,550,0
110,4,156,316,3,1,0,0,1,0,0,0,0,2,3,1,487,0,487,0
111,2,230,204,0,0,2,0,0,0,0,0,0,2,4,5,449,0,449,0
