polling station,,,,,,,,,,,,,,,,,,,
,PARMAR MAGANBHAI AMRABHAI,RATHOD BHAVSINH DAHYABHAI,LILADHARBHAI KHODAJI VAGHELA,GOVINDJI OKHAJI THAKOR,JAKASIJI JOGAJI THAKOR,PARMAR BHAICHANDBHAI SOMABHAI,BABUBHAI KARSHANBHAI RABARI,IMRANKHAN MAHMADKHAN NAGORI,CHHAGANBHAI NARANBHAI PRAJAPATI,JAGRALA IMRAN MAHEMUD,DESAI ISHWARBHAI MAHADEVBHAI,BHORANIYA SOYABBHAI HASAMBHAI,MOLAPIYA ABDULKUDUS ABDULMAJID,VAGHDA JIVABHAI DEVABHAI,NOTA,Valid,Rejected,Total,tendered
1,,354,318,8,0,1,2,2,2,1,3,1,1,4,6,709,0,709,
2,3,76,230,4,1,0,0,1,1,0,2,1,7,5,4,335,0,335,
3,6,320,212,4,4,0,1,4,3,3,2,3,4,10,11,587,0,587,
4,7,368,376,6,1,2,2,5,4,3,1,5,5,5,2,792,0,792,
5,8,165,429,10,3,1,1,1,2,0,2,2,9,3,4,640,0,640,
6,7,334,302,5,0,0,2,1,3,3,3,0,3,5,7,675,0,675,
7,6,200,301,4,4,0,10,7,7,6,5,1,4,9,8,572,0,572,
8,10,316,245,2,9,0,1,0,4,2,0,0,7,9,9,614,0,614,
9,5,249,251,4,0,0,0,2,3,3,1,2,4,5,3,532,0,532,
10,0,470,21,0,0,0,1,2,1,0,0,0,2,1,3,501,0,501,
11,2,630,13,0,0,0,0,1,0,0,0,0,3,2,9,660,0,660,
12,2,298,418,9,6,3,4,2,3,2,1,6,17,7,16,794,0,794,
13,2,479,192,1,6,2,0,1,0,1,3,4,5,5,4,705,0,705,
14,6,400,286,6,6,0,2,2,2,1,1,1,9,12,10,744,0,744,
15,,120,294,10,1,0,0,2,1,0,0,2,7,6,4,452,0,452,
16,4,262,107,0,3,1,0,3,3,0,0,0,2,6,6,397,0,397,
17,5,216,338,4,2,0,3,1,3,1,1,1,4,8,4,591,0,591,
18,2,253,216,5,1,1,1,2,6,3,0,3,5,9,17,524,0,524,
19,3,231,401,3,9,1,0,1,2,2,0,2,14,9,6,684,0,684,
20,5,279,130,3,1,1,1,0,1,0,1,1,6,3,4,436,0,436,
21,8,225,280,8,2,3,4,3,5,4,1,6,9,11,13,582,0,582,
22,3,215,207,6,1,0,0,0,0,0,1,2,4,4,4,447,0,447,
23,11,169,549,1,3,1,0,2,2,0,1,2,4,2,3,750,0,750,
24,9,165,306,1,4,1,1,2,0,3,0,1,1,8,5,507,0,507,
25,7,97,229,2,0,0,0,1,1,2,1,4,3,3,4,354,0,354,
26,6,19,602,10,2,1,1,1,3,2,1,3,4,8,8,671,0,671,
27,5,222,193,4,15,0,0,0,0,3,0,0,1,0,1,444,0,444,
28,11,247,427,5,4,0,0,2,4,3,1,2,8,5,7,726,0,726,
29,,747,36,3,1,0,1,3,0,2,0,1,1,1,4,802,0,802,
30,3,734,33,3,0,0,1,2,0,0,0,1,1,2,2,782,0,782,
31,2,554,7,1,1,0,0,4,0,1,0,1,4,0,3,578,0,578,
32,4,265,433,9,6,0,1,2,7,0,1,3,9,6,18,764,0,764,
33,6,107,296,2,18,0,6,0,3,1,1,2,4,5,5,456,0,456,
34,3,293,154,1,0,0,2,1,2,4,2,3,0,1,7,473,0,473,
