polling station,,,,,,,,,,,,,,,,total,No. of Rejected Votes,Total,Number of tendered votes
,Parmar Maganbhai Amarabhai,Rathod Bhavsinhbhai Dahyabhai,Liladharbhai Khodaji Vaghela,Govindji Okhaji Thakor,Jakasiji Jogaji Thakor,Parmar Bhaichandbhai Somabhai,Babubhai Karshanbhai Rabari,Imrankhan Mahmadkhan Nagori,Chhaganbhai Naranbhai Prajapati,Jagrala Imran Mahemud,Desai Ishwarbhai Mahadevbhai,Bhoraniya Soyabbhai Hasambhai,Molapiya Abdulkudus Abdulmajid,Vaghda Jivabhai Devabhai,None Of The Above,,,,
1,5,74,202,2,0,0,0,0,2,1,0,0,0,1,5,292,0,292,0
2,0,33,347,0,0,0,0,0,0,0,0,0,2,0,0,382,0,382,0
3,4,152,279,2,0,2,7,1,0,0,1,1,5,5,7,466,0,466,0
4,6,158,326,3,1,0,0,1,0,2,1,4,5,4,5,516,0,516,0
5,3,97,173,6,0,0,0,0,1,1,1,4,3,2,3,294,0,294,0
6,11,409,236,6,1,0,2,2,5,6,7,3,7,17,15,727,0,727,0
7,9,233,52,1,0,0,1,1,2,2,1,1,5,3,7,318,0,318,0
8,8,352,331,6,0,3,1,1,1,2,6,3,10,11,17,752,0,752,0
9,6,65,594,10,2,0,2,1,6,3,0,3,3,6,8,709,0,709,0
10,3,18,189,9,1,0,1,1,1,2,2,5,1,6,3,242,0,242,0
11,3,501,215,0,1,0,0,3,1,1,0,2,3,5,3,738,0,738,0
12,8,85,321,6,2,1,1,1,3,2,2,4,3,12,15,466,0,466,0
13,2,163,119,1,0,0,0,0,0,0,0,0,1,1,4,291,0,291,0
14,1,112,249,8,0,0,0,0,0,0,0,0,1,0,2,373,0,373,0
15,0,138,61,3,0,0,1,1,0,2,0,0,1,4,4,215,0,215,0
16,11,61,550,14,2,2,3,0,2,2,6,2,7,6,10,678,0,678,0
17,9,89,428,6,2,0,2,1,6,3,2,3,8,7,13,579,0,579,0
18,5,41,502,4,1,0,1,1,3,1,2,1,3,6,7,578,0,578,0
19,3,300,175,11,0,1,1,4,3,2,3,3,5,15,11,537,0,537,0
20,3,16,483,1,0,1,0,1,2,1,0,1,3,1,2,515,0,515,0
21,1,26,524,3,1,0,0,1,2,0,1,2,4,4,3,572,0,572,0
22,6,95,582,5,1,0,2,0,0,0,1,5,11,5,11,724,0,724,0
23,5,117,559,1,0,0,0,0,2,0,1,1,4,3,6,699,0,699,0
24,12,202,161,4,5,0,0,3,5,1,1,2,2,3,2,403,0,403,0
25,21,193,282,3,2,0,4,0,4,3,0,3,4,13,23,555,0,555,0
26,9,158,315,5,2,1,0,4,2,3,1,3,4,6,11,524,0,524,0
27,6,34,317,2,0,1,0,0,1,1,2,0,0,3,4,371,0,371,0
28,9,132,396,5,1,1,0,4,3,1,8,4,8,8,10,590,0,590,0
29,7,173,460,6,6,1,1,0,2,0,2,6,6,7,17,694,0,694,0
30,5,165,236,6,1,2,1,1,0,3,0,5,6,8,21,460,0,460,0
31,7,221,170,4,1,0,2,0,2,1,2,0,5,12,13,440,0,440,0
