Serial No. & Name of Polling Station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,NOTA,Total,No. of tendered votes
,Thakor Kevalji Nathaji,Patel Jayshreeben Kanubhai,Patel Jivabhai Ambalal,Girishji Jenaji Dabhi,Chaudhary Dineshbhai Salubhai,Zala Indrajitsinh Mahendrasinh,Thakor Mansangji Punjaji,Patel Dilipbhai Somabhai,Smt. Vandanaben Dineshkumar Patel,Thakor Baldevji Maganji,Thakor Babuji Dhanaji,Thakor Samaratji Balavantsinh,Prajapati Vitthalbhai Virdas,Mahmad Azam Haiderkhan Pathan,,,,,
1,0,229,12,0,0,0,0,0,0,0,1,1,0,0,243,0,1,244,0
2,1,230,153,1,0,0,0,0,4,1,0,1,1,0,392,0,2,394,0
3,10,94,585,2,2,2,0,1,0,0,0,2,7,1,706,0,7,713,0
4,6,413,144,0,0,0,0,0,2,0,0,1,1,4,571,0,5,576,0
5,4,514,185,0,1,0,0,0,1,0,2,1,0,2,710,0,4,714,0
6,8,313,278,2,1,0,0,1,4,1,2,0,2,4,616,0,6,622,0
7,6,673,68,1,1,1,3,2,8,0,1,3,2,4,773,0,2,775,0
8,4,158,107,0,1,1,0,0,0,0,1,1,6,0,279,0,4,283,0
9,3,214,177,1,0,0,1,0,1,2,1,1,1,2,404,0,8,412,0
10,3,555,99,3,0,1,0,0,5,1,0,3,0,2,672,0,2,674,0
11,10,297,226,2,0,1,0,0,6,1,1,0,0,0,544,0,2,546,0
12,5,265,233,5,0,0,0,0,0,0,2,1,3,3,517,0,4,521,0
13,7,536,230,4,1,0,1,0,2,2,2,1,7,9,802,0,2,804,0
14,20,382,289,4,0,1,3,0,10,7,4,5,17,9,751,0,11,762,0
15,12,126,404,6,2,0,3,1,0,1,0,0,6,5,566,0,11,577,0
16,3,87,272,5,0,1,0,3,2,2,2,4,3,1,385,0,4,389,0
17,4,864,10,0,0,0,0,1,0,0,1,0,3,4,887,0,2,889,0
18,8,365,177,0,1,0,0,0,1,1,0,1,2,4,560,0,4,564,0
19,2,369,161,2,0,0,0,0,1,1,0,0,0,0,536,0,1,537,0
20,3,346,198,1,1,1,1,0,8,2,2,4,2,7,576,0,9,585,0
21,8,363,71,2,1,0,1,1,2,0,0,0,2,0,451,0,1,452,0
22,3,573,144,5,0,1,0,0,0,0,0,0,2,0,728,0,11,739,0
23,6,337,247,1,1,1,0,1,0,1,2,1,3,2,603,0,3,606,0
24,3,433,95,0,0,1,0,0,4,1,0,1,2,2,542,0,4,546,0
25,2,46,578,2,1,0,0,0,3,0,0,0,0,1,633,0,2,635,0
26,10,328,269,4,1,1,0,0,18,2,0,3,6,4,646,0,9,655,0
27,6,346,271,0,0,1,1,1,14,0,0,2,3,1,646,0,6,652,0
28,11,188,347,5,1,0,0,0,1,0,1,4,7,3,568,0,7,575,0
29,5,159,241,3,2,0,1,0,2,3,1,2,4,6,429,0,7,436,0
30,2,411,19,0,0,1,0,0,3,0,0,0,1,1,438,0,2,440,0
31,1,752,30,2,0,0,0,0,3,0,0,0,3,3,794,0,7,801,0
32,10,505,220,3,0,0,0,0,2,0,2,0,5,7,754,0,15,769,0
33,1,292,30,2,0,0,0,0,1,0,0,0,0,0,326,0,3,329,0
34,3,235,192,5,0,0,2,0,0,2,2,1,6,5,453,0,6,459,0
35,8,265,154,11,0,1,0,0,2,0,1,0,3,1,446,0,5,451,0
36,8,339,150,0,1,3,1,1,0,0,0,2,0,3,508,0,7,515,0
37,6,335,193,0,0,0,0,1,1,0,0,0,5,2,543,0,2,545,0
38,10,688,81,1,0,0,1,0,2,1,1,1,2,4,792,0,10,802,0
39,1,255,157,0,0,0,0,1,0,0,0,1,1,2,418,0,2,420,0
40,5,311,126,3,0,0,1,2,5,0,0,1,3,4,461,0,4,465,0
41,10,285,356,8,1,1,1,0,4,3,2,3,7,7,688,0,8,696,0
42,3,329,244,4,0,0,0,1,1,0,2,0,4,0,588,0,5,593,0
43,3,559,118,0,1,0,0,0,1,0,0,0,3,3,688,0,0,688,0
44,5,404,316,6,0,4,0,0,2,0,0,1,2,2,742,0,6,748,0
45,4,585,119,1,0,1,0,0,0,1,0,1,1,4,717,0,1,718,0
46,5,589,72,1,1,0,0,0,4,0,0,0,2,5,679,0,1,680,0
47,9,534,66,0,1,1,0,0,1,0,0,0,2,3,617,0,8,625,0
48,8,336,312,6,0,1,0,2,3,3,3,3,8,9,694,0,15,709,0
49,6,271,227,3,0,0,0,0,4,2,0,3,8,4,528,0,9,537,0
50,2,290,307,3,1,0,0,0,2,0,1,2,3,3,614,0,2,616,0
51,14,361,261,6,0,1,1,0,3,1,1,3,9,4,665,0,10,675,0
52,3,250,45,0,1,1,0,0,0,0,1,2,2,0,305,0,2,307,0
53,4,372,227,2,0,1,0,0,1,0,0,0,3,1,611,0,3,614,0
54,9,192,392,6,1,0,3,1,8,0,0,6,7,8,633,0,15,648,0
55,8,355,209,2,0,1,1,0,2,1,5,0,9,13,606,0,12,618,0
56,0,435,4,0,0,0,0,0,0,0,0,0,1,6,446,0,1,447,0
57,12,239,241,4,0,0,1,1,0,0,2,0,8,4,512,0,8,520,0
58,12,80,366,8,1,2,0,0,6,2,3,2,6,7,495,0,7,502,0
59,9,184,110,3,0,2,2,0,6,2,3,6,7,7,341,0,8,349,0
60,1,588,10,0,0,0,0,0,0,0,0,0,0,3,602,0,1,603,0
61,5,746,189,0,0,0,0,0,9,0,0,0,0,0,949,0,6,955,0
62,2,322,53,0,0,1,0,0,6,1,0,0,0,0,385,0,1,386,0
63,1,772,139,1,0,0,0,0,4,0,1,0,0,1,919,0,8,927,0
64,4,355,96,3,0,1,1,0,8,1,0,0,1,0,470,0,15,485,0
65,12,501,103,4,1,1,0,1,4,0,2,3,3,3,638,0,13,651,0
66,9,692,186,7,2,1,0,3,12,3,3,1,2,4,925,0,10,935,0
67,7,750,121,3,1,2,1,0,5,0,0,1,1,2,894,0,4,898,0
68,4,507,169,0,0,0,0,0,2,1,0,2,1,1,687,0,6,693,0
69,3,592,197,2,0,0,1,1,4,1,0,1,0,3,805,0,5,810,0
70,1,773,76,0,1,0,0,0,0,0,0,0,0,1,852,0,8,860,0
71,2,723,75,0,2,1,0,0,1,0,0,0,1,0,805,0,6,811,0
72,3,793,90,1,0,0,1,0,2,1,1,1,1,3,897,0,7,904,0
73,6,554,161,0,0,0,1,2,7,0,1,0,0,2,734,0,6,740,0
74,3,575,232,1,0,0,0,0,1,0,1,0,0,0,813,0,1,814,0
75,3,564,164,0,0,2,0,1,1,0,1,2,1,3,742,0,7,749,0
76,6,536,176,1,0,0,1,1,4,1,1,0,5,4,736,0,4,740,0
77,9,535,122,0,0,0,0,1,9,0,0,0,4,3,683,0,1,684,0
78,2,380,100,0,1,0,0,0,1,1,0,0,1,1,487,0,6,493,0
79,1,336,85,1,2,0,0,0,1,0,1,0,0,0,427,0,2,429,0
80,3,344,81,2,0,1,0,1,2,0,1,0,4,6,445,0,4,449,0
81,0,323,74,0,0,0,0,0,3,0,0,0,0,0,400,0,4,404,0
82,2,233,121,1,0,0,1,0,3,0,0,0,0,1,362,0,1,363,0
83,3,483,149,1,0,0,0,0,2,0,1,0,0,0,639,0,2,641,0
84,0,280,74,0,0,0,1,0,5,0,0,0,0,1,361,0,2,363,0
85,1,569,63,0,0,0,0,0,3,0,0,0,0,0,636,0,2,638,0
86,2,276,56,0,0,0,1,0,3,0,0,0,0,0,338,0,3,341,0
87,12,260,288,6,1,2,0,0,3,0,0,2,0,0,574,0,8,582,0
88,2,405,167,0,1,1,0,0,4,0,0,1,1,0,582,0,5,587,0
89,3,390,111,2,2,0,0,1,3,0,0,2,0,3,517,0,6,523,0
90,3,376,147,0,0,0,0,0,1,0,0,1,0,0,528,0,5,533,0
91,15,50,518,5,0,1,1,0,5,1,1,0,1,1,599,0,4,603,0
92,3,288,215,3,0,0,1,0,3,2,1,2,3,3,524,0,8,532,0
93,3,219,284,2,0,0,0,0,10,0,1,0,1,1,521,0,7,528,0
94,8,756,120,3,0,0,0,1,1,0,1,2,1,5,898,0,5,903,0
95,5,816,93,3,1,1,0,1,3,0,1,1,2,3,930,0,2,932,0
96,0,481,61,0,0,0,0,0,0,0,0,0,0,1,543,0,4,547,0
97,2,399,92,1,0,0,1,1,4,0,1,0,1,0,502,0,4,506,0
98,3,738,180,3,0,0,0,1,6,3,2,0,3,4,943,0,12,955,0
99,2,326,331,2,0,0,0,0,2,0,1,0,2,5,671,0,9,680,0
100,4,517,176,5,0,0,0,2,4,0,1,2,4,5,720,0,8,728,0
101,4,793,235,2,0,2,2,2,5,0,0,1,2,5,1053,0,9,1062,0
102,1,519,72,0,0,0,1,0,1,1,0,1,3,3,602,0,4,606,0
103,1,601,45,0,0,0,1,1,3,2,1,2,1,4,662,0,3,665,0
104,5,606,46,1,0,0,0,0,4,0,0,1,0,0,663,0,3,666,0
