Serial No.of Polling Station,No.of valid votes cast in favour of,,,,,,,,,,,,,,Total of valid votes,No.of rejected votes,NOTA,Total,No.of tendered votes
,Thakor Kevalji Nathaji,Patel Jayshreeben Kanubhai,Patel Jivabhai Ambalal,Dabhi Girishji Jenaji,Chaudhary Dineshbhai Salubhai,Zala Indrajitsinh Mahendrasinh,Thakor Mansangji Punjaji,Patel Dilipbhai Somabhai,Patel Vandanaben Dineshbhai,Thakor Baldevji Maganji,Thakor Babuji Dhanaji,Thakor Samaratji Balvantsinh,Prajapati Vitthalbhai Virdas,Pathan Mahmad Azam Haidarkhan,,,,,
1,5,223,154,0,1,0,0,0,3,0,2,2,4,2,396,0,3,399,0
2,2,169,128,1,0,1,1,0,1,0,0,1,1,4,309,0,1,310,0
3,6,465,91,2,1,1,0,0,0,0,3,1,0,3,573,0,6,579,0
4,4,231,110,1,0,0,0,0,1,2,0,0,0,3,352,0,8,360,0
5,2,274,192,1,2,0,0,1,3,0,1,0,0,2,478,0,5,483,0
6,3,358,146,4,1,1,0,1,6,1,0,2,4,4,531,0,8,539,0
7,8,404,169,3,1,0,0,0,4,4,2,0,6,2,603,0,7,610,0
8,1,58,163,7,0,0,0,0,1,0,0,1,0,1,232,0,1,233,0
9,8,262,282,3,0,0,4,2,4,2,3,3,4,5,582,0,10,592,0
10,9,307,168,4,1,0,3,0,1,3,2,2,8,1,509,0,4,513,0
11,4,427,84,0,0,0,2,2,4,0,0,0,2,1,526,0,13,539,0
12,7,437,124,1,0,1,0,0,1,0,0,2,3,2,578,0,7,585,0
13,2,239,250,1,1,1,0,0,1,0,2,0,2,0,499,0,4,503,0
14,3,251,172,4,1,2,0,0,2,0,1,2,1,1,440,0,6,446,0
15,5,487,135,1,2,0,0,0,0,0,2,0,3,3,638,0,5,643,0
16,13,278,326,8,6,1,6,4,3,5,5,2,12,8,677,0,17,694,0
17,8,308,100,4,0,1,0,1,7,2,1,1,4,8,445,0,10,455,0
18,9,415,121,2,1,1,1,1,2,2,0,3,1,3,562,0,5,567,0
19,3,372,98,0,0,0,0,1,5,0,0,1,0,0,480,0,4,484,0
20,10,230,524,2,1,2,2,1,6,2,2,1,2,1,786,0,6,792,0
21,3,235,185,1,2,0,0,0,7,1,0,4,3,2,443,0,11,454,0
22,10,253,272,2,2,0,1,1,2,1,0,6,6,5,561,0,8,569,0
23,10,378,235,2,1,5,3,2,8,2,4,3,5,8,666,0,5,671,0
24,9,332,234,1,0,1,0,1,4,0,5,6,19,8,620,0,9,629,0
25,13,185,256,6,4,3,1,0,2,6,1,5,8,3,493,0,5,498,0
26,2,464,138,1,0,1,0,0,7,2,2,1,4,1,623,0,3,626,0
27,5,508,122,0,0,0,0,0,0,3,0,0,3,0,641,0,1,642,0
28,3,406,246,3,0,1,0,1,5,3,4,1,5,0,678,0,4,682,0
29,9,261,425,5,3,4,1,2,0,0,0,1,5,5,721,0,7,728,0
30,2,354,65,1,0,0,0,0,2,0,0,0,0,0,424,0,3,427,0
31,3,258,221,0,0,1,0,4,1,0,6,0,7,6,507,0,13,520,0
32,2,356,48,0,0,2,0,1,4,0,0,0,1,1,415,0,3,418,0
33,15,210,337,3,1,0,0,0,6,1,1,4,13,8,599,0,1,600,0
34,9,206,253,5,0,2,0,1,2,1,2,2,2,6,491,0,5,496,0
35,1,423,93,1,0,0,0,0,2,0,0,0,2,0,522,0,1,523,0
36,2,191,46,1,0,0,0,0,0,0,0,0,0,0,240,0,1,241,0
37,4,509,95,2,2,0,1,0,2,0,0,0,0,1,616,0,8,624,0
38,2,397,80,0,1,1,0,1,4,0,0,4,3,4,497,0,7,504,0
39,5,496,30,1,0,0,0,0,0,0,1,1,0,1,535,0,5,540,0
40,0,401,246,1,0,0,0,0,1,0,0,2,1,1,653,0,5,658,0
41,8,333,161,4,3,2,2,2,0,0,3,1,6,10,535,0,6,541,0
42,9,482,127,3,0,1,3,0,2,0,1,2,5,9,644,0,4,648,0
43,10,652,68,2,0,2,0,1,5,0,5,3,3,7,758,0,10,768,0
44,5,328,65,1,1,0,2,1,4,2,0,0,2,2,413,0,5,418,0
45,7,330,362,7,2,2,2,2,0,1,4,1,2,8,730,0,12,742,0
46,14,512,240,4,1,1,0,0,0,1,1,2,10,25,811,0,9,820,0
47,2,403,30,0,0,0,0,0,2,0,1,0,0,3,441,0,5,446,0
48,8,352,282,8,1,1,0,0,2,2,3,2,6,13,680,0,13,693,0
49,2,261,141,5,1,0,2,0,1,1,2,1,1,1,419,0,9,428,0
50,4,314,220,5,0,2,0,3,5,3,2,2,7,11,578,0,9,587,0
51,3,431,136,1,0,2,0,0,0,1,1,3,6,6,590,0,6,596,0
52,12,251,181,5,1,2,0,2,1,1,2,0,2,4,464,0,3,467,0
53,8,305,193,2,1,1,1,1,6,0,0,15,4,3,540,0,8,548,0
54,6,370,229,5,2,3,2,0,5,0,2,4,6,4,638,0,13,651,0
55,6,322,226,4,0,0,0,0,0,1,0,0,0,0,559,0,5,564,0
56,7,343,108,1,0,0,0,0,1,0,1,0,0,4,465,0,3,468,0
57,14,288,274,8,0,1,3,2,1,3,2,8,7,6,617,0,11,628,0
58,7,186,289,1,0,1,5,1,4,7,5,6,17,13,542,0,15,557,0
59,2,649,73,0,1,0,0,2,12,1,3,1,1,0,745,0,7,752,0
60,12,413,303,4,1,0,0,1,4,5,2,2,9,8,764,0,13,777,0
61,4,344,126,0,0,0,0,0,1,0,0,2,0,0,477,0,3,480,0
62,0,326,71,1,0,0,0,0,0,0,0,0,1,1,400,0,6,406,0
63,2,441,151,2,2,0,0,0,2,1,1,2,1,1,606,0,6,612,0
64,2,331,45,1,0,0,0,0,9,0,0,0,0,3,391,0,9,400,0
65,7,170,253,0,0,0,0,0,2,2,1,0,2,0,437,0,1,438,0
66,2,211,230,0,0,0,0,2,3,0,2,2,2,2,456,0,5,461,0
67,1,398,178,5,0,1,0,0,1,0,0,0,1,0,585,0,10,595,0
68,1,376,170,1,0,0,0,0,0,0,0,2,2,1,553,0,2,555,0
69,3,560,128,0,0,0,1,0,2,0,0,2,5,5,706,0,1,707,0
70,7,281,191,5,0,1,1,0,2,2,0,3,1,8,502,0,8,510,0
71,0,803,131,0,0,0,0,0,3,0,0,1,0,1,939,0,11,950,0
72,0,580,66,0,0,0,0,2,4,0,0,0,0,1,653,0,6,659,0
73,1,514,61,0,1,1,0,0,4,0,0,0,0,1,583,0,12,595,0
74,1,737,67,0,0,0,0,0,3,1,0,1,0,1,811,0,5,816,0
75,3,563,57,0,1,1,0,0,1,0,0,0,0,0,626,0,3,629,0
76,5,397,44,1,1,1,1,0,6,1,2,4,1,3,467,0,9,476,0
77,5,92,382,2,0,0,0,0,3,1,0,0,0,0,485,0,1,486,0
78,3,126,249,2,0,0,0,1,4,0,0,0,0,0,385,0,4,389,0
79,4,281,213,7,0,2,1,0,3,0,1,0,3,3,518,0,7,525,0
80,2,451,47,3,0,0,0,0,3,0,1,0,1,2,510,0,2,512,0
81,10,376,407,5,2,0,2,1,3,2,2,2,7,3,822,0,5,827,0
82,5,412,345,2,1,1,0,1,7,0,1,0,5,3,783,0,5,788,0
83,2,318,21,0,0,1,0,0,0,0,0,0,1,0,343,0,1,344,0
84,4,378,43,0,1,1,0,1,1,2,1,0,0,6,438,0,3,441,0
85,4,346,41,1,0,1,0,0,2,0,1,0,0,2,398,0,2,400,0
86,1,419,234,0,1,0,0,1,4,0,0,2,2,0,664,0,2,666,0
87,9,139,246,3,0,2,0,2,0,1,2,2,1,1,408,0,8,416,0
88,0,201,266,5,0,0,1,0,1,1,0,4,5,4,488,0,5,493,0
89,4,623,112,1,1,2,1,0,6,0,0,1,0,1,752,0,4,756,0
90,14,694,211,2,2,3,2,2,4,5,4,2,13,6,964,0,16,980,0
91,25,387,203,7,2,7,2,1,4,5,1,1,8,11,664,0,16,680,0
92,13,242,505,13,1,1,1,3,3,2,4,14,19,9,830,0,30,860,0
93,2,384,112,0,0,1,0,1,0,1,0,3,0,2,506,0,1,507,0
94,3,493,157,1,0,0,0,0,2,0,0,0,1,2,659,0,10,669,0
95,2,641,96,1,0,1,0,1,5,0,0,0,0,0,747,0,9,756,0
96,1,511,132,2,0,0,0,1,3,0,0,1,0,0,651,0,6,657,0
97,1,196,39,0,0,1,0,0,3,0,0,0,0,0,240,0,5,245,0
98,42,843,190,5,2,2,2,0,4,6,0,1,10,11,1118,0,18,1136,0
99,4,539,265,2,0,1,0,0,2,0,1,2,2,0,818,0,5,823,0
100,8,214,547,5,0,3,0,0,7,1,0,1,5,9,800,0,9,809,0
101,7,197,685,6,3,1,0,2,6,1,2,3,4,5,922,0,5,927,0
102,3,301,332,10,1,1,0,0,2,2,1,2,2,4,661,0,7,668,0
103,12,523,395,6,0,2,1,2,4,1,4,3,5,6,964,0,12,976,0
104,5,144,346,7,0,0,0,0,1,0,2,2,5,11,523,0,4,527,0
105,8,177,251,2,1,1,2,0,2,2,2,4,5,5,462,0,11,473,0
106,0,101,29,1,1,0,0,0,2,1,0,0,1,1,137,0,1,138,0
107,4,662,123,0,0,0,0,0,1,1,0,0,1,0,792,0,12,804,0
108,0,280,54,1,0,0,0,0,1,1,0,0,0,0,337,0,4,341,0
109,1,452,90,1,0,1,0,0,6,1,0,0,1,2,555,0,5,560,0
110,2,660,67,0,1,1,1,0,8,0,0,0,0,0,740,0,4,744,0
111,3,697,116,2,3,3,0,0,8,0,2,0,0,1,835,0,14,849,0
112,1,697,123,1,0,1,0,0,2,0,0,0,0,0,825,0,9,834,0
113,7,220,180,6,0,0,0,0,1,2,2,3,4,2,427,0,11,438,0
114,2,406,28,0,0,0,0,0,1,0,0,0,1,0,438,0,5,443,0
115,9,273,174,4,0,1,0,2,0,0,1,3,8,6,481,0,7,488,0
116,1,359,49,0,0,0,0,2,4,0,0,0,1,0,416,0,11,427,0
117,2,447,114,3,1,1,0,0,2,0,0,0,0,2,572,0,1,573,0
118,1,635,95,1,0,0,0,1,4,0,0,2,4,2,745,0,5,750,0
119,3,617,90,0,0,0,1,0,5,1,1,0,0,1,719,0,2,721,0
120,1,674,110,0,0,1,0,0,13,0,0,0,2,2,803,0,11,814,0
121,4,289,208,2,1,2,2,0,3,0,0,1,1,3,516,0,4,520,0
122,2,541,94,0,0,0,0,0,3,0,0,0,0,1,641,0,10,651,0
123,4,549,88,2,0,0,0,1,2,0,1,0,1,0,648,0,7,655,0
124,4,802,120,2,0,1,2,2,8,0,0,3,2,0,946,0,11,957,0
125,1,602,96,0,0,2,0,0,5,0,0,0,2,4,712,0,14,726,0
126,13,502,155,1,0,0,0,1,1,0,0,1,3,1,678,0,8,686,0
127,1,457,136,0,0,1,0,0,2,2,0,2,1,1,603,0,5,608,0
128,1,717,129,0,0,0,0,0,2,1,1,0,0,0,851,0,13,864,0
129,1,355,227,7,3,0,2,0,2,0,0,1,1,5,604,0,10,614,0
130,0,383,416,3,1,0,3,0,5,2,0,2,3,1,819,0,9,828,0
131,1,631,149,3,1,1,0,0,9,0,0,1,1,2,799,0,10,809,0
132,3,276,322,1,0,2,0,0,3,1,3,2,4,2,619,0,5,624,0
133,1,350,246,1,2,0,2,0,2,0,0,0,4,3,611,0,4,615,0
134,4,328,178,0,0,1,0,0,2,0,0,0,0,0,513,0,1,514,0
135,6,634,115,2,1,1,1,1,2,2,2,0,1,0,768,0,11,779,0
136,3,563,145,3,3,0,0,1,5,1,0,0,1,3,728,0,9,737,0
137,3,651,105,2,0,0,0,0,0,0,0,0,2,2,765,0,8,773,0
138,1,124,446,1,1,1,0,1,0,1,0,0,0,1,577,0,2,579,0
139,1,466,75,1,4,0,0,0,0,0,0,0,0,1,548,0,5,553,0
140,5,778,104,2,0,1,2,0,7,0,0,1,1,1,902,0,10,912,0
141,8,321,150,4,2,1,2,0,2,0,0,1,3,2,496,0,7,503,0
142,5,283,214,4,1,1,1,0,1,1,0,1,5,4,521,0,4,525,0
143,7,196,475,8,1,0,1,0,1,1,2,3,6,5,706,0,6,712,0
144,3,513,123,2,0,1,0,0,9,0,1,0,0,0,652,0,3,655,0
145,4,398,126,4,0,1,0,0,4,0,2,1,3,3,546,0,3,549,0
146,18,580,93,5,0,1,1,1,1,0,3,1,8,10,722,0,12,734,0
147,2,170,428,4,2,3,2,0,1,1,1,1,2,9,626,0,13,639,0
148,8,126,468,1,0,2,0,0,0,0,2,5,7,11,630,0,6,636,0
149,8,383,241,7,4,0,0,2,2,1,1,2,5,7,663,0,14,677,0
150,2,364,60,4,0,0,0,0,2,0,1,2,1,1,437,0,0,437,0
151,4,492,65,0,1,0,0,0,5,1,3,0,0,4,575,0,3,578,0
152,3,363,111,0,0,1,0,1,2,0,0,0,0,0,481,0,3,484,0
153,1,356,60,1,0,0,1,0,1,0,0,0,1,2,423,0,4,427,0
154,2,450,219,3,0,0,0,0,3,0,1,0,2,2,682,0,3,685,0
155,2,421,179,2,0,0,2,0,2,0,3,3,1,2,617,0,1,618,0
156,4,597,154,2,0,0,0,0,2,0,1,1,1,1,763,0,2,765,0
157,6,393,402,5,0,1,0,0,5,2,1,2,3,3,823,0,5,828,0
158,8,360,299,4,0,0,0,0,1,0,0,3,3,5,683,0,10,693,0
159,0,621,142,3,0,0,0,0,6,2,2,3,2,4,785,0,6,791,0
160,12,137,636,6,2,2,0,0,6,1,2,1,5,9,819,0,12,831,0
161,2,20,521,2,0,1,0,2,6,0,0,0,5,3,562,0,3,565,0
162,14,342,306,7,0,1,3,3,4,3,8,10,10,12,723,0,17,740,0
163,7,368,153,1,0,2,0,2,4,2,0,0,3,2,544,0,7,551,0
