Serial  No.of  Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,Total of valid  votes,No. of  Rejected  Votes,NOTA,Total,No. of  tendered  votes
,Thakor Kevalji Nathaji,Patel Jayshreeben Kanubhai,Patel Jivabhai Ambalal,Girishji Jenaji Dabhi,Chaudhary Dineshbhai Salubhai,Zala Indrajitsinh Mahendrasinh,Thakor Mansangji Punjaji,Patel Dilipbhai Somabhai,Smt. Vandanaben Dineshkumar Patel,Thakor Baldevji Maganji,Thakor Babuji Dhanaji,Thakor Samaratji Balavantsinh,Prajapati Vitthalbhai Virdas,Mahmad Azam Haiderkhan Pathan,,,,,
1,7,170,250,4,0,0,1,1,0,0,0,2,3,1,439,0,3,442,0
2,7,281,224,2,1,0,3,0,2,2,5,4,7,4,542,0,3,545,0
3,5,373,150,2,1,0,1,1,2,0,0,1,1,5,542,0,3,545,0
4,11,281,452,7,3,1,1,1,7,3,7,1,8,7,790,0,11,801,0
5,1,167,180,3,1,0,0,0,2,2,1,1,2,4,364,0,4,368,0
6,3,374,175,3,1,2,1,1,4,0,0,3,4,7,578,0,11,589,0
7,4,122,213,1,1,1,0,0,2,1,0,3,2,1,351,0,1,352,0
8,4,390,158,2,1,0,0,0,3,1,3,1,0,7,570,0,7,577,0
9,0,808,17,0,0,0,0,0,0,0,0,0,0,1,826,0,0,826,0
10,6,150,212,2,0,0,1,1,1,0,0,0,2,1,376,0,6,382,0
11,5,156,268,3,0,0,0,1,1,0,2,0,3,0,439,0,5,444,0
12,13,260,191,2,0,0,15,1,0,1,4,3,7,12,509,0,15,524,0
13,7,100,379,6,3,1,0,3,0,1,1,2,10,2,515,0,4,519,0
14,17,281,339,7,1,0,0,0,1,0,2,1,5,5,659,0,10,669,0
15,11,432,167,2,0,1,1,0,2,1,0,2,9,13,641,0,7,648,0
16,15,125,295,4,1,1,0,0,0,2,3,3,6,0,455,0,3,458,0
17,2,92,82,0,0,0,0,0,0,2,3,3,0,1,185,0,2,187,0
18,5,198,183,1,1,0,1,0,0,1,0,2,3,8,403,0,4,407,0
19,8,142,286,5,1,1,1,0,0,1,3,2,7,4,461,0,11,472,0
