polling station,,,,,,,,,,,,,,,,,,,
polling station,Thakor Kevalji Nathaji,Patel Jayshreeben Kanubhai,Patel Jivabhai Ambalal,Girishji Jenaji Dabhi,Chaudhary Dineshbhai Salubhai,Zala Indrajitsinh Mahendrasinh,Thakor Mansangji Punjaji,Patel Dilipbhai Somabhai,Smt. Vandanaben Dineshkumar Patel,Thakor Baldevji Maganji,Thakor Babuji Dhanaji,Thakor Samaratji Balavantsinh,Prajapati Vitthalbhai Virdas,Mahmad Azam Haiderkhan Pathan,valid,rejected votes,nota,total,tendered votes
1,1,361,71,0,0,0,0,0,1,0,0,0,0,2,436,0,3,439,0
2,16,132,354,4,2,1,1,1,2,1,3,0,11,6,534,0,6,540,0
3,11,202,394,3,1,0,1,1,0,1,0,2,15,5,636,0,7,643,0
4,1,31,496,0,0,1,0,1,2,1,0,5,7,1,546,0,1,547,0
5,6,303,399,4,0,1,0,0,0,1,6,0,9,4,733,0,4,737,0
6,3,469,50,1,0,0,0,0,0,0,1,0,3,6,533,0,4,537,0
7,8,55,794,13,0,0,1,0,1,1,0,2,9,1,885,0,3,888,0
8,5,386,391,4,2,0,0,2,0,2,0,4,6,3,805,0,9,814,0
9,16,318,506,5,0,1,1,0,1,0,2,4,5,4,863,0,8,871,0
10,2,315,85,1,1,1,0,0,0,1,4,0,4,2,416,0,4,420,0
11,1,401,150,1,0,0,0,0,2,0,0,0,1,2,558,0,0,558,0
12,7,380,153,1,0,4,0,0,3,0,0,2,7,1,558,0,3,561,0
13,7,298,101,2,0,0,0,1,0,1,1,0,4,5,420,0,4,424,0
14,6,189,276,1,0,3,0,0,0,2,1,0,4,2,484,0,5,489,0
15,4,303,192,3,1,0,0,1,0,2,2,1,2,2,513,0,3,516,0
16,5,222,85,0,0,1,1,1,2,1,2,2,1,5,328,0,8,336,0
17,4,256,273,5,0,3,0,1,1,0,1,3,1,3,551,0,5,556,0
18,2,70,285,1,0,4,0,0,3,2,2,6,3,4,382,0,8,390,0
19,5,166,214,3,1,6,0,1,0,18,2,6,5,10,437,0,8,445,0
20,1,222,210,3,0,8,0,0,1,5,1,3,3,5,462,0,6,468,0
21,7,222,320,2,0,2,0,0,7,2,2,0,6,4,574,0,3,577,0
22,7,330,100,2,0,0,0,0,4,1,3,1,3,1,452,0,5,457,0
23,9,94,641,4,2,13,1,0,2,1,0,0,6,7,780,0,7,787,0
24,22,250,404,8,0,13,2,1,3,3,4,6,17,5,738,0,16,754,0
25,0,530,185,1,0,3,0,0,3,1,0,0,5,3,731,0,2,733,0
26,5,168,529,4,1,2,1,1,2,2,0,2,9,7,733,0,11,744,0
27,4,76,610,6,1,3,0,1,1,1,0,2,3,3,711,0,5,716,0
28,6,53,571,2,1,1,0,1,1,1,1,1,2,1,642,0,3,645,0
29,14,150,493,4,0,1,1,2,3,2,2,4,3,5,684,0,14,698,0
30,8,131,397,8,1,3,4,0,2,2,0,7,8,5,576,0,8,584,0
31,15,147,395,4,0,0,0,1,0,0,2,3,3,10,580,0,9,589,0
32,4,846,27,2,1,0,0,0,2,2,0,0,0,4,888,0,2,890,0
33,4,709,27,0,0,0,0,0,0,0,0,0,0,3,743,0,1,744,0
34,3,500,51,0,0,0,0,0,1,0,0,1,0,1,557,0,2,559,0
35,6,239,155,4,1,1,0,0,1,1,0,2,1,6,417,0,6,423,0
36,9,818,139,1,0,0,0,1,2,0,1,0,3,5,979,0,5,984,0
37,2,291,226,3,2,0,1,0,1,1,0,3,6,4,540,0,5,545,0
38,9,274,299,9,0,3,1,2,3,3,0,2,8,1,614,0,10,624,0
39,4,234,188,1,0,2,0,2,2,1,1,0,9,4,448,0,4,452,0
40,6,152,495,3,0,0,1,1,2,0,0,0,2,3,665,0,5,670,0
41,8,198,317,4,0,5,1,2,2,0,0,1,0,3,541,0,5,546,0
42,8,299,250,4,0,1,0,0,0,1,0,1,0,1,565,0,8,573,0
43,8,59,195,1,2,0,0,0,0,1,1,0,0,4,271,0,6,277,0
44,12,43,466,10,1,1,0,0,1,0,0,2,9,9,554,0,14,568,0
45,3,49,323,7,1,0,1,0,1,1,1,2,4,5,398,0,11,409,0
