polling station,No. of Valid votes cast in favour of,,,,,,,,,,,,,,,,,Total,No. of tendered votes
,Thakor Kevalji Nathaji,Patel Jayshreeben Kanubhai,Patel Jivabhai Ambalal,Girishji Jenaji Dabhi,Chaudhary Dineshbhai Salubhai,Zala Indrajitsinh Mahendrasinh,Thakor Mansangji Punjaji,Patel Dilipbhai Somabhai,Smt. Vandanaben Dineshkumar Patel,Thakor Baldevji Maganji,Thakor Babuji Dhanaji,Thakor Samaratji Balavantsinh,Prajapati Vitthalbhai Virdas,Mahmad Azam Haiderkhan Pathan,Total of valid votes,No. of rejected votes,NOTA,,
1,5,332,211,1,1,0,0,1,0,0,0,0,3,2,556,0,14,570,0
2,7,403,256,4,1,2,1,5,0,2,3,7,8,4,703,0,15,718,0
3,1,385,326,4,0,1,2,0,1,1,3,4,3,4,735,0,9,744,0
4,3,406,78,2,0,0,0,1,0,2,0,0,3,0,495,0,5,500,0
5,6,106,307,3,3,0,1,0,0,0,2,2,3,7,440,0,5,445,0
6,2,256,144,3,0,0,0,2,0,1,3,1,5,2,419,0,3,422,0
7,11,336,263,5,0,1,0,0,0,0,0,0,9,6,631,0,6,637,0
8,5,181,176,6,1,1,0,0,1,3,4,4,3,7,392,0,12,404,0
9,14,229,433,13,1,10,1,2,3,4,3,5,22,13,753,0,20,773,0
10,4,402,335,2,4,1,3,2,3,0,1,0,8,9,774,0,4,778,0
11,3,371,172,3,0,1,0,1,1,0,1,3,1,2,559,0,1,560,0
12,5,120,334,5,0,2,1,5,0,2,4,4,10,8,500,0,5,505,0
13,6,407,185,0,0,0,1,0,0,1,0,1,1,1,603,0,4,607,0
14,9,156,532,7,2,1,1,8,1,1,2,4,9,1,734,0,13,747,0
15,11,179,301,1,1,0,3,0,1,2,1,1,5,12,518,0,9,527,0
16,8,469,196,9,1,0,0,0,2,3,0,2,4,2,696,0,5,701,0
17,1,587,198,3,0,0,0,0,0,0,0,0,4,5,798,0,6,804,0
18,6,229,292,4,0,0,0,1,3,1,2,2,5,6,551,0,2,553,0
19,2,281,182,0,0,0,0,0,2,0,1,0,2,0,470,0,3,473,0
20,4,373,362,6,2,2,2,2,2,4,1,4,4,9,777,0,10,787,0
21,3,287,272,3,1,0,0,0,6,0,1,2,6,3,584,0,9,593,0
22,11,472,252,1,0,0,3,1,2,1,0,1,9,6,759,0,10,769,0
23,10,486,252,3,0,1,1,1,1,1,2,2,6,5,771,0,6,777,0
24,14,172,512,11,1,1,2,1,2,1,3,5,19,13,757,0,16,773,0
25,7,365,349,6,0,1,1,2,0,1,1,3,10,3,749,0,12,761,0
26,23,293,250,3,0,1,0,0,2,1,2,2,3,4,584,0,5,589,0
27,16,506,430,6,1,0,0,1,4,0,3,7,8,13,995,0,11,1006,0
28,10,131,254,4,0,2,0,3,0,1,1,0,3,1,410,0,8,418,0
29,8,239,155,3,0,2,0,0,1,1,2,0,4,0,415,0,12,427,0
30,3,60,422,3,0,1,0,1,1,0,0,5,4,2,502,0,4,506,0
31,1,322,252,4,0,0,0,2,0,0,2,1,2,0,586,0,2,588,0
32,7,486,224,2,0,3,0,0,2,2,3,0,4,1,734,0,9,743,0
33,7,413,249,4,1,1,0,1,2,2,1,0,5,4,690,0,8,698,0
34,9,233,445,4,0,0,2,2,1,5,3,14,17,11,746,0,21,767,0
35,10,207,423,5,2,4,1,3,0,2,1,0,14,9,681,0,12,693,0
36,3,171,99,1,0,0,0,0,0,0,1,0,1,4,280,0,2,282,0
37,6,444,98,0,0,1,1,0,0,0,0,0,2,1,553,0,6,559,0
38,8,645,140,3,1,0,1,0,1,0,1,0,2,4,806,0,5,811,0
39,10,233,408,11,2,1,2,1,2,4,3,4,25,5,711,0,14,725,0
40,7,122,412,4,2,0,2,3,1,2,3,5,21,9,593,0,9,602,0
41,8,567,276,0,0,1,0,3,2,0,0,0,4,1,862,0,6,868,0
42,3,298,381,3,2,2,0,0,0,0,0,0,2,0,691,0,3,694,0
43,1,98,164,2,0,0,0,0,0,0,0,0,1,1,267,0,4,271,0
44,9,239,199,6,3,1,0,3,0,4,3,6,7,14,494,0,12,506,0
45,3,562,219,2,0,0,0,0,0,0,0,1,4,0,791,0,5,796,0
46,3,328,535,4,1,1,0,3,1,2,2,3,10,8,901,0,11,912,0
47,1,470,231,2,0,0,1,0,0,0,0,0,4,3,712,0,5,717,0
48,9,231,316,3,3,2,1,2,1,2,4,3,12,7,596,0,11,607,0
49,3,591,222,1,1,0,0,1,3,1,1,3,2,6,835,0,8,843,0
50,5,121,448,9,1,1,0,0,2,2,0,0,12,5,606,0,6,612,0
51,3,607,157,3,0,1,0,0,0,0,1,0,1,4,777,0,1,778,0
52,5,152,230,3,0,0,0,0,0,1,2,2,4,3,402,0,3,405,0
53,4,133,327,8,1,12,0,0,0,1,4,3,6,8,507,0,13,520,0
54,4,592,49,0,0,0,0,0,2,0,1,0,2,5,655,0,1,656,0
55,2,434,103,1,0,0,0,0,2,0,1,0,4,1,548,0,3,551,0
56,10,563,187,3,0,1,0,0,0,1,0,2,6,4,777,0,8,785,0
57,6,519,190,0,0,0,0,3,2,1,2,3,3,5,734,0,6,740,0
58,6,328,235,4,1,0,0,1,2,2,0,1,19,11,610,0,8,618,0
59,4,319,151,3,0,1,0,1,2,1,1,0,2,6,491,0,5,496,0
60,3,308,67,1,2,0,0,0,1,0,1,0,3,1,387,0,1,388,0
61,8,318,177,1,0,0,0,0,0,1,1,4,5,6,521,0,14,535,0
62,3,327,117,0,0,0,0,1,1,2,0,2,2,0,455,0,3,458,0
63,3,108,314,5,0,0,0,1,1,0,0,0,2,0,434,0,3,437,0
64,7,353,149,4,0,0,1,0,1,1,1,3,8,2,530,0,12,542,0
65,3,261,154,1,0,0,0,1,2,0,0,3,1,2,428,0,2,430,0
66,3,303,158,4,1,0,0,1,0,1,1,1,3,8,484,0,6,490,0
67,13,399,246,2,2,1,1,2,1,3,1,4,15,12,702,0,22,724,0
68,1,303,111,1,1,0,1,1,2,0,0,2,3,3,429,0,9,438,0
69,2,468,88,0,0,0,0,5,1,0,1,0,0,0,565,0,1,566,0
70,3,494,104,0,0,0,0,0,3,0,1,0,3,1,609,0,5,614,0
71,4,610,45,1,0,0,0,1,1,0,0,0,1,1,664,0,2,666,0
72,4,441,160,1,0,1,0,0,0,0,0,4,2,2,615,0,2,617,0
73,13,146,437,5,0,0,0,1,1,1,0,2,6,2,614,0,6,620,0
74,5,47,273,5,2,0,1,1,3,2,1,2,5,0,347,0,5,352,0
75,10,191,416,7,3,0,0,5,1,1,3,5,7,12,661,0,12,673,0
76,7,172,245,5,1,1,1,2,0,0,2,4,5,5,450,0,11,461,0
77,4,234,130,1,1,0,1,1,2,0,0,1,5,3,383,0,8,391,0
78,2,394,163,2,1,2,0,1,2,0,1,2,7,3,580,0,10,590,0
79,6,773,162,4,2,0,0,1,1,0,0,0,5,4,958,0,6,964,0
80,8,544,145,6,3,1,0,0,3,1,1,1,3,1,717,0,14,731,0
81,8,315,252,1,2,1,1,1,0,1,0,0,0,7,589,0,4,593,0
82,5,230,185,2,0,0,0,0,2,2,0,1,2,1,430,0,2,432,0
83,4,208,236,0,1,1,0,0,2,1,2,0,5,2,462,0,5,467,0
84,2,380,118,1,3,0,0,0,1,1,0,2,2,4,514,0,5,519,0
85,3,303,356,4,3,0,2,3,2,0,2,1,3,1,683,0,11,694,0
86,4,552,136,5,0,1,0,3,3,1,1,1,2,6,715,0,4,719,0
87,4,354,109,0,0,1,0,1,5,1,1,1,2,1,480,0,2,482,0
88,11,240,290,5,2,0,0,1,1,0,0,0,1,1,552,0,1,553,0
89,9,329,326,10,2,3,0,1,1,0,1,4,9,0,695,0,5,700,0
90,11,202,429,6,2,4,0,1,7,0,4,1,3,4,674,0,9,683,0
91,1,132,158,2,1,1,0,0,0,0,0,1,1,0,297,0,0,297,0
92,1,296,152,2,0,1,0,1,0,0,0,0,3,2,458,0,4,462,0
93,1,465,51,0,0,0,1,1,1,0,1,0,3,3,527,0,2,529,0
94,7,126,340,4,2,2,0,1,4,1,0,3,9,3,502,0,8,510,0
95,8,147,435,11,4,1,1,1,10,1,4,2,14,2,641,0,12,653,0
96,5,528,223,3,2,0,1,1,2,0,5,6,5,7,788,0,7,795,0
97,4,321,341,1,1,1,0,1,1,2,3,2,5,9,692,0,13,705,0
98,10,428,222,5,1,0,1,2,0,2,3,2,9,18,703,0,11,714,0
99,3,351,118,2,0,0,1,0,0,1,1,2,2,6,487,0,3,490,0
100,7,97,395,3,1,0,39,0,1,2,2,1,8,3,559,0,7,566,0
101,4,130,437,10,0,1,43,3,1,3,5,3,7,7,654,0,13,667,0
102,8,262,368,5,1,1,4,1,4,0,1,1,3,5,664,0,10,674,0
103,17,76,456,13,3,1,9,0,0,3,3,3,6,3,593,0,12,605,0
104,3,342,67,0,0,1,0,1,0,1,1,1,3,5,425,0,5,430,0
105,2,425,77,0,0,0,1,0,0,0,0,0,3,8,516,0,3,519,0
106,4,556,158,3,1,0,1,0,0,2,0,0,2,5,732,0,5,737,0
107,3,243,259,8,2,1,0,0,1,1,2,1,11,3,535,0,1,536,0
108,0,182,71,1,0,1,1,0,0,0,0,0,0,0,256,0,2,258,0
109,2,226,278,3,1,2,0,1,3,1,0,0,5,2,524,0,1,525,0
110,4,392,119,2,1,1,1,0,0,0,0,0,3,0,523,0,7,530,0
111,13,63,180,2,0,0,0,0,0,0,0,2,0,2,262,0,2,264,0
112,4,264,150,0,0,1,2,0,0,1,0,0,3,1,426,0,2,428,0
113,5,157,224,4,1,0,0,0,1,1,1,0,3,1,398,0,5,403,0
114,6,123,286,2,1,1,1,1,0,0,0,1,8,4,434,0,2,436,0
115,7,394,231,1,0,0,1,0,1,0,2,0,4,4,645,0,11,656,0
116,2,503,167,5,3,1,0,0,1,1,1,1,2,4,691,0,3,694,0
117,2,73,265,6,0,2,0,0,1,0,0,3,9,2,363,0,7,370,0
118,8,270,195,1,1,0,1,1,0,1,1,2,1,3,485,0,3,488,0
119,7,180,329,8,3,2,1,2,2,1,5,4,11,10,565,0,11,576,0
120,2,366,198,2,0,0,1,0,6,2,0,0,5,4,586,0,4,590,0
121,4,278,254,2,1,0,3,1,4,0,0,0,7,1,555,0,2,557,0
122,4,356,28,0,0,0,0,0,0,0,0,0,2,3,393,0,2,395,0
123,1,332,45,0,1,0,0,0,1,1,0,0,2,1,384,0,0,384,0
124,12,304,420,6,1,0,1,0,8,1,1,0,2,5,761,0,9,770,0
125,3,293,181,1,0,0,0,1,2,2,0,2,1,0,486,0,3,489,0
126,7,269,202,4,1,1,0,0,0,0,2,2,13,3,504,0,13,517,0
127,3,289,41,0,0,0,0,0,0,0,1,0,1,2,337,0,2,339,0
128,4,507,137,4,0,1,0,2,0,0,2,0,1,2,660,0,5,665,0
129,5,356,321,4,0,0,1,0,1,0,2,1,4,5,700,0,14,714,0
130,0,572,70,0,0,0,1,0,2,1,0,1,1,0,648,0,7,655,0
131,4,660,150,2,0,1,1,0,6,1,0,1,3,4,833,0,7,840,0
132,7,137,512,11,4,3,1,1,3,2,1,7,9,4,702,0,11,713,0
133,5,482,125,6,0,0,1,1,0,1,1,2,5,4,633,0,6,639,0
134,12,332,171,3,0,0,0,3,0,1,2,0,2,7,533,0,6,539,0
135,9,500,254,9,0,1,3,3,2,1,0,6,6,8,802,0,12,814,0
136,2,250,219,1,1,1,0,0,0,2,0,0,0,2,478,0,7,485,0
137,1,486,84,3,0,0,0,0,2,0,0,1,0,2,579,0,8,587,0
138,5,368,133,0,0,3,0,1,0,1,0,1,6,3,521,0,6,527,0
139,14,213,406,11,2,1,0,2,0,2,1,2,4,3,661,0,10,671,0
140,8,234,254,4,2,1,1,0,3,2,1,1,12,3,526,0,1,527,0
141,8,347,176,3,0,1,0,2,0,1,0,1,2,2,543,0,3,546,0
142,6,419,161,0,0,0,1,0,2,0,1,2,3,2,597,0,7,604,0
143,4,430,239,5,0,2,0,0,3,1,0,1,3,1,689,0,6,695,0
144,6,364,296,8,1,1,0,1,2,0,3,4,8,4,698,0,7,705,0
145,8,323,299,5,0,0,0,1,2,0,2,2,1,7,650,0,11,661,0
146,9,231,310,2,0,0,0,0,2,1,0,3,5,2,565,0,10,575,0
147,5,332,330,2,2,2,0,0,7,2,0,0,6,3,691,0,5,696,0
148,14,257,417,6,1,0,2,3,5,1,3,3,10,2,724,0,18,742,0
149,0,402,29,0,0,0,0,0,0,1,1,0,2,2,437,0,3,440,0
150,5,381,31,0,1,0,1,0,0,1,0,0,0,5,425,0,3,428,0
151,4,620,101,0,0,1,0,0,1,0,0,1,5,7,740,0,4,744,0
152,1,228,166,1,1,0,0,0,1,0,0,1,1,2,402,0,0,402,0
153,1,346,117,2,0,0,0,3,4,0,1,0,2,0,476,0,1,477,0
154,4,88,348,3,0,0,0,0,1,0,1,0,2,0,447,0,5,452,0
155,0,293,232,1,0,0,2,0,1,0,1,0,4,2,536,0,1,537,0
156,8,349,165,4,1,0,1,2,5,1,2,0,3,5,546,0,12,558,0
157,4,494,229,7,1,2,2,2,3,0,1,2,3,3,753,0,10,763,0
158,15,339,482,11,0,1,2,4,5,3,0,7,18,11,898,0,8,906,0
159,3,497,69,2,0,0,0,1,3,1,0,0,1,0,577,0,1,578,0
160,4,309,170,5,0,1,2,0,10,0,0,1,4,3,509,0,6,515,0
161,2,382,305,6,0,0,1,0,3,0,0,1,4,1,705,0,5,710,0
162,3,247,193,0,0,0,0,0,1,0,0,0,1,1,446,0,4,450,0
163,18,473,486,12,5,2,2,1,3,0,0,8,14,5,1029,0,18,1047,0
164,5,38,767,3,1,0,0,3,2,0,1,1,3,0,824,0,9,833,0
165,5,121,603,8,2,0,1,1,4,0,0,3,4,2,754,0,6,760,0
166,1,178,537,2,0,0,2,0,5,0,0,1,3,1,730,0,1,731,0
167,6,294,160,1,1,0,0,1,4,2,1,1,3,1,475,0,4,479,0
168,7,653,144,6,0,0,2,0,1,1,0,0,0,2,816,0,12,828,0
169,2,105,721,2,1,2,1,1,4,1,2,0,5,3,850,0,12,862,0
