polling station,BHAMBHI CHANDUBHAI MULCHANDBHAI,RATHOD DIPSINH SHANKARSINH,SHANKERSINH VAGHELA BAPU,PATEL BHOGILAL HARIBHAI,SHEKH ARIF KHAN,PATEL ISHWARBHAI SAKRAJI ,PATEL PURUSOTTAMBHAI AMBALAL,BALUSINGH SOMANSINGH NARVE,VELANI SHANTILAL KARAMSHI,SOLANKI CHHAGANBHAI KEVALABHAI,NOTA,valid,Rejected Votes,Total Votes,Tender Votes
1,48,203,249,25,4,4,5,8,16,29,52,643,0,643,0
2,24,128,183,13,3,0,0,2,6,2,9,370,0,370,0
3,39,182,167,4,5,3,5,9,15,17,52,498,0,498,0
4,36,168,152,7,2,1,7,2,7,15,10,407,0,407,0
5,42,143,209,14,2,7,6,8,15,24,53,523,0,523,0
6,25,173,222,15,4,11,6,10,32,27,93,618,0,618,0
7,24,250,200,6,1,1,4,12,14,28,61,601,0,601,0
8,20,147,326,17,6,5,4,8,13,17,55,618,0,618,0
9,70,138,231,17,9,6,4,12,31,20,81,619,0,619,0
10,68,228,389,27,7,1,3,12,12,21,53,821,0,821,0
11,34,102,394,33,7,5,2,9,6,33,87,712,0,712,0
12,36,171,139,16,6,4,4,13,17,25,51,482,0,482,0
13,38,69,339,12,7,5,10,12,15,23,100,630,0,630,0
14,44,214,181,13,5,6,3,8,15,32,80,601,0,601,0
15,15,554,167,6,2,2,6,5,8,14,24,803,0,803,0
16,43,153,191,11,7,3,1,6,15,18,53,501,0,501,0
17,9,333,244,1,0,0,0,2,1,1,3,594,0,594,0
18,19,264,366,4,1,3,2,5,9,9,17,699,0,699,0
19,24,118,336,14,2,3,2,4,15,28,41,587,0,587,0
20,13,79,203,9,0,0,2,1,2,0,4,313,0,313,0
21,9,103,307,14,3,2,3,3,17,8,20,489,0,489,0
22,22,138,306,20,1,1,2,6,18,24,52,590,0,590,0
23,8,64,285,12,1,1,1,1,5,3,10,391,0,391,0
24,31,104,357,15,0,3,5,8,10,9,28,570,0,570,0
25,35,173,657,29,4,3,1,7,5,27,88,1029,0,1029,0
26,32,98,546,22,3,3,5,11,9,19,42,790,0,790,0
27,4,23,167,8,3,2,1,1,0,13,1,223,0,223,0
28,43,193,475,4,1,5,5,7,7,23,38,801,0,801,0
29,45,180,439,27,5,4,4,3,9,13,47,776,0,776,0
30,61,121,309,40,7,4,3,10,11,18,54,638,0,638,0
31,29,173,360,26,9,6,3,14,15,24,61,720,0,720,0
32,34,277,299,13,5,4,5,11,15,17,60,740,0,740,0
