polling station,,,,,,,,,,,,,,,valid,No. of rejected votes,None of the Above (Nota),Total,No. of tendered votes
,Patel Himmatsingh Prahladsingh,Paresh Rawal,Rohit Rajubhai Virjibhai Alias Manojbhai Sontariya,Aditya Raval,Khalifa Samsuddin Nasirudding (Jugnu),Dutt Aakash - Advocate,Dinesh Vaghela,Naranbhai T. Sengal (Dr. N. T. Sengal),Buddhpriya Jasvant Somabhai,Vijaykumar M. Vadhel,Atikbhai Mev,Anilkumar Sharma,Dashrathbhai M. Devda,Roshan Priyavadan Shah,,,,,
1,172,129,1,0,0,0,0,0,0,0,0,0,2,2,306,0,9,315,
2,183,76,5,2,0,0,2,0,0,2,0,1,0,2,273,0,12,285,
3,171,239,6,2,0,0,1,0,0,1,0,0,0,1,421,0,3,424,
4,137,169,0,1,1,0,5,0,1,0,0,1,0,1,316,0,11,327,
5,131,269,1,0,1,0,0,0,1,0,1,1,1,5,411,0,6,417,
6,206,156,2,0,3,0,2,0,0,0,2,0,4,4,379,0,9,388,
7,158,411,3,1,1,0,0,0,0,1,1,2,2,16,596,0,12,608,
8,154,368,2,0,1,1,2,0,1,1,0,0,3,4,537,0,3,540,
9,177,313,3,2,1,0,0,0,0,0,0,0,6,7,509,0,17,526,
10,125,310,4,0,0,0,0,0,0,0,0,2,2,0,443,0,7,450,
11,248,416,1,0,0,0,1,0,0,2,0,1,3,2,674,0,14,688,
12,126,408,4,0,0,1,2,1,1,0,3,0,1,8,555,0,10,565,
13,84,163,2,1,0,0,0,1,0,0,0,0,0,4,255,0,3,258,
14,412,100,6,2,1,0,2,0,2,2,0,2,3,4,536,0,21,557,
15,259,92,3,1,2,0,4,3,2,1,3,4,8,6,388,0,23,411,
16,163,358,2,0,2,0,1,1,0,0,3,5,3,12,550,0,25,575,
17,181,279,4,1,4,1,1,2,2,0,0,0,2,8,485,0,7,492,
18,90,262,4,2,2,0,0,1,2,1,1,2,0,5,372,0,15,387,
19,128,149,3,2,0,0,1,0,0,1,1,3,4,8,300,0,12,312,
20,163,42,0,0,0,1,0,1,0,0,1,0,0,0,208,0,5,213,
21,273,64,0,1,1,0,0,0,0,0,0,0,0,3,342,0,13,355,
22,219,346,1,0,0,2,0,3,1,1,1,0,3,1,578,0,15,593,
23,230,78,2,0,1,1,0,3,0,1,2,2,3,7,330,0,21,351,
24,495,271,3,0,0,0,0,0,0,0,1,1,2,3,776,0,8,784,
25,160,471,5,0,0,1,3,1,0,1,0,1,2,4,649,0,11,660,
26,76,227,0,0,0,1,1,0,0,0,0,2,1,3,311,0,4,315,
27,262,57,0,1,2,2,1,0,0,0,0,0,3,7,335,0,25,360,
28,283,85,1,1,1,0,2,1,0,0,3,0,2,9,388,0,9,397,
29,306,258,3,0,0,0,0,0,1,2,1,3,4,5,583,0,26,609,
