polling station,,,,,,,,,,,,,,,,,,,
,Patel Himmatsingh Prahladsingh,Paresh Rawal ,Rohit Rajubhai Virjibhai  Alias Manojbhai Sontariya,Aditya Raval,Khalifa Samsuddin Nasiruddin (Jugnu),Dutt Aakash - Advocate,Dinesh Vaghela,Naranbhai T. Sengal (Dr. N.T. Sengal),Buddhpriya Jasvant Somabhai ,Vijaykumar M. Vadhel ,Atikbhai Mev ,Anilkumar Sharma,Dashrathbhai M. Devda,Roshan Priyavadan Shah,valid,No. of Rejected Votes,NOTA,Total,No. of Tendered Voters
1,125,360,5,1,0,0,1,1,0,0,1,2,2,8,506,0,15,521,
2,117,208,2,1,0,0,0,0,1,0,1,2,5,6,343,0,7,350,
3,312,399,0,1,1,0,0,0,2,1,0,1,6,7,730,0,21,751,
4,161,614,2,1,0,1,0,0,0,1,2,2,2,1,787,0,6,793,
5,175,375,3,0,2,0,0,1,2,1,1,2,1,2,565,0,7,572,
6,195,328,2,1,0,0,4,2,0,0,0,2,2,5,541,0,9,550,
7,212,282,5,0,2,2,3,2,0,0,3,1,4,6,522,0,16,538,
8,65,150,1,0,0,0,0,1,1,0,1,1,2,2,224,0,8,232,
9,179,352,7,0,0,0,2,1,0,1,2,2,3,12,561,0,30,591,
10,104,422,0,0,0,0,1,1,0,1,0,0,3,1,533,0,2,535,
11,233,219,2,1,3,0,1,0,2,1,2,1,5,7,477,0,16,493,
12,123,313,1,0,0,0,5,0,0,0,0,0,2,1,445,0,4,449,
13,213,309,0,1,1,0,1,0,1,1,0,0,1,4,532,0,10,542,
14,573,315,1,2,1,1,4,1,0,1,0,2,3,13,917,0,12,929,
15,271,376,6,1,1,0,13,0,0,1,1,4,4,4,682,0,14,696,
16,232,97,8,1,1,0,0,1,0,0,0,0,0,0,340,0,2,342,
17,195,220,1,0,0,0,0,0,0,1,0,0,2,1,420,0,5,425,
18,129,539,3,1,2,1,2,0,0,0,2,0,1,10,690,0,33,723,
19,39,268,0,0,0,0,0,0,0,0,0,0,0,2,309,0,1,310,
20,190,343,5,1,0,0,3,1,0,0,0,0,1,4,548,0,8,556,
21,110,301,1,0,0,0,1,1,0,1,0,0,4,4,423,0,6,429,
22,233,371,5,1,0,1,2,0,3,0,2,0,2,4,624,0,12,636,
23,230,183,0,1,0,0,3,0,0,2,1,0,0,0,420,0,6,426,
24,232,176,2,1,0,0,4,0,0,0,0,0,2,2,419,0,11,430,
25,222,160,1,0,1,0,6,2,1,3,0,2,3,3,404,0,32,436,
26,143,131,2,0,0,0,1,0,0,1,1,1,2,6,288,0,12,300,
27,218,188,1,0,0,0,1,0,1,0,1,1,0,1,412,0,4,416,
28,185,282,3,2,1,2,0,1,0,3,4,3,3,8,497,0,9,506,
29,123,401,10,0,1,0,1,0,0,0,0,0,1,1,538,0,7,545,
30,148,264,2,1,0,0,0,0,0,0,0,2,4,10,431,0,13,444,
31,706,96,2,0,3,0,1,2,0,1,2,1,2,4,820,0,30,850,
32,366,476,5,1,0,0,2,1,0,0,1,2,7,9,870,0,38,908,
33,324,173,5,2,0,0,2,1,1,0,1,1,1,3,514,0,11,525,
34,230,284,4,3,3,3,4,0,0,0,1,4,2,7,545,0,16,561,
35,347,404,8,4,2,1,3,1,2,1,3,0,6,5,787,0,20,807,
36,108,439,6,1,0,0,3,1,2,2,0,1,2,3,568,0,11,579,
37,263,444,2,2,2,1,2,1,0,1,2,2,3,7,732,0,17,749,
38,361,217,4,0,3,1,1,1,0,2,1,1,2,4,598,0,9,607,
39,449,259,2,0,0,0,5,0,0,1,2,1,3,7,729,0,14,743,
40,227,231,0,1,0,1,7,0,1,0,0,4,1,6,479,0,10,489,
41,328,295,1,0,1,0,18,0,0,0,1,1,0,2,647,0,8,655,
42,156,617,4,1,0,0,3,0,0,0,0,1,0,3,785,0,6,791,
43,216,299,4,1,0,0,3,0,0,2,0,0,2,0,527,0,4,531,
44,369,375,1,1,3,1,1,0,0,2,0,1,1,6,761,0,6,767,
45,62,536,2,0,2,0,0,0,0,0,1,1,1,3,608,0,4,612,
46,171,277,3,0,1,0,2,1,0,1,2,2,1,7,468,0,15,483,
47,324,412,0,0,1,1,2,2,0,0,1,4,1,2,750,0,12,762,
48,364,298,4,4,0,2,1,1,4,0,3,2,6,14,703,0,29,732,
49,289,465,2,0,0,0,0,0,0,1,1,1,3,0,762,0,13,775,
50,511,173,6,1,1,0,7,2,1,1,2,1,2,0,708,0,17,725,
