polling station,,,,,,,,,,,,,,,,,,,,,,,,
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPA,No. Tendered Votes
1,458,214,2,1,1,2,1,2,0,0,1,3,2,2,10,19,12,3,8,741,0,741,0,0
2,165,209,5,1,1,0,1,1,2,0,0,0,0,0,3,13,1,4,3,409,0,409,0,0
3,529,58,1,0,0,0,0,5,0,0,0,0,0,0,0,7,11,2,1,614,0,614,0,0
4,282,298,46,3,0,0,0,6,1,1,0,0,1,2,5,9,10,4,7,675,0,675,0,0
5,229,120,2,0,0,1,0,0,0,0,0,0,1,0,1,2,1,4,2,363,0,363,0,0
6,293,77,2,0,0,0,0,5,0,0,0,0,1,1,2,3,3,3,0,390,0,390,0,0
7,180,110,2,0,0,0,1,1,1,0,0,0,1,0,2,9,9,13,2,331,0,331,0,0
8,185,157,1,0,0,0,0,1,0,0,1,3,1,3,3,11,16,5,7,394,0,394,0,0
9,165,226,4,1,0,0,1,2,0,1,0,0,0,1,2,7,3,3,0,416,0,416,0,0
10,262,337,2,1,1,0,0,8,0,1,1,0,0,0,7,9,6,3,4,642,0,642,0,0
11,29,50,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,89,0,89,0,0
12,204,206,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5,8,0,426,0,426,0,0
13,120,304,8,1,0,0,0,0,0,0,0,0,1,1,2,4,11,9,4,465,0,465,0,0
14,74,365,4,1,2,0,0,2,0,0,0,0,0,1,5,2,3,8,2,469,0,469,0,0
15,255,491,11,1,0,0,0,11,1,0,1,0,2,2,9,8,4,8,2,806,0,806,0,0
16,340,299,11,1,0,0,0,5,0,0,0,1,3,1,7,9,3,2,1,683,0,683,0,0
17,469,99,1,0,0,0,0,3,0,0,1,0,0,0,0,1,12,3,5,594,0,594,0,0
18,581,51,1,1,0,0,0,5,0,0,0,0,0,0,0,2,4,1,1,647,0,647,0,0
19,226,329,8,0,0,0,0,1,0,1,0,1,0,2,10,12,7,9,2,608,0,608,0,0
20,351,246,3,4,1,0,1,9,1,0,1,3,1,0,1,5,3,6,3,639,0,639,0,0
21,228,437,26,5,1,2,1,13,0,1,0,3,1,2,11,7,6,3,6,753,0,753,0,0
22,301,270,5,22,2,0,1,8,1,2,0,1,1,1,1,1,12,7,4,640,0,640,0,0
23,424,62,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,0,6,500,0,500,0,0
24,507,85,1,0,0,0,0,4,0,0,0,0,0,0,0,1,10,2,4,614,0,614,0,0
25,270,153,3,2,0,1,0,4,0,0,0,0,1,0,1,8,9,2,2,456,0,456,0,0
26,296,360,2,3,0,1,0,5,1,0,0,1,0,7,17,13,5,6,4,721,0,721,0,0
27,282,196,0,0,0,0,0,3,1,0,0,1,0,2,3,3,3,1,3,498,0,498,0,0
28,154,211,1,1,0,0,0,4,1,0,0,1,1,1,11,8,4,4,3,405,0,405,0,0
29,366,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,417,0,417,0,0
30,495,238,1,1,0,0,0,5,0,0,0,1,1,0,1,4,6,1,7,760,0,760,0,0
31,579,216,1,0,0,0,0,4,0,0,0,1,1,2,1,5,3,3,2,817,0,817,0,0
32,545,156,1,1,0,0,0,2,1,0,1,0,1,1,1,3,22,8,2,745,0,745,0,0
33,336,186,1,0,0,0,0,4,0,0,0,1,1,1,4,4,1,0,1,540,0,540,0,0
34,264,242,0,0,0,0,0,0,0,1,0,2,2,0,2,4,0,6,5,527,0,527,0,0
35,110,288,4,1,0,0,0,1,0,0,0,0,0,1,8,17,4,4,1,439,0,439,0,0
36,232,243,3,1,0,0,0,2,0,0,0,0,0,1,7,7,9,5,4,514,0,514,0,0
37,205,225,6,1,0,2,0,1,0,0,0,0,0,4,1,8,3,2,1,459,0,459,0,0
38,633,194,2,1,2,0,0,11,0,1,0,4,4,0,3,25,22,1,5,904,0,904,0,0
39,455,249,4,2,2,0,2,4,0,0,3,0,3,1,9,20,5,3,4,764,0,764,0,0
40,403,69,0,0,0,0,0,9,1,0,1,2,3,0,1,6,1,0,4,497,0,497,0,0
41,470,225,3,0,0,0,0,18,1,2,0,3,3,2,3,14,8,5,11,766,0,766,0,0
42,377,85,1,0,0,0,0,4,0,0,1,0,1,2,3,18,7,2,3,503,0,503,0,0
43,439,96,3,2,0,1,2,14,0,1,0,0,0,0,1,5,6,1,5,577,0,577,0,0
44,235,54,0,0,0,0,0,11,0,0,0,0,0,0,0,3,2,0,2,307,0,307,0,0
45,551,68,3,0,0,0,0,9,0,1,0,1,1,0,3,8,7,2,4,659,0,659,0,0
46,485,279,3,0,0,0,0,10,1,0,1,2,3,1,3,4,2,3,4,798,0,798,0,0
47,213,367,3,0,1,0,0,8,0,2,0,0,0,0,1,4,1,2,4,606,0,606,0,0
48,362,33,1,0,0,0,0,4,0,0,1,1,2,0,1,1,4,0,4,413,0,413,0,0
49,424,230,5,0,2,0,1,3,1,0,0,0,0,3,0,9,0,3,4,688,0,688,0,0
50,263,326,13,1,0,2,2,12,0,0,0,1,1,1,0,5,0,0,2,628,0,628,0,0
51,318,469,6,0,0,0,0,11,0,0,1,0,1,2,5,25,9,5,2,855,0,855,0,0
52,351,214,4,1,1,0,2,0,0,0,2,0,2,0,3,14,4,6,2,605,0,605,0,0
53,167,270,0,3,0,1,0,3,0,0,0,1,1,2,1,2,4,5,4,464,0,464,0,0
54,144,176,1,0,0,0,0,7,0,0,0,0,0,0,4,2,1,1,4,340,0,340,0,0
55,186,192,1,1,0,1,0,7,1,0,0,0,0,2,4,3,7,3,4,412,0,412,0,0
56,302,175,3,0,0,0,0,12,0,0,1,0,1,0,0,1,5,5,3,507,0,507,0,0
57,186,444,5,0,2,0,0,0,0,1,1,1,2,1,10,6,4,14,8,684,0,684,0,0
58,260,238,2,3,0,1,0,2,0,0,0,0,0,0,3,1,11,4,7,533,0,533,0,0
59,492,64,1,0,0,1,0,5,0,0,0,0,0,0,0,3,6,1,3,577,0,577,0,0
