Serial No. & Name of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Thakor Kevalji Nathaji,Patel Jayshreeben Kanubhai,Patel Jivabhai Ambalal,Girishji Jenaji Dabhi,Chaudhary Dineshbhai Salubhai,Zala Indrajitsinh Mahendrasinh,Thakor Mansangji Punjaji,Patel Dilipbhai Somabhai,Smt. Vandanaben Dineshkumar Patel,Thakor Baldevji Maganji,Thakor Babuji Dhanaji,Thakor Samaratji Balavantsinh,Prajapati Vitthalbhai Virdas,Mahmad Azam Haiderkhan Pathan,,,,,
1,8,311,280,3,2,1,1,3,0,0,0,3,5,3,620,0,11,631,0
2,11,151,250,4,0,0,0,0,1,1,1,1,6,0,426,0,5,431,0
3,3,357,120,1,0,1,1,0,2,0,0,1,0,0,486,0,1,487,0
4,4,503,87,2,1,1,0,1,1,2,0,2,1,5,610,0,5,615,0
5,6,209,263,5,1,1,0,0,1,2,0,0,1,2,491,0,4,495,0
6,0,333,215,4,0,1,0,0,1,1,0,2,4,0,561,0,3,564,0
7,7,571,61,0,0,0,0,1,0,0,0,2,4,4,650,0,3,653,0
8,11,329,200,4,0,1,0,0,1,1,0,1,5,8,561,0,5,566,0
9,2,332,122,3,0,0,0,0,4,0,0,3,2,2,470,0,5,475,0
10,4,160,314,1,0,0,0,1,5,0,0,1,9,1,496,0,3,499,0
11,9,139,257,3,0,1,0,0,1,3,1,3,4,4,425,0,8,433,0
12,8,83,356,4,0,2,1,0,2,1,1,1,6,4,469,0,6,475,0
13,5,46,357,2,1,2,0,1,0,1,4,4,4,8,435,0,12,447,0
14,2,299,38,1,0,0,1,0,2,0,0,0,1,0,344,0,2,346,0
15,0,273,27,1,0,1,0,0,1,0,0,0,2,0,305,0,1,306,0
16,9,117,439,7,0,1,0,0,0,0,1,2,8,0,584,0,3,587,0
17,8,472,322,4,0,1,0,0,3,2,0,5,6,2,825,0,8,833,0
18,5,283,167,5,0,2,2,2,1,2,0,3,5,6,483,0,9,492,0
19,8,230,92,2,0,0,0,2,1,2,0,2,4,4,347,0,12,359,0
20,8,389,211,5,0,0,1,1,2,2,1,1,3,6,630,0,7,637,0
21,2,232,56,0,0,1,0,0,0,0,0,1,1,1,294,0,1,295,0
22,11,438,211,4,1,0,0,1,0,1,1,2,10,2,682,0,8,690,0
23,2,221,6,0,0,0,0,0,0,0,0,0,0,2,231,0,3,234,0
24,5,310,230,3,0,1,0,3,3,0,1,3,9,11,579,0,5,584,0
25,0,224,92,0,0,0,0,0,1,1,2,1,1,3,325,0,4,329,0
26,12,161,401,7,3,1,0,0,5,2,2,0,4,4,602,0,8,610,0
27,3,182,225,4,2,2,1,0,1,0,2,1,4,7,434,0,13,447,0
28,5,171,201,4,0,1,0,1,3,0,1,3,4,3,397,0,8,405,0
29,5,230,287,4,0,1,2,1,3,1,2,3,3,5,547,0,4,551,0
30,11,196,307,4,0,1,1,0,4,4,1,3,8,8,548,0,9,557,0
31,5,459,134,1,0,0,0,1,2,0,1,1,0,3,607,0,4,611,0
32,11,388,387,3,1,1,1,2,1,0,2,2,9,8,816,0,9,825,0
33,8,310,304,2,0,0,3,0,0,0,0,0,1,7,635,0,13,648,0
34,4,169,193,1,0,0,0,1,0,2,0,1,4,3,378,0,3,381,0
35,12,240,310,1,1,2,0,1,1,1,3,1,7,8,588,0,8,596,0
36,10,91,380,6,0,0,1,0,0,5,1,4,7,3,508,0,13,521,0
37,13,200,375,9,1,1,3,0,3,4,1,0,11,8,629,0,16,645,0
38,13,272,376,3,0,1,0,3,0,2,3,5,7,6,691,0,17,708,0
39,11,245,389,9,0,1,0,3,4,0,1,7,3,7,680,0,15,695,0
40,2,322,102,0,0,1,0,0,1,0,0,0,2,3,433,0,1,434,0
41,4,225,134,1,0,0,0,0,2,0,1,2,1,4,374,0,2,376,0
42,4,241,128,0,0,0,0,1,0,0,1,0,2,0,377,0,0,377,0
43,4,211,201,5,0,0,1,0,1,2,0,0,1,2,428,0,6,434,0
44,1,373,13,0,0,0,0,0,0,0,0,0,3,2,392,0,1,393,0
45,2,411,20,1,1,0,0,0,0,0,0,1,0,0,436,0,0,436,0
46,5,197,223,2,1,3,0,0,0,0,1,0,2,1,435,0,6,441,0
47,8,165,524,13,2,0,0,1,1,0,1,1,14,4,734,0,7,741,0
48,0,121,9,0,0,0,1,0,0,1,0,0,1,0,133,0,1,134,0
49,3,424,67,0,0,0,0,0,2,0,0,1,1,2,500,0,3,503,0
50,0,368,43,1,0,0,0,0,1,0,0,1,0,4,418,0,2,420,0
51,14,78,288,4,1,0,0,0,2,1,1,3,6,2,400,0,12,412,0
52,11,138,258,3,1,1,0,0,1,0,0,1,5,7,426,0,6,432,0
53,4,336,95,1,0,0,0,0,0,0,0,1,0,1,438,0,3,441,0
54,3,161,317,1,0,0,0,0,0,0,0,0,2,0,484,0,6,490,0
55,9,261,265,3,1,0,1,0,4,1,0,0,2,1,548,0,2,550,0
56,5,187,125,1,0,0,0,1,4,1,1,1,2,1,329,0,3,332,0
57,11,156,234,3,1,0,0,1,0,1,0,1,4,6,418,0,8,426,0
58,12,61,211,2,0,1,1,0,0,1,3,1,3,4,300,0,10,310,0
59,5,517,33,2,0,1,1,0,0,2,1,0,1,2,565,0,2,567,0
60,1,383,22,1,0,0,0,0,0,0,1,0,0,9,417,0,5,422,0
61,13,737,83,3,0,0,0,1,0,0,1,0,5,12,855,0,7,862,0
62,12,335,188,2,3,2,1,0,1,0,1,1,2,3,551,0,5,556,0
63,0,394,47,0,2,0,0,0,1,0,0,0,3,3,450,0,2,452,0
64,6,323,67,1,1,0,1,0,0,0,0,0,0,3,402,0,1,403,0
65,2,294,183,1,0,0,0,1,7,0,1,2,2,0,493,0,3,496,0
66,2,267,56,0,0,0,0,1,1,0,0,0,0,0,327,0,2,329,0
67,7,65,190,4,0,0,0,0,0,1,0,0,0,1,268,0,3,271,0
68,9,244,272,2,0,3,1,1,2,2,1,3,9,14,563,0,6,569,0
69,11,388,199,1,0,4,1,2,0,0,1,0,1,1,609,0,9,618,0
70,7,480,139,1,0,1,1,0,0,1,0,1,3,6,640,0,6,646,0
71,0,557,70,2,0,0,0,0,1,0,0,0,0,1,631,0,5,636,0
72,3,391,120,3,0,1,1,1,5,1,1,0,2,0,529,0,1,530,0
73,3,316,53,1,0,0,0,1,2,0,0,1,3,1,381,0,5,386,0
74,19,257,271,7,0,2,0,0,5,0,0,4,1,2,568,0,13,581,0
75,6,255,279,2,0,0,0,1,1,1,0,0,10,9,564,0,7,571,0
76,15,197,171,4,0,0,2,0,0,1,3,2,5,2,402,0,5,407,0
77,13,305,323,5,0,2,0,1,2,2,0,1,3,4,661,0,9,670,0
78,9,91,336,4,0,0,1,1,1,0,0,2,0,3,448,0,7,455,0
79,5,122,211,4,0,0,1,0,0,0,2,3,4,10,362,0,8,370,0
80,12,264,367,6,1,5,0,0,2,0,1,3,5,3,669,0,6,675,0
81,2,398,35,1,0,0,1,0,0,0,0,0,1,2,440,0,1,441,0
82,9,68,576,6,3,2,1,0,2,2,2,1,21,4,697,0,12,709,0
83,1,382,40,1,0,1,0,0,0,0,0,0,0,0,425,0,1,426,0
84,1,988,30,0,0,0,0,0,1,0,0,1,0,7,1028,0,2,1030,0
85,6,248,132,0,1,0,0,1,2,2,0,2,7,7,408,0,2,410,0
86,1,334,111,2,0,0,0,0,3,1,0,0,2,5,459,0,2,461,0
87,6,374,285,5,0,1,2,0,0,0,3,3,3,4,686,0,7,693,0
88,2,518,52,1,0,0,0,0,0,0,0,0,0,0,573,0,1,574,0
89,1,439,79,1,0,0,0,0,3,0,0,2,0,2,527,0,3,530,0
90,4,345,154,2,0,1,0,2,0,0,0,1,2,2,513,0,2,515,0
91,0,406,14,0,0,0,0,0,0,0,1,0,0,1,422,0,1,423,0
92,0,385,55,0,0,1,0,0,3,1,0,1,1,0,447,0,1,448,0
93,14,181,319,6,0,0,0,2,2,2,2,4,7,8,547,0,7,554,0
94,1,411,202,2,0,0,1,2,0,0,0,0,1,2,622,0,3,625,0
95,9,318,323,3,1,1,0,3,1,0,0,1,3,11,674,0,16,690,0
96,6,221,172,3,0,0,0,0,1,1,1,2,2,7,416,0,6,422,0
97,1,441,33,1,0,1,1,0,3,0,0,0,0,0,481,0,3,484,0
98,13,336,422,5,3,1,1,2,1,2,3,5,5,6,805,0,20,825,0
99,14,180,555,6,1,0,0,2,2,0,3,1,4,5,773,0,8,781,0
100,7,314,490,3,1,0,0,0,0,0,0,1,2,0,818,0,12,830,0
101,9,202,546,8,0,0,1,2,1,1,1,0,9,5,785,0,15,800,0
102,3,500,312,3,1,1,0,0,6,0,1,0,3,0,830,0,3,833,0
103,4,221,571,4,1,1,1,0,0,0,0,1,3,2,809,0,2,811,0
104,11,321,356,5,0,0,0,1,2,0,0,1,4,3,704,0,7,711,0
105,8,483,170,5,0,1,0,1,2,1,2,2,6,8,689,0,13,702,0
106,5,435,291,2,2,1,0,0,4,3,0,1,6,1,751,0,14,765,0
107,7,244,194,3,1,3,1,1,0,1,2,2,4,6,469,0,8,477,0
108,4,81,281,1,0,1,2,0,0,1,0,0,0,1,372,0,9,381,0
109,9,542,211,1,2,1,0,0,1,2,0,2,1,0,772,0,2,774,0
110,5,295,251,0,3,1,0,1,0,1,2,0,4,1,564,0,2,566,0
111,4,160,174,3,0,0,0,0,1,1,0,0,2,0,345,0,7,352,0
112,10,334,163,1,0,1,0,1,2,1,1,1,1,2,518,0,20,538,0
113,2,269,177,3,0,0,1,0,2,1,0,1,1,3,460,0,8,468,0
114,5,109,167,1,0,1,0,0,0,1,1,2,2,4,293,0,0,293,0
115,5,289,133,0,2,5,0,0,2,0,0,1,4,5,446,0,3,449,0
116,4,216,165,0,1,0,0,0,3,1,2,1,2,5,400,0,8,408,0
117,4,279,160,0,1,0,0,0,1,0,1,0,3,0,449,0,7,456,0
118,11,181,161,4,1,4,0,0,0,0,1,1,3,2,369,0,4,373,0
119,10,184,287,3,0,2,0,1,0,2,6,4,7,7,513,0,23,536,0
120,10,339,217,0,0,1,0,0,0,1,0,1,5,2,576,0,4,580,0
121,6,214,165,3,0,0,1,0,2,1,0,0,5,8,405,0,7,412,0
122,5,280,285,2,1,0,0,1,0,0,0,0,3,1,578,0,2,580,0
123,15,179,502,4,2,0,1,2,1,2,0,2,8,3,721,0,14,735,0
124,3,495,14,0,0,2,1,0,0,0,2,1,0,2,520,0,3,523,0
125,7,353,59,1,1,0,0,0,0,1,4,3,3,10,442,0,8,450,0
126,2,445,40,0,1,0,1,1,0,0,0,0,1,3,494,0,2,496,0
127,9,399,112,1,0,0,0,1,2,0,0,1,0,4,529,0,8,537,0
128,23,490,256,7,0,0,1,3,1,1,1,1,0,4,788,0,8,796,0
129,6,31,154,0,0,2,0,0,2,0,0,0,0,2,197,0,2,199,0
130,8,22,755,9,1,0,0,3,2,1,1,0,11,4,817,0,15,832,0
131,17,166,529,6,1,0,0,1,0,0,1,0,1,9,731,0,16,747,0
132,3,407,206,2,2,1,0,0,0,0,2,2,4,2,631,0,6,637,0
133,4,212,288,1,0,0,0,0,0,0,1,2,1,2,511,0,1,512,0
134,10,337,365,6,1,0,0,2,1,0,1,2,5,2,732,0,15,747,0
135,11,317,313,2,0,1,0,1,2,2,1,1,3,7,661,0,11,672,0
136,11,220,472,5,1,0,1,3,5,3,2,1,4,4,732,0,8,740,0
137,9,514,202,6,1,1,1,1,0,2,0,0,1,1,739,0,9,748,0
138,18,381,533,4,3,0,0,1,4,0,1,1,4,1,951,0,13,964,0
139,3,206,228,0,0,1,0,1,0,2,0,0,8,4,453,0,13,466,0
140,5,540,177,4,0,0,0,1,4,2,0,3,0,1,737,0,8,745,0
141,12,82,395,1,0,1,0,3,1,1,0,2,8,6,512,0,16,528,0
142,3,226,229,2,0,2,0,1,5,1,0,1,5,4,479,0,6,485,0
143,5,525,311,7,0,0,0,0,2,0,1,1,2,3,857,0,14,871,0
144,16,453,441,3,2,0,8,1,8,0,2,0,2,3,939,0,15,954,0
145,4,387,102,0,0,0,0,0,3,0,0,0,2,2,500,0,3,503,0
146,5,364,162,1,0,0,0,0,3,0,0,2,2,1,540,0,4,544,0
147,1,297,139,1,0,0,0,0,1,0,0,0,1,2,442,0,3,445,0
148,5,174,333,7,1,1,1,3,1,1,0,3,9,8,547,0,8,555,0
149,2,248,346,8,2,0,1,0,1,2,0,1,4,3,618,0,10,628,0
150,9,151,341,4,2,1,1,0,0,4,0,2,3,4,522,0,6,528,0
151,2,543,161,1,0,0,0,0,1,0,0,0,0,5,713,0,4,717,0
152,6,662,87,3,1,2,0,0,0,1,0,0,0,0,762,0,3,765,0
153,4,633,182,2,1,0,0,1,9,0,0,0,0,1,833,0,10,843,0
154,9,555,284,1,2,0,0,1,3,1,0,1,5,3,865,0,16,881,0
155,2,322,97,2,0,0,0,0,2,0,0,1,0,0,426,0,5,431,0
156,3,256,59,0,0,0,1,0,0,0,0,0,0,1,320,0,1,321,0
157,5,681,125,2,0,0,0,0,5,0,0,0,1,1,820,0,10,830,0
158,5,554,192,3,0,2,0,0,2,1,0,2,4,2,767,0,6,773,0
159,1,443,116,2,0,1,0,0,5,0,0,0,0,1,569,0,2,571,0
160,13,304,482,7,0,2,0,1,2,2,1,2,5,6,827,0,14,841,0
161,2,535,235,3,0,0,1,1,3,0,0,1,6,5,792,0,11,803,0
162,6,63,225,6,0,2,1,1,0,0,1,0,1,2,308,0,1,309,0
163,2,107,317,2,0,1,0,0,1,0,0,0,0,0,430,0,5,435,0
164,7,120,302,6,0,2,0,1,1,0,2,1,1,6,449,0,10,459,0
165,10,139,294,4,4,1,0,0,2,1,0,1,3,8,467,0,11,478,0
166,6,614,128,1,1,0,0,0,1,0,0,0,2,4,757,0,7,764,0
167,11,274,217,3,1,2,17,1,2,5,7,3,6,5,554,0,8,562,0
168,8,363,306,6,1,4,1,1,6,0,2,3,4,4,709,0,11,720,0
169,3,139,175,4,0,1,0,2,1,1,2,1,3,2,334,0,5,339,0
170,9,355,169,3,0,2,6,0,0,2,1,2,1,6,556,0,4,560,0
171,3,168,464,2,1,0,0,1,0,0,0,1,9,2,651,0,7,658,0
172,6,271,218,2,1,1,0,0,0,0,0,0,0,4,503,0,1,504,0
173,9,515,201,1,0,1,0,0,3,1,0,2,3,4,740,0,1,741,0
174,6,146,352,6,0,0,0,0,0,0,0,0,1,6,517,0,9,526,0
175,6,150,331,2,0,0,1,0,2,0,0,1,4,1,498,0,5,503,0
176,3,451,208,0,1,1,2,1,0,0,3,1,2,5,678,0,4,682,0
177,4,154,280,3,0,0,0,0,1,0,2,4,5,0,453,0,2,455,0
178,1,211,380,4,0,1,1,0,2,2,1,1,4,1,609,0,7,616,0
179,5,192,412,2,1,1,2,0,0,0,1,1,8,4,629,0,4,633,0
180,6,473,161,3,1,1,2,4,5,3,1,4,5,10,679,0,16,695,0
181,10,197,423,6,2,2,2,0,1,1,3,3,2,7,659,0,6,665,0
182,9,516,311,4,1,0,0,0,1,2,1,3,3,8,859,0,10,869,0
183,7,407,254,1,0,0,0,1,1,0,0,0,3,2,676,0,6,682,0
184,9,326,523,4,1,3,0,0,1,3,1,5,4,2,882,0,3,885,0
185,9,291,399,4,0,0,1,1,0,0,0,0,10,5,720,0,10,730,0
186,3,172,199,1,0,0,0,1,4,0,0,1,4,4,389,0,2,391,0
187,3,741,86,0,0,0,0,1,1,0,2,1,1,7,843,0,1,844,0
188,1,360,177,6,0,0,0,2,0,1,0,0,5,5,557,0,4,561,0
189,22,292,354,6,2,0,0,1,3,2,7,3,11,7,710,0,6,716,0
190,19,122,570,3,2,0,1,1,4,14,4,2,11,10,763,0,18,781,0
191,9,199,344,8,0,1,0,0,1,2,3,3,9,6,585,0,8,593,0
192,4,352,265,2,2,1,0,1,1,1,0,1,6,7,643,0,7,650,0
193,10,452,399,11,1,2,1,1,2,0,2,7,9,7,904,0,14,918,0
194,5,473,302,11,0,0,1,3,2,1,0,2,6,9,815,0,11,826,0
195,7,171,446,4,3,2,1,1,1,4,12,4,6,1,663,0,6,669,0
196,9,296,321,6,1,1,1,1,4,5,4,2,3,2,656,0,5,661,0
197,6,311,145,2,1,0,1,0,1,0,0,0,0,6,473,0,4,477,0
198,1,193,142,2,0,1,0,0,0,0,1,0,2,3,345,0,3,348,0
199,8,193,505,7,1,0,1,0,0,1,0,1,5,4,726,0,6,732,0
200,9,231,472,9,1,2,0,0,1,0,4,3,10,7,749,0,17,766,0
201,14,266,198,3,2,0,1,1,2,1,3,2,6,8,507,0,10,517,0
202,6,417,113,1,0,0,0,0,2,0,0,0,1,1,541,0,6,547,0
203,4,364,278,4,1,0,1,1,2,1,1,2,0,1,660,0,6,666,0
204,5,325,312,4,0,0,0,1,0,1,1,0,3,6,658,0,12,670,0
205,7,263,265,5,1,1,1,0,0,2,2,3,4,2,556,0,12,568,0
206,8,225,428,6,0,1,0,0,3,1,3,1,6,9,691,0,14,705,0
207,9,257,401,4,3,1,1,2,1,1,1,2,3,6,692,0,8,700,0
208,2,289,123,0,0,0,1,1,0,0,2,0,2,3,423,0,2,425,0
209,3,328,164,1,0,0,1,2,0,5,1,0,1,2,508,0,6,514,0
210,15,422,226,6,3,1,1,2,2,3,4,6,10,11,712,0,18,730,0
211,8,243,397,8,1,1,1,1,0,3,2,2,6,2,675,0,11,686,0
212,5,177,230,4,0,1,0,0,2,0,0,1,3,0,423,0,5,428,0
213,7,174,225,2,1,0,0,0,1,4,1,1,3,2,421,0,9,430,0
214,8,513,121,0,0,3,0,0,0,1,0,2,4,4,656,0,1,657,0
