Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,,,,,,
1,371,208,0,0,0,0,0,1,0,0,0,0,0,0,7,9,9,9,0,614,0,614,0,0
2,494,179,2,0,2,0,0,3,0,1,1,2,3,1,5,11,4,6,2,716,0,716,0,0
3,300,250,6,0,1,1,0,1,2,0,1,0,1,2,7,23,11,10,6,622,0,622,0,0
4,77,243,4,0,1,0,1,6,1,0,1,0,1,0,4,4,5,2,3,353,0,353,0,0
5,302,391,2,1,0,0,2,2,1,0,2,3,4,7,14,39,5,3,4,782,0,782,0,0
6,219,344,8,1,1,1,1,0,0,1,5,2,0,3,16,13,2,3,1,621,0,621,0,0
7,136,445,8,9,1,0,3,2,4,2,1,3,4,5,18,30,28,21,14,734,0,734,0,0
8,275,71,1,0,0,0,2,1,0,0,0,1,0,1,0,2,5,2,2,363,0,363,0,0
9,357,33,2,0,0,0,0,0,0,0,0,0,2,0,0,4,4,1,2,405,0,405,0,0
10,547,159,2,0,0,0,0,4,0,1,0,1,2,1,0,5,34,6,6,768,0,768,0,0
11,249,152,0,1,0,1,0,3,0,0,1,0,1,1,4,9,2,1,1,426,0,426,0,0
12,116,143,4,1,1,1,0,1,0,0,0,0,0,0,2,3,1,1,0,274,0,274,0,0
13,333,250,5,0,2,1,0,1,1,0,1,0,5,4,10,25,12,8,5,663,0,663,0,0
14,628,147,1,1,1,0,0,2,0,0,0,0,0,1,3,7,20,9,2,822,0,822,0,0
15,423,141,1,0,1,0,0,1,0,0,0,0,0,1,3,8,4,1,3,587,0,587,0,0
16,220,128,0,0,0,0,0,1,1,0,0,0,0,0,1,3,1,1,1,357,0,357,0,0
17,137,453,7,2,1,0,0,0,0,2,1,0,0,2,8,10,4,10,3,640,0,640,0,0
18,238,245,1,1,2,0,2,2,0,0,1,0,1,0,4,3,4,6,4,514,0,514,0,0
19,397,162,2,1,0,0,0,4,0,0,0,1,0,0,5,7,8,2,3,592,0,592,0,0
20,357,145,3,0,1,0,0,1,2,0,0,1,0,1,2,3,6,2,1,525,0,525,0,0
21,366,160,4,0,0,0,0,0,0,0,2,2,3,5,4,11,10,3,3,573,0,573,0,0
22,190,181,6,0,0,0,0,4,0,0,1,1,0,0,5,15,3,2,1,409,0,409,0,0
23,296,264,2,1,0,0,1,0,0,0,0,1,2,0,8,20,2,1,1,599,0,599,0,0
24,565,103,0,0,1,1,0,0,1,0,0,0,0,1,0,6,4,0,1,683,0,683,0,0
25,371,175,5,0,0,1,2,2,0,0,0,0,0,2,0,4,3,2,0,567,0,567,0,0
26,688,71,1,1,1,0,0,0,0,0,1,0,2,2,1,8,1,1,4,782,0,782,0,0
27,495,110,2,1,2,0,0,2,0,0,1,0,2,1,2,19,11,2,2,652,0,652,0,0
28,416,102,5,2,0,0,0,2,0,1,0,0,1,0,3,12,3,1,1,549,0,549,0,0
29,318,120,2,1,0,0,0,4,0,0,0,1,1,2,2,9,5,1,3,469,0,469,0,0
30,262,232,5,2,2,0,0,1,1,0,0,1,1,2,8,17,16,14,4,568,0,568,0,0
31,471,131,3,0,0,1,1,1,1,0,0,1,1,0,6,6,12,5,6,646,0,646,0,0
32,291,337,3,2,1,1,0,1,0,0,0,0,0,0,5,3,2,3,6,657,0,657,0,0
33,436,186,1,0,0,0,0,2,1,1,1,1,2,3,9,12,2,6,2,663,0,663,0,0
34,356,340,2,1,0,2,0,1,2,1,0,1,1,4,4,14,13,15,9,767,0,767,0,0
35,337,223,2,0,0,0,1,1,1,1,0,1,1,1,5,10,8,5,0,596,0,596,0,0
36,535,265,6,2,0,3,0,2,1,3,0,3,3,2,14,29,26,7,3,902,0,902,0,0
37,233,389,7,2,0,1,1,1,1,0,3,2,5,2,5,5,1,13,3,671,0,671,0,0
38,481,29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,1,519,0,519,0,0
39,153,678,4,0,0,1,1,3,0,0,0,0,0,2,3,5,2,3,0,855,0,855,0,0
40,652,115,5,1,2,0,0,0,2,0,1,0,1,0,0,8,0,1,0,788,0,788,0,0
41,384,85,2,0,2,1,0,0,0,1,2,1,3,4,2,10,10,4,9,520,0,520,0,0
42,417,55,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,478,0,478,0,0
43,510,283,1,2,0,0,0,4,2,2,0,1,1,3,10,11,4,4,4,844,0,844,0,0
44,461,61,1,0,0,0,1,1,0,0,1,0,1,2,1,8,6,5,2,550,0,550,0,0
45,180,179,4,3,0,0,0,0,1,0,0,1,1,1,10,16,2,5,5,408,0,408,0,0
46,404,351,5,1,1,0,0,6,0,0,0,0,0,0,3,4,13,8,3,800,0,800,0,0
47,190,811,14,7,0,0,0,7,1,4,0,1,1,2,3,2,3,10,8,1063,0,1063,0,0
48,227,78,0,2,1,0,0,2,0,0,0,0,0,1,0,4,6,2,2,325,0,325,0,0
49,137,392,6,10,1,0,0,6,0,0,0,1,1,1,2,3,0,0,3,562,0,562,0,0
50,389,403,3,16,1,0,1,9,1,1,0,2,2,3,6,24,5,9,2,878,0,878,0,0
