Sr.No of Polling Station,No.of Valid Votes Cast Favour of,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Votes,NOTA,Total,No.Tendred Votes
,KOLIPATEL SOMABHAI GANDABHAI,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVJIBHAI GOVINDBHAI,PATEL JETHABHAI MANJIBHAI,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVADA PALABHAI NANJIBHAI,PARMAR PARBHUBHAI GOKABHAI,PARMARVASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRATBHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,ZALA MANSINH SHIVUBHA,VADALIYA KALUBHAI MALUBHAI,VAGEHLA PRAKASHBHAI BACHUBHAI,VORA BHAVABHAI DEVABHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI,,,,,
1,333,8,227,5,0,0,1,0,0,1,4,1,2,4,4,10,7,607,0,0,607,0
2,146,2,325,3,0,1,0,1,1,0,1,0,0,3,2,1,3,489,0,6,495,0
3,151,8,309,3,0,1,0,0,0,0,0,1,1,2,0,3,5,484,0,5,489,0
4,200,11,305,8,1,0,0,0,0,0,1,1,1,5,2,9,6,550,0,8,558,0
5,131,5,397,5,1,2,0,2,0,0,1,4,2,2,2,10,3,567,0,8,575,0
6,78,4,205,5,0,0,0,0,1,0,0,0,0,2,0,3,6,304,0,2,306,0
7,70,3,162,3,0,3,0,3,4,0,2,0,0,3,5,6,2,266,0,6,272,0
8,128,4,106,0,1,1,0,1,3,1,2,1,1,1,1,15,8,274,0,2,276,0
9,111,3,124,0,0,3,1,0,2,1,0,1,2,3,3,11,3,268,0,2,270,0
10,126,2,123,1,1,0,0,2,0,0,0,0,0,3,1,8,2,269,0,2,271,0
11,143,5,112,4,1,0,0,2,2,0,1,1,2,0,0,10,7,290,0,7,297,0
12,214,10,138,1,0,0,0,0,2,0,0,2,2,1,2,15,8,395,0,9,404,0
13,179,7,49,1,1,0,1,0,0,0,0,0,0,0,1,1,3,243,0,3,246,0
14,169,8,229,5,1,1,2,2,0,0,1,2,0,2,4,8,5,439,0,3,442,0
15,210,9,219,8,0,1,1,2,0,0,0,0,0,3,5,17,10,485,0,6,491,0
16,178,6,156,2,1,0,0,2,1,0,3,0,1,2,4,17,8,381,0,2,383,0
17,121,8,211,28,0,3,1,1,2,3,2,0,1,4,1,8,5,399,0,3,402,0
18,46,2,265,16,0,0,0,4,1,1,1,1,3,4,0,3,1,348,0,1,349,0
19,209,7,163,3,0,0,0,1,0,2,1,3,1,5,4,10,5,414,0,1,415,0
20,131,7,362,20,0,1,0,0,0,0,1,0,1,4,1,4,4,536,0,2,538,0
21,203,0,144,6,1,0,0,0,0,0,0,1,2,0,1,8,5,371,0,1,372,0
22,104,2,119,7,0,0,0,0,0,4,0,0,0,1,1,6,2,246,0,1,247,0
23,103,2,176,3,1,0,0,0,0,0,0,0,1,0,0,2,2,290,0,2,292,0
24,117,5,273,13,0,1,1,0,0,0,1,0,1,4,6,6,4,432,0,5,437,0
25,232,2,166,16,0,1,2,1,0,2,1,0,2,3,0,6,10,444,0,2,446,0
26,118,3,191,6,1,0,1,0,0,1,0,1,2,2,1,8,5,340,0,3,343,0
27,147,7,294,6,2,1,0,0,0,2,0,2,0,0,1,4,3,469,0,4,473,0
