Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,"""None of the Above"" (NOTA)",valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes,of 11
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,,,,,,,
1,182,39,1,0,1,0,0,1,0,0,0,1,0,0,1,0,3,1,1,231,0,231,0,0,
2,515,143,3,4,2,2,0,1,6,5,6,3,8,3,6,36,8,12,7,770,0,770,0,0,
3,306,320,7,0,0,0,1,2,1,1,3,1,4,1,4,19,5,6,7,688,0,688,0,0,
4,35,360,12,0,1,0,0,3,1,0,0,1,0,0,10,20,6,7,5,461,0,461,0,0,
5,45,368,8,1,0,0,0,1,0,1,2,0,1,2,7,13,1,2,3,455,0,455,0,0,
6,277,49,2,1,0,0,1,1,1,0,0,0,0,2,1,6,3,1,3,348,0,348,0,0,
7,241,103,2,0,1,0,0,1,1,0,0,0,0,0,1,1,4,4,0,359,0,359,0,0,
8,187,226,10,3,0,0,0,0,1,1,0,1,0,2,1,7,5,2,0,446,0,446,0,0,
9,187,44,1,0,0,0,0,3,0,0,1,3,0,0,3,17,5,0,2,266,0,266,0,0,
10,32,516,8,1,2,1,1,0,1,0,0,0,0,2,6,6,10,57,8,651,0,651,0,0,
11,250,369,9,1,0,0,0,0,1,0,0,0,2,0,5,8,11,7,2,665,0,665,0,0,
12,176,170,2,0,0,0,0,0,0,0,2,1,2,0,2,7,5,2,4,373,0,373,0,0,
13,167,319,6,1,0,0,0,0,0,0,3,1,0,1,2,7,15,13,9,544,0,544,0,0,
14,246,26,2,0,1,0,0,3,0,0,0,0,0,2,1,6,2,0,1,290,0,290,0,0,
15,382,277,8,2,2,2,1,5,4,0,0,0,4,2,7,11,3,6,9,725,0,725,0,0,
16,202,176,1,0,1,0,0,7,1,0,0,0,2,0,4,3,6,3,2,408,0,408,0,0,
17,231,177,1,0,0,1,0,6,1,0,0,0,2,0,0,4,4,0,5,432,0,432,0,0,
18,148,183,5,7,2,0,1,9,0,0,0,1,1,4,1,5,5,4,2,378,0,378,0,0,
19,608,77,3,0,1,1,0,4,0,0,1,0,3,1,9,20,7,0,3,738,0,738,0,0,
20,492,125,0,0,1,0,1,10,0,0,0,2,1,1,2,6,1,1,4,647,0,647,0,0,
21,482,122,62,0,0,0,0,2,1,0,1,1,0,1,2,2,2,2,3,683,0,683,0,1,
22,431,91,4,2,1,1,0,1,1,2,2,0,3,1,2,17,7,1,1,568,0,568,0,0,
23,442,90,3,4,1,2,3,0,0,1,2,1,0,2,5,29,5,0,4,594,0,594,0,0,
24,293,29,1,0,0,1,0,0,0,0,0,0,1,0,1,4,11,1,0,342,0,342,0,0,
25,304,260,6,1,0,0,0,2,1,0,1,0,0,0,0,11,7,2,3,598,0,598,0,0,
26,267,249,15,0,0,0,0,2,1,1,0,0,1,1,3,16,6,4,5,571,0,571,0,0,
27,199,210,2,0,1,0,0,1,0,0,0,1,0,1,4,3,13,3,7,445,0,445,0,0,
28,216,22,4,0,0,0,0,1,0,0,0,1,0,0,0,3,6,5,4,262,0,262,0,0,
29,324,111,1,0,1,0,0,1,0,0,0,0,0,0,4,6,5,1,2,457,0,457,0,0,
30,296,100,3,1,1,1,1,2,0,0,1,0,1,0,2,10,5,2,7,432,0,432,0,0,
31,462,34,2,3,1,1,0,0,0,0,0,1,1,0,0,3,3,1,1,512,0,512,0,0,
32,57,206,1,7,1,1,0,2,0,0,0,0,0,0,1,0,1,4,1,282,0,282,0,0,
33,294,68,2,0,0,0,0,1,1,0,1,1,2,4,1,16,16,6,2,413,0,413,0,0,
34,287,103,1,0,0,0,0,1,0,0,0,0,0,1,4,8,4,0,1,410,0,410,0,0,
35,374,83,5,0,0,0,0,6,0,1,0,1,1,1,0,13,3,1,3,491,0,491,0,0,
36,86,401,12,2,1,0,0,5,2,2,0,0,0,4,5,16,1,0,3,541,0,541,0,0,
37,37,336,8,1,1,0,0,3,1,1,0,0,0,1,3,4,2,0,1,399,0,399,0,0,
38,369,426,5,3,0,2,2,2,1,2,1,4,5,10,15,34,11,4,3,898,0,898,0,0,
39,380,55,2,2,0,1,1,5,0,1,0,1,1,0,0,9,4,1,8,470,0,470,0,0,
40,402,159,7,0,1,1,0,3,0,0,2,1,3,2,0,21,5,5,7,618,0,618,0,0,
41,281,61,2,1,0,0,0,1,1,0,0,1,1,3,7,12,3,2,3,380,0,380,0,0,
42,479,109,9,2,2,0,1,2,3,4,2,2,4,6,8,28,7,3,5,677,0,677,0,0,
43,473,168,7,3,2,0,1,1,0,1,1,2,3,3,6,20,9,3,2,703,0,703,0,0,
44,508,194,7,1,1,0,1,3,0,1,1,3,4,3,9,18,6,7,0,765,0,765,0,0,
45,156,276,4,1,2,0,0,0,0,1,1,0,1,0,4,10,2,5,1,463,0,463,0,0,
46,163,343,5,3,0,1,1,1,1,1,1,2,3,2,9,12,3,7,4,560,0,560,0,0,
47,443,173,9,2,3,0,1,4,2,1,6,0,6,2,6,16,10,8,5,695,0,695,0,0,
48,135,222,2,0,0,0,0,0,0,0,0,0,0,0,4,12,2,5,3,389,0,389,0,0,
49,398,117,0,0,0,0,1,1,0,0,0,1,1,1,4,13,10,4,1,552,0,552,0,0,
50,516,104,2,0,0,1,0,4,0,1,0,1,1,2,3,14,10,1,1,660,0,660,0,0,
51,380,308,3,5,1,0,0,6,1,1,0,0,0,2,0,3,2,0,3,715,0,715,0,0,
52,455,149,3,0,0,0,0,4,0,0,0,0,0,0,0,8,1,1,0,623,0,623,0,0,
53,535,68,1,1,2,1,0,4,1,0,0,0,0,0,2,10,6,1,6,639,0,639,0,0,
54,335,41,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,0,2,388,0,388,0,0,
55,311,52,0,0,0,0,0,7,0,0,0,0,0,1,0,1,3,0,1,376,0,376,0,0,
56,728,99,0,1,0,0,0,9,0,0,0,0,0,0,0,5,20,1,2,865,0,865,0,0,
57,708,70,0,0,0,1,1,4,0,0,0,1,1,0,1,5,5,0,7,803,0,803,0,0,
58,538,322,8,0,1,0,0,8,0,0,0,0,0,1,0,10,2,2,4,897,0,897,0,4,
