polling station,,,,,,,,,,,,,,,valid,No. of Rejected Votes,NOTA,Total,No. of Tendered Voters
,Patel Himmatsingh Prahladsingh,Paresh Rawal ,Rohit Rajubhai Virjibhai  Alias Manojbhai Sontariya,Aditya Raval,Khalifa Samsuddin Nasiruddin (Jugnu),Dutt Aakash - Advocate,Dinesh Vaghela,Naranbhai T. Sengal (Dr. N.T. Sengal),Buddhpriya Jasvant Somabhai ,Vijaykumar M. Vadhel ,Atikbhai Mev ,Anilkumar Sharma,Dashrathbhai M. Devda,Roshan Priyavadan Shah,,,,,
1,100,441,6,1,0,0,11,0,1,1,0,0,2,5,568,0,2,570,
2,117,467,4,0,1,0,7,0,1,0,0,0,2,1,600,0,8,608,
3,113,708,4,0,0,1,23,0,0,0,0,1,1,1,852,0,9,861,
4,161,553,1,0,0,1,28,0,1,2,0,0,4,0,751,0,13,764,
5,124,687,4,1,1,0,21,0,1,1,0,0,1,1,842,0,8,850,
6,51,545,1,0,0,0,12,0,0,0,0,1,1,7,618,0,10,628,
7,45,395,4,0,2,0,2,0,0,0,0,0,0,0,448,0,7,455,
8,114,535,10,1,3,0,10,2,0,0,0,2,3,6,686,0,7,693,
9,113,423,13,2,0,1,12,2,0,0,0,3,5,3,577,0,12,589,
10,61,271,4,0,1,1,2,1,0,1,3,1,3,4,353,0,2,355,
11,77,507,1,1,0,0,7,0,1,0,1,0,0,1,596,0,6,602,
12,88,734,5,1,1,1,8,0,0,1,2,1,2,3,847,0,10,857,
13,124,724,4,1,1,0,10,0,0,0,0,0,2,0,866,0,18,884,
14,87,588,3,0,0,0,3,1,0,0,0,0,0,0,682,0,3,685,
15,122,328,1,1,0,1,16,1,0,0,0,0,0,3,473,0,11,484,
16,142,517,5,1,0,2,13,1,0,0,0,2,1,1,685,0,6,691,
17,48,405,2,1,0,1,5,0,0,1,0,0,2,1,466,0,6,472,
18,34,371,3,0,0,1,7,0,0,0,1,2,0,5,424,0,5,429,
19,60,862,4,1,1,0,7,1,0,0,0,0,0,2,938,0,7,945,
20,35,794,0,0,0,1,7,0,0,0,0,0,0,0,837,0,6,843,
21,30,720,0,0,0,0,8,1,0,0,0,0,0,0,759,0,6,765,
22,94,847,2,1,1,1,13,1,0,1,0,0,1,3,965,0,11,976,
23,136,679,5,2,0,1,26,1,0,0,2,0,1,2,855,0,7,862,
24,108,616,2,0,0,2,3,0,0,0,0,0,1,4,736,0,9,745,
25,94,710,10,1,0,2,4,0,0,0,0,0,1,2,824,0,4,828,
26,101,560,3,1,0,0,9,0,0,0,0,0,0,0,674,0,7,681,
27,106,675,2,0,1,0,5,0,0,1,0,0,2,2,794,0,0,794,
28,58,799,4,0,0,0,14,0,0,0,2,1,1,4,883,0,9,892,
29,59,734,4,1,1,0,11,1,1,1,0,1,0,6,820,0,6,826,
30,67,476,2,0,0,2,8,0,0,0,0,0,0,0,555,0,7,562,
31,58,652,2,0,0,0,8,0,0,0,0,0,0,1,721,0,6,727,
32,65,796,2,0,0,0,8,1,0,0,0,0,0,1,873,0,14,887,
33,32,746,1,0,0,0,2,0,0,0,0,0,0,0,781,0,5,786,
34,23,431,0,0,0,0,5,0,0,0,0,0,0,0,459,0,0,459,
35,40,940,1,0,1,0,12,0,0,0,0,0,0,0,994,0,5,999,
36,34,625,1,0,1,1,3,1,0,0,0,0,0,1,667,0,5,672,
37,16,396,2,1,0,0,3,0,0,0,0,0,0,0,418,0,6,424,
38,70,878,0,0,0,0,18,1,0,0,2,1,0,4,974,0,5,979,
39,49,884,1,1,0,0,5,1,0,1,0,0,2,1,945,0,3,948,
40,146,570,1,2,0,0,3,1,0,1,0,2,1,2,729,0,8,737,
41,45,627,0,0,0,0,5,1,0,0,0,0,1,0,679,0,6,685,
42,96,427,1,0,0,1,11,0,0,0,0,0,1,1,538,0,6,544,
43,18,590,1,0,0,0,1,0,0,0,0,0,0,1,611,0,7,618,
44,30,812,1,0,0,0,3,0,0,0,1,1,1,1,850,0,6,856,
