Sl. No.of Polling Station,,,,,,,,,,,,,,,,,,,,valid,No of Rejected Votes,Total,No. of Test Votes (VVPAT),No. Tendered Votes
,L. K. Advani,Kiritbhai Ishvarbhai Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh Javansinh,Dipikaben Sutariya,Desai Khodabhai Laljibhai,Pagi Ganpatbhai Mavjibhai,Birjusinh Motisinh Kshatriya,Brahmbhatt Sanjaybhai Amarkumar,Raj Prajapati,Rahul Chimanbhai Mehta,Vaghela Kishorsinh Mahobatsinh,M. K.Shah,"""None of the Above"" (NOTA)",,,,,
1,502,80,0,0,0,0,0,18,0,0,1,0,0,0,0,5,1,2,16,625,0,625,0,0
2,441,149,0,0,1,1,0,18,0,0,0,0,0,0,0,6,2,1,6,625,0,625,0,0
3,630,83,2,0,0,2,0,31,0,0,0,0,0,0,0,2,0,0,15,765,0,765,0,0
4,704,92,0,1,0,0,0,34,0,0,0,0,0,0,0,5,2,0,19,857,0,857,0,0
5,773,109,0,0,1,0,2,18,0,0,0,0,1,0,0,1,2,1,24,932,0,932,0,0
6,402,33,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,9,454,0,454,0,0
7,500,49,1,0,0,0,0,11,0,1,0,0,1,0,0,1,3,2,11,580,0,580,0,0
8,477,75,0,0,1,1,1,22,0,0,0,0,0,0,0,1,0,0,18,596,0,596,0,0
9,440,39,0,0,0,0,0,15,0,0,0,0,0,0,0,1,1,0,7,503,0,503,0,0
10,385,35,0,0,0,0,0,9,0,0,0,0,0,0,0,1,3,0,11,444,0,444,0,0
11,341,99,0,0,0,0,0,11,0,0,0,0,0,0,1,1,4,1,9,467,0,467,0,0
12,703,109,3,1,0,0,0,26,0,0,0,0,0,1,0,2,3,0,18,866,0,866,0,0
13,720,92,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,15,857,0,857,0,0
14,325,47,0,0,0,0,0,3,0,0,0,0,0,0,2,1,3,0,8,389,0,389,0,0
15,377,68,0,0,0,0,0,5,0,0,0,0,0,0,0,1,3,0,8,462,0,462,0,0
16,740,57,2,0,1,0,1,18,0,2,0,0,0,0,0,1,2,0,10,834,0,834,0,0
17,675,61,0,0,0,0,0,22,0,1,0,0,0,0,0,2,4,2,13,780,0,780,0,0
18,735,69,0,0,3,1,0,8,0,0,0,1,0,2,0,6,0,0,10,835,0,835,0,0
19,561,60,1,0,0,0,0,18,0,0,0,0,0,1,0,1,1,0,10,653,0,653,0,0
20,845,57,0,0,0,0,0,17,0,0,0,0,1,0,0,2,3,1,11,937,0,937,0,0
21,770,56,0,0,0,1,1,25,0,0,0,1,0,0,1,3,6,0,13,877,0,877,0,0
22,589,64,1,0,0,0,1,23,0,0,1,0,0,0,0,2,1,0,17,699,0,699,0,0
23,425,44,1,0,1,0,0,17,0,0,0,0,0,0,0,2,2,0,12,504,0,504,0,0
24,782,86,2,0,0,0,1,21,0,0,1,0,0,0,0,7,3,1,15,919,0,919,0,0
25,653,46,1,0,1,1,0,19,0,0,0,0,1,0,0,3,0,0,27,752,0,752,0,0
26,910,57,1,0,0,1,0,17,0,0,0,0,3,0,0,5,1,0,13,1008,0,1008,0,0
27,656,59,0,0,0,0,0,12,0,0,0,0,0,0,0,2,2,0,7,738,0,738,0,0
28,857,81,4,1,0,0,1,13,0,0,1,0,0,0,0,2,2,1,8,971,0,971,0,0
29,226,410,10,1,1,0,1,14,2,0,3,3,6,0,1,5,1,2,0,680,0,680,0,0
30,198,386,6,0,0,0,0,20,0,1,4,2,6,3,3,10,5,5,1,645,0,645,0,0
31,182,367,8,3,1,1,0,14,1,2,0,4,4,3,6,10,11,9,10,635,0,635,0,0
32,595,54,1,0,0,0,0,19,0,1,0,0,0,0,0,1,0,1,17,690,0,690,0,0
33,481,47,4,0,1,0,0,21,0,0,0,0,0,1,0,0,0,0,15,570,0,570,0,0
34,733,41,0,0,0,0,0,16,0,0,0,0,0,1,0,4,10,0,18,823,0,823,0,0
35,658,50,0,0,2,0,0,22,0,1,0,0,0,0,0,2,3,0,19,757,0,757,0,0
