polling station,,,,,,,,,,,,,,,valid,rejected,NOTA,Total,tendered
,Patel Himmatsinh  Prahladsinh,Paresh Rawal,Rohit Rajubhai  Virjibhai,Aditya Rawal,Khalifa Samsuddin  Nasiruddin,Datt Akash ‐  Advocate,Dinesh Vaghela,Naranbhai T. Sengal,Buddhipriya  Jaswant Somabhai,Vijaykumar M.  Vadhel,Atikbhai Mev,Anilkumar Sharma,Dashrathbhai M.  Devada,Roshan Priyavadan  Shah,,,,,
1,61,672,3,1,0,0,20,0,1,0,0,0,0,1,759,0,6,765,0
2,41,530,2,1,1,0,12,0,1,0,0,0,1,2,591,0,7,598,0
3,45,592,2,1,0,0,3,0,0,0,0,0,0,1,644,0,8,652,0
4,84,415,3,2,0,1,7,1,0,1,0,2,2,3,521,0,3,524,0
5,26,412,1,0,0,0,12,0,0,0,1,0,1,3,456,0,6,462,0
6,43,602,2,1,0,0,13,0,0,0,0,0,0,0,661,0,7,668,0
7,91,595,1,0,0,0,7,0,0,1,0,0,3,2,700,0,10,710,0
8,49,543,4,1,1,0,17,0,2,1,0,0,1,1,620,0,4,624,0
9,38,635,1,0,0,2,10,1,0,1,0,1,1,1,691,0,4,695,0
10,43,495,1,1,0,0,7,0,0,0,0,0,0,0,547,0,2,549,0
11,37,474,2,0,0,0,1,0,0,1,1,0,1,0,517,0,4,521,0
12,42,639,4,2,0,0,7,1,0,0,0,0,0,4,699,0,6,705,0
13,54,511,1,0,0,1,7,1,0,1,1,2,1,5,585,0,10,595,0
14,36,641,3,0,0,0,7,1,0,0,0,0,0,2,690,0,9,699,0
15,18,601,2,0,1,0,33,0,1,0,1,0,0,2,659,0,4,663,0
16,65,563,2,1,0,0,10,0,0,0,0,1,0,1,643,0,6,649,0
17,52,633,5,2,1,0,15,0,0,0,0,3,1,1,713,0,0,713,0
18,20,413,2,0,0,0,6,0,0,1,1,3,0,2,448,0,9,457,0
19,48,491,1,0,0,0,9,0,0,0,2,0,0,1,552,0,9,561,0
20,56,602,2,0,0,0,9,0,1,0,0,0,0,0,670,0,5,675,0
21,83,625,5,0,0,0,14,0,0,0,1,0,1,2,731,0,8,739,0
22,48,440,2,1,1,2,4,1,0,0,0,0,0,2,501,0,2,503,0
23,38,416,1,0,0,0,3,0,0,2,0,1,0,0,461,0,4,465,0
24,57,783,4,0,0,1,13,1,0,0,1,1,2,1,864,0,7,871,0
25,69,538,3,0,0,1,12,0,1,0,0,1,0,0,625,0,10,635,0
26,53,513,2,0,0,1,5,0,1,1,0,0,1,1,578,0,3,581,0
27,26,494,3,1,0,0,6,1,0,1,1,0,1,0,534,0,5,539,0
28,83,550,2,0,1,0,6,1,0,0,0,0,1,2,646,0,8,654,0
29,49,549,2,0,1,1,6,1,0,0,1,0,0,1,611,0,3,614,0
30,35,473,4,0,1,0,3,1,0,1,0,0,0,0,518,0,3,521,0
31,156,358,7,0,0,0,8,0,1,1,1,0,0,2,534,0,4,538,0
32,27,487,2,2,0,1,3,1,0,0,1,0,0,0,524,0,5,529,0
33,34,534,0,3,0,0,11,0,0,1,0,0,0,0,583,0,4,587,0
34,66,421,0,0,0,0,16,0,1,0,0,2,0,0,506,0,3,509,0
35,52,423,4,0,0,0,6,3,0,0,2,1,0,4,495,0,3,498,0
36,80,489,3,0,3,1,22,1,0,1,0,1,1,5,607,0,6,613,0
37,176,292,3,0,1,0,6,0,0,0,1,1,0,0,480,0,6,486,0
38,54,258,2,0,0,0,1,0,0,0,1,1,0,1,318,0,2,320,0
39,50,752,1,0,0,0,5,0,0,0,0,0,0,1,809,0,6,815,0
40,71,488,1,1,0,1,8,0,0,2,1,1,0,2,576,0,4,580,0
41,77,337,1,0,1,1,5,1,0,0,0,0,0,1,424,0,5,429,0
42,59,552,1,1,1,0,4,0,0,0,0,2,1,3,624,0,11,635,0
43,121,294,3,0,0,0,11,2,2,0,0,0,2,2,437,0,6,443,0
44,78,501,0,1,1,0,7,0,0,0,1,0,2,2,593,0,4,597,0
45,123,429,5,0,0,0,10,3,0,1,3,2,1,3,580,0,8,588,0
46,88,315,1,2,0,0,3,1,1,1,0,0,0,3,415,0,7,422,0
47,93,373,2,0,1,0,3,0,0,0,0,0,2,1,475,0,3,478,0
48,67,298,2,1,1,0,5,1,1,4,2,1,2,1,386,0,10,396,0
49,40,412,2,0,0,0,5,0,0,0,0,0,0,1,460,0,1,461,0
50,208,347,3,0,2,0,4,1,0,0,0,0,1,3,569,0,8,577,0
51,133,354,8,1,0,1,9,0,0,1,3,4,2,5,521,0,6,527,0
52,111,386,5,1,0,0,3,0,0,0,2,1,6,6,521,0,18,539,0
53,69,479,1,2,2,0,5,1,2,1,2,0,1,0,565,0,9,574,0
54,26,493,2,0,0,0,5,0,0,0,0,0,0,0,526,0,5,531,0
55,65,549,0,0,0,0,2,0,0,0,0,0,1,0,617,0,7,624,0
56,65,539,4,0,1,1,13,1,0,1,0,2,0,1,628,0,8,636,0
57,50,403,2,0,0,1,10,1,0,0,0,0,1,0,468,0,4,472,0
58,63,634,1,1,0,0,6,0,0,0,0,0,1,1,707,0,9,716,0
59,158,383,3,0,0,0,10,0,0,0,0,1,1,3,559,0,6,565,0
60,77,617,6,0,1,1,8,0,1,0,1,0,1,0,713,0,5,718,0
61,89,789,9,0,2,0,12,1,0,2,1,0,2,3,910,0,12,922,0
62,61,624,5,0,0,0,9,1,1,0,0,1,0,4,706,0,3,709,0
63,106,719,4,4,1,0,9,2,2,0,0,1,4,3,855,0,13,868,0
64,25,605,1,0,0,1,9,1,1,0,1,1,1,0,646,0,2,648,0
65,94,701,5,2,0,0,9,0,0,0,1,0,0,1,813,0,8,821,0
66,52,610,2,0,1,0,9,1,0,1,0,0,1,1,678,0,8,686,0
67,247,450,4,1,0,0,13,0,0,0,1,0,0,1,717,0,11,728,0
68,138,431,1,0,0,1,13,0,0,0,1,0,0,0,585,0,7,592,0
69,114,505,5,0,1,1,11,1,2,1,1,0,0,3,645,0,8,653,0
70,41,683,5,1,0,0,6,1,0,1,2,1,0,1,742,0,3,745,0
71,114,730,4,1,2,0,7,1,1,0,0,0,2,3,865,0,8,873,0
72,37,512,1,0,0,0,19,0,0,0,0,1,1,1,572,0,4,576,0
73,232,300,6,0,1,1,5,0,0,0,1,1,1,1,549,0,8,557,0
74,55,907,2,0,1,0,6,0,0,0,0,0,0,5,976,0,5,981,0
75,24,526,0,1,1,0,13,0,0,0,0,0,0,0,565,0,6,571,0
76,32,626,0,1,0,1,5,0,1,0,1,0,0,1,668,0,5,673,0
77,39,390,1,0,0,0,4,0,1,0,0,0,0,3,438,0,2,440,0
78,120,675,5,0,0,0,13,0,0,0,0,2,1,2,818,0,16,834,0
79,33,697,1,0,0,0,5,1,0,0,0,0,1,1,739,0,6,745,0
80,93,529,6,0,0,0,5,1,0,0,1,2,1,1,639,0,8,647,0
81,59,793,5,1,1,1,18,0,0,0,1,0,0,1,880,0,6,886,0
82,222,535,1,0,0,0,4,0,1,0,0,0,0,1,764,0,6,770,0
83,70,724,5,0,1,0,4,2,0,1,1,1,1,4,814,0,3,817,0
84,129,686,5,0,0,0,7,1,0,0,2,1,1,3,835,0,16,851,0
85,501,379,2,1,0,0,36,0,0,0,0,2,1,1,923,0,9,932,0
86,84,449,5,1,0,0,7,0,1,0,1,1,1,3,553,0,7,560,0
87,399,295,7,1,0,3,5,0,0,2,3,2,5,6,728,0,19,747,0
88,82,679,3,1,0,0,19,0,0,0,0,0,0,0,784,0,5,789,0
89,151,574,27,2,0,0,12,2,1,0,0,1,2,1,773,0,9,782,0
90,44,661,1,1,0,0,6,0,0,0,0,0,0,0,713,0,3,716,0
91,33,287,1,0,1,1,1,0,0,0,0,0,0,1,325,0,2,327,0
92,85,535,2,1,1,0,3,1,0,0,0,0,0,2,630,0,5,635,0
93,61,332,2,0,0,0,3,0,0,0,0,0,2,1,401,0,7,408,0
94,157,592,3,0,0,1,8,1,2,1,0,3,6,3,777,0,19,796,0
95,193,543,3,2,0,2,3,2,0,1,2,2,0,5,758,0,8,766,0
96,80,190,2,0,0,0,1,0,1,0,0,0,0,1,275,0,11,286,0
97,135,442,5,0,0,2,0,2,1,0,0,1,0,2,590,0,3,593,0
98,491,201,2,1,0,0,12,1,0,2,1,0,0,2,713,0,7,720,0
99,360,119,6,0,1,0,9,0,3,0,0,2,1,0,501,0,13,514,0
100,265,219,5,0,0,0,2,0,0,0,0,1,1,1,494,0,7,501,0
101,108,212,4,0,0,0,2,0,0,0,1,0,0,2,329,0,4,333,0
102,320,252,2,2,2,0,9,0,0,0,1,0,0,1,589,0,4,593,0
103,393,204,1,2,1,0,8,0,0,1,0,1,0,1,612,0,8,620,0
104,695,23,0,0,0,0,6,0,0,0,0,0,0,2,726,0,4,730,0
105,532,19,0,0,0,0,8,0,1,0,0,0,0,0,560,0,5,565,0
106,706,24,2,0,1,0,15,0,0,0,0,1,0,0,749,0,5,754,0
107,870,22,0,1,1,0,17,0,0,0,0,0,0,0,911,0,8,919,0
108,566,9,0,1,0,1,18,1,0,0,0,0,0,0,596,0,8,604,0
109,714,17,3,1,0,0,8,0,0,0,0,0,0,0,743,0,5,748,0
110,676,24,0,0,0,0,9,0,0,0,1,0,1,1,712,0,7,719,0
111,590,21,0,0,0,0,5,0,0,0,1,0,0,3,620,0,6,626,0
112,536,183,3,1,1,1,5,0,0,1,2,1,1,2,737,0,7,744,0
113,678,25,0,0,1,1,9,0,0,1,1,0,0,0,716,0,5,721,0
114,715,39,2,0,0,0,9,0,1,1,2,1,2,4,776,0,7,783,0
115,234,249,1,1,0,0,7,0,2,2,2,1,0,2,501,0,2,503,0
116,452,65,1,0,1,0,12,0,0,0,0,0,1,1,533,0,3,536,0
117,655,26,1,0,0,0,25,0,0,0,0,0,0,1,708,0,5,713,0
118,680,44,1,0,1,0,12,0,0,0,0,1,4,1,744,0,5,749,0
119,773,29,0,1,1,0,12,0,0,0,1,1,0,1,819,0,6,825,0
120,854,22,1,0,1,1,5,1,0,0,0,0,2,0,887,0,5,892,0
