No. of Polling Station,No. of Valid Votes cast in favour of,,,,,,,,,,,,,,Total No. of Valid Votes,No. of Rejected Votes,NOTA,Total,No. of Tendered Voters
,Patel Himmatsingh Prahladsingh,Paresh Rawal,Rohit Rajubhai Virjibhai Alias Manojbhai Sontariya,Aditya Raval,Khalifa Samsuddin Nasiruddin (Jugnu),Dutt Aakash - Advocate,Dinesh Vaghela,Naranbhai T. Sengal (Dr. N.T. Sengal),Buddhpriya Jasvant Somabhai,Vijaykumar M. Vadhel,Atikbhai Mev,Anilkumar Sharma,Dashrathbhai M. Devda,Roshan Priyavadan Shah,,,,,
1,201,660,11,4,1,1,6,0,0,2,3,2,3,9,903,0,21,924,
2,218,490,5,0,1,1,3,2,1,0,4,1,3,9,738,0,16,754,
3,143,703,1,0,2,0,6,0,1,1,1,0,1,1,860,0,8,868,
4,51,764,1,0,0,0,14,0,0,0,0,0,0,0,830,0,5,835,
5,62,784,2,1,0,0,16,1,1,0,2,0,0,0,869,0,8,877,
6,100,533,3,0,0,0,14,0,1,0,3,0,0,1,655,0,7,662,
7,59,537,3,1,1,0,7,0,0,1,0,0,0,1,610,0,5,615,
8,154,455,3,1,0,0,9,2,1,1,0,4,4,5,639,0,22,661,
9,113,390,3,0,0,0,11,0,0,0,1,0,3,0,521,0,11,532,
10,59,668,2,0,0,0,13,0,0,0,0,0,0,0,742,0,8,750,
11,141,477,4,0,0,0,5,1,0,1,1,2,2,2,636,0,7,643,
12,134,627,5,1,0,0,5,2,0,0,0,0,1,1,776,0,7,783,
13,32,595,0,1,0,0,6,0,1,0,0,0,0,1,636,0,10,646,
14,161,488,7,1,0,1,4,2,1,0,1,5,4,3,678,0,17,695,
15,220,561,3,3,3,2,4,4,1,3,3,1,6,14,828,0,10,838,
16,257,194,19,10,10,7,8,5,1,4,1,13,9,9,547,0,22,569,
17,194,368,42,0,1,0,7,1,2,1,2,3,7,6,634,0,7,641,
18,472,262,5,0,4,1,0,0,0,0,0,3,4,11,762,0,18,780,
19,152,387,7,0,0,0,8,0,2,1,0,0,3,4,564,0,12,576,
20,178,460,14,2,1,2,15,0,1,1,1,0,8,12,695,0,8,703,
21,41,374,0,0,0,0,4,0,0,0,1,0,0,0,420,0,8,428,
22,335,208,32,1,3,2,11,0,2,0,5,1,5,9,614,0,18,632,
23,350,280,7,1,0,0,10,0,1,1,1,2,1,0,654,0,14,668,
24,59,246,1,0,0,0,8,1,0,1,0,0,0,0,316,0,5,321,
25,426,204,10,2,1,0,10,2,3,0,1,2,3,3,667,0,24,691,
26,292,475,0,1,0,0,8,0,1,0,0,0,0,2,779,0,10,789,
27,118,542,4,0,0,1,2,0,0,1,0,0,4,2,674,0,8,682,
28,152,636,1,3,1,1,31,0,0,1,0,1,0,0,827,0,11,838,
29,142,518,5,0,0,0,15,0,0,0,0,0,1,1,682,0,4,686,
30,161,455,2,2,1,0,12,0,0,0,0,1,1,0,635,0,6,641,
31,108,618,2,1,0,0,12,0,1,1,0,1,1,0,745,0,9,754,
32,185,453,6,0,0,0,17,0,0,0,0,0,0,2,663,0,10,673,
33,164,521,1,0,0,0,16,1,0,0,0,0,0,0,703,0,12,715,
34,164,383,6,1,2,1,5,0,0,0,2,1,4,6,575,0,15,590,
35,173,588,1,0,0,0,14,0,0,0,0,1,0,0,777,0,10,787,
36,117,550,3,1,0,0,7,0,1,0,1,0,0,1,681,0,10,691,
37,222,531,5,1,1,0,15,1,0,0,0,0,0,1,777,0,8,785,
38,135,714,4,0,1,0,10,0,1,0,0,0,1,2,868,0,5,873,
39,431,314,19,2,0,0,13,1,2,0,2,6,7,11,808,0,29,837,
40,191,407,6,2,1,1,12,2,3,2,1,1,3,10,642,0,15,657,
41,246,598,2,1,1,0,13,0,0,1,0,0,1,2,865,0,11,876,
42,210,339,7,1,0,1,2,1,0,3,0,2,2,8,576,0,17,593,
43,116,424,2,0,0,0,6,0,1,0,0,1,0,2,552,0,15,567,
44,60,753,2,0,0,1,11,1,0,1,0,0,1,2,832,0,17,849,
45,46,763,4,0,0,1,4,0,0,0,0,0,0,1,819,0,5,824,
46,74,645,3,0,0,0,4,0,0,0,0,0,3,1,730,0,6,736,
47,70,170,1,0,0,0,9,0,0,0,0,0,0,0,250,0,2,252,
48,94,392,2,2,0,0,0,2,1,0,0,1,1,4,499,0,10,509,
49,39,822,3,1,1,0,17,0,0,0,0,0,0,1,884,0,8,892,
50,52,745,7,0,0,1,14,0,0,0,0,1,0,1,821,0,6,827,
51,13,410,2,0,0,0,5,0,0,0,0,0,0,0,430,0,3,433,
52,29,423,2,0,0,0,4,1,0,0,0,0,0,0,459,0,6,465,
53,24,452,4,0,0,0,14,0,0,0,0,0,0,0,494,0,3,497,
54,22,459,3,0,1,0,3,0,0,0,0,0,0,0,488,0,2,490,
55,27,826,4,0,1,0,7,1,0,0,0,0,0,1,867,0,7,874,
56,28,524,2,0,0,0,6,0,0,0,0,0,0,1,561,0,6,567,
57,87,724,3,0,0,0,17,1,0,1,1,1,2,5,842,0,9,851,
58,128,504,2,1,0,1,6,0,0,0,1,0,0,2,645,0,6,651,
59,33,569,7,1,0,0,14,0,0,0,0,0,0,2,626,0,8,634,
60,53,590,4,0,0,0,7,0,0,0,1,0,1,3,659,0,6,665,
61,53,510,1,0,0,0,7,0,0,0,2,0,1,2,576,0,6,582,
62,193,172,3,1,1,1,6,1,1,0,1,1,2,3,386,0,8,394,
63,237,185,1,0,0,0,4,0,0,0,0,1,6,1,435,0,6,441,
64,80,308,4,1,0,0,5,0,2,0,0,1,4,3,408,0,1,409,
65,214,196,0,0,1,1,2,0,0,0,0,0,0,1,415,0,7,422,
66,243,131,9,1,0,3,9,2,0,1,0,0,11,4,414,0,18,432,
67,469,285,6,0,0,0,3,0,1,0,2,0,3,2,771,0,6,777,
68,246,170,3,0,0,1,1,0,0,0,1,2,2,2,428,0,17,445,
69,32,693,2,0,0,0,16,0,0,0,0,1,1,1,746,0,7,753,
70,51,482,6,0,0,0,8,0,0,0,2,0,0,1,550,0,5,555,
71,29,524,1,0,0,0,4,0,0,0,0,0,1,2,561,0,6,567,
72,39,748,1,0,0,1,15,0,0,1,0,1,0,2,808,0,6,814,
73,148,604,8,0,0,0,2,0,1,0,0,1,2,2,768,0,6,774,
74,173,567,3,0,4,0,11,1,0,0,3,2,8,3,775,0,17,792,
75,50,785,2,0,0,0,9,0,0,0,2,0,1,2,851,0,9,860,
76,56,565,3,0,0,0,5,1,0,1,0,0,0,2,633,0,14,647,
