No. of Polling Station,,,,,,,,,,,,,,,,valid,No. of Rejected Votes (Test Votes),Votes for NOTA option,tendered,total
,PATEL HIMMATSINGH PRAHLADSIGH (INDIAN NATIONAL CONGRESS),PARESH RAVAL (BHARTIYA JANATA PARTY),ROHIT RAJUBHAI VIRJIBHAI URF MANOJ SONTARIYA (BAHUJAN SAMAJ PARTY),ADITYA RAVAL (VISHWA HINDUSTANI SANGTHAN),KHALIFA SAMSUDDIN NASIRUDDIN (JUGNU) (AKHIL BHARTIY CONGRESS DAL) (AMBEDKAR),DATT AKASH ADVOCATE (JANATA DAL (UNITED),DINESH VAGHELA (AAM AADMI PARTY ),NARANBHAI T SENGAL (Dr. N.T.SENGAL) (BAHUJAN SURAKSHA DAL),BUDDHPRIYA JASHVANT SOMABHAI (PRAJATANTRA AADHAR PARTY),VIJAYKUMAR M VADHER (HINDUSTAN NIRMAN DAL),ATIKBHAI MEV (INDEPENDENT),ANIL KUMAR SHARMA (INDEPENDENT),DASHRATHBHAI M DEVDA (INDEPENDENT),ROSHAN PRIYVADAN SHAH (INDEPENDENT),NOTA,,,,,
1,337,61,0,1,0,0,15,0,0,2,0,0,0,2,10,428,0,10,0,438
2,314,117,5,2,0,1,19,1,1,0,3,0,2,0,11,476,0,11,0,487
3,297,489,13,2,4,1,8,0,1,1,0,1,2,3,12,834,0,12,0,846
4,654,257,8,0,1,1,16,1,0,2,2,1,0,2,12,957,0,12,0,969
5,389,474,3,2,1,0,9,0,0,0,2,1,0,1,8,890,0,8,0,898
6,476,177,5,1,1,1,43,1,3,1,1,0,2,2,11,725,0,11,0,736
7,404,321,2,0,1,1,8,0,1,2,1,0,5,1,5,752,0,5,0,757
8,514,313,3,1,1,0,51,1,0,0,0,0,2,4,32,922,0,32,0,954
9,341,381,7,2,1,1,18,1,3,0,1,0,3,3,10,772,0,10,0,782
10,71,600,4,1,0,0,5,3,0,2,0,1,3,5,13,708,0,13,0,721
11,237,328,6,3,1,0,12,1,0,2,1,3,0,3,12,609,0,12,0,621
12,188,489,6,1,0,2,8,0,1,0,1,0,1,2,8,707,0,8,0,715
13,175,367,7,1,0,0,4,0,0,0,1,1,0,1,5,562,0,5,0,567
14,377,268,3,0,0,0,7,1,1,0,0,0,2,3,10,672,0,10,0,682
15,311,142,2,0,1,0,3,0,0,1,0,0,1,0,6,467,0,6,0,473
16,135,152,3,0,0,1,3,0,1,1,2,0,3,4,3,308,0,3,0,311
