Sr. No. of Polling Station,Patel Himmatsingh Prahladsingh,Paresh Rawal,Rohit Rajubhai Virjibhai Alias Manojbhai Sontariya,Aditya Raval,Khalifa Samsuddin Nasiruddin(Jugnu),Dutt Aakash - Advocate,Dinesh Vaghela,Naranbhai T. Sengal (Dr. N.T.Sengal),Buddhpriya Jasvant Somabhai,Vijaykumar M. Vadhel,Atikbhai Mev,Anilkumar Sharma,Dashrathbhai M. Devda,Roshan Priyavadan Shah,Total No. of Valid Votes,No. of Rejected Votes',NOTA,Total,No. of Tendered Votes
1,245,192,35,1,1,0,4,0,0,1,1,0,3,0,483,0,10,493,0
2,579,287,12,1,0,0,9,0,4,0,1,1,0,0,894,0,15,909,0
3,468,40,2,2,1,0,5,0,1,1,0,0,0,0,520,0,5,525,0
4,104,625,1,1,0,0,9,0,0,0,0,1,0,0,741,0,4,745,0
5,445,51,33,0,1,0,1,0,0,0,0,0,1,6,538,0,18,556,0
6,223,239,4,0,0,0,1,0,1,0,0,0,0,3,471,0,10,481,0
7,209,228,5,0,1,0,4,0,1,1,0,1,1,1,452,0,6,458,0
8,30,547,0,1,0,0,6,0,0,0,0,0,0,0,584,0,7,591,0
9,25,535,1,0,0,0,3,0,1,0,0,0,0,2,567,0,7,574,0
10,155,590,1,0,0,1,14,0,0,0,2,0,1,2,766,0,10,776,0
11,582,188,10,0,1,1,27,0,4,0,0,0,0,1,814,0,14,828,0
12,195,516,3,0,1,0,8,0,0,1,3,1,1,1,730,0,16,746,0
13,242,256,5,0,0,0,6,0,0,0,0,0,3,4,516,0,14,530,0
14,288,103,0,2,0,0,11,0,0,0,0,0,0,0,404,0,8,412,0
15,158,525,11,0,1,1,1,1,0,1,0,1,3,8,711,0,9,720,0
16,345,109,6,1,1,0,7,0,1,0,1,1,0,1,473,0,6,479,0
17,365,84,0,0,0,0,3,0,0,0,0,1,1,0,454,0,4,458,0
18,289,131,2,1,3,0,4,1,0,1,0,0,0,0,432,0,5,437,0
19,294,90,0,0,1,0,3,0,0,0,0,0,1,0,389,0,11,400,0
20,343,120,2,2,0,1,2,0,0,0,0,0,0,1,471,0,3,474,0
21,163,275,2,0,1,0,1,0,0,0,1,0,0,3,446,0,4,450,0
22,168,233,2,0,2,0,7,0,0,0,0,1,0,0,413,0,6,419,0
23,149,741,1,0,1,0,9,0,0,0,0,1,0,0,902,0,12,914,0
24,101,739,3,0,1,0,11,1,0,2,0,0,2,0,860,0,6,866,0
25,164,616,2,2,1,0,5,1,0,0,1,0,2,3,797,0,10,807,0
26,205,88,2,1,0,0,12,0,0,0,0,0,0,0,308,0,9,317,0
27,167,455,3,0,0,2,2,2,0,0,2,3,5,5,646,0,11,657,0
28,222,444,7,1,0,1,11,2,2,1,0,1,1,0,693,0,8,701,0
29,166,323,0,0,0,0,4,0,0,0,0,0,0,0,493,0,5,498,0
30,79,623,1,0,0,0,12,0,1,0,0,1,1,1,719,0,12,731,0
31,372,428,7,1,0,0,19,0,0,1,2,1,3,4,838,0,21,859,0
32,68,453,2,1,0,0,4,1,0,0,0,0,0,0,529,0,7,536,0
33,41,503,1,0,0,0,5,0,0,0,0,1,0,1,552,0,9,561,0
34,49,431,2,0,0,1,11,0,0,0,1,0,1,1,497,0,8,505,0
35,96,341,0,0,0,0,9,0,0,1,0,0,1,2,450,0,7,457,0
36,97,694,3,0,0,1,7,0,1,0,1,0,0,0,804,0,4,808,0
37,87,612,5,0,1,1,7,0,0,0,0,0,2,3,718,0,11,729,0
38,384,426,2,0,1,1,14,0,0,0,2,1,2,1,834,0,10,844,0
39,160,598,11,0,1,0,8,1,1,2,2,0,0,5,789,0,14,803,0
40,187,329,7,0,0,0,1,0,0,1,0,4,3,2,534,0,10,544,0
41,140,674,7,4,1,0,5,1,0,1,2,1,0,4,840,0,13,853,0
42,96,805,0,1,0,0,24,0,0,0,0,2,0,0,928,0,12,940,0
43,310,459,3,0,0,0,4,0,0,0,0,0,3,2,781,0,9,790,0
44,117,489,7,2,2,1,6,1,2,2,1,3,3,9,645,0,13,658,0
45,153,395,2,2,0,0,7,0,1,0,0,0,1,5,566,0,5,571,0
