polling station,,,,,,,,,,,,Total Valid Votes,No. of Reject votes,NOTA,Total,No.of tender votes
,Ishvarbhai Dhanabhai Makwana,Dr. Kirit P. Solanki,Chavda Mansukhbh ai Nagarbhai,Amrut Sonara,Narendra Sankhaliya,Dr. J.G. Parmar,J. J. Mevada,Aayar Muljibhai Khanabhai,Parmar Harjivanbhai Kalabhai,Solanki Rameshbha i Danabhai,Solanki Vitthalbhai Maganbhai,,,,,
1,300,380,17,0,2,3,11,0,0,2,4,719,,11,730,0
2,287,411,18,1,1,2,5,0,4,3,5,737,,6,743,0
3,488,280,14,0,1,12,9,1,1,0,0,806,,12,818,0
4,453,336,20,1,1,5,35,0,0,1,1,853,,10,863,0
5,435,339,1,1,0,5,16,1,1,0,1,800,,8,808,0
6,217,568,3,1,1,7,15,1,0,0,0,813,,12,825,0
7,75,425,0,1,1,0,3,1,0,1,1,508,,8,516,0
8,136,599,3,2,1,3,14,0,1,0,1,760,,4,764,0
9,123,523,26,2,0,1,12,0,1,0,5,693,,8,701,0
10,130,420,35,1,3,0,11,0,1,0,7,608,,2,610,0
11,255,367,36,1,0,10,20,0,1,1,5,696,,4,700,0
12,15,169,1,1,0,0,2,1,0,0,0,189,,1,190,0
13,96,641,5,0,1,1,9,0,2,3,4,762,,6,768,0
14,71,471,25,0,0,0,6,0,0,1,1,575,,3,578,0
15,86,464,1,0,1,8,14,1,0,1,0,576,,5,581,0
16,81,688,1,1,1,0,15,2,0,1,2,792,,10,802,0
17,72,662,4,0,0,0,4,2,0,0,2,746,,5,751,0
18,58,475,5,0,0,1,13,0,0,1,3,556,,6,562,0
19,51,338,3,0,0,0,2,2,1,0,0,397,,2,399,0
20,83,292,4,1,1,0,6,1,1,1,4,394,,9,403,0
21,116,278,9,1,0,0,2,1,1,0,4,412,,11,423,0
22,123,394,8,1,2,1,7,0,2,2,4,544,,6,550,0
23,241,401,29,1,3,1,15,1,1,1,2,696,,12,708,0
24,273,82,22,0,2,1,5,0,0,1,0,386,,7,393,0
25,333,148,91,1,1,1,8,0,2,1,1,587,,10,597,0
26,83,495,23,0,1,2,6,0,0,0,3,613,,8,621,0
27,428,293,19,0,1,17,20,0,0,2,1,781,,12,793,0
28,65,329,35,1,1,1,11,2,0,1,1,447,,1,448,0
29,190,470,30,0,0,0,23,0,1,1,4,719,,8,727,0
30,321,175,16,3,0,1,4,1,1,0,1,523,,5,528,0
31,154,292,21,0,0,5,9,0,2,1,4,488,,10,498,0
32,291,412,18,1,2,5,20,0,0,1,1,751,,9,760,0
33,181,416,9,1,0,5,13,1,0,3,4,633,,8,641,0
34,85,373,15,1,0,0,12,2,0,0,3,491,,4,495,0
35,106,517,3,0,2,1,7,0,0,0,3,639,,23,662,0
36,58,567,4,0,4,1,7,0,2,0,1,644,,13,657,0
37,69,626,2,0,1,1,9,1,0,1,2,712,,4,716,0
38,35,510,2,0,2,1,9,0,1,0,2,562,,3,565,0
39,97,630,4,3,2,2,11,1,3,1,1,755,,10,765,0
40,210,393,41,2,0,0,16,1,0,1,0,664,,9,673,0
41,200,328,19,1,0,1,3,2,1,2,1,558,,9,567,0
42,124,517,4,0,3,0,7,0,0,0,0,655,,3,658,0
