Polling Station No.,No.of Valid votes cast in favour of,,,,,,,,,,,,Total of Valid Votes,No.of Rejected Votes,Total,No. of Tendered votes
,Ishvarbhai Dhanabhai Makwana,Dr. Kirit P. Solanki,Chavda Mansukhbhai Nagarbhai,Amrut Sonara,Narendra Sankhaliya,Dr. J G Parmar,J J Mevada,Aayar Muljibhai Khanabhai,Parmar Harjivanbhai Kalabhai,Solanki Rameshbhai Danabhai,Solanki Vithalbhai Maganbhai,NOTA,,,,
1,122,222,8,1,0,1,7,1,1,1,4,6,374,0,374,0
2,97,701,3,2,1,1,32,0,0,0,0,3,840,0,840,0
3,76,733,4,0,0,0,26,0,0,0,0,19,858,0,858,0
4,73,72,0,0,0,0,4,0,0,1,0,1,151,0,151,0
5,186,372,3,0,0,1,10,0,0,0,0,7,579,0,579,0
6,152,390,1,1,0,1,3,3,1,2,8,10,572,0,572,0
7,79,115,2,0,0,0,2,0,0,0,3,1,202,0,202,0
8,104,86,0,0,0,0,4,2,1,0,0,3,200,0,200,0
9,36,572,1,1,0,0,9,0,0,1,2,11,633,0,633,0
10,140,481,4,1,0,1,8,1,1,0,5,4,646,0,646,0
11,419,284,3,0,2,0,6,2,0,4,4,9,733,0,733,0
12,588,71,1,0,1,0,17,0,0,0,0,9,687,0,687,0
13,640,56,0,0,0,0,16,0,0,0,0,5,717,0,717,0
14,114,12,0,0,0,1,2,0,0,0,0,0,129,0,129,0
15,57,433,9,1,1,0,1,0,1,1,2,4,510,0,510,0
16,846,32,1,0,2,0,12,3,0,0,1,8,905,0,905,0
17,429,258,8,0,0,0,8,0,1,1,1,4,710,0,710,0
18,322,163,2,0,4,1,26,0,0,0,2,14,534,0,534,0
19,489,118,1,0,0,1,9,0,1,1,0,2,622,0,622,0
20,286,550,7,0,0,2,27,0,3,1,0,6,882,0,882,0
21,431,138,2,0,0,2,4,0,0,0,1,4,582,0,582,0
22,22,267,2,0,1,1,1,0,0,0,2,4,300,0,300,0
23,375,436,13,1,3,4,10,0,0,1,4,22,869,0,869,0
24,63,765,6,2,0,2,5,0,0,2,7,13,865,0,865,0
25,128,539,5,3,1,1,9,0,4,3,8,6,707,0,707,0
26,78,635,2,0,1,1,1,1,1,4,7,14,745,0,745,0
27,71,684,11,3,2,0,2,0,2,3,8,14,800,0,800,0
28,97,645,7,0,2,1,15,1,1,4,3,18,794,0,794,0
29,279,239,4,2,0,1,74,1,0,1,1,18,620,0,620,0
30,53,842,8,2,0,1,3,2,0,3,8,17,939,0,939,0
31,37,606,2,1,0,0,3,0,0,1,2,15,667,0,667,0
32,100,570,5,0,1,1,2,1,3,3,7,22,715,0,715,0
33,73,613,3,1,1,2,7,2,2,8,13,19,744,0,744,0
34,115,724,7,1,0,0,3,1,2,5,6,12,876,0,876,0
35,170,536,8,4,1,1,2,2,3,5,8,23,763,0,763,0
36,104,646,7,0,1,0,6,1,2,4,7,14,792,0,792,0
37,117,601,2,4,0,2,15,0,1,3,1,12,758,0,758,0
38,163,569,10,2,1,0,14,2,1,2,9,18,791,0,791,0
39,116,189,5,2,0,1,1,0,0,1,3,3,321,0,321,0
40,141,438,3,1,0,0,16,0,1,1,2,9,612,0,612,0
41,193,432,2,1,0,0,16,0,3,0,2,9,658,0,658,0
42,132,624,11,0,2,1,3,0,0,2,5,12,792,0,792,0
43,114,400,1,0,0,0,7,1,1,0,5,6,535,0,535,0
44,108,424,5,0,1,2,5,0,3,2,3,15,568,0,568,0
45,299,559,8,2,2,3,5,3,2,4,11,20,918,0,918,0
46,127,496,7,0,1,1,0,0,0,1,8,15,656,0,656,0
,,,,,,,,,,,,,,,,
47,103,575,3,3,0,0,1,1,1,2,4,11,704,0,704,0
48,130,279,7,1,1,2,3,0,0,2,4,18,447,0,447,0
49,96,662,3,0,2,0,9,0,0,0,1,18,791,0,791,0
50,158,443,3,0,0,0,6,2,1,0,2,10,625,0,625,0
51,72,697,0,1,2,0,10,0,0,1,2,24,809,0,809,0
52,69,614,2,0,0,0,4,1,1,0,2,18,711,0,711,0
53,240,246,0,1,1,0,17,1,0,3,5,6,520,0,520,0
54,345,462,2,1,1,2,9,0,0,2,1,19,844,0,844,0
55,481,377,3,0,0,2,9,0,0,0,2,8,882,0,882,0
56,148,539,2,0,1,0,15,0,0,0,1,3,709,0,709,0
57,62,750,4,0,0,0,4,1,0,0,3,7,831,0,831,0
58,672,18,2,0,0,0,61,1,0,1,0,8,763,0,763,0
59,277,216,0,1,0,0,14,1,0,0,0,9,518,0,518,0
60,53,511,2,0,1,1,9,0,0,1,3,18,599,0,599,0
61,84,99,0,0,0,1,13,0,0,0,2,4,203,0,203,0
62,679,49,2,1,0,0,57,0,1,0,1,4,794,0,794,0
63,227,205,0,0,0,1,2,0,0,0,0,2,437,0,437,0
64,72,834,8,0,1,0,13,1,2,1,1,8,941,0,941,0
65,289,588,4,0,0,1,0,0,0,0,1,6,889,0,889,0
66,306,299,2,0,0,0,0,0,0,0,0,7,614,0,614,0
67,205,435,7,0,0,0,5,0,1,1,1,7,662,0,662,0
68,440,43,2,1,0,4,12,0,0,2,1,5,510,0,510,0
69,681,16,2,0,1,1,16,0,0,0,4,6,727,0,727,0
70,633,70,1,0,2,1,73,1,0,0,0,9,790,0,790,0
71,839,27,1,1,0,0,32,0,0,0,0,8,908,0,908,0
72,421,6,0,0,0,0,12,0,0,0,0,2,441,0,441,0
73,460,8,0,0,1,0,7,1,0,0,2,2,481,0,481,0
74,128,16,1,0,0,0,2,0,0,0,0,0,147,0,147,0
,,,,,,,,,,,,,,,,
75,43,749,2,1,0,0,6,0,1,1,3,14,820,0,820,0
76,693,12,0,0,0,0,11,0,0,0,0,5,721,0,721,0
77,765,36,0,1,0,1,21,0,0,1,0,7,832,0,832,0
78,680,25,0,1,0,0,19,0,0,0,2,11,738,0,738,0
79,293,242,1,0,0,0,13,0,0,0,0,7,556,0,556,0
80,67,270,0,1,0,1,1,0,0,0,0,2,342,0,342,0
81,220,598,0,0,0,0,8,0,0,0,5,8,839,0,839,0
82,42,342,0,2,0,0,2,0,0,0,0,3,391,0,391,0
83,527,24,0,0,1,1,8,0,0,0,0,2,563,0,563,0
84,89,630,2,0,0,0,6,0,0,0,2,4,733,0,733,0
85,109,614,0,0,0,1,7,0,0,1,0,11,743,0,743,0
86,113,8,0,0,0,1,0,0,0,0,1,2,125,0,125,0
87,55,355,0,0,0,0,6,0,0,0,0,4,420,0,420,0
88,155,376,0,1,0,0,13,0,0,0,1,5,551,0,551,0
89,696,118,0,0,0,2,29,0,0,1,3,12,861,0,861,0
90,256,81,0,0,0,1,10,1,0,1,0,9,359,0,359,0
91,302,85,2,1,1,0,1,0,0,0,0,2,394,0,394,0
92,502,173,5,0,2,25,75,0,0,1,1,14,798,0,798,0
93,137,636,2,0,0,0,7,0,0,1,2,15,800,0,800,0
94,86,278,2,0,1,0,8,1,0,0,0,4,380,0,380,0
95,98,815,4,5,2,1,9,0,2,1,3,21,961,0,961,0
96,466,368,4,0,0,0,20,1,0,0,2,9,870,0,870,0
97,66,717,3,1,1,0,7,0,0,1,2,7,805,0,805,0
98,41,553,2,0,0,0,6,1,0,1,5,9,618,0,618,0
99,66,766,2,1,1,0,2,1,0,1,2,8,850,0,850,0
100,510,80,1,1,0,0,6,0,0,1,2,8,609,0,609,0
101,142,610,3,0,1,1,2,0,0,2,4,15,780,0,780,0
102,200,589,2,1,1,0,6,0,0,0,1,4,804,0,804,0
,,,,,,,,,,,,,,,,
103,52,631,2,0,1,0,1,1,1,3,2,12,706,0,706,0
104,28,334,2,0,0,0,4,0,0,0,0,1,369,0,369,0
105,43,572,2,1,1,0,1,0,0,1,1,7,629,0,629,0
106,801,15,0,1,1,0,28,0,0,1,1,5,853,0,853,0
107,645,21,1,0,0,1,18,0,0,0,0,1,687,0,687,0
108,565,195,3,0,1,3,25,0,0,0,3,9,804,0,804,0
109,728,14,0,0,1,0,36,0,0,0,0,7,786,0,786,0
110,730,7,0,0,0,1,27,2,1,0,0,5,773,0,773,0
111,766,115,1,1,2,1,7,0,1,0,0,4,898,0,898,0
112,227,136,1,0,0,0,6,0,0,0,0,2,372,0,372,0
113,54,748,1,0,1,0,4,1,0,1,3,12,825,0,825,0
114,250,436,0,0,2,1,15,0,1,0,0,6,711,0,711,0
115,88,359,3,0,0,0,7,0,1,2,4,8,472,0,472,0
116,40,752,3,0,2,1,2,0,2,0,3,10,815,0,815,0
117,415,257,2,0,0,1,8,1,0,0,1,6,691,0,691,0
118,693,11,0,0,0,0,16,0,1,0,0,3,724,0,724,0
119,685,19,1,0,0,0,29,1,0,0,0,12,747,0,747,0
120,726,17,0,1,1,0,5,0,0,0,1,4,755,0,755,0
121,41,818,5,0,0,0,10,0,1,1,1,17,894,0,894,0
122,788,17,1,0,0,0,15,3,1,1,1,10,837,0,837,0
123,754,21,0,0,1,1,21,0,1,0,1,5,805,0,805,0
124,279,33,0,0,1,1,4,0,0,0,0,4,322,0,322,0
125,646,11,0,0,0,0,8,0,0,0,0,5,670,0,670,0
126,529,281,1,0,1,0,16,0,1,0,0,9,838,0,838,0
127,363,4,0,0,0,0,12,1,0,0,0,1,381,0,381,0
128,382,12,0,0,0,0,9,1,0,0,0,2,406,0,406,0
129,727,14,0,0,0,1,21,0,1,0,0,7,771,0,771,0
130,855,12,0,1,2,0,23,0,1,0,0,4,898,0,898,0
,,,,,,,,,,,,,,,,
131,628,18,0,0,4,0,11,0,0,0,0,1,662,0,662,0
132,652,21,2,0,0,0,14,0,2,1,0,9,701,0,701,0
133,96,567,1,1,3,0,4,0,0,1,3,16,692,0,692,0
134,77,709,6,0,0,0,12,0,0,0,0,6,810,0,810,0
135,447,285,4,0,1,0,22,2,0,0,1,12,774,0,774,0
136,50,485,0,0,1,0,7,0,0,1,3,6,553,0,553,0
137,136,517,2,0,1,0,15,0,0,0,2,15,688,0,688,0
138,51,188,2,0,0,0,2,0,0,0,2,2,247,0,247,0
139,79,659,4,0,0,0,2,0,1,1,0,8,754,0,754,0
140,104,385,2,0,2,0,6,1,0,2,3,14,519,0,519,0
141,32,711,2,1,0,0,5,1,0,0,3,21,776,0,776,0
142,228,560,6,1,1,0,10,0,0,0,0,18,824,0,824,0
143,205,528,2,0,0,0,8,1,0,0,0,10,754,0,754,0
144,95,458,2,0,2,0,8,0,0,1,0,10,576,0,576,0
145,325,104,1,1,1,0,17,0,0,0,2,3,454,0,454,0
146,73,772,1,1,1,1,9,0,2,0,3,25,888,0,888,0
147,31,514,1,0,0,0,6,1,0,0,1,7,561,0,561,0
148,62,816,3,0,1,1,9,1,0,1,4,9,907,0,907,0
149,58,646,0,1,0,0,10,0,1,2,2,10,730,0,730,0
150,688,28,0,0,1,0,23,0,0,2,0,16,758,0,758,0
151,32,610,5,0,0,1,8,3,1,0,0,8,668,0,668,0
152,24,387,0,0,0,0,7,0,0,0,1,3,422,0,422,0
153,65,577,3,0,1,0,5,2,1,0,1,12,667,0,667,0
154,30,580,5,0,0,0,10,1,2,0,1,11,640,0,640,0
155,42,700,4,4,0,0,4,0,0,0,0,22,776,0,776,0
156,342,58,1,0,1,1,20,1,0,1,1,19,445,0,445,0
157,470,132,1,0,1,0,12,0,0,1,0,8,625,0,625,0
158,492,19,0,0,0,0,20,1,0,0,1,5,538,0,538,0
,,,,,,,,,,,,,,,,
159,604,15,1,0,0,0,21,0,0,2,0,12,655,0,655,0
160,693,17,0,0,4,0,11,0,0,0,1,9,735,0,735,0
161,489,103,0,0,1,1,12,0,0,0,1,17,624,0,624,0
162,766,30,0,0,2,1,30,0,0,0,1,15,845,0,845,0
163,570,54,3,0,1,0,16,0,1,1,0,11,657,0,657,0
164,838,27,1,0,1,0,14,0,1,0,0,8,890,0,890,0
165,34,463,1,0,2,0,11,0,0,0,1,5,517,0,517,0
166,400,19,0,0,1,0,18,2,1,0,1,4,446,0,446,0
167,315,20,0,0,0,0,4,0,0,0,0,5,344,0,344,0
168,29,524,2,0,1,0,3,0,0,0,2,15,576,0,576,0
