polling station,,,,,,,,,,,,,,,,
,Ishvarbhai Dhanabhai Makwana,Dr. Kirit P. Solanki,Chavda Mansukhbh ai Nagarbhai,Amrut Sonara,Narendra Sankhaliya,Dr. J.G. Parmar,J. J. Mevada,Aayar Muljibhai Khanabhai,Parmar Harjivanbhai Kalabhai,Solanki Rameshbha i Danabhai,Solanki Vitthalbhai Maganbhai,Total Valid Votes,No. of Reject votes,NOTA,Total,No.of tender votes
1,69,504,6,0,0,0,11,0,0,0,0,590,,16,606,0
2,146,710,2,0,0,0,12,2,0,1,2,875,,23,898,0
3,87,748,1,0,2,1,18,0,0,0,0,857,,14,871,0
4,72,891,3,0,2,0,18,0,2,0,1,989,,20,1009,0
5,44,743,2,0,0,0,15,1,0,0,0,805,,26,831,0
6,21,784,4,0,1,1,9,0,0,0,1,821,,16,837,0
7,34,604,2,1,2,0,9,0,0,0,2,654,,12,666,0
8,27,457,2,0,0,0,11,0,0,0,1,498,,12,510,0
9,51,738,2,1,4,2,11,0,0,0,0,809,,14,823,0
10,51,636,1,1,2,0,18,0,0,0,0,709,,17,726,0
11,41,683,2,2,0,1,20,0,0,0,2,751,,17,768,0
12,36,569,0,0,0,0,5,0,0,0,0,610,,15,625,0
13,25,492,0,0,1,0,7,0,0,0,1,526,,8,534,0
14,37,599,1,1,0,0,14,0,0,0,0,652,,14,666,0
15,34,668,0,0,0,0,14,0,0,0,0,716,,15,731,0
16,28,660,2,0,1,0,10,2,0,0,1,704,,19,723,0
17,45,584,0,0,1,0,16,0,1,0,0,647,,10,657,0
18,28,537,0,0,1,0,13,0,0,0,0,579,,11,590,0
19,594,169,3,0,1,2,22,2,2,0,1,796,,12,808,0
20,643,40,4,1,1,1,13,0,3,1,2,709,,11,720,0
21,635,34,1,2,0,0,9,1,0,1,0,683,,1,684,0
22,51,692,1,0,0,0,11,0,2,0,0,757,,13,770,0
23,63,757,2,3,1,0,11,1,1,0,0,839,,12,851,0
24,41,852,1,1,1,0,18,0,0,0,0,914,,20,934,0
