polling station,No. of valid votes cast in favour of,,,,,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes (Test Vot,NOTA,Total,No. of tendered votes
,L K Advani,Kiritbhai Ishvarbhai  Patel,Niranjan Ghosh,Ajmalbhai Ramabhai Vaniya,Thakor Ravaji Juhaji,Patel Piyushkumar  Dashrathlal,Manoj J. Nayak,Rituraj Mehta,Thakor Chandrasinh  Javansinh,Dipikaben Sutariya,Desai Khodabhai  Laljibhai,Pagi Ganpatbhai  Mavjibhai,Birjusinh Motisinh  Kshatriya,Brahmbhatt  Sanjaybhai ,Amarkumar Raj Prajapati,Rahul Chimanbhai  Mehta,Vaghela Kishorsinh  Mahobatsinh,M. K. Shah,,,,,
1,617,118,1,0,1,1,0,9,0,0,0,0,0,0,0,1,1,0,749,,5,754,
2,360,104,1,0,0,1,0,9,0,0,1,1,0,1,3,3,3,1,488,,10,498,
3,283,83,2,1,0,0,0,11,0,0,0,0,0,0,1,1,2,0,384,,2,386,
4,445,75,0,0,0,0,0,22,0,1,0,0,0,1,1,1,5,1,552,,11,563,
5,768,234,5,0,0,0,0,27,1,0,1,0,0,1,0,1,3,0,1041,,9,1050,
6,599,177,12,9,0,0,2,21,0,0,1,0,0,0,1,2,2,0,826,,10,836,
7,684,61,1,0,2,1,0,7,0,0,0,0,0,0,0,2,0,0,758,,5,763,
8,704,71,0,0,0,0,0,12,1,0,1,0,0,1,0,5,1,0,796,,7,803,
9,695,146,5,0,0,0,0,30,0,0,0,0,0,0,0,3,1,0,880,,9,889,
10,404,70,0,0,0,0,0,4,0,0,0,0,0,0,0,1,4,0,483,,4,487,
11,399,88,1,0,0,0,0,15,0,1,0,0,0,0,0,1,0,0,505,,3,508,
12,450,102,0,0,0,0,0,25,0,0,0,0,0,0,1,0,2,0,580,,9,589,
13,399,77,2,1,0,0,0,24,0,0,0,1,0,0,1,0,2,0,507,,8,515,
14,431,60,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,1,507,,8,515,
15,405,50,1,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,466,,0,466,
16,369,58,0,0,0,1,0,8,0,0,0,0,0,0,0,1,0,0,437,,1,438,
17,426,26,1,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,468,,4,472,
18,409,62,0,0,0,1,0,5,0,0,1,0,0,0,0,1,0,0,479,,7,486,
19,191,126,0,0,0,0,0,14,0,0,0,0,0,0,0,0,2,2,335,,3,338,
20,301,145,9,1,0,0,0,13,0,0,0,0,0,1,0,2,1,0,473,,3,476,
21,409,100,5,0,1,1,2,20,0,0,0,1,0,0,0,0,1,1,541,,7,548,
22,299,65,0,0,0,0,0,6,0,2,0,0,0,0,0,0,1,1,374,,0,374,
23,552,204,8,0,1,2,0,31,0,0,0,0,0,0,0,2,3,2,805,,9,814,
24,200,107,2,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,321,,0,321,
25,544,153,5,2,0,1,0,9,0,1,0,0,0,2,1,14,8,2,742,,3,745,
26,543,194,4,1,0,0,0,15,0,2,0,0,0,2,1,9,4,2,777,,4,781,
27,529,131,4,0,0,1,1,8,0,0,1,1,2,0,1,22,2,2,705,,7,712,
28,517,160,0,1,2,0,0,9,1,0,0,0,0,1,0,7,7,4,709,,9,718,
29,390,263,6,1,0,0,1,12,0,0,0,1,1,0,2,13,1,1,692,,7,699,
30,233,317,2,1,0,1,1,7,0,0,0,0,0,1,1,4,1,1,570,,5,575,
31,167,187,9,0,0,0,1,14,0,0,0,0,0,1,0,2,3,3,387,,2,389,
32,219,317,6,2,1,0,1,5,0,0,0,1,0,0,2,4,0,3,561,,6,567,
33,174,244,6,1,1,0,0,13,0,0,1,1,0,1,0,2,6,2,452,,9,461,
34,171,421,8,0,0,0,0,11,0,0,2,1,2,3,3,12,4,6,644,,9,653,
35,278,591,20,1,0,0,0,15,0,0,2,1,0,2,1,0,0,3,914,,6,920,
36,689,69,1,0,0,0,1,6,0,0,0,1,0,0,1,4,2,0,774,,12,786,
37,392,81,1,0,1,0,0,8,0,1,1,1,1,0,1,3,1,0,492,,4,496,
38,428,200,3,1,0,0,0,11,0,0,1,1,0,0,1,7,13,3,669,,1,670,
39,665,133,1,0,1,1,0,7,0,1,0,0,1,0,2,1,7,3,823,,8,831,
40,582,153,2,1,1,0,0,5,0,1,0,1,0,0,3,4,8,8,769,,5,774,
41,631,206,1,2,1,0,1,12,0,0,1,1,1,0,0,3,1,0,861,,6,867,
42,659,85,1,0,1,1,0,20,0,0,0,0,0,0,0,4,2,0,773,,7,780,
43,332,403,4,0,1,0,0,10,1,1,1,0,2,0,3,8,5,6,777,,9,786,
44,109,184,4,0,0,0,1,11,0,1,1,1,0,0,1,1,0,0,314,,2,316,
45,312,261,14,0,2,0,0,14,1,0,2,0,1,3,1,8,0,4,623,,7,630,
46,287,431,8,2,1,1,0,7,0,1,1,0,1,0,3,4,3,4,754,,3,757,
47,522,229,9,3,3,1,1,7,1,4,4,3,4,5,8,38,13,7,862,,14,876,
48,384,112,2,0,1,0,0,23,1,0,0,0,1,3,0,7,1,0,535,,8,543,
49,445,178,4,0,1,0,0,7,1,0,0,1,1,0,1,7,3,1,650,,5,655,
50,541,125,2,1,1,0,1,19,0,0,0,1,0,0,0,6,2,1,700,,11,711,
51,444,77,0,2,0,0,1,8,0,0,0,0,0,0,0,1,1,1,535,,4,539,
52,470,90,0,1,1,0,0,4,0,0,0,0,0,0,0,3,3,1,573,,14,587,
53,390,47,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,444,,8,452,
54,558,84,0,17,0,0,0,10,0,0,0,0,0,0,0,0,0,0,669,,10,679,
55,656,116,3,0,2,0,1,9,1,1,0,1,0,2,6,4,1,3,806,,6,812,
56,518,177,5,0,1,0,0,4,1,0,0,0,1,2,0,3,2,2,716,,2,718,
57,402,142,3,1,0,0,0,1,1,0,1,0,0,1,3,9,5,0,569,,7,576,
58,484,318,12,3,1,0,0,7,0,1,0,2,0,0,4,10,2,2,846,,10,856,
59,724,68,1,2,1,0,0,14,0,0,0,0,0,0,1,0,5,1,817,,8,825,
60,798,107,0,0,0,0,0,17,0,0,1,0,0,0,1,3,0,0,927,,15,942,
61,592,78,2,0,2,0,0,13,0,1,0,0,1,1,0,2,3,0,695,,9,704,
62,217,208,6,1,0,1,1,8,0,0,0,0,1,0,2,3,1,1,450,,1,451,
63,609,151,1,0,0,0,0,8,0,0,0,0,0,0,1,3,7,3,783,,18,801,
64,714,85,1,0,2,1,0,29,1,0,0,0,1,0,0,2,0,0,836,,24,860,
65,501,169,2,3,1,0,0,12,2,1,0,0,1,1,1,5,4,2,705,,12,717,
66,302,306,6,2,3,0,0,5,1,2,1,3,1,1,3,4,6,5,651,,10,661,
67,601,140,0,0,1,0,0,9,0,0,0,0,0,1,1,8,3,1,765,,14,779,
68,490,206,12,1,0,1,0,6,1,1,0,0,1,2,3,5,4,1,734,,5,739,
69,552,93,1,0,1,0,0,14,0,0,0,0,1,1,0,2,1,0,666,,8,674,
70,168,196,3,2,2,0,0,3,0,0,0,0,2,1,1,1,0,2,381,,3,384,
71,290,245,1,1,0,0,0,11,0,0,2,1,3,2,1,9,7,6,579,,7,586,
72,512,245,4,2,0,1,0,9,7,1,0,0,1,1,2,10,3,1,799,,3,802,
73,100,94,3,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,203,,1,204,
74,383,170,2,0,1,0,1,9,0,2,1,1,2,1,2,11,2,2,590,,5,595,
75,398,161,3,1,2,0,0,9,0,1,1,0,0,0,0,5,2,1,584,,4,588,
76,460,92,46,4,0,0,2,6,0,0,1,2,0,2,1,7,5,1,629,,1,630,
77,759,32,1,1,0,0,0,8,0,0,0,0,0,0,0,3,8,3,815,,6,821,
78,653,48,1,0,0,0,0,13,4,0,0,0,0,0,0,2,3,2,726,,3,729,
79,900,36,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,949,,9,958,
80,657,23,0,0,0,0,0,13,0,0,0,0,0,0,0,2,1,0,696,,8,704,
