polling station,No.of valid votes cast in favour of,,,,,,,,,,,Total Valid Votes,No. of Reject votes,NOTA,Total,No.of tender votes
,Ishvarbhai Dhanabhai Makwana,Dr. Kirit P. Solanki,Chavda Mansukhbhai Nagarbhai,Amrut Sonara,Narendra Sankhaliya,Dr. J.G. Parmar,J. J. Mevada,Aayar Muljibhai Khanabhai,Parmar Harjivanbhai Kalabhai,Solanki Rameshbha i Danabhai,Solanki Vitthalbhai Maganbhai,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,76,627,3,0,1,1,10,0,0,0,0,718,0,8,726,0
2,55,693,0,1,2,0,22,0,1,0,6,780,0,8,788,0
3,55,809,0,0,0,0,8,0,0,0,0,872,0,19,891,0
4,27,674,0,0,0,0,3,1,0,0,1,706,0,5,711,0
5,232,498,12,0,1,0,27,1,3,3,1,778,0,8,786,0
6,68,178,1,0,0,1,2,0,0,0,0,250,0,3,253,0
7,36,446,0,0,0,1,5,0,1,0,0,489,0,6,495,0
8,28,644,2,0,0,0,4,0,0,0,2,680,0,11,691,0
9,9,590,1,0,0,0,6,1,0,0,2,609,0,13,622,0
10,37,597,0,0,0,0,24,0,0,0,0,658,0,19,677,0
11,14,622,0,1,0,0,3,0,0,0,0,640,0,4,644,0
12,17,630,0,0,0,0,9,0,0,0,0,656,0,10,666,0
13,84,85,3,0,0,0,1,1,0,0,0,174,0,5,179,0
14,25,752,0,0,1,0,12,1,0,0,1,792,0,13,805,0
15,33,566,0,0,2,0,2,1,0,0,0,604,0,3,607,0
16,52,571,0,0,0,0,11,0,0,0,1,635,0,9,644,0
17,47,684,0,0,0,0,10,0,0,0,0,741,0,4,745,0
18,80,726,3,0,2,0,17,0,0,1,2,831,0,16,847,0
19,262,174,4,0,2,0,8,0,1,0,1,452,0,4,456,0
20,340,59,5,0,0,0,9,0,0,0,4,417,0,3,420,0
21,100,327,0,2,0,0,4,0,1,0,0,434,0,4,438,0
22,649,190,1,1,3,3,17,1,1,1,2,869,0,6,875,0
23,466,49,0,0,1,0,13,0,0,0,0,529,0,8,537,0
24,507,66,0,0,0,0,3,1,2,2,0,581,0,14,595,0
25,281,465,7,0,1,1,2,0,3,5,7,772,0,10,782,0
26,224,505,4,1,1,1,1,2,1,2,7,749,0,6,755,0
27,57,741,0,1,0,1,9,1,1,0,0,811,0,13,824,0
28,131,563,4,1,1,1,6,0,0,0,1,708,0,9,717,0
29,164,669,3,1,0,0,12,0,0,1,2,852,0,13,865,0
30,190,355,5,3,2,0,5,2,0,2,0,564,0,4,568,0
31,85,613,2,0,0,0,2,0,1,1,1,705,0,5,710,0
32,239,430,13,3,3,1,14,1,0,2,2,708,0,6,714,0
33,240,93,1,3,0,1,13,0,1,0,0,352,0,3,355,0
34,116,443,3,2,0,1,8,0,1,0,3,577,0,11,588,0
35,85,546,4,2,3,2,4,1,0,2,2,651,0,7,658,0
36,75,333,3,0,0,0,12,0,0,0,0,423,0,3,426,0
37,63,433,3,1,1,0,2,1,0,1,4,509,0,5,514,0
38,96,441,6,0,1,0,8,0,1,0,1,554,0,10,564,0
39,42,373,4,0,0,0,3,1,0,1,2,426,0,6,432,0
40,94,504,1,1,0,0,11,0,1,2,3,617,0,7,624,0
41,198,396,3,0,0,1,10,0,1,3,1,613,0,8,621,0
42,453,92,0,0,0,0,18,0,0,0,0,563,0,9,572,0
43,185,436,3,1,3,4,11,0,2,7,3,655,0,21,676,0
44,191,464,5,1,2,0,8,3,1,1,4,680,0,17,697,0
45,51,455,3,0,1,2,9,0,1,1,3,526,0,6,532,0
46,181,278,5,1,0,1,6,0,1,0,3,476,0,2,478,0
47,277,389,7,0,0,12,6,0,0,0,7,698,0,9,707,0
48,126,550,4,2,0,1,2,1,2,2,4,694,0,5,699,0
49,86,612,6,0,1,0,1,0,1,1,9,717,0,8,725,0
50,81,318,2,0,0,1,4,0,1,1,6,414,0,8,422,0
51,197,329,0,0,0,7,14,0,0,0,3,550,0,6,556,0
52,143,462,2,0,1,2,9,1,1,1,0,622,0,12,634,0
53,48,398,0,0,0,1,7,0,0,0,1,455,0,6,461,0
54,107,835,16,0,0,0,15,2,1,1,0,977,0,16,993,0
55,412,143,5,1,1,2,7,1,0,1,1,574,0,10,584,0
56,454,98,3,1,1,15,9,0,1,1,5,588,0,6,594,0
57,265,469,2,1,1,7,14,1,0,0,2,762,0,12,774,0
58,444,318,4,1,2,19,11,0,0,1,0,800,0,15,815,0
59,241,276,7,0,3,7,30,0,0,0,0,564,0,7,571,0
60,229,350,7,0,0,9,10,0,0,0,0,605,0,13,618,0
61,37,283,1,0,1,0,5,0,0,0,0,327,0,2,329,0
62,74,751,1,1,1,0,7,0,2,1,0,838,0,6,844,0
63,158,485,1,0,1,2,8,0,0,0,1,656,0,5,661,0
64,436,195,9,1,2,2,34,1,0,0,1,681,0,10,691,0
65,386,264,12,0,0,7,17,0,0,0,2,688,0,16,704,0
66,200,632,7,0,0,13,8,1,0,0,4,865,0,14,879,0
67,37,747,1,0,0,0,17,0,0,0,0,802,0,8,810,0
68,49,745,1,0,1,0,17,0,0,0,3,816,0,14,830,0
69,103,529,1,0,2,0,5,0,1,0,1,642,0,6,648,0
70,116,183,1,0,0,1,18,0,0,0,0,319,0,10,329,0
71,212,93,5,0,2,0,11,0,0,0,1,324,0,4,328,0
72,93,496,1,0,2,1,10,1,0,2,6,612,0,10,622,0
73,113,384,2,1,0,0,8,0,0,3,2,513,0,7,520,0
74,107,334,1,2,1,0,5,0,0,1,2,453,0,4,457,0
75,238,456,3,2,0,1,12,0,0,3,6,721,0,18,739,0
76,163,392,3,0,1,0,7,2,2,2,4,576,0,17,593,0
77,93,355,0,0,1,0,1,0,0,0,2,452,0,8,460,0
78,192,453,7,0,0,2,5,0,0,1,3,663,0,20,683,0
79,448,300,1,1,0,14,5,0,0,0,1,770,0,6,776,0
80,515,186,2,1,0,60,16,0,1,0,0,781,0,11,792,0
81,203,239,1,0,0,4,8,0,1,0,3,459,0,16,475,0
82,134,515,0,1,1,0,7,1,0,1,4,664,0,10,674,0
83,59,579,0,0,0,0,16,1,0,0,0,655,0,17,672,0
