Sr.No. of Polling Station,,,,,,,,,,,,,,,,,valid,No. of reject ed Votes (Test Votes),Total,No. of tender ed votes
,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),Dinsha Patel,Pandav Bhailalbhai Kalubhai,Abdul Razakkha n Pathan,Badhiwala Labhubhai Jivrajbhai,Ranveer Pranayraj Govindbhai,Khristi Adward Khushalbh ai,Chauhan Devusing Motishing,Pathan Amanullakha Sitabkha,Parikh Viral Hasmukhbh ai,Malek Yakubmiya Nabimiya,Malek Sadik Hushen Mahammd Hushen,Malek Sabirhusen Ismaelbhai,Ratansinh Udesinh Chauhan,Roshan Priyavada n Shah,NOTA,,,,
1,489,272,4,0,6,0,0,0,0,0,0,0,0,0,0,13,784,0,784,
2,422,44,0,0,4,0,0,1,0,0,0,0,0,0,0,10,481,0,481,
3,352,180,1,0,16,0,0,1,0,0,0,0,0,0,0,7,557,0,557,
4,317,356,7,0,12,0,0,0,0,1,1,0,0,0,1,10,705,0,705,
5,398,65,0,0,3,0,1,3,1,1,0,1,0,0,0,1,474,0,474,
6,708,47,0,0,5,0,1,3,1,0,0,0,0,0,0,9,774,0,774,
7,480,98,1,0,5,0,0,1,0,0,1,1,0,0,1,9,597,0,597,
8,320,72,2,0,2,0,0,1,0,0,0,0,1,1,3,8,410,0,410,
9,626,78,0,0,3,0,0,2,0,0,0,0,1,1,0,5,716,0,716,
10,979,67,0,0,16,0,0,1,0,0,0,0,0,0,0,14,1077,0,1077,
11,432,43,0,1,4,0,0,1,0,0,0,0,1,0,0,6,488,0,488,
12,653,83,1,0,4,0,0,0,1,0,1,0,0,1,0,3,747,0,747,
13,636,81,0,1,3,0,1,1,4,4,2,1,2,3,2,13,754,0,754,
14,571,57,1,0,1,0,0,2,0,0,1,0,0,0,0,7,640,0,640,
15,561,43,1,1,4,0,1,1,0,0,1,1,0,1,0,5,620,0,620,
16,626,97,2,0,4,0,0,1,2,0,0,1,1,0,0,18,752,0,752,
17,662,38,1,0,15,1,0,1,0,1,0,0,0,0,0,8,727,0,727,
18,806,71,0,1,16,1,0,0,1,0,0,0,2,0,1,8,907,0,907,
19,492,125,1,1,2,0,0,0,0,0,0,0,2,0,0,7,630,0,630,
20,328,75,0,0,3,0,1,0,0,0,0,0,2,0,0,10,419,0,419,
21,729,83,3,0,4,0,1,1,0,0,0,0,0,0,1,5,827,0,827,
22,719,62,0,0,3,0,0,2,0,1,0,0,0,1,1,8,797,0,797,
23,586,55,2,0,5,0,1,0,0,0,0,0,0,0,0,6,655,0,655,
24,512,28,0,0,13,0,0,0,1,0,0,0,0,0,1,5,560,0,560,
25,636,33,2,0,9,1,0,0,0,0,0,0,0,0,0,6,687,0,687,
26,259,26,0,0,2,1,0,0,0,0,0,0,0,0,0,2,290,0,290,
27,188,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,202,0,202,
28,484,156,1,0,14,0,2,0,0,0,0,0,0,1,1,11,670,0,670,
29,257,19,0,1,3,0,0,0,0,0,0,0,0,0,0,2,282,0,282,
30,327,106,0,0,14,0,0,2,0,0,0,0,0,0,0,7,456,0,456,
31,368,67,3,0,3,0,0,1,0,0,0,1,0,0,0,5,448,0,448,
32,488,209,1,2,20,0,0,0,0,0,1,0,2,1,1,20,745,0,745,
33,636,141,1,1,9,0,0,0,2,0,0,0,1,0,2,7,800,0,800,
34,164,26,0,1,0,0,0,0,0,0,0,0,0,0,0,3,194,0,194,
35,443,80,7,0,11,0,0,0,0,2,0,0,1,0,2,6,552,0,552,
36,991,74,1,0,6,0,0,1,0,0,0,0,0,0,1,12,1086,0,1086,
