No. of Polling Station,,,,,,,,,,,,,,,,,valid,No. of Rejected votes (test votes),Votes for 'NOTA' option,Total,No. of Tendered Votes
,"Chauhan Devusinh Jesingbhai (BJP) Dinsha Patel (INC) Pandav Bhailalbhai Kalubhai (BSP) Abdul Razakkhan Pathan (Apna Desh Party) Badhiwala Labhubhai Jivarajbhai (AAP) Ranveer Pranayraj Govindbhai (Bahujan Mukti  Party) Khristi Adward (Independent) Chauhan Devusing Motishing (Indepen.)  Pathan Amanullakha Sitabkha (Independent) Parikh Viral Hasmukhbhai (Independent) Malek Yakubmiya Nabimiya (Independent) Malek Sadik Hushen Mahammd Husen  (Independent) Malek Sabirhusen Ismealbhai (Independent) Ratansinh Udesinh Chauhan (Independent) Roshan Priyavadan Shah (Independent) ""None of the Above""(NOTA)",,,,,,,,,,,,,,,,,,,,
1,177,419,13,4,1,0,0,2,1,0,1,2,1,6,5,10,642,0,10,642,0
2,185,176,6,0,0,1,1,0,0,2,0,0,0,2,1,7,381,0,7,381,0
3,700,19,1,0,1,2,0,0,0,0,0,0,5,0,5,32,765,0,32,765,0
4,699,33,1,0,0,0,0,0,0,0,0,0,2,5,0,13,753,0,13,753,0
5,542,74,2,3,0,0,1,0,0,1,1,0,3,1,1,27,656,0,27,656,0
6,562,115,4,1,2,1,3,0,2,2,1,0,1,8,9,25,736,0,25,736,0
7,283,90,5,1,1,0,1,0,0,1,1,1,3,2,2,9,400,0,9,400,0
8,731,25,1,1,1,2,1,1,1,3,1,1,3,4,1,35,812,0,35,812,0
9,437,297,2,0,1,3,2,2,0,1,1,1,1,5,1,12,766,0,12,766,0
10,566,19,3,2,0,1,0,2,1,3,1,3,3,3,5,18,630,0,18,630,0
11,422,183,2,1,5,1,0,3,0,0,0,1,2,7,5,27,659,0,27,659,0
12,299,403,2,1,2,3,2,0,3,0,1,2,1,5,8,14,746,0,14,746,0
13,523,11,0,0,0,0,0,0,0,0,0,0,0,0,2,4,540,0,4,540,0
14,255,15,2,0,1,0,2,1,2,0,1,1,0,2,2,9,293,0,9,293,0
15,687,50,0,0,0,0,0,1,0,0,0,0,0,1,1,23,763,0,23,763,0
16,610,131,10,1,3,2,1,3,2,0,3,1,5,2,10,47,831,0,47,831,0
17,691,76,2,0,2,2,2,3,3,0,2,1,6,1,6,14,811,0,14,811,0
18,140,579,8,2,4,2,1,0,0,1,1,1,1,3,6,6,755,0,6,755,0
19,653,36,2,0,0,2,0,2,0,0,1,2,3,5,4,48,758,0,48,758,0
20,531,83,0,0,3,0,0,0,0,1,0,1,0,1,3,10,633,0,10,633,0
21,417,22,0,1,1,0,0,0,0,0,1,0,1,2,2,7,454,0,7,454,0
22,592,49,4,1,0,0,0,1,0,0,2,0,4,3,4,14,674,0,14,674,0
23,93,659,14,1,2,3,0,0,1,1,1,3,2,3,12,17,812,0,17,812,0
24,552,64,1,4,2,0,0,1,2,1,1,2,3,9,4,42,688,0,42,688,0
25,358,22,0,0,0,1,1,1,0,0,0,0,0,0,2,22,407,0,22,407,0
26,466,99,4,0,0,2,2,5,0,3,0,2,3,3,1,13,603,0,13,603,0
27,195,440,19,2,6,6,1,1,0,1,2,4,0,2,12,20,711,0,20,711,0
28,334,55,2,0,0,4,2,0,0,1,0,3,3,2,5,11,422,0,11,422,0
29,61,361,21,0,4,66,2,0,0,0,1,1,2,2,6,9,536,0,9,536,0
30,601,39,2,1,1,1,1,2,2,1,0,3,4,3,1,18,680,0,18,680,0
31,548,45,3,0,2,0,0,1,1,2,0,4,0,1,2,13,622,0,13,622,0
32,182,318,10,1,5,5,0,1,1,1,1,0,3,4,3,11,546,0,11,546,0
33,379,150,1,0,2,0,1,0,1,1,0,1,0,4,4,12,556,0,12,556,0
34,519,54,2,0,2,2,0,0,0,0,0,2,0,3,1,13,598,0,13,598,0
35,220,238,6,1,1,0,1,1,0,0,1,0,2,2,4,11,488,0,11,488,0
36,325,218,4,0,0,0,1,2,0,1,0,2,1,4,6,19,583,0,19,583,0
37,421,229,3,1,1,1,1,1,0,1,2,1,4,2,6,12,686,0,12,686,0
38,552,163,3,1,2,0,1,0,0,2,2,2,2,2,2,22,756,0,22,756,0
39,96,118,55,0,1,0,1,1,0,0,1,1,0,5,2,8,289,0,8,289,0
40,125,123,34,0,0,2,0,2,1,0,1,3,6,1,3,11,312,0,11,312,0
41,819,39,4,0,3,0,1,2,2,0,1,1,1,2,1,14,890,0,14,890,0
42,636,161,9,0,2,3,0,0,1,1,0,0,1,2,2,6,824,0,6,824,0
43,762,107,9,1,1,1,1,1,2,0,0,3,3,2,10,29,932,0,29,932,0
44,345,283,0,0,1,0,0,1,0,0,0,0,0,0,1,4,635,0,4,635,0
45,524,175,2,0,1,0,1,1,1,0,1,2,0,1,5,16,730,0,16,730,0
46,634,76,5,1,4,0,0,3,0,3,1,3,1,1,1,11,744,0,11,744,0
47,280,311,2,2,0,0,0,0,0,0,1,0,0,2,3,14,615,0,14,615,0
48,229,192,1,1,1,0,0,0,0,0,0,0,0,0,0,1,425,0,1,425,0
49,604,176,2,1,0,0,1,1,1,0,0,0,0,0,1,9,796,0,9,796,0
50,846,59,5,3,0,1,0,1,1,1,2,3,1,3,14,42,982,0,42,982,0
51,762,51,3,1,1,0,0,0,0,1,0,2,2,3,8,32,866,0,32,866,0
52,738,36,3,0,1,0,0,0,2,0,0,0,0,2,3,6,791,0,6,791,0
53,377,589,4,1,1,0,0,2,0,1,1,0,0,4,6,7,993,0,7,993,0
54,399,329,4,0,2,0,3,0,1,0,0,0,0,0,2,14,754,0,14,754,0
55,161,311,11,0,8,0,0,0,0,0,0,1,0,0,1,12,505,0,12,505,0
56,123,776,6,0,1,0,0,1,0,0,1,0,1,1,6,4,920,0,4,920,0
57,74,656,2,0,0,0,0,0,0,0,0,0,1,1,0,5,739,0,5,739,0
58,514,46,2,3,1,0,0,5,1,2,0,2,1,2,5,19,603,0,19,603,0
59,544,28,0,0,0,0,1,2,2,0,0,0,1,2,5,18,603,0,18,603,0
60,801,114,1,0,0,1,0,2,2,0,1,0,1,1,1,7,932,0,7,932,0
61,295,6,0,0,0,1,0,0,0,3,0,0,1,0,1,10,317,0,10,317,0
62,19,549,3,0,0,0,0,0,0,1,0,0,0,1,2,1,576,0,1,576,0
63,62,515,12,1,1,1,2,1,0,0,0,0,1,3,7,7,613,0,7,613,0
64,143,308,29,0,8,0,0,2,0,0,0,0,0,2,8,6,506,0,6,506,0
65,312,480,4,0,0,2,2,1,1,1,0,2,2,2,7,25,841,0,25,841,0
66,278,617,4,1,3,0,0,1,1,0,0,0,0,0,4,14,923,0,14,923,0
67,143,534,12,0,5,0,1,2,0,0,0,0,1,1,3,8,710,0,8,710,0
68,144,282,15,1,5,1,0,0,0,0,1,0,0,1,1,5,456,0,5,456,0
69,166,384,63,2,5,0,1,3,0,1,1,0,0,4,5,8,643,0,8,643,0
70,135,308,15,1,4,0,2,1,1,1,1,1,3,1,8,7,489,0,7,489,0
71,33,885,1,0,0,0,3,0,0,0,0,0,1,1,3,6,933,0,6,933,0
72,41,744,5,1,3,0,0,0,0,0,0,1,1,2,5,7,810,0,7,810,0
73,531,219,6,1,5,0,0,2,2,0,0,0,3,3,7,29,808,0,29,808,0
74,447,308,3,0,0,0,0,1,0,0,0,0,0,2,3,9,773,0,9,773,0
75,109,388,0,1,1,0,0,0,0,0,0,0,0,0,1,11,511,0,11,511,0
76,226,622,1,4,1,2,0,0,1,2,0,0,0,0,4,13,876,0,13,876,0
77,46,791,4,0,2,0,0,1,0,0,0,1,0,2,1,7,855,0,7,855,0
78,78,710,2,3,1,0,0,0,0,0,0,0,0,2,8,11,815,0,11,815,0
79,802,41,2,0,4,0,0,5,0,0,0,1,1,1,3,7,867,0,7,867,0
80,21,823,1,1,1,0,0,0,0,1,0,1,2,1,11,3,866,0,3,866,0
81,626,166,1,0,1,0,0,2,0,0,0,1,1,0,4,15,817,0,15,817,0
82,378,534,4,1,4,0,0,1,0,1,0,1,0,1,3,8,936,0,8,936,0
83,520,78,1,0,2,1,0,1,0,0,0,0,0,0,2,18,623,0,18,623,0
84,557,91,3,0,1,0,1,0,0,0,0,0,1,0,1,11,666,0,11,666,0
85,463,181,2,0,3,0,0,0,1,0,1,0,0,1,3,9,664,0,9,664,0
86,652,295,3,0,2,0,0,2,1,2,1,0,1,2,3,21,985,0,21,985,3
87,290,458,30,1,7,14,1,2,1,0,0,0,1,2,5,12,824,0,12,824,0
88,728,47,0,0,6,1,1,2,1,0,1,1,0,1,2,11,802,0,11,802,0
89,61,369,19,1,0,1,1,1,1,0,0,0,1,0,4,8,467,0,8,467,0
90,428,66,1,0,1,0,0,0,0,0,1,2,1,0,0,11,511,0,11,511,0
91,650,187,9,1,9,3,1,2,0,2,0,0,0,1,4,17,886,0,17,886,0
92,489,146,1,1,3,0,0,0,0,0,0,1,0,2,1,15,659,0,15,659,0
93,636,34,1,1,3,0,0,1,1,1,0,0,0,0,1,3,682,0,3,682,0
94,566,93,0,0,3,0,0,0,0,0,0,0,0,1,1,13,677,0,13,677,0
95,544,119,6,1,3,0,1,1,0,0,1,0,2,3,1,14,696,0,14,696,0
