Sr.No of Polling Station,No.of Valid Votes Cast Favour of,,,,,,,,,,,,,,,,,Total of Valid Votes,No. of Rejected Voted,,Total,No.Tendred Votes
,KOLIPATEL SOMABHAI GANDABHAI,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVJIBHAI GOVINDBHAI,PATEL JETHABHAI MANJIBHAI,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVADA PALABHAI NANJIBHAI,PARMAR PARBHUBHAI GOKABHAI,PARMARVASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRATBHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,ZALA MANSINH SHIVUBHA ,VADALIYA KALUBHAI MALUBHAI,VAGEHLA PRAKASHBHAI BACHUBHAI,VORA BHAVABHAI DEVABHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI ,,,NOTA,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
1,92,2,210,4,0,1,0,1,1,0,1,1,1,3,2,10,4,333,,8,341,
2,156,6,153,3,1,0,0,0,2,0,0,1,2,1,2,10,3,340,,3,343,
3,186,6,200,5,0,1,0,0,0,0,0,0,0,1,4,12,5,420,,3,423,
4,303,3,116,4,1,0,0,1,0,0,0,0,0,0,0,2,4,434,,6,440,
5,369,3,149,2,0,0,3,0,0,0,1,0,1,2,1,7,1,539,,0,539,
6,391,4,109,0,0,0,0,0,0,0,0,0,0,0,3,5,6,518,,2,520,
7,59,5,259,1,0,0,0,0,2,1,3,2,2,10,2,4,1,351,,2,353,
8,57,3,330,6,0,0,0,0,0,0,2,0,2,5,3,4,0,412,,3,415,
9,119,6,322,4,2,0,1,0,0,1,0,0,0,8,4,5,5,477,,2,479,
10,201,3,175,2,0,1,0,0,0,1,1,3,0,5,1,4,6,403,,0,403,
11,51,7,367,4,1,1,1,1,1,1,3,0,1,3,0,8,3,453,,3,456,
12,103,4,196,1,0,1,0,3,0,0,0,0,1,2,1,2,4,318,,1,319,
13,60,7,309,5,0,2,1,1,2,0,1,1,1,5,2,4,1,402,,1,403,
14,73,4,331,0,0,1,0,0,1,1,0,1,1,1,2,9,5,430,,1,431,
15,51,6,295,2,2,0,0,0,1,0,1,2,2,2,2,7,4,377,,9,386,
16,172,5,458,8,0,0,0,1,0,1,2,1,5,10,5,13,3,684,,7,691,
