Serial No of polling station,NO. OF VALID VOTES CAST IN FAVOUR OF,,,,,,,,,,,,,,,,,,,,,
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samaratbhai Jerambhai,Chavda Palabhai Nanjibhai,Parmar Prabhubhai Gokalbhai,Parmar Vashrambhai Bavalbhai,Makwana Ukabhai Amrabhai,Makwana Vasharambhai Karshanbhai,Mansinh Shivubha Zala,Vadaliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devjibhai,Sapara Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,Total of Valid votes,No. of rejected Votes,Nota,Total,No. of tender ed votes
1,37,9,376,12,1,2,3,4,2,1,3,1,5,11,5,19,5,496,0,9,505,
2,53,10,354,9,3,3,6,4,4,1,6,4,13,16,10,30,5,531,0,9,540,
3,191,12,331,5,1,1,2,2,1,1,3,5,1,13,4,17,4,594,0,8,602,
4,55,7,356,7,1,1,1,4,5,2,2,0,6,5,5,16,10,483,0,19,502,
5,25,6,147,1,2,0,0,1,0,1,1,0,3,3,3,6,3,202,0,1,203,
6,69,15,410,1,6,3,1,4,2,1,3,0,7,13,7,14,5,561,0,4,565,
7,55,7,237,3,0,0,1,0,0,0,0,1,3,11,3,5,3,329,0,1,330,
8,112,4,396,15,1,0,0,2,0,1,0,0,1,5,1,14,2,554,0,7,561,
9,234,7,94,1,0,1,0,3,1,0,0,0,1,7,1,15,10,375,0,5,380,
10,187,5,235,6,0,0,0,3,1,0,1,2,3,2,0,7,8,460,0,3,463,
11,83,2,239,4,1,3,0,3,0,0,1,2,1,3,6,2,4,354,0,1,355,
12,141,4,240,7,2,1,0,0,0,1,0,0,0,1,2,3,5,407,0,6,413,
13,205,4,141,3,3,2,3,0,5,1,0,0,2,1,1,4,14,389,0,9,398,
14,44,4,240,4,0,0,0,1,0,0,0,1,2,3,3,3,2,307,0,1,308,
15,97,1,247,6,3,2,0,3,2,1,3,0,0,6,2,10,4,387,0,3,390,
16,182,7,145,2,0,0,1,0,2,1,4,0,0,0,5,8,6,363,0,0,363,
17,66,4,329,2,0,1,0,1,0,0,0,1,2,5,2,4,0,417,0,3,420,
18,87,14,439,4,0,2,0,3,0,1,6,4,1,5,5,13,2,586,0,6,592,
19,179,4,154,7,1,0,0,0,1,1,0,1,1,1,5,7,4,366,0,1,367,
20,109,4,207,2,3,1,1,3,4,0,0,0,1,2,3,2,8,350,0,4,354,
21,312,6,282,3,0,0,0,2,0,3,8,2,5,4,5,13,21,666,0,12,678,
22,390,9,343,10,0,1,0,1,2,0,1,0,0,1,3,8,11,780,0,10,790,
23,130,4,382,19,1,0,0,0,0,0,0,2,1,5,2,4,0,550,0,1,551,
24,247,6,176,2,2,1,1,2,2,2,2,2,0,0,7,9,6,467,0,2,469,
25,303,3,120,5,0,0,1,1,1,0,0,0,2,2,4,7,5,454,0,4,458,
26,136,4,288,13,0,1,2,2,0,0,0,0,0,2,0,0,2,450,0,2,452,
27,312,9,129,10,1,1,1,2,0,0,0,0,0,1,2,7,12,487,0,4,491,
28,156,4,230,15,2,1,0,2,0,1,1,0,1,0,1,5,6,425,0,8,433,
29,172,3,276,119,1,2,1,1,0,2,1,1,4,2,1,6,10,602,0,7,609,
30,170,9,230,4,1,1,0,3,1,0,2,0,0,2,0,7,8,438,0,5,443,
31,108,8,295,4,2,0,2,0,1,1,1,0,1,9,4,10,5,451,0,3,454,
32,196,3,164,3,1,0,0,0,1,2,1,1,1,2,0,8,7,390,0,1,391,
33,563,7,70,3,0,2,0,0,1,1,0,1,1,2,2,9,3,665,0,1,666,
34,214,7,208,5,2,2,1,3,1,2,3,0,4,10,6,10,6,484,0,6,490,
35,379,3,79,0,1,0,1,1,0,2,4,0,0,3,2,10,5,490,0,0,490,
36,222,8,179,5,2,1,0,2,0,3,0,0,3,12,3,10,4,454,0,2,456,
37,463,9,136,8,1,0,0,4,0,0,1,2,3,4,4,18,8,661,0,1,662,
38,273,3,246,14,4,1,1,0,1,0,1,3,2,4,1,15,10,579,0,4,583,
39,197,7,352,16,0,1,1,0,2,1,0,0,3,13,5,16,14,628,0,7,635,
40,168,6,339,10,0,1,0,1,0,1,0,0,0,2,1,11,0,540,0,4,544,
41,174,6,288,12,1,0,0,0,1,0,0,0,1,3,5,8,9,508,0,3,511,
42,187,6,511,5,0,1,0,1,1,1,2,1,3,9,4,10,10,752,0,8,760,
43,295,4,84,4,2,0,1,0,2,1,0,0,2,2,1,14,6,418,0,4,422,
44,188,8,269,7,0,1,1,2,4,0,2,0,1,3,2,7,9,504,0,4,508,
45,243,9,404,5,0,1,2,2,1,2,1,2,1,4,5,18,10,710,0,10,720,
46,75,3,329,4,3,1,3,0,1,0,1,0,3,8,6,6,1,444,0,2,446,
47,88,5,428,5,2,1,3,3,1,2,2,3,4,5,3,11,9,575,0,18,593,
48,12,1,105,3,1,0,0,1,0,1,0,0,2,3,2,4,0,135,0,1,136,
49,181,3,122,26,0,2,1,4,0,2,1,5,4,2,4,14,14,385,0,12,397,
50,61,5,191,15,1,1,6,5,0,0,2,2,1,6,8,9,2,315,0,9,324,
51,174,8,288,9,1,2,0,3,0,0,0,2,6,2,2,13,11,521,0,5,526,
52,126,15,347,16,3,1,1,3,2,0,4,4,3,3,3,17,5,553,0,9,562,
53,129,5,248,25,1,0,0,3,3,1,2,2,2,7,6,20,11,465,0,9,474,
54,108,8,174,12,4,1,3,5,3,0,3,5,4,19,8,15,10,382,0,12,394,
55,75,6,305,4,0,0,3,3,4,1,1,2,5,6,4,11,1,431,0,5,436,
56,124,7,325,10,4,1,1,2,2,0,1,2,3,2,4,8,1,497,0,8,505,
57,146,12,274,3,1,1,1,0,2,1,1,3,5,12,4,13,3,482,0,3,485,
58,159,1,99,11,4,0,0,2,1,1,4,0,0,1,2,4,4,293,0,2,295,
59,145,5,182,15,1,1,0,2,0,1,2,2,2,4,3,13,6,384,0,7,391,
60,119,1,241,3,0,0,0,0,0,0,0,1,0,1,1,3,7,377,0,1,378,
61,162,4,148,0,0,0,1,0,2,1,1,0,0,0,1,5,8,333,0,3,336,
62,122,7,232,6,0,0,0,2,4,3,0,1,3,5,5,6,4,400,0,2,402,
