Serial No of polling station,,,,,,,,,,,,,,,,,,valid,Rejected Votes,Nota,Total,No. of tendered votes
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samratbhai Jerambhai,Chavda Palabhai Nanjibhai,Parmar Prabhubhai Gokalbhai,Parmar Vashrambhai Bavalbhai,Makvana Ukabhai Amrabhai,Makvana Vashrambhai Karshanbhai,Mansinh Shivubha Zala,Vadliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devjibhai,Sapra Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,,,,,
1,54,0,103,1,0,0,0,1,0,0,0,0,1,0,0,1,2,163,0,3,166,0
2,122,3,149,5,0,0,0,0,1,2,3,5,2,3,3,7,8,313,0,2,315,0
3,15,3,259,8,1,0,0,0,0,0,0,0,2,1,0,2,0,291,0,1,292,0
4,214,10,253,8,0,0,0,2,0,0,1,0,1,0,6,9,13,517,0,8,525,0
5,338,3,134,3,0,1,0,1,0,1,0,0,0,4,1,12,6,504,0,4,508,0
6,325,2,126,1,0,0,0,0,1,0,0,1,0,1,5,4,8,474,0,3,477,0
7,237,5,145,9,0,0,1,0,4,0,1,1,0,1,3,5,2,414,0,3,417,0
8,220,3,134,11,1,1,0,1,7,0,0,0,1,0,2,3,2,386,0,2,388,0
9,40,5,381,14,0,0,2,0,0,0,2,0,1,2,0,3,4,454,0,3,457,0
10,40,5,267,1,2,0,0,0,0,1,0,2,1,1,1,2,5,328,0,10,338,0
11,68,8,228,4,0,0,1,1,0,0,1,1,0,1,2,6,4,325,0,5,330,0
12,194,9,254,6,2,1,0,1,4,0,2,2,1,4,2,11,9,502,0,9,511,0
13,196,4,105,2,1,0,0,3,2,1,0,1,0,0,6,11,1,333,0,0,333,0
14,42,6,118,2,1,0,1,0,0,0,1,2,1,0,2,9,2,187,0,3,190,0
15,246,4,79,2,0,3,0,2,2,2,1,3,3,1,3,9,6,366,0,2,368,0
16,363,7,161,4,0,1,0,1,1,2,0,1,0,1,1,22,15,580,0,8,588,0
17,94,3,83,1,0,0,0,0,0,1,1,2,0,3,0,1,2,191,0,0,191,0
18,292,8,269,4,3,0,0,1,2,0,0,2,0,4,3,8,13,609,0,11,620,0
19,82,2,248,1,2,0,1,0,0,0,0,1,3,2,2,3,7,354,0,2,356,0
20,45,1,270,2,0,0,0,0,0,0,0,0,1,1,0,2,3,325,0,1,326,0
21,132,0,167,3,1,0,0,0,0,0,0,0,1,1,2,9,8,324,0,4,328,0
22,151,3,84,3,0,0,0,0,1,1,0,0,1,0,1,3,2,250,0,2,252,0
23,200,3,221,5,0,1,1,0,0,0,1,0,1,5,6,6,8,458,0,1,459,0
24,106,4,108,1,1,0,1,1,0,0,0,1,2,0,3,4,2,234,0,2,236,0
25,101,2,351,6,1,2,0,0,1,1,1,3,0,5,9,5,11,499,0,11,510,0
26,62,6,514,6,2,0,0,1,1,0,1,4,3,1,3,6,0,610,0,1,611,0
27,149,8,397,9,2,1,1,3,1,1,2,2,1,7,7,13,12,616,0,15,631,0
28,307,12,128,7,0,1,0,1,0,0,2,1,5,2,4,10,5,485,0,2,487,0
29,39,4,97,0,0,0,0,0,0,0,0,1,0,0,0,3,1,145,0,0,145,0
30,222,6,198,3,0,0,0,0,0,0,0,1,0,1,2,6,6,445,0,4,449,0
31,149,17,181,2,0,1,0,0,1,0,0,0,1,2,2,3,12,371,0,4,375,0
32,305,62,209,1,0,0,0,1,4,0,0,0,3,4,2,8,15,614,0,5,619,0
33,173,13,309,2,0,0,0,1,0,1,1,0,4,5,5,6,9,529,0,1,530,0
34,32,0,60,1,0,0,0,0,0,0,0,0,0,2,1,1,2,99,0,3,102,0
35,68,2,272,8,0,0,0,0,0,0,0,4,3,2,1,7,4,371,0,8,379,0
36,113,25,91,2,0,0,0,0,0,0,0,0,1,1,0,6,2,241,0,1,242,0
37,3,1,897,1,0,0,0,0,0,0,0,0,0,0,2,0,0,904,0,1,905,0
38,7,1,1115,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1129,0,0,1129,0
39,118,2,315,7,0,0,0,0,1,1,1,1,0,9,4,2,4,465,0,5,470,0
40,154,6,158,7,1,0,0,0,2,1,0,1,0,3,2,2,7,344,0,6,350,0
41,315,20,37,8,0,1,0,10,0,1,0,1,1,1,0,4,7,406,0,3,409,0
42,105,5,298,3,3,3,0,0,0,0,0,3,1,3,0,8,4,436,0,1,437,0
43,282,22,129,4,0,0,0,1,2,0,1,1,2,3,5,7,10,469,0,6,475,0
44,155,5,328,19,2,0,0,0,1,1,0,2,0,2,2,8,7,532,0,2,534,0
45,68,13,207,9,0,2,1,1,0,0,0,0,1,2,4,4,6,318,0,5,323,0
46,173,2,260,6,0,0,1,0,0,2,0,0,0,4,2,6,3,459,0,1,460,0
47,15,0,174,4,1,1,0,0,0,0,1,0,0,5,2,0,2,205,0,0,205,0
48,22,2,841,6,0,0,0,0,0,0,0,0,1,0,0,1,1,874,0,2,876,0
49,92,1,600,2,1,0,0,2,1,1,0,7,0,1,4,5,3,720,0,4,724,0
