Serial No of polling station,NO. OF VALID VOTES CAST IN FAVOUR OF,,,,,,,,,,,,,,,,,,,,,
,KOLI PATEL SOMABHAI GANDALAL,PARMAR MINAXIBEN VIJAYBHAI,FATEPARA DEVAJIBHAI GOVINDBHAI,JETHABHAI MANJIBHAI PATEL,BAR AJAMALBHAI KARMANBHAI,MAJETHIYA SAMARATBHAI JERAMBHAI,CHAVDA PALABHAI NANAJIBHAI,PARMAR PRABHUBHAI GOKALBHAI,PARMAR VASHARAMBHAI BAVALBHAI,MAKWANA UKABHAI AMRABHAI,MAKWANA VASHARAMBHAI KARSHANBHAI,MANSINH SHIVUBHA ZALA,VADALIYA KALUBHAI MALUBHAI,VAGHELA PRAKASHBHAI BACHUBHAI,VORA BHAVANBHAI DEVAJIBHAI,SAPARA VIPULBHAI RAMESHBHAI,SANKALIYA GANGARAMBHAI TAPUBHAI,Total of Valid votes,No. of rejected Votes (test votes),"Votes for ""NOTA"" option",Total,No. of tendered votes
1,99,26,312,4,2,1,0,1,0,0,3,2,3,2,2,13,3,473,0,5,478,
2,66,87,538,5,0,0,1,4,4,0,0,1,6,17,8,10,3,750,0,3,753,
3,21,1,295,2,0,0,3,0,1,1,0,2,3,15,3,12,0,359,0,2,361,
4,15,4,534,8,0,2,0,1,0,1,2,0,3,9,3,6,2,590,0,2,592,
5,147,24,421,13,1,0,0,3,0,1,2,2,3,4,2,12,8,643,0,4,647,
6,127,12,445,10,2,2,2,4,4,3,0,2,4,2,4,10,9,642,0,2,644,
7,102,8,379,10,2,2,0,2,1,2,0,3,3,3,4,10,3,534,0,7,541,
8,244,28,252,10,0,0,1,2,1,0,0,1,2,1,0,6,8,556,0,5,561,
9,321,12,356,4,1,1,0,4,1,1,0,1,0,2,1,6,5,716,0,1,717,
10,306,9,154,3,1,1,0,3,1,0,0,3,1,1,0,4,17,504,0,0,504,
11,102,5,446,3,0,1,1,2,2,0,2,0,2,1,3,10,0,580,0,4,584,
12,149,5,305,1,0,1,0,2,1,0,1,1,2,3,8,7,4,490,0,4,494,
,,,,,,,,,,,,,,,,,,,,,,
13,32,5,227,8,1,2,1,0,0,0,0,1,0,0,2,0,2,281,0,3,284,
14,186,4,120,3,0,1,1,1,0,0,1,1,0,0,2,3,15,338,0,2,340,
15,138,3,295,4,1,0,0,0,0,0,0,0,4,0,3,2,2,452,0,0,452,
16,97,2,371,3,2,0,0,4,1,0,1,3,3,4,1,3,5,500,0,4,504,
17,82,9,331,6,3,0,2,0,2,0,0,0,4,3,5,7,0,454,0,5,459,
18,128,2,168,6,2,0,1,56,1,2,0,0,2,0,0,1,4,373,0,2,375,
19,31,4,278,7,1,2,2,2,0,0,0,1,3,11,0,4,0,346,0,8,354,
20,97,3,229,2,2,0,1,2,1,1,0,1,5,8,4,2,5,363,0,5,368,
21,352,6,265,1,0,0,0,2,2,1,1,0,2,11,8,6,45,702,0,5,707,
22,113,5,395,7,0,1,0,0,1,0,0,0,1,3,1,4,5,536,0,3,539,
23,201,5,274,5,0,0,0,0,1,0,0,0,1,3,2,8,6,506,0,2,508,
24,138,2,295,2,1,0,0,1,0,0,2,5,1,3,1,12,2,465,0,3,468,
25,6,1,97,3,0,0,0,0,0,0,1,0,0,1,0,0,1,110,0,0,110,
26,143,11,476,8,4,0,2,3,2,2,3,2,4,11,6,16,2,695,0,9,704,
27,203,5,543,4,2,0,1,0,2,0,4,1,4,5,3,20,20,817,0,17,834,
28,178,7,438,6,0,0,1,0,1,2,0,3,2,3,3,10,9,663,0,3,666,
29,304,4,314,3,0,0,0,0,1,0,0,1,0,2,2,5,20,656,0,11,667,
30,248,2,365,4,2,0,0,2,0,0,2,0,0,2,2,6,10,645,0,3,648,
31,246,10,261,5,0,1,2,2,1,1,1,3,4,3,8,5,19,572,0,8,580,
32,45,2,285,12,0,0,0,0,0,0,0,5,2,0,0,2,2,355,0,3,358,
33,200,9,333,2,1,5,0,1,0,0,2,0,0,4,3,9,3,572,0,1,573,
34,94,4,517,6,1,0,2,1,2,0,2,0,3,4,3,14,2,655,0,3,658,
,,,,,,,,,,,,,,,,,,,,,,
35,240,7,163,5,0,2,1,1,1,1,0,0,1,2,1,11,6,442,0,8,450,
36,264,5,214,3,0,0,0,0,1,1,0,0,0,3,0,12,4,507,0,1,508,
37,95,2,442,5,1,1,0,0,0,1,0,1,0,3,3,4,7,565,0,10,575,
38,87,2,239,1,1,0,1,1,1,0,0,0,1,3,3,14,11,365,0,4,369,
39,207,11,479,4,1,0,0,13,0,0,0,0,4,7,6,9,6,747,0,2,749,
40,69,11,629,6,1,0,2,1,0,0,0,2,2,4,5,12,6,750,0,4,754,
41,274,9,564,14,3,0,0,2,1,0,1,2,0,2,3,9,8,892,0,11,903,
42,169,1,486,10,1,0,0,1,1,1,0,6,0,3,4,13,8,704,0,9,713,
43,282,9,544,18,3,0,3,6,2,1,2,2,5,7,4,28,3,919,0,9,928,
44,73,7,727,16,0,1,0,0,0,0,0,1,0,1,1,5,2,834,0,28,862,
45,77,1,528,5,0,0,1,0,0,1,0,0,1,0,1,2,3,620,0,32,652,
46,85,0,515,8,0,1,0,0,0,0,0,2,0,1,0,3,0,615,0,8,623,
47,123,1,495,10,0,0,1,0,2,0,2,1,0,1,1,2,1,640,0,16,656,
48,165,4,522,17,0,0,0,1,0,0,1,1,2,0,1,7,2,723,0,23,746,
49,469,2,234,7,1,0,1,1,2,0,1,0,0,2,2,7,5,734,0,6,740,
50,163,5,452,7,0,1,0,0,0,2,2,1,2,4,3,5,10,657,0,6,663,
51,277,7,247,6,1,1,0,1,1,1,0,0,1,3,1,2,11,560,0,16,576,
52,128,4,481,6,3,1,4,3,3,0,4,2,3,3,3,9,2,659,0,4,663,
53,103,2,495,7,0,1,0,2,1,0,0,3,1,1,1,2,1,620,0,23,643,
54,125,6,538,8,0,0,0,0,1,1,0,3,1,3,2,4,7,699,0,12,711,
55,363,5,442,8,4,1,0,4,0,3,2,2,6,8,2,12,10,872,0,10,882,
56,148,7,601,12,3,3,1,5,3,1,1,1,5,4,7,9,3,814,0,3,817,
,,,,,,,,,,,,,,,,,,,,,,
57,183,8,516,8,1,4,1,0,0,1,2,4,1,2,4,12,7,754,0,7,761,
58,177,8,640,10,1,1,2,2,1,2,0,4,5,5,7,14,18,897,0,14,911,
59,102,1,488,3,0,0,0,0,0,0,0,0,1,2,0,0,1,598,0,30,628,
60,122,3,495,16,1,0,1,2,2,0,0,2,0,0,1,2,0,647,0,23,670,
61,157,3,606,11,1,1,0,0,1,0,1,7,0,1,0,4,5,798,0,36,834,
62,279,1,348,7,0,0,0,1,1,0,0,3,1,2,7,6,6,662,0,12,674,
63,179,1,383,10,0,1,0,0,1,1,0,6,0,7,3,2,5,599,0,12,611,
64,325,3,134,1,1,0,0,0,0,0,0,1,0,0,0,1,9,475,0,9,484,
65,501,4,98,13,0,0,0,2,1,0,1,1,3,1,3,73,10,711,0,7,718,
66,478,5,110,4,0,0,0,0,0,0,0,0,0,0,0,12,4,613,0,3,616,
67,509,3,30,3,0,0,2,0,0,0,1,0,1,0,0,8,7,564,0,2,566,
68,370,0,78,3,0,0,1,0,0,0,0,0,1,0,1,9,5,468,0,9,477,
69,290,5,512,19,0,0,0,2,0,0,1,1,2,2,1,7,7,849,0,6,855,
