Serial No of polling station,,,,,,,,,,,,,,,,,,,,,,
,Koli Patel Somabhai Gandalal,Parmar Minaxiben Vijaybhai,Fatepara Devjibhai Govindbhai,Jethabhai Manjibhai Patel,Bar Ajmalbhai Karmanbhai,Majethiya Samaratbhai Jerambhai,Chavda Palabhai Nanajibhai,Parmar Prabhubhai Gokalbha,Parmar Vasharambhai Bavalbhai,Makvana Ukabhai Amrabhai,Makvana Vasharambhai Karshanbhai,Mansinh Shivubha Zala,Vadaliya Kalubhai Malubhai,Vaghela Prakashbhai Bachubhai,Vora Bhavanbhai Devajibhai,Sapara Vipulbhai Rameshbhai,Sankaliya Gangarambhai Tapubhai,valid,No. of rejected Votes (test votes),"Votes for ""NOTA"" option",Total,No. of tendered votes
1,171,13,150,15,2,1,0,2,1,2,0,1,6,3,5,8,14,394,0,9,403,0
2,115,6,359,16,3,0,2,2,3,3,4,1,11,4,7,6,5,547,0,4,551,0
3,67,7,304,14,1,1,1,2,2,1,2,5,4,1,3,5,3,423,0,9,432,0
4,135,7,288,10,1,2,0,3,7,0,0,2,4,4,3,11,6,483,0,6,489,0
5,238,4,137,8,0,1,0,4,1,0,2,2,1,4,5,20,12,439,0,2,441,0
6,182,13,373,10,2,4,2,3,4,1,1,2,4,9,7,13,3,633,0,8,641,0
7,193,14,362,4,0,0,0,3,4,3,2,4,7,11,10,21,6,644,0,7,651,0
8,47,4,334,19,2,0,0,0,0,0,1,1,3,3,2,7,0,423,0,0,423,0
9,216,6,152,12,3,1,2,1,1,1,1,2,0,0,2,5,8,413,0,5,418,0
10,49,3,291,24,0,1,1,0,0,0,1,1,0,3,5,8,1,388,0,5,393,0
11,109,9,336,39,2,1,2,0,0,1,0,2,5,6,7,8,5,532,0,13,545,0
12,214,9,324,46,2,0,2,2,2,1,1,0,1,2,1,11,14,632,0,15,647,0
13,87,11,391,3,1,1,1,2,2,0,0,3,3,9,3,14,4,535,0,8,543,0
14,115,6,297,5,0,1,1,0,0,0,0,1,3,3,1,2,3,438,0,5,443,0
15,61,4,248,7,0,0,0,0,0,0,0,1,0,3,2,7,3,336,0,2,338,0
16,113,4,263,6,1,0,0,0,0,1,0,2,1,2,2,4,5,404,0,5,409,0
17,185,6,267,16,1,0,1,1,0,1,0,1,0,3,3,4,18,507,0,8,515,0
18,90,4,194,11,1,1,0,1,3,0,1,0,2,2,3,4,4,321,0,3,324,0
19,98,6,202,10,1,0,1,1,1,0,0,3,1,1,2,6,7,340,0,2,342,0
20,66,5,454,7,0,0,0,1,0,2,1,0,1,4,2,5,2,550,0,5,555,0
21,85,6,248,1,1,0,1,2,1,0,1,1,3,1,2,3,1,357,0,7,364,0
22,70,4,93,1,1,0,1,2,1,0,0,0,1,2,2,5,4,187,0,1,188,0
23,199,7,201,5,1,0,2,2,1,2,3,3,4,1,1,11,4,447,0,7,454,0
24,219,3,522,9,2,0,0,0,1,1,0,0,2,4,5,6,5,779,0,5,784,0
25,51,1,299,0,0,1,0,1,1,1,0,0,0,2,0,3,1,361,0,3,364,0
26,138,7,131,4,0,1,0,1,0,0,0,0,3,0,1,3,4,293,0,2,295,0
27,125,2,146,5,1,0,0,1,0,0,0,0,0,2,0,6,9,297,0,3,300,0
28,69,1,201,3,2,0,0,0,2,1,2,0,2,2,1,4,2,292,0,0,292,0
29,154,4,396,7,1,1,1,1,0,1,0,1,1,0,2,5,5,580,0,1,581,0
30,113,6,248,5,1,4,1,1,4,1,1,1,5,4,1,3,3,402,0,1,403,0
31,200,7,288,5,2,1,2,0,2,1,1,2,3,3,4,13,8,542,0,8,550,0
32,162,7,159,16,2,0,1,0,0,1,1,2,1,4,4,5,8,373,0,5,378,0
33,180,1,414,3,0,0,0,0,0,1,1,0,1,1,2,3,2,609,0,2,611,0
34,38,5,259,3,3,3,1,1,1,0,0,1,3,7,4,9,2,340,0,5,345,0
35,63,7,325,7,2,1,3,1,4,0,2,1,2,7,6,9,6,446,0,2,448,0
36,138,2,379,9,1,0,1,0,0,0,0,1,0,2,0,4,0,537,0,17,554,0
37,112,5,463,15,0,0,1,0,0,0,0,1,1,3,1,10,4,616,0,12,628,0
38,100,0,499,21,1,0,0,0,1,0,0,1,1,0,0,2,3,629,0,23,652,0
39,123,3,548,24,0,0,0,3,0,0,0,2,1,1,0,0,2,707,0,10,717,0
40,96,9,419,17,2,0,2,2,5,2,2,3,3,7,4,6,2,581,0,7,588,0
41,99,8,558,17,1,2,0,3,1,2,1,1,7,11,7,12,3,733,0,8,741,0
42,456,5,115,13,0,0,0,0,0,0,0,0,0,0,2,5,14,610,0,4,614,0
43,162,2,273,5,0,0,0,0,0,1,2,0,1,3,3,4,5,461,0,13,474,0
44,145,0,234,7,0,0,0,0,0,0,2,0,2,1,0,4,2,397,0,4,401,0
45,76,4,291,9,0,1,0,0,0,0,0,0,1,2,0,4,0,388,0,5,393,0
46,70,3,324,10,2,0,0,0,0,1,0,0,2,1,0,2,2,417,0,24,441,0
47,143,5,471,15,1,0,0,0,0,1,0,1,3,2,2,4,3,651,0,31,682,0
48,133,3,373,10,0,3,1,1,1,1,0,3,6,10,7,24,5,581,0,6,587,0
49,232,4,241,5,0,1,1,1,3,0,1,1,4,5,3,9,3,514,0,4,518,0
50,272,10,216,8,3,2,1,2,3,2,3,1,4,4,8,38,5,582,0,3,585,0
51,533,16,97,2,17,1,0,6,0,1,0,2,2,4,3,30,16,730,0,12,742,0
52,551,35,78,11,33,0,0,20,1,0,0,0,3,3,2,8,16,761,0,10,771,0
53,519,17,108,10,8,0,0,42,0,0,0,0,3,4,3,21,14,749,0,4,753,0
54,370,4,145,4,8,0,1,3,2,1,1,2,1,2,1,8,8,561,0,1,562,0
55,166,3,285,12,2,0,2,2,4,0,1,3,3,10,5,7,3,508,0,1,509,0
56,324,4,151,45,1,0,1,1,1,0,2,1,3,3,5,11,7,560,0,5,565,0
57,101,3,436,14,0,1,0,0,2,0,2,2,2,1,2,2,3,571,0,10,581,0
58,131,3,372,12,0,0,0,0,1,1,0,1,1,2,3,4,4,535,0,10,545,0
59,373,0,261,12,2,0,0,0,0,0,1,2,2,2,4,4,13,676,0,5,681,0
60,103,3,405,11,0,1,0,2,2,0,0,0,0,1,0,7,3,538,0,11,549,0
61,175,2,325,23,0,0,1,0,0,0,1,4,0,8,2,5,10,556,0,7,563,0
62,87,3,212,9,2,1,0,0,0,0,2,0,1,10,2,8,4,341,0,5,346,0
63,144,2,292,4,1,1,0,2,4,1,1,2,4,8,3,8,6,483,0,8,491,0
64,114,2,266,11,1,0,0,0,0,0,0,1,2,1,2,2,1,403,0,1,404,0
65,90,1,428,15,2,0,0,0,1,1,0,0,4,3,4,7,1,557,0,10,567,0
66,149,2,159,14,2,0,0,0,0,1,1,0,1,4,0,7,4,344,0,7,351,0
