polling station,,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Jadeja Kandhalbhai Saramanbhai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhdas,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadiya G.R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbhai,,,,,
1,33,436,42,2,0,0,0,0,0,2,1,0,0,1,517,0,4,521,0
2,30,813,16,1,2,0,1,2,1,0,2,2,1,6,877,0,13,890,0
3,36,646,3,5,7,1,1,4,2,2,3,3,3,9,725,0,5,730,0
4,29,256,21,1,1,0,1,0,0,0,1,2,3,2,317,0,0,317,0
5,14,284,3,3,1,1,0,0,1,0,1,0,0,5,313,0,5,318,0
6,75,507,11,2,14,2,2,1,2,0,3,3,1,3,626,0,6,632,0
7,36,417,22,5,5,1,0,2,1,0,2,1,3,3,498,0,8,506,0
8,48,208,6,0,5,2,0,1,0,0,0,1,1,1,273,0,5,278,0
9,40,369,2,0,4,1,0,0,0,0,0,0,1,6,423,0,4,427,0
10,73,446,12,5,3,0,0,0,0,0,0,0,0,1,540,0,7,547,0
11,34,539,8,5,2,0,2,0,1,0,0,1,2,5,599,0,7,606,0
12,13,244,11,5,0,0,0,0,1,0,2,1,0,4,281,0,0,281,0
13,5,644,0,1,2,0,0,0,0,0,0,0,0,0,652,0,1,653,0
14,177,191,4,3,3,0,1,2,1,1,1,1,2,1,388,0,5,393,0
15,14,576,3,0,0,1,0,1,0,0,0,0,1,5,601,0,3,604,0
16,47,320,4,0,5,1,0,0,0,0,1,0,0,1,379,0,2,381,0
17,36,386,6,3,3,0,2,0,0,0,0,2,0,7,445,0,9,454,0
18,64,850,11,1,4,0,0,0,0,1,1,3,3,5,943,0,5,948,0
19,8,349,0,0,1,0,0,0,0,0,0,1,0,0,359,0,1,360,0
20,25,408,4,0,3,0,1,0,0,0,0,0,3,6,450,0,3,453,0
21,36,387,25,2,7,0,1,0,0,0,0,4,0,3,465,0,13,478,0
