,Serial No. & Name of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,Total Valid Votes,Rejected Votes,NOTA,Total Votes,No. of Tendered Votes
,,Jadeja Kandhalbhai Saramanbhai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhadas,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadia G. R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbhai,,,,,
,1,84,151,3,1,1,0,1,0,1,0,1,1,1,7,252,0,14,266,0
,2,131,184,3,1,0,2,1,1,0,0,2,0,2,4,331,0,5,336,0
,3,167,182,5,1,3,2,0,3,1,1,1,2,1,3,372,0,9,381,0
,4,54,236,0,2,1,1,1,1,0,1,1,1,0,0,299,0,6,305,0
,5,213,245,10,8,1,0,0,5,2,0,3,0,5,3,495,0,13,508,0
,6,90,347,2,1,2,2,0,1,0,1,0,0,1,2,449,0,8,457,0
,7,280,159,4,3,2,0,3,4,0,1,1,3,4,6,470,0,10,480,0
,8,162,319,24,2,1,1,1,0,0,0,0,2,0,1,513,0,10,523,0
,9,38,541,11,2,5,0,0,0,1,1,2,2,0,2,605,0,1,606,0
,10,209,223,4,4,2,1,1,3,0,0,2,1,2,5,457,0,11,468,0
,11,11,387,7,3,2,1,0,1,1,0,1,0,1,0,415,0,6,421,0
,12,136,302,6,6,4,4,0,1,1,0,0,1,3,4,468,0,7,475,0
,13,101,422,3,1,24,1,1,0,0,0,0,2,1,3,559,0,14,573,0
,14,175,429,6,1,12,1,0,1,1,0,2,2,1,1,632,0,10,642,0
,15,230,295,16,4,10,1,0,4,0,0,1,1,1,2,565,0,19,584,0
,16,136,403,13,6,11,1,1,3,1,1,0,3,7,4,590,0,14,604,0
,17,459,229,14,5,14,3,0,5,0,0,0,2,1,2,734,0,19,753,0
,18,81,293,2,2,10,0,2,0,0,1,0,1,1,1,394,0,4,398,0
,19,188,450,7,3,12,2,0,1,0,2,1,3,2,0,671,0,13,684,0
,20,54,319,2,1,8,0,0,0,0,0,1,0,0,1,386,0,2,388,0
,21,85,332,3,3,4,0,0,0,0,0,0,0,1,5,433,0,7,440,0
,22,146,357,4,5,8,2,2,3,0,1,1,6,2,3,540,0,16,556,0
,23,243,284,11,2,2,3,0,2,2,0,1,0,3,4,557,0,17,574,0
,24,352,228,17,5,5,4,0,1,3,2,0,4,5,6,632,0,23,655,0
,25,146,437,1,0,5,0,0,1,0,1,1,2,1,3,598,0,4,602,0
