polling station,NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
1,398,131,8,3,5,3,4,7,3,1,2,3,5,5,4,37,4,4,1,1,2,1,2,0,1,635,0,3,638,0
2,209,120,2,1,0,0,0,0,0,0,2,1,0,3,2,14,2,1,1,1,0,0,0,0,1,360,0,5,365,0
3,30,428,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,0,0,0,0,0,468,0,2,470,0
4,321,136,2,1,2,0,1,1,1,1,2,2,4,2,3,11,6,2,0,0,1,3,0,1,1,504,0,6,510,0
5,397,289,6,1,0,0,2,1,0,1,1,0,4,1,1,3,5,4,0,0,1,0,0,0,0,717,0,2,719,0
6,52,44,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,104,0,1,105,0
7,135,148,3,0,0,0,0,0,0,0,2,2,0,0,1,6,0,1,0,0,1,0,0,0,1,300,0,1,301,0
8,516,82,2,2,3,0,1,1,1,0,2,0,0,0,3,7,13,4,3,0,0,0,1,0,1,642,0,4,646,0
9,123,126,1,0,2,0,0,0,0,0,0,0,2,0,1,6,3,2,0,0,1,0,0,1,0,268,0,1,269,0
10,294,375,12,4,1,1,3,1,0,3,1,2,0,5,9,10,13,8,4,2,1,1,2,1,0,753,0,9,762,0
11,38,839,0,0,1,0,1,1,0,1,0,0,2,0,1,0,2,2,1,1,0,0,0,1,0,891,0,1,892,0
12,59,679,3,0,2,0,0,2,0,1,1,0,0,1,0,4,1,7,1,0,0,0,0,0,0,761,0,2,763,0
13,88,445,2,1,2,0,0,2,1,0,1,0,0,1,3,8,4,3,0,1,0,0,0,0,1,563,0,4,567,0
14,11,196,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,3,1,0,0,0,0,0,0,215,0,0,215,0
15,497,30,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0,0,538,0,3,541,0
