Serial No. of Polling Station,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
1,518,267,2,0,2,2,1,0,1,1,0,1,1,0,0,11,19,0,2,0,0,0,0,1,2,831,0,8,839,
2,126,607,5,0,10,0,0,2,0,0,2,1,3,2,6,3,9,11,4,0,1,2,0,2,2,798,0,6,804,
3,242,444,5,0,2,0,1,0,0,1,1,3,0,1,2,4,8,1,1,1,2,0,2,0,4,725,0,7,732,
4,223,460,6,0,3,0,0,0,2,0,2,0,0,1,3,5,1,3,0,0,0,1,0,0,0,710,0,4,714,
5,425,157,4,1,2,1,0,1,2,1,0,1,0,0,9,14,5,1,0,0,2,0,0,1,0,627,0,8,635,
6,303,78,7,1,0,1,0,2,1,1,0,1,0,0,1,16,3,1,1,2,1,1,3,0,1,425,0,7,432,
7,466,35,4,0,3,0,1,2,0,1,0,3,1,1,1,17,18,5,0,2,1,0,3,2,1,567,0,14,581,
8,151,199,1,1,1,0,1,0,0,1,0,1,0,1,2,2,2,1,1,0,0,0,0,0,0,365,0,3,368,
9,789,37,2,3,5,1,0,3,3,0,4,2,4,0,3,14,29,1,2,0,0,1,3,1,2,909,0,10,919,
10,67,413,1,2,0,0,0,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0,0,0,0,492,0,3,495,
11,138,440,3,0,0,0,0,0,2,0,0,1,0,0,1,5,3,3,0,0,0,1,1,1,0,599,0,1,600,
12,300,298,13,1,0,1,4,0,0,1,2,3,0,0,0,6,7,6,1,0,1,0,1,1,1,647,0,8,655,
13,194,509,2,1,1,0,2,1,0,0,0,0,0,0,1,2,4,0,1,0,1,1,0,0,0,720,0,6,726,
14,152,383,6,0,1,0,0,0,0,0,0,1,1,0,0,2,0,5,1,0,0,0,0,0,1,553,0,7,560,
15,121,227,5,0,2,0,0,0,0,0,0,1,0,0,1,3,1,5,2,0,1,1,0,1,2,373,0,2,375,
16,132,217,5,0,3,1,0,1,2,0,0,1,0,1,2,1,3,4,2,0,0,1,0,1,1,378,0,4,382,
17,145,531,2,0,0,0,0,0,0,1,2,0,1,0,1,3,1,3,3,0,0,0,0,0,1,694,0,2,696,
18,108,292,8,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,413,0,0,413,
19,328,229,2,0,0,0,2,0,1,0,1,0,2,0,1,9,5,11,0,1,0,0,0,1,3,596,0,4,600,
20,105,403,7,1,0,1,1,0,0,2,2,1,0,0,3,2,3,5,2,1,1,0,0,0,1,541,0,4,545,
21,130,409,2,0,1,1,0,0,0,0,1,0,1,0,2,4,7,1,0,0,1,0,0,2,1,563,0,4,567,
22,40,482,6,1,0,0,2,0,0,0,1,0,0,1,2,6,1,3,0,0,0,0,0,0,0,545,0,2,547,
23,109,575,3,0,3,0,0,0,0,0,0,0,0,2,1,2,6,1,2,0,0,1,1,1,1,708,0,5,713,
24,209,350,5,0,2,1,0,0,1,1,0,1,1,0,2,3,2,5,1,1,0,0,0,0,1,586,0,0,586,
25,142,181,2,1,2,1,0,0,0,0,1,1,0,0,1,3,4,3,1,0,0,1,0,1,2,347,0,2,349,
26,119,122,3,0,0,1,1,0,0,0,0,3,0,1,1,2,6,2,0,0,0,0,0,0,1,262,0,0,262,
27,494,230,4,0,0,0,0,0,0,0,0,1,1,1,6,5,7,5,0,0,0,1,1,1,2,759,0,6,765,
28,316,284,14,0,1,1,1,0,0,1,1,2,0,0,1,7,6,2,1,2,0,0,0,1,1,642,0,1,643,
29,74,98,2,1,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,0,1,0,0,1,185,0,1,186,
30,377,222,2,0,3,0,0,4,3,2,1,1,1,2,3,14,15,6,4,0,2,6,2,4,13,687,0,25,712,
31,313,105,1,1,0,0,0,0,1,6,3,2,2,1,2,14,7,0,2,1,1,1,0,4,5,472,0,9,481,
32,449,172,5,4,2,2,2,3,1,1,2,3,0,3,2,17,8,3,3,0,0,3,4,2,3,694,0,12,706,
33,300,146,3,1,0,0,0,1,0,0,0,0,0,1,1,2,5,4,0,1,0,0,0,1,2,468,0,3,471,
34,220,134,0,0,1,0,0,0,0,0,0,0,0,0,1,2,5,0,2,0,1,0,0,0,1,367,0,0,367,
35,183,403,6,3,2,1,1,0,1,2,1,1,2,3,2,2,2,7,1,0,0,0,0,1,2,626,0,3,629,
36,138,557,6,0,2,3,0,1,0,1,0,0,3,0,4,5,2,2,0,1,0,1,0,1,0,727,0,4,731,
37,202,331,1,0,0,1,0,0,0,0,2,0,1,2,1,3,4,1,0,0,0,1,3,1,0,554,0,6,560,
38,61,606,2,0,0,0,0,0,1,0,0,0,0,0,2,3,3,6,0,1,1,0,0,1,0,687,0,3,690,
39,106,490,2,1,2,0,0,0,0,0,0,0,0,0,2,1,2,1,2,0,0,0,1,1,1,612,0,1,613,
40,190,469,4,0,0,2,1,2,0,0,1,1,0,1,2,4,1,4,2,0,3,2,1,0,1,691,0,3,694,
41,153,414,3,2,0,0,1,1,0,1,0,1,0,1,3,3,6,2,0,0,0,0,0,0,1,592,0,3,595,
42,173,264,6,2,2,1,0,0,1,1,0,1,1,2,2,6,2,4,1,0,0,1,0,1,1,472,0,2,474,
43,146,159,10,1,8,0,1,2,1,2,0,0,2,0,2,6,4,3,0,1,1,1,0,1,0,351,0,3,354,
44,66,81,4,0,0,1,0,0,0,0,0,0,0,1,8,9,0,2,2,1,0,0,1,2,1,179,0,4,183,
45,37,82,2,0,0,0,0,2,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,128,0,1,129,
46,141,141,4,0,2,0,0,1,1,0,2,0,0,0,2,2,1,4,0,2,0,0,0,0,0,303,0,1,304,
47,190,161,8,0,2,1,2,1,1,0,0,0,3,1,0,7,3,4,3,2,1,1,1,1,2,395,0,8,403,
48,87,179,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,5,0,1,0,0,1,0,0,279,0,0,279,
49,73,136,6,0,1,0,0,0,0,1,0,1,1,2,0,3,1,2,1,0,0,0,0,0,0,228,0,1,229,
50,91,536,3,2,4,0,1,1,1,0,0,3,1,1,2,2,1,3,1,0,0,0,0,0,0,653,0,3,656,
51,42,279,2,0,1,1,0,0,1,0,2,0,1,1,5,6,4,2,3,1,1,0,2,0,4,358,0,3,361,
52,136,324,5,0,1,0,0,1,0,3,1,1,1,4,4,5,7,5,0,0,1,1,1,0,1,502,0,9,511,
53,90,336,4,1,1,1,0,2,0,1,0,1,0,0,1,4,5,7,0,1,0,0,0,0,2,457,0,3,460,
54,288,207,4,0,0,1,0,0,0,2,1,2,0,1,2,13,3,4,2,0,1,0,0,1,1,533,0,4,537,
55,225,408,5,0,1,1,0,0,0,0,0,2,0,1,5,5,5,3,0,2,0,0,2,2,4,671,0,11,682,
56,54,515,11,1,0,0,0,0,2,0,4,1,1,0,2,6,4,3,2,0,1,0,1,1,2,611,0,3,614,
57,42,300,1,0,3,0,0,0,0,0,2,2,2,1,0,0,0,1,0,1,0,1,1,1,1,359,0,0,359,
58,162,548,7,7,5,1,0,3,2,2,1,2,1,4,5,11,2,6,1,0,0,0,1,1,2,774,0,3,777,
59,44,682,7,0,2,0,1,2,1,2,5,0,0,0,2,2,2,7,0,0,0,0,0,0,2,761,0,3,764,
60,16,271,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,295,0,1,296,
61,65,761,5,0,3,1,2,0,0,1,1,0,0,2,1,3,0,2,0,0,0,0,0,0,1,848,0,3,851,
62,56,676,3,1,6,0,1,0,0,1,1,0,0,2,1,2,3,3,1,1,1,0,0,0,1,760,0,6,766,
63,131,298,16,0,2,0,0,0,1,1,1,1,1,1,2,2,2,0,1,0,0,0,0,0,1,461,0,5,466,
64,195,657,67,1,1,0,0,0,1,1,0,0,0,3,2,3,0,0,1,0,0,0,0,0,1,933,0,6,939,
65,106,496,18,1,2,0,0,0,1,1,0,2,1,1,2,6,2,0,2,0,0,1,0,1,3,646,0,7,653,
66,61,464,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,533,0,5,538,
67,86,182,2,1,1,1,0,1,0,0,1,0,0,4,12,0,0,3,1,0,0,0,0,0,1,296,0,2,298,
68,238,28,2,0,3,3,0,2,0,0,1,2,0,3,1,9,7,2,1,0,0,0,0,2,3,307,0,13,320,
69,403,115,7,5,4,11,2,0,1,1,0,3,2,7,10,17,7,0,1,3,1,0,2,0,1,603,0,7,610,
70,678,88,4,1,10,5,1,1,1,0,3,3,1,3,4,9,8,2,5,1,1,2,1,0,3,835,0,9,844,
71,91,439,2,0,45,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,580,0,3,583,
72,471,59,4,0,7,2,1,1,1,2,3,7,4,4,12,33,10,0,1,0,3,1,1,1,3,631,0,15,646,
73,390,34,4,4,1,0,2,2,2,2,2,1,2,2,7,22,2,1,0,0,0,0,0,0,1,481,0,4,485,
74,629,94,6,5,8,6,0,1,4,1,1,3,6,12,12,50,43,6,0,3,2,2,3,2,3,902,0,19,921,
75,773,149,9,2,8,2,2,5,3,0,5,2,2,5,9,32,8,3,13,2,2,2,0,6,4,1048,0,13,1061,
76,823,117,6,3,8,3,2,2,2,3,4,2,2,4,9,39,6,2,4,0,0,0,0,1,1,1043,0,8,1051,
77,549,168,9,2,7,2,3,2,1,2,0,2,3,1,9,47,11,1,0,0,4,3,1,4,3,834,0,12,846,
78,176,370,15,0,2,2,1,0,3,1,0,1,1,2,1,6,3,4,0,1,2,1,3,0,1,596,0,4,600,
79,146,311,29,0,20,1,0,1,0,0,2,1,0,2,3,2,1,6,1,1,0,0,0,1,0,528,0,5,533,
80,94,128,10,1,1,0,0,0,0,0,2,1,1,0,0,2,2,0,1,0,0,0,0,0,0,243,0,0,243,
81,263,270,7,0,4,1,1,2,0,3,1,1,3,2,6,20,9,2,2,0,2,3,1,1,2,606,0,5,611,
82,111,317,6,0,0,0,0,1,0,0,0,0,0,0,2,5,2,2,2,0,1,0,0,0,3,452,0,2,454,
83,283,502,4,2,1,2,2,0,2,3,0,6,4,4,6,8,2,1,0,4,3,0,1,0,1,841,0,4,845,
84,119,341,4,2,1,0,0,0,2,0,1,2,2,3,5,7,1,0,1,0,3,0,0,0,1,495,0,2,497,
85,11,601,3,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,1,0,0,0,1,624,0,4,628,
86,13,511,0,0,0,0,0,0,1,1,1,0,1,2,0,14,0,6,2,0,0,1,0,0,0,553,0,4,557,
87,39,484,4,0,0,0,0,0,0,0,0,1,0,1,4,1,2,3,1,0,1,0,1,0,1,543,0,5,548,
88,144,257,3,1,3,0,1,2,0,2,2,2,0,0,4,2,4,2,0,1,0,0,0,1,1,432,0,3,435,
89,704,158,2,2,0,0,0,1,1,1,0,5,1,2,0,12,6,1,0,0,0,1,2,1,1,901,0,9,910,
90,302,417,4,2,10,1,3,1,0,1,7,3,0,1,2,1,2,4,3,1,1,1,0,0,1,768,0,3,771,
91,162,477,2,1,1,0,0,0,0,0,1,1,0,1,0,3,4,0,1,0,0,1,1,0,0,656,0,3,659,
92,423,388,7,1,3,0,0,0,1,1,5,3,2,1,4,8,5,3,0,0,0,0,0,0,1,856,0,2,858,
93,148,337,4,0,3,0,1,0,1,1,0,3,1,2,0,15,9,1,0,1,1,2,0,1,1,532,0,8,540,
94,110,496,4,2,0,0,1,0,0,0,2,0,0,2,4,4,3,1,0,0,0,0,0,1,1,631,0,4,635,
95,154,407,2,2,3,0,0,0,0,1,1,6,2,2,2,2,2,5,0,0,0,0,0,1,2,594,0,7,601,
96,54,448,3,0,2,1,2,0,1,1,1,0,1,0,3,3,2,5,3,1,1,0,1,0,0,533,0,1,534,
97,202,426,5,1,0,1,5,0,0,0,0,0,1,0,3,9,10,11,0,0,1,0,1,0,4,680,0,9,689,
98,299,133,1,2,1,2,2,0,2,3,0,2,1,3,4,5,7,2,1,0,1,0,0,1,2,474,0,8,482,
99,268,154,3,0,2,0,0,1,1,0,0,1,1,0,1,5,3,0,2,1,1,0,0,1,0,445,0,2,447,
100,354,305,4,0,1,1,1,1,1,0,3,3,1,1,6,12,3,5,1,1,0,1,0,2,0,707,0,8,715,
101,192,102,4,0,5,1,1,0,1,0,0,0,1,1,6,12,10,5,0,0,1,0,1,1,2,346,0,7,353,
102,100,156,0,0,1,1,1,0,0,0,0,2,0,0,0,1,3,2,0,2,0,0,1,0,0,270,0,5,275,
103,38,198,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,244,0,1,245,
104,212,183,10,0,1,0,2,4,1,0,1,2,5,1,3,4,3,0,1,1,0,0,0,0,0,434,0,6,440,
105,102,150,1,1,1,1,0,0,1,0,0,2,2,0,1,2,4,6,0,1,0,0,1,2,1,279,0,1,280,
106,130,123,9,0,1,0,0,1,0,0,2,1,0,4,4,7,2,0,1,1,0,0,1,0,0,287,0,0,287,
107,52,207,6,0,3,4,1,1,5,0,1,2,7,1,3,8,5,0,1,1,2,2,1,0,1,314,0,2,316,
108,74,103,0,0,7,0,0,1,0,1,0,0,0,0,2,1,1,1,0,2,0,0,0,0,0,193,0,2,195,
109,11,58,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,74,0,0,74,
110,72,338,3,1,3,0,0,1,0,1,0,3,0,1,4,5,2,3,2,0,0,0,0,0,0,439,0,5,444,
111,122,296,14,0,1,0,1,0,1,0,1,3,2,2,2,7,5,1,1,0,0,0,0,1,1,461,0,4,465,
112,198,590,6,0,2,0,1,0,1,0,1,2,1,1,3,3,4,2,1,0,1,1,3,0,2,823,0,5,828,
113,178,313,5,0,0,1,1,0,0,0,1,2,0,0,1,4,1,5,1,2,0,0,0,4,0,519,0,7,526,
114,166,181,3,1,1,1,0,1,0,0,0,1,0,1,2,6,1,0,0,0,1,1,0,0,1,368,0,3,371,
115,125,487,1,0,0,1,0,1,0,0,2,3,1,2,1,3,2,1,2,1,0,0,2,0,2,637,0,4,641,
116,132,486,7,1,0,0,0,0,1,0,0,0,1,1,2,9,5,1,0,0,0,0,0,0,2,648,0,1,649,
117,427,69,3,3,2,0,1,0,0,0,1,0,1,0,0,6,5,0,0,1,0,0,2,0,0,521,0,1,522,
118,311,95,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,411,0,0,411,
119,124,566,8,3,5,2,1,0,1,0,1,0,1,1,3,4,8,8,1,0,1,2,0,1,2,743,0,5,748,
