Serial No. of Polling Station,NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHA,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
1,520,153,8,1,13,2,2,0,4,1,1,4,4,4,10,10,5,2,1,0,0,0,1,2,6,754,0,5,759,
2,551,82,10,0,18,3,1,0,3,2,4,2,1,4,5,23,10,2,5,3,1,0,2,3,1,736,0,1,737,
3,459,121,6,2,6,1,3,3,0,3,0,3,0,3,8,22,15,6,2,2,0,1,3,0,2,671,0,4,675,
4,453,131,3,1,12,3,0,0,0,0,1,3,0,2,4,10,3,2,1,0,0,0,1,3,4,637,0,14,651,
5,655,62,6,1,8,3,3,2,3,2,2,4,5,2,2,25,19,2,12,2,1,0,1,2,3,827,0,4,831,
6,459,122,6,1,3,1,0,1,0,0,1,0,0,1,1,6,0,1,0,0,1,1,0,0,0,605,0,3,608,
7,387,129,171,1,2,0,1,0,0,0,0,3,7,1,3,4,15,1,3,1,0,0,0,0,0,729,0,8,737,
8,574,247,5,2,16,0,0,1,1,0,1,0,2,1,3,24,11,4,4,2,0,3,0,2,13,916,0,10,926,
9,485,180,4,0,10,2,2,0,0,1,0,1,3,2,2,12,25,5,7,3,10,6,4,6,10,780,0,18,798,
10,570,138,2,4,8,5,5,1,3,1,3,3,6,9,7,35,6,1,2,1,0,3,1,3,4,821,0,17,838,
11,252,568,4,0,9,1,1,0,0,1,2,1,1,0,1,10,4,5,1,0,0,0,0,0,1,862,0,5,867,
12,185,159,2,0,8,0,0,0,0,0,1,2,4,1,5,11,3,3,1,0,1,0,0,0,0,386,0,1,387,
13,211,515,5,0,16,2,2,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,2,759,0,11,770,
14,158,410,3,1,16,1,0,0,0,0,1,1,0,1,0,1,6,3,1,0,0,0,0,0,1,604,0,6,610,
15,150,262,2,0,15,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,433,0,4,437,
16,493,198,3,0,0,1,0,0,0,1,0,1,0,1,2,11,6,0,0,0,1,0,1,0,2,721,0,11,732,
17,144,366,2,2,8,0,1,1,1,1,1,3,1,7,9,8,0,7,0,0,0,0,0,0,1,563,0,2,565,
18,136,382,1,0,19,1,0,0,0,1,0,0,1,2,1,6,2,3,1,1,0,1,0,0,1,559,0,9,568,
19,169,433,5,2,49,2,2,1,2,0,0,0,1,2,4,8,6,3,0,0,0,0,1,1,1,692,0,4,696,
20,247,487,2,0,5,0,1,0,0,0,1,1,0,2,1,9,6,0,0,0,0,0,1,0,0,763,0,6,769,
21,147,661,6,0,8,0,0,1,2,0,1,1,4,0,1,3,0,1,0,0,1,0,0,1,1,839,0,15,854,
22,172,546,2,0,7,1,1,0,1,0,1,1,1,1,0,3,6,3,0,0,0,0,2,0,0,748,0,8,756,
23,127,463,3,1,2,1,0,1,1,1,2,1,0,1,1,3,5,2,1,0,3,0,1,0,0,620,0,5,625,
24,81,257,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,347,0,5,352,
25,111,426,1,0,12,1,0,0,0,0,0,1,0,2,1,1,0,4,0,1,1,0,0,1,0,563,0,10,573,
26,125,378,2,0,18,0,1,1,0,0,0,0,0,1,1,4,6,1,1,0,2,1,0,0,0,542,0,5,547,
27,179,435,1,0,19,0,0,1,0,2,0,1,0,1,4,4,0,1,0,0,0,0,1,0,0,649,0,1,650,
28,140,454,1,0,2,0,0,1,0,0,0,0,0,1,0,3,2,1,1,0,1,0,1,1,1,610,0,8,618,
29,138,401,2,1,4,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,550,0,7,557,
30,97,457,0,0,8,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,567,0,6,573,
31,130,501,1,0,6,0,1,0,0,1,0,2,0,1,0,0,1,2,1,0,0,0,1,0,0,648,0,7,655,
32,249,456,2,0,12,2,3,0,1,0,0,2,0,1,2,3,2,2,0,1,1,0,0,0,0,739,0,5,744,
33,225,513,5,0,4,0,0,1,1,1,0,1,2,2,0,3,1,2,0,0,0,0,1,0,0,762,0,6,768,
34,232,369,9,1,2,1,0,0,0,0,1,3,0,3,8,4,3,8,0,0,1,1,1,1,0,648,0,6,654,
35,177,511,5,1,6,1,2,0,1,13,0,1,0,1,2,8,5,6,4,1,1,0,0,0,1,747,0,12,759,
36,318,364,5,2,8,3,2,1,1,0,1,1,0,3,11,9,7,8,1,2,2,1,0,1,2,753,0,11,764,
37,569,198,8,0,3,0,0,3,0,1,0,1,0,1,2,3,3,1,0,0,0,0,2,1,0,796,0,4,800,
38,284,518,3,0,4,1,2,0,0,1,0,2,0,0,3,5,2,1,2,0,0,1,0,0,1,830,0,6,836,
39,350,478,5,3,5,1,1,1,0,2,0,2,1,2,5,18,18,19,2,1,0,1,3,0,1,919,0,9,928,
40,252,600,2,1,3,0,0,2,0,1,2,4,0,4,7,8,12,13,5,1,0,1,1,3,6,928,0,18,946,
41,299,591,7,0,1,2,0,2,0,1,1,1,1,1,2,3,4,1,0,0,0,0,0,0,3,920,0,7,927,
42,180,590,8,3,2,2,0,0,2,0,0,0,0,2,1,4,2,3,0,0,0,0,0,1,1,801,0,2,803,
43,148,505,2,0,6,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,669,0,3,672,
44,91,531,3,0,1,1,1,1,0,1,0,0,0,0,1,2,5,3,1,0,0,0,0,1,0,643,0,1,644,
45,86,419,2,1,11,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,523,0,12,535,
46,97,209,3,0,6,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,322,0,2,324,
47,236,367,2,0,7,3,1,2,0,0,1,3,0,2,2,6,2,1,1,0,0,1,0,0,0,637,0,7,644,
48,62,340,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,410,0,11,421,
49,110,400,1,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,518,0,13,531,
50,66,243,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,318,0,3,321,
51,119,264,0,0,7,0,1,0,0,1,0,0,0,0,2,0,4,1,1,0,0,0,0,0,0,400,0,3,403,
52,122,574,1,0,18,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,721,0,17,738,
53,125,221,3,0,2,0,0,0,0,0,0,1,1,0,1,5,3,0,0,0,0,0,0,1,1,364,0,4,368,
54,122,644,0,0,9,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,1,781,0,18,799,
55,114,523,1,0,10,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,653,0,10,663,
56,42,236,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,3,283,
57,77,474,2,0,10,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,568,0,11,579,
58,64,288,0,0,5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,361,0,6,367,
59,122,504,0,1,16,0,2,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,650,0,13,663,
60,79,460,2,0,5,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,550,0,12,562,
61,65,296,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,368,0,7,375,
62,81,560,0,0,5,0,0,1,0,0,0,0,1,0,1,0,3,3,0,1,0,0,0,0,0,656,0,7,663,
63,35,225,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,262,0,1,263,
64,101,773,1,0,15,1,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,899,0,13,912,
65,110,629,2,1,7,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,753,0,11,764,
66,134,450,0,0,11,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,599,0,9,608,
67,336,302,8,1,9,0,0,1,1,0,0,1,0,0,2,2,4,0,1,0,0,0,0,0,0,668,0,14,682,
