NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial No. of Polling Station,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHA SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
1,129,555,5,0,14,2,0,1,0,0,0,1,0,1,1,4,3,1,0,0,0,0,1,1,0,719,0,9,728,0
2,109,576,1,0,6,1,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,703,0,13,716,0
3,167,813,4,2,7,0,0,0,2,1,0,0,0,1,0,4,3,1,1,0,0,0,0,1,0,1007,0,9,1016,0
4,294,473,6,0,12,0,3,0,0,1,0,0,1,1,5,9,7,4,0,0,0,0,0,1,0,817,0,6,823,0
5,220,506,5,2,5,0,0,0,1,0,0,0,0,1,4,2,3,4,0,0,0,1,0,0,1,755,0,8,763,0
6,85,563,2,0,13,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,667,0,12,679,0
7,93,689,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,795,0,16,811,0
8,58,477,2,0,8,0,0,0,0,0,4,0,0,2,0,0,0,4,0,0,0,0,0,0,0,555,0,4,559,0
9,118,558,1,2,4,2,0,0,0,0,0,1,0,2,1,0,0,6,0,0,0,1,0,0,0,696,0,10,706,0
10,107,685,1,0,12,1,0,0,0,1,0,1,0,4,1,2,3,1,1,3,0,0,0,0,1,824,0,21,845,0
11,66,418,1,0,2,0,0,0,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,493,0,2,495,0
12,76,779,1,0,3,0,0,0,0,0,1,0,0,0,1,2,2,1,1,0,0,0,0,0,0,867,0,10,877,0
13,91,587,2,0,11,0,0,0,0,0,0,1,0,0,0,0,2,4,0,1,0,1,0,0,0,700,0,5,705,0
14,194,580,6,0,2,0,0,0,0,1,0,0,1,0,2,5,4,2,3,2,0,0,0,2,0,804,0,14,818,0
15,120,640,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,2,0,1,1,0,1,0,0,771,0,8,779,0
16,87,635,3,0,4,1,0,0,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,1,0,738,0,6,744,0
17,79,766,6,0,4,3,0,2,0,0,0,1,0,0,0,3,4,8,1,2,0,1,1,1,2,884,0,7,891,0
18,149,833,2,0,4,0,1,0,0,0,1,1,0,1,2,3,0,2,0,0,0,0,0,0,1,1000,0,10,1010,0
19,150,361,3,0,1,1,1,0,1,0,0,0,0,0,2,3,6,4,0,0,0,2,0,0,0,535,0,2,537,0
20,106,574,2,0,4,0,0,0,0,0,0,0,0,1,1,2,2,4,1,0,0,0,0,0,0,697,0,7,704,0
21,69,591,3,0,6,0,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,676,0,14,690,0
22,57,525,0,0,7,0,0,0,0,0,0,0,0,1,2,3,1,1,0,4,0,0,1,0,0,602,0,11,613,0
23,142,419,7,0,2,2,0,0,0,2,0,0,0,0,4,4,2,5,2,0,0,0,0,0,1,592,0,5,597,0
24,33,227,0,0,2,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,268,0,2,270,0
25,217,387,4,1,1,1,0,0,0,0,0,2,1,0,3,3,1,3,0,1,1,0,0,0,0,626,0,5,631,0
