Serial No. of Polling Station,,,,,,,,,,,,,,,,,,,,,,,,,,valid,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
1,90,559,11,0,2,1,2,0,1,0,3,1,1,0,2,6,3,2,0,0,0,1,0,0,1,686,0,3,689,
2,56,497,5,2,3,1,0,1,0,0,2,1,0,1,4,4,2,3,1,0,0,1,1,1,1,587,0,1,588,
3,31,476,7,0,1,0,0,0,0,0,1,0,0,1,3,2,2,2,1,0,0,1,0,0,1,529,0,3,532,
4,135,350,5,1,1,0,2,0,1,1,1,3,1,0,6,6,2,0,1,0,1,1,1,1,0,520,0,3,523,
5,56,249,4,2,5,0,0,0,0,0,0,0,0,2,1,4,6,4,5,0,1,0,0,0,1,340,0,1,341,
6,65,177,1,0,0,0,0,0,1,0,0,0,1,0,0,2,3,2,0,0,0,0,0,0,0,252,0,0,252,
7,94,265,1,0,2,0,0,0,1,0,0,1,0,0,3,4,4,2,2,0,0,0,1,1,1,382,0,3,385,
8,241,407,9,1,0,1,1,1,0,1,0,2,3,1,2,2,4,4,0,2,1,1,0,0,2,686,0,3,689,
9,107,294,4,0,1,3,0,0,1,0,1,4,0,1,2,6,2,0,1,0,0,0,0,2,4,433,0,1,434,
10,49,306,4,0,1,0,0,0,0,0,1,1,0,0,2,0,2,1,1,0,2,0,1,0,0,371,0,1,372,
11,107,500,5,2,1,0,0,3,1,1,1,1,0,0,0,5,11,8,4,1,4,2,7,4,1,669,0,7,676,
12,94,301,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,400,0,2,402,
13,108,386,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,1,3,0,0,0,2,0,1,509,0,3,512,
14,173,309,4,5,4,0,1,0,1,0,2,0,0,2,3,6,5,3,2,0,2,2,2,3,2,531,0,4,535,
