Serial No. of Polling Station,No. Of Valid Votes Cast in favour of,,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid,No. Of rejecte d Votes,NOTA,Total,NO. OF Tender ed Votes
,AHIR VIKR AMB HAI,POO NAM BEN HEM,SAM A YUS UF,KAS AMB HAI,JHAL A RAJE NDR,SAIY AD ABU BAK,CHA NDR AVIJ AYSI,DALI T ASH OK,DALI T JITE SH,DHA NJIB HAI LALJ,DHA RAVI YA VAL,NARI YA PRA VINB,PAD HIY AR LALJ,PAN DYA CHIR AGB,BAT HWA R NAN,MA MAD HAJI BOLI,MEM AN RAFI K,VAG HER ALI ISHA,VAG HER JAVI DBH,VAN IYA GAN GAJI,SAC HAD A HABI,SUT HAR HAN SAB,SUM ARA AMA NDB,SOD HA SALI MBH,SAN DHI MA MAD,,,,,,
1,61,340,2,0,4,1,0,0,0,0,1,1,1,0,1,2,1,2,0,0,0,0,0,0,0,1,417,0,1,418,0
2,117,354,6,0,10,1,0,0,1,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,1,8,496,0,8,504,0
3,500,278,1,0,9,0,2,0,1,0,1,4,3,2,9,7,3,0,1,1,1,0,1,0,1,2,825,0,2,827,0
4,317,259,6,0,3,1,1,2,1,1,0,2,0,3,2,6,1,1,0,0,1,0,0,1,0,1,608,0,1,609,0
5,463,205,5,1,1,1,1,0,1,0,2,2,0,2,2,6,7,2,3,1,3,2,2,1,4,4,717,0,4,721,0
6,341,143,3,0,4,0,2,1,0,0,0,1,0,2,3,6,1,1,0,0,0,0,0,0,1,1,509,0,1,510,0
7,145,407,9,1,3,1,1,0,0,1,1,2,4,1,3,4,3,2,3,1,0,0,1,1,1,4,595,0,4,599,0
8,442,246,11,3,3,0,2,0,2,1,4,2,4,3,2,17,7,2,2,5,1,1,2,1,2,11,765,0,11,776,0
9,140,247,3,1,0,0,0,1,0,1,0,0,2,3,7,3,5,2,1,0,0,0,1,1,2,3,420,0,3,423,0
10,165,88,0,0,0,0,0,0,1,0,1,0,0,1,4,1,3,1,0,1,0,0,0,0,0,2,266,0,2,268,0
11,375,164,5,1,2,2,0,0,2,4,0,3,0,1,3,14,6,3,1,0,3,3,0,1,2,3,595,0,3,598,0
12,210,263,3,2,1,0,0,0,1,1,0,0,0,3,0,6,7,1,1,0,0,0,1,0,0,3,500,0,3,503,0
13,35,116,3,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,3,160,0,3,163,0
14,65,219,2,0,1,0,1,1,0,0,1,0,0,0,2,4,1,0,0,0,2,0,0,0,1,2,300,0,2,302,0
15,143,334,5,1,1,0,1,0,1,0,2,0,4,1,3,14,1,5,1,0,1,1,0,1,0,0,520,0,0,520,0
16,219,84,6,0,0,0,0,1,2,1,2,0,1,0,3,11,3,0,0,0,0,1,1,0,1,1,336,0,1,337,0
17,192,48,2,1,0,1,0,1,0,1,1,0,1,0,0,4,5,1,1,0,0,0,1,2,0,2,262,0,2,264,0
18,97,123,5,1,1,1,1,0,0,0,3,0,0,1,1,4,1,0,1,0,0,0,0,3,0,6,243,0,6,249,0
19,226,266,3,1,2,1,3,0,0,1,0,0,3,1,3,17,3,8,1,0,3,0,0,0,1,3,543,0,3,546,0
20,455,162,1,1,1,0,2,0,0,3,1,1,0,4,4,22,6,0,0,0,1,1,0,1,1,8,667,0,8,675,0
21,162,389,3,1,7,3,2,0,0,2,3,2,2,0,1,6,8,2,1,0,0,0,0,3,2,9,599,0,9,608,0
22,134,90,1,0,0,0,1,0,0,0,0,1,0,0,0,1,4,6,1,0,1,0,0,0,0,1,240,0,1,241,0
23,326,110,0,0,1,1,2,0,0,1,0,2,0,1,1,2,2,1,1,0,2,2,0,0,0,2,455,0,2,457,0
24,307,210,4,3,6,1,2,0,4,0,3,1,2,1,4,12,12,4,5,1,3,0,3,2,6,7,596,0,7,603,0
25,328,67,2,0,6,3,1,1,0,0,1,2,0,0,2,7,7,3,0,0,1,0,0,1,1,2,433,0,2,435,0
26,363,63,2,0,4,0,1,0,1,1,0,3,0,1,3,4,1,0,0,0,0,0,0,0,0,1,447,0,1,448,0
27,230,26,1,0,0,1,0,0,0,0,0,2,2,0,1,3,5,0,1,0,0,0,1,0,3,8,276,0,8,284,0
28,364,96,4,1,3,0,0,0,1,0,0,0,4,1,9,17,9,4,0,0,0,0,3,4,4,12,524,0,12,536,0
29,305,44,1,1,6,1,0,0,0,0,1,1,1,0,2,16,2,1,0,1,1,0,0,0,0,6,384,0,6,390,0
30,334,56,0,0,0,0,0,0,1,1,2,1,0,0,0,10,7,0,0,1,0,0,1,0,3,1,417,0,1,418,0
31,485,49,1,1,3,0,1,0,0,0,3,4,0,2,5,9,11,3,2,0,0,3,1,0,2,9,585,0,9,594,0
32,153,7,0,0,0,1,0,0,0,0,3,1,0,0,0,3,5,0,1,0,1,0,0,0,1,3,176,0,3,179,0
33,488,80,3,0,1,1,0,0,3,0,0,1,2,1,5,16,2,2,0,4,1,1,0,2,3,12,616,0,12,628,0
34,341,47,1,0,0,1,0,0,0,0,0,0,0,1,1,9,1,0,1,1,0,0,0,0,1,6,405,0,6,411,0
35,295,19,1,0,0,1,1,2,1,1,0,2,0,3,3,5,6,1,0,1,1,1,0,2,0,4,346,0,4,350,0
36,545,65,3,0,1,1,0,3,1,0,3,2,1,1,4,17,12,2,0,1,4,0,2,1,3,6,672,0,6,678,0
37,476,34,3,1,3,1,0,2,1,0,1,0,0,3,3,9,14,1,2,1,1,1,0,2,2,5,561,0,5,566,0
38,520,116,5,0,7,1,3,1,0,0,1,1,1,6,6,15,20,5,4,1,2,1,0,1,1,9,718,0,9,727,0
39,465,41,3,2,0,1,1,2,2,2,0,2,1,2,1,18,9,4,1,1,1,1,0,0,2,3,562,0,3,565,0
40,601,98,2,3,1,0,1,1,0,0,1,4,3,2,4,21,6,3,1,1,0,0,2,1,2,5,758,0,5,763,0
41,346,182,7,0,0,1,0,0,0,0,0,4,1,0,1,5,1,1,0,0,0,0,0,0,2,5,551,0,5,556,0
42,115,475,4,0,2,1,0,1,0,0,1,0,0,0,1,4,0,0,1,0,0,1,0,0,0,1,606,0,1,607,0
43,130,364,6,0,3,0,0,0,1,1,1,2,0,0,1,5,3,4,0,0,1,0,0,0,1,2,523,0,2,525,0
44,111,226,4,0,4,0,1,0,0,1,0,0,1,0,5,7,3,0,0,1,1,0,0,0,0,0,365,0,0,365,0
45,100,115,0,0,1,0,0,0,0,1,1,0,0,0,0,6,2,0,0,0,0,0,3,2,0,1,231,0,1,232,0
46,226,273,6,1,5,2,1,1,1,3,0,3,1,1,9,18,0,5,0,0,0,2,4,1,4,0,567,0,0,567,0
47,187,195,8,2,2,1,0,0,0,0,1,2,2,2,3,8,0,0,1,0,0,1,1,0,0,1,416,0,1,417,0
48,170,149,7,3,0,0,0,2,0,2,0,1,1,0,1,3,0,1,0,0,1,0,0,1,1,2,343,0,2,345,0
49,127,257,10,0,2,1,0,0,0,0,0,1,0,1,3,5,1,1,0,1,1,1,0,0,2,2,414,0,2,416,0
50,106,252,3,0,1,0,1,0,1,1,0,1,0,1,1,8,0,1,0,0,0,0,1,1,0,2,379,0,2,381,0
51,200,116,6,0,1,0,1,0,0,0,0,2,1,2,3,6,4,2,1,0,1,1,0,0,0,1,347,0,1,348,0
52,70,181,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,256,0,1,257,0
53,73,207,1,3,1,0,0,0,0,1,0,0,0,1,1,3,4,7,1,0,0,0,0,0,0,0,303,0,0,303,0
54,107,286,5,0,1,0,1,3,0,1,0,0,2,0,2,3,0,3,1,1,1,0,0,1,0,0,418,0,0,418,0
55,51,81,3,0,0,0,0,0,0,1,0,0,2,1,4,6,0,1,0,0,0,0,0,0,1,0,151,0,0,151,0
55A,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,28,0,0,28,0
56,243,307,5,4,3,1,1,1,1,1,2,1,0,0,4,6,2,2,3,1,1,1,0,2,1,3,593,0,3,596,0
57,130,234,4,0,10,3,0,1,1,1,4,2,2,5,1,7,1,2,1,1,0,0,2,0,2,12,414,0,12,426,0
58,39,355,5,0,0,0,0,0,0,1,0,0,1,0,2,2,0,3,3,0,0,1,0,0,0,0,412,0,0,412,0
59,240,334,4,0,2,0,0,0,0,2,0,2,1,0,5,7,5,2,0,0,1,0,1,0,0,1,606,0,1,607,0
60,217,241,1,0,1,0,0,0,0,0,1,1,0,0,0,6,6,1,0,0,0,0,0,1,1,0,477,0,0,477,0
61,276,487,5,0,3,0,0,1,0,1,0,1,0,1,2,5,2,2,0,0,0,0,0,0,2,0,788,0,0,788,0
62,94,164,3,2,1,0,0,1,0,1,1,0,1,0,1,2,1,0,0,0,0,0,1,0,0,1,273,0,1,274,0
63,96,249,2,1,3,1,0,0,1,0,0,1,1,0,4,3,1,2,0,0,1,0,0,0,0,1,366,0,1,367,0
64,220,342,10,2,1,2,4,3,1,2,3,1,2,3,1,7,6,1,1,2,2,1,1,1,2,3,621,0,3,624,0
65,150,314,6,3,23,2,1,0,0,0,1,1,1,1,2,4,0,0,0,1,0,0,0,0,1,1,511,0,1,512,0
66,85,144,1,0,0,0,0,0,2,0,1,1,0,3,3,6,1,0,1,1,0,0,2,2,1,0,254,0,0,254,0
67,134,199,1,0,0,0,0,0,0,1,1,0,2,0,1,3,0,1,0,0,0,0,0,0,0,0,343,0,0,343,0
68,94,272,5,1,0,0,0,0,0,1,0,0,1,2,7,7,3,2,0,0,1,0,1,0,0,0,397,0,0,397,0
69,25,553,7,0,1,1,0,0,0,1,0,1,0,1,0,2,2,2,0,0,0,0,0,1,0,1,597,0,1,598,0
70,59,434,13,1,0,0,2,0,1,2,3,2,3,3,4,11,0,0,0,0,1,0,1,1,1,11,542,0,11,553,0
71,64,351,1,0,1,0,1,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,0,0,0,3,425,0,3,428,0
72,93,616,8,1,5,0,0,0,0,0,3,3,3,1,4,2,3,2,1,1,0,3,2,3,1,3,755,0,3,758,0
73,185,367,6,1,3,1,1,1,1,0,0,2,2,1,0,18,5,2,0,0,0,1,0,0,0,3,597,0,3,600,0
74,53,485,2,1,2,1,1,0,2,1,0,1,0,1,1,3,1,0,1,0,0,0,0,0,0,2,556,0,2,558,0
75,105,273,2,0,1,0,0,0,0,0,1,0,2,2,2,5,2,1,0,0,0,0,0,0,1,2,397,0,2,399,0
76,299,195,5,0,0,0,0,0,0,0,1,2,1,1,2,2,6,0,0,1,0,0,0,1,0,0,516,0,0,516,0
77,315,296,5,3,2,1,1,1,0,0,0,1,0,1,4,6,4,1,0,0,0,0,3,0,0,0,644,0,0,644,0
78,233,182,4,0,0,0,0,0,0,0,0,2,0,0,2,1,1,2,0,0,0,0,0,0,0,2,427,0,2,429,0
79,50,197,2,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4,256,0,4,260,0
80,163,317,5,2,3,1,2,0,1,3,1,0,0,4,3,9,1,0,1,3,1,0,1,0,2,2,523,0,2,525,0
81,38,69,2,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,114,0,1,115,0
82,115,164,3,0,3,2,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,291,0,0,291,0
83,295,233,6,0,1,0,2,0,1,0,0,2,0,0,2,4,5,4,1,0,0,1,1,0,1,0,559,0,0,559,0
84,219,260,1,0,0,1,2,0,0,1,2,3,0,1,1,7,3,2,2,0,0,0,0,0,0,1,505,0,1,506,0
85,152,193,2,2,0,1,0,1,2,1,1,2,2,1,3,1,2,1,2,2,0,0,0,1,4,7,376,0,7,383,0
86,165,74,3,1,0,0,0,1,0,0,0,2,0,1,0,3,4,2,2,1,0,0,0,2,0,1,261,0,1,262,0
87,48,348,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,0,3,408,0,3,411,0
88,110,401,3,0,0,0,1,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,1,0,1,522,0,1,523,0
89,336,431,1,1,3,0,1,1,0,0,0,0,0,0,1,5,9,3,0,0,0,0,0,1,0,4,793,0,4,797,0
90,93,481,2,0,1,1,3,1,0,0,1,0,0,0,3,1,2,3,0,0,0,0,0,0,1,2,593,0,2,595,0
91,161,542,3,0,2,0,1,1,1,0,1,0,0,2,1,2,3,12,0,0,1,0,0,0,0,11,733,0,11,744,0
92,136,475,0,1,6,1,0,0,1,1,0,0,1,0,1,3,0,1,0,1,0,0,1,0,0,8,629,0,8,637,0
93,516,205,1,0,3,1,1,0,1,0,2,3,0,2,3,10,6,1,0,2,0,0,0,0,0,3,757,0,3,760,0
94,222,80,0,0,3,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,4,311,0,4,315,0
95,221,182,1,1,8,0,0,0,0,1,0,2,0,1,0,2,4,4,0,0,0,0,0,0,1,4,428,0,4,432,0
96,135,181,1,0,3,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,2,325,0,2,327,0
97,152,257,3,0,3,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,419,0,1,420,0
98,332,288,0,1,4,0,0,0,0,0,0,1,0,0,2,1,5,3,2,1,0,0,0,1,0,11,641,0,11,652,0
99,340,260,0,0,4,1,0,0,1,0,0,1,0,0,1,4,2,0,1,3,0,1,0,0,1,4,620,0,4,624,0
100,98,472,0,0,13,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,7,589,0,7,596,0
101,31,353,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,1,1,393,0,1,394,0
102,193,486,3,2,3,0,2,0,1,2,0,1,0,1,2,15,5,8,0,3,3,1,0,0,2,5,733,0,5,738,0
103,115,648,6,1,2,1,1,1,0,1,1,0,1,0,1,6,2,2,1,0,0,0,2,0,1,7,793,0,7,800,0
104,131,282,4,3,5,0,0,0,0,0,2,2,3,2,4,9,4,1,0,0,0,0,0,0,2,4,454,0,4,458,0
105,126,148,1,0,3,0,1,0,0,1,0,1,0,0,0,5,1,1,1,0,0,1,0,0,0,4,290,0,4,294,0
106,71,902,3,0,2,1,1,0,1,0,1,1,0,0,2,3,1,1,1,0,0,0,0,0,0,3,991,0,3,994,0
107,394,401,8,0,1,4,3,0,1,3,1,0,1,1,4,7,5,0,0,0,0,1,0,0,0,6,835,0,6,841,0
108,128,305,5,0,0,0,0,0,0,0,0,1,1,0,2,3,1,0,0,1,0,0,0,0,0,1,447,0,1,448,0
109,193,223,15,0,3,1,2,0,1,2,2,0,1,0,1,2,1,0,0,0,0,1,0,0,2,3,450,0,3,453,0
110,232,237,5,0,4,0,0,1,0,0,0,1,0,0,2,5,2,1,2,0,1,0,0,0,0,1,493,0,1,494,0
111,173,323,2,0,4,0,0,0,0,0,0,2,0,0,1,4,1,1,0,0,0,0,0,0,0,2,511,0,2,513,0
112,267,313,1,1,6,0,0,0,0,0,1,0,1,0,0,3,2,3,0,1,0,0,0,0,0,3,599,0,3,602,0
113,192,276,3,0,4,0,0,2,0,0,0,1,0,0,1,1,4,4,0,1,0,0,0,0,0,4,489,0,4,493,0
114,134,288,7,0,3,0,0,0,0,0,0,0,1,0,0,3,2,2,0,0,0,0,0,0,2,4,442,0,4,446,0
115,166,250,1,1,2,0,0,0,1,0,1,0,0,0,0,2,2,0,2,0,0,0,0,0,0,1,428,0,1,429,0
116,198,106,1,0,0,1,0,0,0,2,0,1,0,0,2,10,0,0,0,0,0,0,0,1,2,3,324,0,3,327,0
117,68,547,1,0,2,1,0,1,1,0,0,0,0,0,4,4,0,2,0,0,0,0,0,0,1,5,632,0,5,637,0
118,36,451,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,497,0,0,497,0
119,63,566,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,6,1,1,0,1,0,1,1,4,647,0,4,651,0
120,120,495,2,0,3,0,1,0,3,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,6,628,0,6,634,0
121,37,389,5,0,4,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,1,0,0,1,0,0,444,0,0,444,0
122,59,341,4,0,2,2,0,0,0,0,0,0,0,3,1,3,3,5,3,1,0,1,0,1,0,3,429,0,3,432,0
123,136,532,9,1,0,1,2,1,0,0,0,2,2,1,2,3,6,3,0,4,3,1,2,0,2,4,713,0,4,717,0
124,62,327,2,0,0,1,0,1,0,0,0,0,1,0,3,0,2,3,0,0,1,0,0,3,0,3,406,0,3,409,0
125,75,264,3,0,0,0,0,0,0,0,0,1,0,1,3,3,1,1,3,0,3,1,0,1,2,2,362,0,2,364,0
126,162,452,10,0,3,1,0,1,0,1,0,0,1,1,3,11,7,2,2,2,1,1,2,1,2,6,666,0,6,672,0
127,134,343,4,0,0,1,2,0,1,0,1,2,0,1,1,9,0,1,0,0,0,0,0,0,1,1,501,0,1,502,0
128,166,263,2,1,1,0,0,0,1,0,0,4,0,1,2,8,1,1,0,0,0,1,0,1,0,0,453,0,0,453,0
129,195,267,4,1,0,1,2,0,0,0,0,3,2,0,3,3,1,3,1,0,0,1,0,1,0,1,488,0,1,489,0
130,104,120,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,230,0,0,230,0
131,152,378,7,2,2,0,1,2,1,2,0,3,2,0,4,3,2,3,1,2,0,0,1,1,0,5,569,0,5,574,0
132,140,467,6,1,9,1,0,0,0,0,1,0,1,1,3,2,3,1,0,0,0,0,1,0,0,8,637,0,8,645,0
133,55,411,2,0,6,1,0,0,1,0,1,2,1,1,4,8,1,2,0,1,0,1,0,3,1,2,502,0,2,504,0
134,159,158,4,3,3,1,0,1,0,0,1,2,1,1,3,10,4,1,0,0,0,0,1,0,1,2,354,0,2,356,0
135,120,578,2,0,0,0,0,0,0,0,1,1,0,0,3,2,2,5,1,0,1,0,0,2,2,3,720,0,3,723,0
136,304,343,4,0,4,0,2,1,0,0,0,3,2,4,2,9,16,6,5,0,1,2,0,0,4,10,712,0,10,722,0
137,45,579,1,0,3,0,1,0,0,0,0,0,0,2,3,3,1,1,1,0,1,0,0,1,0,4,642,0,4,646,0
138,70,432,8,0,2,3,1,1,2,1,1,1,0,1,1,8,1,4,0,1,1,0,0,2,2,2,543,0,2,545,0
139,171,438,2,0,0,1,0,0,0,1,0,1,1,0,1,4,4,0,0,1,1,0,0,2,0,2,628,0,2,630,0
