Serial No. of Polling Station,NO. OF VALID VOTES CAST IN FAVOUR OF CANDIDATE,,,,,,,,,,,,,,,,,,,,,,,,,Total Of Valid Votes,No. Of rejected Votes,NOTA,Total,NO. OF Tendered Votes
,AHIR VIKRAMBHAI ARJANBHAI MADAM,POONAMBEN HEMATBHAI MAADAM,SAMA YUSUF,KASAMBHAI,JHALA RAJENDRASINH,SAIYAD ABUBAKAR IBRAHIM,CHANDRAVIJAYSINH TAKHUBHA RANA,DALIT ASHOK NATHABHAI CHAVDA,DALIT JITESH BABUBHAI RATHORE,DHANJIBHAI LALJIBHAI RANEVADIA,DHARAVIYA VALLABHBHAI,NARIYA PRAVINBHAI VALLABHBHAI,PADHIYAR LALJIBHAI KARABHAI,PANDYA CHIRAGBHAI HARIOMBHAI,BATHWAR NANJIBHAI,MAMAD HAJI BOLIM,MEMAN RAFIK ABUBAKAR POPATPUTRA,VAGHER ALI ISHAK PALANI,VAGHER JAVIDBHAI OSMANBHAI NOLE,VANIYA GANGAJIBHAI,SACHADA HABIB ISHABHAI,SUTHAR HANSABEN HARSUKHBHAI GORECHA,SUMARA AMANDBHAI NOORMAMADBHAI SUMARA,SODHA SALIMBHAI NURMAMADBHAI,SANDHI MAMADBHAI HAJIBHAI SAFIA,,,,,
1,277,323,2,3,4,0,2,0,2,0,0,1,4,1,2,8,2,0,0,0,0,1,0,0,2,634,0,6,640,0
2,85,456,4,1,6,1,1,0,1,0,0,0,0,0,1,4,2,1,0,0,0,0,0,0,0,563,0,6,569,0
3,132,523,5,1,6,1,0,0,0,0,0,0,1,0,4,1,1,1,0,0,0,0,1,0,0,677,0,6,683,0
4,271,404,4,2,1,4,0,1,0,0,0,2,3,2,6,10,10,1,1,1,3,0,1,2,1,730,0,6,736,0
5,153,418,2,0,6,2,1,1,0,0,0,2,0,0,2,2,4,4,0,0,0,0,0,0,0,597,0,4,601,0
6,399,397,4,1,12,1,1,0,1,0,0,1,1,0,3,21,3,1,0,0,2,0,3,0,0,851,0,5,856,0
7,217,225,1,0,9,0,1,0,1,2,1,1,1,1,5,14,7,0,1,1,0,0,2,1,3,494,0,4,498,0
8,469,262,5,0,2,2,1,2,1,1,1,12,3,3,2,17,12,9,0,2,2,1,2,1,5,817,0,15,832,0
9,316,116,4,1,2,0,0,1,0,0,1,2,0,1,3,16,10,3,1,0,0,1,1,0,6,485,0,4,489,0
10,428,257,0,0,4,3,2,1,1,1,1,6,1,0,8,14,8,2,0,1,0,1,0,4,3,746,0,9,755,0
11,215,318,1,1,2,0,1,0,1,1,0,2,1,2,6,14,0,2,0,0,0,0,2,0,0,569,0,2,571,0
