Serial No. of Polling Station,No. of valid votes cast in favour of,,,,,,,,,,,,,,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
,Jadeja Kandhalbhai Saramanbhai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhadas,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadia G.R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbhai,,,,,
1,184,311,5,5,1,1,0,3,1,0,0,3,3,7,524,0,10,534,0
2,383,83,2,5,2,5,2,3,1,0,0,2,1,2,491,0,7,498,0
3,188,187,4,4,3,1,7,2,0,0,0,3,2,4,405,0,10,415,0
4,368,171,77,2,1,2,2,4,1,3,5,2,5,3,646,0,18,664,0
5,115,181,8,0,2,0,1,1,0,0,3,0,1,1,313,0,4,317,0
6,159,203,5,3,0,0,1,6,0,0,4,3,1,1,386,0,2,388,0
7,190,135,3,4,0,1,1,1,2,1,4,2,4,3,351,0,14,365,0
8,198,133,4,4,3,0,1,4,2,1,1,4,3,2,360,0,6,366,0
9,180,188,4,5,1,1,1,2,1,2,0,3,1,7,396,0,5,401,0
10,108,89,4,0,5,1,1,0,0,0,0,2,3,1,214,0,3,217,0
11,176,373,3,3,1,2,2,1,1,0,0,0,2,5,569,0,3,572,0
12,95,289,5,2,4,0,2,1,1,1,1,1,6,8,416,0,9,425,0
13,386,119,1,3,1,0,0,2,0,0,0,1,0,3,516,0,11,527,0
14,328,104,1,4,0,3,1,1,0,0,1,0,0,4,447,0,11,458,0
15,241,154,4,3,2,1,0,2,0,0,1,4,2,7,421,0,11,432,0
16,220,153,5,2,0,1,0,1,1,0,2,0,3,3,391,0,14,405,0
17,171,95,4,1,1,0,1,1,0,0,4,0,0,3,281,0,4,285,0
18,168,189,23,2,0,1,0,4,1,0,1,3,3,4,399,0,2,401,0
19,161,132,4,0,4,1,2,0,0,0,1,4,0,3,312,0,8,320,0
