Polling Station,,,,,,,,,,,,,,,valid,Total of Reject ed Votes (Test Vote),Votes for NOTA Option,No of Tender ed Votes,total
,Jadeja Kandhalbh ai Saramanb hai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhada s,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadia G.R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbh ai,,,,,
1,128,116,6,2,0,0,2,0,0,0,0,1,1,2,258,0,5,0,263
2,132,175,1,1,0,1,4,0,0,0,1,0,0,1,316,0,3,0,319
3,275,226,4,8,18,2,3,3,2,0,1,0,6,7,555,0,28,0,583
4,86,146,3,0,0,2,2,0,0,1,3,0,1,2,246,0,5,0,251
5,187,92,10,2,9,3,5,0,0,0,1,0,2,3,314,0,15,0,329
6,156,168,5,3,8,1,2,0,0,1,0,1,2,3,350,0,11,0,361
7,206,87,4,2,8,0,3,2,0,0,1,1,3,2,319,0,5,0,324
8,84,134,5,1,3,1,1,2,0,0,1,0,4,2,238,0,2,0,240
9,93,107,7,1,1,1,1,2,0,1,4,1,1,2,222,0,3,0,225
10,88,165,4,2,1,1,2,1,0,0,0,0,1,7,272,0,3,0,275
11,159,200,11,4,12,3,1,1,2,1,2,2,3,7,408,0,10,0,418
12,81,128,2,2,4,1,3,2,0,1,0,4,2,5,235,0,3,0,238
13,85,145,6,3,3,0,1,0,1,0,1,1,0,2,248,0,5,0,253
14,211,96,0,3,1,1,2,0,0,0,0,1,2,3,320,0,8,0,328
15,93,147,1,1,5,2,1,1,2,0,3,2,1,1,260,0,6,0,266
16,106,167,4,0,6,1,2,0,1,0,0,1,2,3,293,0,5,0,298
17,74,243,3,0,1,0,0,0,1,0,1,0,1,1,325,0,2,0,327
18,243,199,3,3,0,1,1,3,0,0,0,1,2,0,456,0,6,0,462
19,97,266,5,2,4,0,1,2,0,0,0,1,0,1,379,0,13,0,392
20,60,171,7,6,6,2,0,1,3,1,0,0,0,0,257,0,8,0,265
21,24,368,4,3,1,1,1,1,0,1,0,0,1,0,405,0,3,0,408
22,124,356,22,0,5,0,0,2,0,0,2,2,1,3,517,0,11,0,528
23,116,331,26,3,27,1,4,0,0,0,0,1,0,1,510,0,5,0,515
24,282,309,8,1,10,3,6,1,3,2,2,8,2,7,644,0,10,0,654
25,132,142,10,3,6,1,3,2,0,1,1,0,3,2,306,0,6,0,312
26,148,174,7,2,3,0,2,2,1,0,0,0,3,1,343,0,6,0,349
27,200,122,5,1,3,0,2,0,1,0,0,1,1,2,338,0,12,0,350
28,147,317,5,1,4,3,0,0,2,0,0,2,3,6,490,0,16,0,506
29,115,177,3,0,0,2,0,3,2,0,1,2,7,0,312,0,4,0,316
30,205,372,4,2,1,1,1,0,1,0,1,0,0,2,590,0,6,0,596
31,189,397,9,1,4,2,2,1,0,1,1,0,1,1,609,0,7,0,616
32,126,279,4,0,3,1,2,2,0,0,0,0,1,4,422,0,3,0,425
33,83,266,3,3,4,2,1,1,0,0,2,0,2,0,367,0,7,0,374
34,35,354,1,0,0,0,0,0,0,0,0,2,0,2,394,0,5,0,399
35,38,287,1,1,4,1,2,0,0,0,0,1,1,2,338,0,2,0,340
36,223,239,9,2,2,1,2,2,2,0,1,5,5,7,500,0,16,0,516
37,68,123,1,1,2,0,1,0,0,0,1,1,1,1,200,0,3,0,203
38,61,163,1,1,4,1,0,0,0,0,2,1,0,2,236,0,7,0,243
39,154,402,7,4,6,1,2,1,0,2,2,1,8,12,602,0,12,0,614
40,171,305,10,4,10,0,4,2,0,0,3,2,3,4,518,0,15,0,533
41,132,202,5,0,6,0,0,0,0,1,0,0,1,1,348,0,4,0,352
42,144,203,1,0,3,2,0,0,0,0,0,0,0,2,355,0,13,0,368
43,172,363,4,2,11,0,0,0,0,0,0,2,2,1,557,0,5,0,562
44,269,332,17,2,8,2,4,1,1,1,0,1,12,9,659,0,20,0,679
45,188,408,10,4,12,0,2,0,0,1,0,1,5,8,639,0,20,0,659
46,125,379,5,3,13,2,2,2,0,0,0,1,4,4,540,0,14,0,554
47,115,254,3,1,4,1,2,1,0,0,2,2,0,2,387,0,7,0,394
48,109,166,15,2,6,1,1,2,1,0,1,0,0,3,307,0,4,0,311
49,315,226,7,3,14,1,6,1,0,1,1,3,2,2,582,0,9,0,591
50,32,557,3,2,1,2,1,0,1,1,0,3,0,2,605,0,2,0,607
51,164,229,5,4,5,1,1,0,2,0,0,0,1,2,414,0,18,0,432
52,82,321,13,2,4,1,3,2,1,1,2,2,1,3,438,0,11,0,449
53,49,479,3,2,6,1,1,1,0,1,2,3,2,4,554,0,9,0,563
54,151,91,4,2,2,3,2,0,0,0,0,3,1,4,263,0,7,0,270
55,136,512,2,3,6,0,0,0,0,0,0,1,3,2,665,0,13,0,678
56,218,167,6,4,10,0,1,1,1,0,3,3,2,9,425,0,15,0,440
57,282,145,17,4,2,2,1,3,0,0,0,3,4,5,468,0,20,0,488
58,41,290,1,4,1,1,0,0,0,0,0,0,0,0,338,0,3,0,341
59,161,249,5,3,28,1,1,2,0,1,3,0,0,4,458,0,12,0,470
60,301,272,16,1,9,2,2,2,1,0,1,1,2,1,611,0,22,0,633
61,167,125,0,2,4,1,1,0,0,0,0,1,1,0,302,0,5,0,307
62,119,369,8,2,9,1,0,0,0,0,1,0,2,3,514,0,7,0,521
63,136,496,8,2,16,2,0,1,2,1,3,0,1,6,674,0,13,0,687
64,47,384,6,1,1,1,0,0,0,0,0,1,0,2,443,0,7,0,450
65,67,470,2,4,11,1,0,2,0,0,0,0,1,3,561,0,5,0,566
66,61,536,2,1,7,2,0,1,0,1,0,0,0,2,613,0,12,0,625
67,28,576,1,0,10,0,1,0,0,1,1,0,0,1,619,0,14,0,633
68,200,333,11,2,16,0,3,1,0,0,1,0,0,0,567,0,8,0,575
69,47,488,2,3,11,0,1,0,0,1,1,0,1,0,555,0,14,0,569
70,181,46,4,3,3,2,0,0,1,2,0,2,2,5,251,0,9,0,260
71,126,311,4,1,7,1,0,0,0,1,0,0,0,0,451,0,15,0,466
72,168,75,4,5,3,4,0,2,2,0,2,3,4,1,273,0,4,0,277
73,27,491,2,0,3,0,0,0,0,0,1,2,1,0,527,0,5,0,532
74,21,449,3,0,7,1,0,0,1,1,0,0,0,0,483,0,11,0,494
75,38,254,2,2,10,0,0,0,0,0,0,0,0,0,306,0,5,0,311
76,138,173,3,2,0,1,3,5,0,0,3,0,4,2,334,0,14,0,348
77,77,247,3,1,5,1,0,0,0,0,1,0,1,3,339,0,2,0,341
78,62,425,1,0,2,0,0,1,1,0,0,1,1,1,495,0,6,0,501
79,44,310,2,5,0,0,1,1,0,0,0,0,0,3,366,0,3,0,369
80,208,275,8,0,3,1,1,1,0,1,2,2,15,4,521,0,5,0,526
81,90,218,2,5,3,0,2,1,1,1,0,2,1,5,331,0,9,0,340
82,228,249,7,3,2,0,0,0,1,1,0,1,2,3,497,0,15,0,512
83,48,295,3,0,5,2,1,0,1,0,0,0,0,0,355,0,0,0,355
84,142,154,9,2,3,1,1,0,1,2,0,2,0,0,317,0,8,0,325
85,278,67,1,0,1,0,1,2,0,0,0,0,0,3,353,0,6,0,359
86,181,157,3,2,4,2,0,1,1,0,0,0,0,3,354,0,2,0,356
87,110,237,3,3,9,1,2,1,0,1,0,1,1,5,374,0,13,0,387
88,189,233,2,0,3,1,2,1,0,1,2,1,0,5,440,0,13,0,453
89,91,274,16,2,3,4,3,2,1,0,4,2,1,3,406,0,5,0,411
90,59,536,8,2,6,0,2,0,1,1,3,0,2,4,624,0,3,0,627
91,154,263,6,3,1,2,0,1,0,2,0,1,2,1,436,0,9,0,445
92,161,193,12,5,1,2,4,1,0,0,0,2,1,5,387,0,8,0,395
93,88,226,5,1,3,1,4,0,1,0,1,1,0,1,332,0,5,0,337
94,88,144,1,0,2,1,1,0,1,0,0,1,0,2,241,0,4,0,245
95,110,224,2,1,2,1,1,0,0,1,0,0,1,1,344,0,6,0,350
96,37,554,2,2,0,1,0,0,0,0,2,0,1,3,602,0,8,0,610
97,169,380,4,2,5,4,3,0,1,2,0,1,3,3,577,0,7,0,584
98,118,354,3,0,3,2,0,1,0,0,0,0,1,0,482,0,4,0,486
99,373,129,3,3,1,0,1,3,0,0,1,1,1,2,518,0,9,0,527
100,340,65,15,2,0,1,1,4,0,0,0,0,0,4,432,0,13,0,445
101,109,350,7,1,2,0,5,1,2,0,2,1,1,1,482,0,4,0,486
102,135,229,3,1,0,0,3,2,1,1,2,0,2,3,382,0,11,0,393
103,154,105,9,2,2,0,0,3,1,0,1,1,2,3,283,0,10,0,293
104,168,267,3,3,4,4,2,2,1,0,2,1,1,3,461,0,13,0,474
105,163,104,8,2,0,1,2,4,0,1,1,1,0,2,289,0,6,0,295
106,96,112,3,3,2,0,3,0,0,0,2,1,2,0,224,0,8,0,232
107,133,394,2,9,4,2,0,3,1,1,3,1,2,1,556,0,4,0,560
108,167,354,24,2,7,1,3,2,0,1,2,3,4,4,574,0,20,0,594
109,19,493,8,1,2,1,4,1,2,2,1,1,2,4,541,0,9,0,550
110,56,619,9,3,0,0,1,2,2,1,2,0,1,5,701,0,10,0,711
111,291,203,7,4,1,1,1,1,0,0,1,2,2,1,515,0,15,0,530
112,267,366,9,1,1,1,1,0,1,0,2,0,1,1,651,0,7,0,658
113,45,322,0,1,1,0,1,0,0,0,0,0,0,1,371,0,3,0,374
114,162,275,6,1,1,2,1,1,1,0,0,1,4,4,459,0,14,0,473
115,39,320,2,3,1,0,0,0,1,0,4,0,2,3,375,0,0,0,375
116,188,215,5,7,4,1,3,4,1,0,0,2,1,4,435,0,15,0,450
117,116,341,2,2,1,0,0,0,0,0,0,1,1,4,468,0,8,0,476
118,95,332,1,3,2,0,0,0,1,0,1,3,1,0,439,0,9,0,448
119,190,278,2,3,5,5,0,2,0,1,1,2,2,2,493,0,8,0,501
120,69,308,16,3,2,1,4,2,0,0,0,1,2,0,408,0,5,0,413
121,63,381,4,2,3,1,2,1,0,1,1,1,6,1,467,0,11,0,478
122,77,421,5,2,3,0,2,0,0,0,3,1,3,3,520,0,7,0,527
123,36,426,2,1,2,1,0,0,0,1,1,0,0,2,472,0,2,0,474
124,186,46,44,3,4,1,1,2,1,1,0,3,5,2,299,0,4,0,303
