polling station,,,,,,,,,,,,,
,Chudasama Rajeshbhai Naranbhai (Bharatiya Janata Party),PUNJABHAI BHIMABHAI VANSH,Atul Govindbhai Shekhada(A am Aadmi Party),Kadri Ibrahim Saiyed Husen(Samaj wadi Party),Solanki Haribhai Boghabhai( Bahujan Mukti Party),Gadhiya Soyeb Hushenbhai (Independen t),Saiyed Altaf Husain Abdullah Miyan(Indepe ndent),Harilal Ranchhodbhai Chauhan(Inde pendent),valid,rejected,nota,total,tendered
1,438,91,10,3,1,3,3,7,556,0,7,563,0
2,484,121,9,0,2,1,2,9,628,0,7,635,0
3,317,121,21,4,3,1,3,2,472,0,11,483,0
4,268,114,17,2,0,1,1,4,407,0,11,418,0
5,331,95,14,1,1,1,1,2,446,0,8,454,0
6,404,159,25,0,0,2,3,1,594,0,3,597,0
7,339,74,30,4,2,1,2,1,453,0,7,460,0
8,323,48,17,0,0,2,1,3,394,0,4,398,0
9,328,166,23,3,2,7,1,1,531,0,9,540,0
10,402,152,13,3,1,3,2,4,580,0,14,594,0
11,218,77,14,1,0,0,1,2,313,0,5,318,0
12,184,57,11,2,1,1,1,0,257,0,11,268,0
13,276,246,18,2,1,1,0,6,550,0,6,556,0
14,295,106,15,1,1,1,1,1,421,0,7,428,0
15,279,97,12,1,0,0,1,2,392,0,5,397,0
16,341,119,7,0,1,1,1,1,471,0,4,475,0
17,172,121,0,0,0,1,1,1,296,0,4,300,0
18,71,165,4,0,0,1,1,0,242,0,2,244,0
19,105,259,12,2,0,2,1,4,385,0,2,387,0
20,124,332,10,1,3,0,1,7,478,0,10,488,0
21,127,60,17,1,1,0,1,2,209,0,3,212,0
22,252,168,78,1,1,3,4,5,512,0,5,517,0
23,213,118,107,5,1,1,0,5,450,0,4,454,0
24,348,113,13,1,4,4,4,7,494,0,7,501,0
25,351,208,9,2,2,5,2,9,588,0,20,608,0
26,276,100,9,2,1,0,0,1,389,0,5,394,0
27,360,429,24,5,1,5,7,10,841,0,17,858,0
28,600,71,10,0,0,1,0,2,684,0,15,699,0
29,649,158,14,0,1,1,3,5,831,0,15,846,0
30,365,207,3,1,1,0,2,4,583,0,9,592,0
31,261,385,6,2,1,0,5,6,666,0,10,676,0
32,582,101,19,1,0,0,3,1,707,0,11,718,0
33,362,197,6,1,0,0,1,2,569,0,3,572,0
34,359,179,10,0,0,1,0,4,553,0,13,566,0
35,455,114,4,0,0,3,1,4,581,0,10,591,0
36,355,133,6,1,1,0,0,3,499,0,9,508,0
37,228,351,7,1,4,2,4,14,611,0,9,620,0
38,336,307,7,0,0,2,2,4,658,0,8,666,0
39,517,79,41,2,0,0,0,3,642,0,13,655,0
40,439,194,15,1,1,0,0,2,652,0,11,663,0
41,287,330,15,2,0,0,1,1,636,0,19,655,0
42,316,315,9,2,2,0,1,1,646,0,10,656,0
43,425,274,32,0,0,1,6,5,743,0,8,751,0
44,560,53,12,2,0,0,0,0,627,0,9,636,0
45,746,208,38,3,3,0,2,2,1002,0,10,1012,0
46,62,285,8,0,0,1,0,6,362,0,3,365,0
47,383,150,16,0,0,0,0,1,550,0,6,556,0
48,444,175,14,2,0,0,1,4,640,0,12,652,0
49,601,135,21,1,2,0,0,2,762,0,13,775,0
50,546,100,25,3,0,0,1,0,675,0,11,686,0
51,322,160,8,1,2,0,0,1,494,0,11,505,0
52,258,95,7,0,0,0,0,0,360,0,7,367,0
53,605,66,30,0,0,0,0,1,702,0,8,710,0
54,387,68,16,0,1,2,1,1,476,0,10,486,0
55,571,88,13,0,0,0,3,0,675,0,20,695,0
56,506,199,11,0,1,0,1,1,719,0,13,732,0
57,480,61,46,1,0,0,0,0,588,0,12,600,0
58,312,67,14,0,0,0,0,0,393,0,10,403,0
59,563,119,60,1,0,0,0,0,743,0,16,759,0
60,321,46,29,0,1,0,0,0,397,0,2,399,0
61,471,85,22,0,0,1,1,1,581,0,9,590,0
62,383,54,26,1,0,1,0,3,468,0,13,481,0
63,211,34,15,0,0,0,0,0,260,0,9,269,0
64,483,170,10,1,1,0,0,4,669,0,8,677,0
65,311,114,13,0,1,0,4,2,445,0,10,455,0
66,468,141,18,0,0,1,0,2,630,0,11,641,0
67,250,357,13,3,0,0,3,9,635,0,7,642,0
68,481,86,19,1,0,0,0,0,587,0,8,595,0
69,272,47,16,1,0,0,0,1,337,0,7,344,0
70,285,118,21,0,0,1,0,0,425,0,7,432,0
71,245,110,20,0,0,0,0,0,375,0,14,389,0
72,436,133,27,0,0,0,1,0,597,0,18,615,0
73,228,75,16,0,0,0,0,0,319,0,6,325,0
74,254,207,14,0,0,1,0,5,481,0,4,485,0
75,282,108,22,0,0,1,1,0,414,0,8,422,0
76,390,347,18,1,0,2,2,5,765,0,12,777,0
77,284,49,10,2,2,0,0,0,347,0,1,348,0
78,455,100,27,0,2,1,1,0,586,0,11,597,0
79,504,95,28,2,0,1,0,1,631,0,13,644,0
80,527,118,20,0,1,1,1,1,669,0,14,683,0
81,244,308,14,0,2,0,0,2,570,0,11,581,0
82,314,145,13,0,0,0,2,1,475,0,6,481,0
83,226,82,29,3,0,0,0,1,341,0,9,350,0
84,369,129,14,0,0,0,0,1,513,0,8,521,0
85,296,70,10,1,0,1,2,0,380,0,11,391,0
86,238,105,5,0,0,1,0,2,351,0,10,361,0
87,265,249,14,0,0,0,0,1,529,0,7,536,0
88,227,293,29,0,0,0,0,2,551,0,6,557,0
89,427,182,18,0,0,1,0,1,629,0,11,640,0
90,253,78,4,0,2,1,1,4,343,0,9,352,0
91,323,90,6,1,0,0,1,3,424,0,11,435,0
92,160,350,16,4,3,2,3,7,545,0,16,561,0
93,218,225,8,2,1,0,0,5,459,0,8,467,0
94,160,332,10,1,0,0,0,3,506,0,7,513,0
95,161,212,4,0,0,0,2,3,382,0,3,385,0
96,295,242,4,2,3,1,1,1,549,0,9,558,0
97,31,437,7,0,0,1,4,8,488,0,3,491,0
98,86,195,6,3,0,0,2,4,296,0,12,308,0
99,115,417,13,2,0,3,4,11,565,0,23,588,0
100,47,396,6,0,2,0,2,6,459,0,13,472,0
101,108,491,22,1,6,1,1,5,635,0,10,645,0
102,107,379,18,1,0,3,1,5,514,0,9,523,0
103,82,376,15,1,0,1,2,3,480,0,6,486,0
104,115,557,17,1,0,0,2,5,697,0,10,707,0
105,72,284,9,0,0,0,1,2,368,0,8,376,0
106,163,180,1,0,1,0,2,4,351,0,4,355,0
107,201,223,12,1,0,0,0,1,438,0,5,443,0
108,396,54,13,0,1,0,0,1,465,0,6,471,0
109,316,79,14,2,2,1,0,2,416,0,6,422,0
110,282,180,8,1,0,0,2,2,475,0,8,483,0
111,569,91,17,0,0,0,0,0,677,0,14,691,0
112,390,40,17,0,0,1,0,1,449,0,10,459,0
113,377,29,10,0,0,0,0,0,416,0,8,424,0
114,439,62,12,1,0,0,0,1,515,0,20,535,0
115,412,63,19,0,0,0,0,0,494,0,7,501,0
116,478,65,43,1,1,1,0,1,590,0,18,608,0
117,398,50,23,0,0,0,0,0,471,0,9,480,0
118,271,52,19,1,1,0,0,1,345,0,13,358,0
119,355,146,12,0,1,0,0,0,514,0,5,519,0
120,470,25,15,1,0,0,0,2,513,0,4,517,0
121,274,27,20,1,0,1,0,0,323,0,5,328,0
122,578,84,18,0,0,0,0,0,680,0,13,693,0
123,500,115,49,0,1,1,1,0,667,0,19,686,0
124,534,94,33,0,0,1,0,1,663,0,19,682,0
125,624,80,25,0,1,1,1,0,732,0,19,751,0
126,447,79,11,0,0,0,0,0,537,0,14,551,0
127,589,71,26,1,0,0,0,3,690,0,14,704,0
128,509,70,18,0,2,0,0,1,600,0,8,608,0
129,102,470,10,3,1,4,2,4,596,0,15,611,0
130,99,242,6,0,0,0,0,0,347,0,4,351,0
131,58,555,7,2,0,0,2,3,627,0,4,631,0
132,40,545,14,3,0,0,3,3,608,0,8,616,0
133,77,386,8,1,0,0,2,3,477,0,11,488,0
134,26,547,10,1,1,0,1,7,593,0,10,603,0
135,18,705,12,0,0,0,0,8,743,0,12,755,0
136,25,660,22,3,0,1,3,7,721,0,6,727,0
137,11,424,13,0,0,1,2,1,452,0,8,460,0
138,21,723,20,2,1,0,1,4,772,0,9,781,0
139,33,527,26,2,0,0,1,4,593,0,3,596,0
140,103,260,11,1,0,0,1,1,377,0,4,381,0
141,73,366,12,0,1,0,0,0,452,0,4,456,0
142,165,344,11,2,2,0,2,2,528,0,2,530,0
143,172,229,8,1,0,0,0,1,411,0,7,418,0
144,306,229,9,3,4,3,3,4,561,0,14,575,0
145,133,244,7,0,0,2,0,1,387,0,4,391,0
146,47,583,6,1,0,0,0,5,642,0,5,647,0
147,19,576,16,0,1,2,1,4,619,0,12,631,0
148,54,350,8,3,4,0,1,6,426,0,10,436,0
149,318,252,12,2,0,0,1,2,587,0,6,593,0
150,244,152,10,2,0,0,1,1,410,0,7,417,0
151,434,100,12,0,1,1,1,0,549,0,21,570,0
152,271,173,8,1,1,2,0,2,458,0,5,463,0
153,506,156,12,2,0,0,0,4,680,0,15,695,0
154,342,73,2,2,0,0,2,1,422,0,9,431,0
155,340,101,8,3,0,1,1,1,455,0,7,462,0
156,232,404,11,3,3,1,3,6,663,0,2,665,0
157,256,327,13,1,0,2,0,4,603,0,9,612,0
158,449,152,11,0,2,2,1,2,619,0,10,629,0
159,245,87,10,1,2,1,2,3,351,0,7,358,0
160,461,122,9,3,1,8,3,1,608,0,15,623,0
161,562,143,22,7,4,3,2,4,747,0,18,765,0
162,319,53,6,1,0,0,0,0,379,0,7,386,0
163,384,30,1,0,0,4,0,1,420,0,6,426,0
164,314,331,17,2,0,0,1,2,667,0,7,674,0
165,254,116,9,0,1,0,0,3,383,0,8,391,0
166,366,105,8,0,1,1,0,3,484,0,7,491,0
167,552,76,13,3,0,1,1,1,647,0,7,654,0
168,456,66,16,3,0,1,0,1,543,0,16,559,0
169,250,435,23,1,2,3,4,3,721,0,14,735,0
170,315,75,8,0,0,0,1,3,402,0,8,410,0
171,402,61,12,1,2,0,0,2,480,0,13,493,0
172,407,95,8,1,0,0,1,1,513,0,15,528,0
173,339,236,20,0,1,1,2,5,604,0,11,615,0
174,354,108,7,5,1,1,0,1,477,0,15,492,0
175,424,54,10,0,0,0,0,1,489,0,12,501,0
176,272,19,3,0,0,0,0,1,295,0,10,305,0
177,325,239,11,0,1,0,0,1,577,0,8,585,0
178,540,83,11,0,0,0,0,0,634,0,17,651,0
179,584,71,13,1,0,0,0,0,669,0,23,692,0
180,116,69,4,0,0,0,0,0,189,0,4,193,0
181,348,36,9,1,0,0,0,0,394,0,14,408,0
182,425,63,10,2,0,0,0,0,500,0,7,507,0
183,398,56,8,1,1,0,0,2,466,0,17,483,0
184,282,22,5,0,0,0,0,0,309,0,8,317,0
