Serial No of Polling Station,Number of Valid votes cast in favour of,,,,,,,,Total of Valid Votes,Total of Reject - ed Votes,NOTA,Total,No of Tender- ed Votes
,Chudasama Rajeshbhai Naranbhai (Bharatiya Janata Party),Punjabhai Bhimabhai Vansh (Indian National Congress),Atul Govindbhai Shekhada (Aam Aadmi Party),Kadri Ibrahim Saiyed Husen (Samajwadi Party),Solanki Haribhai Boghabhai (Bahujan Mukti Party),Gadhiya Soyeb Hushenbhai (Independent),Saiyed Altaf Husain Abdullah Miyan (Independent),Harilal Ranchhodbhai Chauhan (Independent),,,,,
1,37,7,0,0,0,0,0,0,44,0,1,45,0
2,10,1,2,0,0,0,0,0,13,0,1,14,0
3,16,2,0,0,0,0,0,0,18,0,1,19,0
4,9,1,1,0,0,0,0,0,11,0,0,11,0
5,282,211,3,2,2,1,1,7,509,0,7,516,0
6,337,211,15,3,1,3,4,3,577,0,8,585,0
7,234,128,3,0,0,0,1,0,366,0,2,368,0
8,212,132,5,1,0,0,0,2,352,0,14,366,0
9,235,199,5,2,1,3,1,2,448,0,6,454,0
10,322,73,27,0,1,0,5,3,431,0,5,436,0
11,336,91,32,1,0,1,1,3,465,0,2,467,0
12,257,130,9,3,1,5,2,1,408,0,9,417,0
13,152,229,8,1,2,0,3,1,396,0,13,409,0
14,374,127,13,1,0,1,0,1,517,0,3,520,0
15,446,84,8,1,2,1,2,6,550,0,10,560,0
16,142,161,17,1,0,0,1,4,326,0,14,340,0
17,308,96,8,2,1,1,0,4,420,0,14,434,0
18,304,83,36,3,0,3,2,3,434,0,11,445,0
19,362,89,7,4,2,3,9,7,483,0,14,497,0
20,201,81,3,2,1,5,3,4,300,0,9,309,0
21,135,120,119,1,1,1,2,2,381,0,2,383,0
22,227,182,3,1,0,2,1,0,416,0,9,425,0
23,264,348,29,2,1,2,0,5,651,0,6,657,0
24,156,346,10,6,5,2,2,7,534,0,30,564,0
25,44,417,14,2,3,0,3,5,488,0,17,505,0
26,67,248,4,5,3,2,2,1,332,0,8,340,0
27,148,345,6,3,1,4,7,5,519,0,12,531,0
28,425,125,9,1,2,3,2,6,573,0,20,593,0
29,418,187,5,2,1,3,3,5,624,0,24,648,0
30,386,188,17,3,3,2,1,3,603,0,11,614,0
31,120,165,5,0,0,0,0,2,292,0,4,296,0
32,232,132,8,3,3,3,2,7,390,0,15,405,0
33,185,107,10,1,1,0,0,2,306,0,12,318,0
