polling station,,,,,,,,,,,,,,,Valid Votes,Rejected Votes,of NOTA Options,Tendered Votes,total
,Jadeja Kandhalbhai Saramanbhai,Radadiya Vithalbhai Hansrajbhai,Sadiya Vrajlal Pababhai,Irfanshah Habibshah Suhravardi,Mansukh Sundarji Dhokai,Aghera Dhirajlal Bhurabhai,Unadakat Prakash Vallabhadas,Khunti Bharatbhai Maldebhai,Khokhani Lalitaben Mansukhbhai,Joshi Harish Liladhar,Tukadia G.R.,Patel Butani Rajeshbhai Maganbhai,Rathod Chandulal Mohanbhai,Vakil Vinzuda Ranjit Naranbhai,,,,,
1,330,183,5,1,2,1,0,1,0,2,5,4,3,9,546,0,32,0,578
2,354,74,6,5,3,2,4,3,1,3,3,4,2,2,466,0,25,0,491
3,247,50,2,0,2,1,0,0,2,0,0,3,1,0,308,0,8,0,316
4,158,182,1,3,1,0,0,3,0,0,1,5,3,4,361,0,7,0,368
5,205,122,0,1,2,3,5,2,0,0,0,2,2,5,349,0,11,0,360
6,294,116,6,4,3,0,2,5,0,3,1,0,1,1,436,0,13,0,449
7,102,177,3,0,2,0,1,4,1,2,0,0,1,3,296,0,2,0,298
8,137,222,5,1,2,0,1,3,1,1,0,3,1,5,382,0,4,0,386
9,221,331,10,1,1,2,2,1,0,0,3,2,4,4,582,0,18,0,600
10,160,284,5,1,0,2,0,1,2,2,2,3,1,3,466,0,7,0,473
11,111,154,4,2,2,2,2,1,0,1,1,0,1,1,282,0,5,0,287
12,209,90,2,2,1,1,0,0,1,0,0,0,2,1,309,0,8,0,317
13,190,212,3,2,4,1,2,2,1,2,2,1,1,3,426,0,3,0,429
14,177,230,5,3,1,0,0,0,1,0,3,1,4,2,427,0,5,0,432
15,225,89,2,4,1,1,0,0,0,1,2,0,1,1,327,0,10,0,337
16,153,109,3,0,1,1,0,4,1,1,1,0,3,4,281,0,7,0,288
17,75,263,3,0,0,0,1,2,0,0,2,1,1,2,350,0,7,0,357
18,55,242,7,1,1,2,1,1,2,1,3,4,3,2,325,0,4,0,329
19,140,149,5,2,1,1,1,2,0,1,1,2,1,4,310,0,7,0,317
20,102,162,4,1,0,1,3,4,0,0,2,1,2,4,286,0,3,0,289
21,83,392,2,2,2,1,1,2,3,2,2,1,2,4,499,0,6,0,505
22,405,31,0,0,3,1,2,0,0,0,0,0,0,0,442,0,11,0,453
23,272,168,0,3,3,2,0,1,1,2,5,1,0,0,458,0,6,0,464
24,45,351,2,0,2,0,1,2,4,1,5,0,5,3,421,0,8,0,429
25,124,101,18,6,3,0,2,6,0,0,1,0,2,3,266,0,7,0,273
26,195,227,2,1,0,1,3,3,0,0,0,0,3,1,436,0,18,0,454
27,216,103,1,2,2,1,1,8,0,1,1,0,5,4,345,0,10,0,355
28,180,117,2,0,3,0,2,0,1,0,2,4,4,6,321,0,7,0,328
29,218,43,24,5,1,1,3,2,0,1,2,1,1,2,304,0,10,0,314
30,345,138,2,3,5,1,5,2,5,2,2,5,2,5,522,0,12,0,534
31,188,151,3,1,0,1,3,1,0,1,1,3,3,0,356,0,14,0,370
32,75,130,3,0,4,0,1,0,1,0,0,1,0,2,217,0,3,0,220
33,140,170,2,3,1,1,0,1,1,0,0,3,2,1,325,0,3,0,328
34,90,204,2,0,3,0,0,1,1,2,0,2,1,2,308,0,5,0,313
35,170,251,9,0,0,2,2,3,1,1,3,2,2,7,453,0,7,0,460
36,140,195,9,1,2,4,2,2,1,2,0,4,1,3,366,0,6,0,372
37,161,111,9,5,1,1,0,2,0,1,2,2,1,0,296,0,2,0,298
38,67,260,2,0,1,0,0,0,0,0,1,2,1,4,338,0,3,0,341
39,353,25,2,2,2,1,1,1,0,1,1,4,0,2,395,0,16,0,411
40,204,203,2,2,3,0,0,3,0,1,0,1,0,1,420,0,8,0,428
41,279,107,7,1,1,1,1,1,1,1,0,12,1,3,416,0,14,0,430
42,252,77,3,0,2,2,1,2,2,0,0,2,2,6,351,0,18,0,369
43,223,70,3,2,0,1,0,2,0,1,2,0,3,1,308,0,7,0,315
44,185,229,3,1,6,3,14,6,2,0,3,4,9,4,469,0,20,0,489
45,151,325,2,1,1,2,1,1,1,0,3,2,1,1,492,0,7,0,499
46,126,188,0,1,3,0,0,4,1,0,2,9,0,3,337,0,4,0,341
47,224,267,5,3,1,5,5,7,2,1,1,7,5,6,539,0,10,0,549
48,164,217,3,0,4,0,4,1,0,1,1,1,1,4,401,0,6,0,407
49,198,182,2,4,1,2,3,1,2,2,0,9,4,6,416,0,12,0,428
50,185,211,4,3,2,0,2,7,0,2,3,3,1,0,423,0,5,0,428
51,200,292,3,2,2,1,1,6,0,2,0,4,5,2,520,0,8,0,528
52,365,150,4,1,1,1,2,3,1,0,2,4,2,6,542,0,22,0,564
53,435,75,4,1,13,2,1,5,1,0,1,4,4,1,547,0,11,0,558
54,98,128,1,0,0,0,3,0,0,0,1,2,0,1,234,0,4,0,238
55,55,257,4,0,0,0,1,1,2,1,2,0,4,0,327,0,4,0,331
56,155,347,7,3,2,0,0,2,1,0,0,2,3,6,528,0,4,0,532
57,324,175,6,3,4,1,1,6,2,0,3,2,8,5,540,0,13,0,553
58,334,131,15,2,4,1,1,2,1,0,0,0,1,4,496,0,11,0,507
59,77,359,4,4,2,1,1,0,0,1,1,2,1,7,460,0,5,0,465
60,121,401,1,3,3,0,0,1,1,1,1,3,4,2,542,0,10,0,552
61,80,223,2,0,0,0,1,1,0,0,0,0,1,1,309,0,0,0,309
62,54,136,0,1,0,1,0,1,1,0,1,0,0,0,195,0,1,0,196
63,161,69,2,2,2,1,0,0,1,0,0,0,0,0,238,0,2,0,240
64,76,191,4,3,0,0,1,1,1,0,1,0,1,2,281,0,3,0,284
65,227,182,2,5,2,2,1,4,0,0,0,3,1,4,433,0,16,0,449
66,355,140,3,6,2,2,1,1,1,2,3,5,4,4,529,0,8,0,537
67,342,252,10,3,4,3,2,8,0,0,0,4,4,4,636,0,9,0,645
68,98,289,3,1,3,1,1,0,1,1,1,1,3,6,409,0,15,0,424
69,76,363,2,0,3,0,0,2,0,0,1,1,1,3,452,0,10,0,462
70,230,223,9,1,1,0,1,3,2,1,0,5,0,5,481,0,29,0,510
71,70,155,4,1,2,0,0,0,0,1,0,1,1,1,236,0,3,0,239
72,120,248,4,2,3,1,0,1,1,1,1,3,0,1,386,0,2,0,388
73,35,139,1,0,0,0,0,0,0,0,0,0,0,0,175,0,5,0,180
74,75,140,2,1,0,2,2,1,0,1,1,3,0,1,229,0,4,0,233
75,66,236,0,0,3,1,0,0,0,0,0,2,0,0,308,0,3,0,311
76,124,155,2,0,2,0,1,2,2,1,0,2,0,2,293,0,3,0,296
77,117,123,2,0,1,2,0,2,0,0,0,1,1,0,249,0,5,0,254
78,105,178,0,2,0,1,1,0,0,0,0,1,0,0,288,0,3,0,291
79,171,197,2,3,0,1,1,1,0,1,1,2,1,2,383,0,4,0,387
80,175,165,4,1,1,1,1,0,0,0,0,2,3,4,357,0,8,0,365
81,174,306,9,1,11,1,0,0,0,1,0,4,2,7,516,0,17,0,533
82,77,277,7,1,3,2,1,0,0,1,4,0,1,8,382,0,15,0,397
83,127,104,10,3,1,1,1,2,1,1,1,6,3,0,261,0,7,0,268
84,23,217,1,0,1,0,2,0,0,0,2,2,3,2,253,0,10,0,263
85,62,138,3,2,0,0,0,0,0,1,0,0,0,0,206,0,1,0,207
86,215,162,7,1,0,0,0,3,0,0,0,2,3,0,393,0,9,0,402
87,117,163,5,2,1,1,3,2,0,1,2,3,2,2,304,0,13,0,317
88,113,266,6,1,2,0,2,3,1,1,3,0,2,4,404,0,8,0,412
89,152,420,12,3,1,3,3,2,5,1,5,4,7,12,630,0,14,0,644
90,159,234,4,1,3,0,2,0,1,1,0,0,3,6,414,0,17,0,431
91,128,374,14,5,5,2,2,4,3,2,4,5,2,14,564,0,17,0,581
92,273,313,5,4,5,4,2,2,1,1,1,2,1,6,620,0,16,0,636
93,177,201,12,4,1,4,3,1,1,3,0,3,3,4,417,0,9,0,426
94,183,148,14,3,2,3,10,1,1,1,1,1,5,8,381,0,17,0,398
95,113,238,4,0,0,0,0,2,0,0,1,0,1,6,365,0,10,0,375
96,120,217,0,1,4,3,0,4,3,0,4,1,3,5,365,0,7,0,372
97,94,186,3,0,2,0,2,2,0,0,2,1,1,6,299,0,12,0,311
98,331,87,6,7,1,0,1,2,0,0,1,1,0,0,437,0,5,0,442
99,138,157,8,3,13,0,1,1,0,1,3,3,4,2,334,0,21,0,355
100,254,253,5,3,2,1,2,1,0,1,0,1,4,1,528,0,7,0,535
101,401,160,13,1,9,3,1,5,1,3,0,4,4,1,606,0,12,0,618
102,227,182,4,6,5,2,4,2,2,0,1,2,5,3,445,0,5,0,450
